Date,Open,High,Low,Close,Volume
2010-03-08,12.96,13.59,12.85,13.34,20170750.0
2010-03-09,13.34,13.48,12.9,13.0,2694829.0
2010-03-10,13.0,13.19,12.71,12.77,1168442.0
2010-03-11,12.77,13.2,12.61,12.69,3115052.0
2010-03-12,12.69,12.88,12.5,12.56,1400592.0
2010-03-15,12.56,12.66,12.41,12.5,1718601.0
2010-03-16,12.5,12.68,12.5,12.54,1092420.0
2010-03-17,12.54,12.71,12.47,12.55,975180.0
2010-03-18,12.55,12.65,12.47,12.5,786614.0
2010-03-19,12.5,12.99,12.47,12.7,2407950.0
2010-03-22,12.7,12.9,12.6,12.61,905446.0
2010-03-24,12.61,13.15,12.62,12.87,4273571.0
2010-03-25,12.87,13.0,12.75,12.79,1145239.0
2010-03-26,12.79,12.88,12.65,12.7,365608.0
2010-03-29,12.7,12.84,12.56,12.6,1437278.0
2010-03-30,12.6,12.8,12.49,12.52,1595308.0
2010-03-31,12.52,13.24,12.51,13.04,2455778.0
2010-04-01,13.04,12.99,12.75,12.77,383847.0
2010-04-02,12.77,12.91,12.65,12.69,394868.0
2010-04-05,12.69,12.79,12.54,12.64,891439.0
2010-04-06,12.64,12.7,12.5,12.51,1243867.0
2010-04-07,12.51,12.71,12.5,12.56,892885.0
2010-04-08,12.56,12.67,12.51,12.55,894620.0
2010-04-09,12.55,12.72,12.51,12.54,803305.0
2010-04-12,12.54,12.79,12.4,12.72,1833333.0
2010-04-13,12.72,12.98,12.61,12.85,2743599.0
2010-04-14,12.85,12.99,12.9,12.98,1484269.0
2010-04-15,12.98,12.99,12.65,12.69,577021.0
2010-04-16,12.69,12.76,12.52,12.56,490669.0
2010-04-19,12.56,12.74,12.53,12.55,387195.0
2010-04-20,12.55,12.8,12.54,12.7,767087.0
2010-04-21,12.7,12.85,12.53,12.8,1572447.0
2010-04-22,12.8,12.88,12.7,12.85,1175077.0
2010-04-23,12.85,12.93,12.75,12.81,623120.0
2010-04-26,12.81,12.9,12.6,12.81,727023.0
2010-04-27,12.81,12.89,12.6,12.71,589501.0
2010-04-28,12.71,12.75,12.41,12.51,539389.0
2010-04-29,12.51,12.69,12.41,12.49,558513.0
2010-04-30,12.49,12.5,12.25,12.35,692499.0
2010-05-03,12.35,12.42,12.03,12.09,2610407.0
2010-05-04,12.09,12.48,12.15,12.22,835015.0
2010-05-05,12.22,12.32,12.01,12.09,448902.0
2010-05-06,12.09,12.28,12.0,12.06,602146.0
2010-05-07,12.06,12.05,11.84,11.89,537087.0
2010-05-10,11.89,11.99,11.8,11.86,528503.0
2010-05-11,11.86,11.99,11.7,11.72,417446.0
2010-05-12,11.72,11.89,11.5,11.66,756138.0
2010-05-13,11.66,11.73,11.52,11.66,129548.0
2010-05-14,11.66,11.94,11.11,11.74,249866.0
2010-05-17,11.74,11.7,11.16,11.3,617141.0
2010-05-18,11.3,11.5,11.05,11.25,184454.0
2010-05-19,11.25,11.4,10.89,11.24,418912.0
2010-05-20,11.24,11.46,11.02,11.38,511244.0
2010-05-21,11.38,11.49,11.1,11.38,621670.0
2010-05-24,11.38,11.3,11.05,11.17,378012.0
2010-05-25,11.17,11.19,10.85,11.0,1893294.0
2010-05-26,11.0,11.09,10.81,11.05,832102.0
2010-05-27,11.05,11.24,10.85,11.1,1147285.0
2010-05-28,11.1,11.18,10.91,11.1,548021.0
2010-05-31,11.1,11.15,10.8,10.86,807284.0
2010-06-01,10.86,10.95,10.35,10.4,1090728.0
2010-06-02,10.4,11.13,9.8,11.05,629465.0
2010-06-03,11.05,11.49,10.9,11.3,612440.0
2010-06-04,11.3,11.5,11.1,11.36,321608.0
2010-06-07,11.36,12.36,11.24,12.26,956591.0
