Date,Open,High,Low,Close,Volume
2002-11-15,8.0,8.3,7.95,8.2,17176500.0
2002-11-18,8.2,8.35,8.15,8.2,5020000.0
2002-11-19,8.2,8.6,8.2,8.45,18447000.0
2002-11-20,8.45,8.7,8.45,8.55,15651000.0
2002-11-21,8.55,8.6,8.3,8.5,6124000.0
2002-11-22,8.5,8.55,8.35,8.4,2952500.0
2002-11-25,8.4,8.45,8.2,8.25,2706000.0
2002-11-26,8.25,8.3,8.0,8.1,1934000.0
2002-11-27,8.1,8.05,7.8,7.9,3120000.0
2002-11-28,7.9,7.85,7.5,7.5,4808000.0
2002-11-29,7.5,7.95,7.65,7.9,3264500.0
2002-12-02,7.9,8.0,7.8,7.95,2140500.0
2002-12-04,7.95,8.5,8.05,8.5,14992000.0
2002-12-09,8.5,9.2,8.6,9.1,31870500.0
2002-12-10,9.1,9.25,8.95,9.0,20143000.0
2002-12-11,9.0,9.1,8.9,8.95,6161500.0
2002-12-12,8.95,9.15,8.9,9.0,6721000.0
2002-12-13,9.0,9.45,9.05,9.3,26679500.0
2002-12-16,9.3,9.45,9.2,9.3,7977000.0
2002-12-17,9.3,9.4,9.0,9.1,5040000.0
2002-12-18,9.1,9.3,9.0,9.15,7344500.0
2002-12-19,9.15,9.55,9.1,9.15,17043000.0
2002-12-20,9.15,9.3,9.05,9.15,2918000.0
2002-12-23,9.15,9.2,8.95,9.15,6086000.0
2002-12-24,9.15,9.6,9.2,9.45,19491500.0
2002-12-26,9.45,9.6,9.3,9.55,19099000.0
2002-12-27,9.55,9.85,9.35,9.6,20824500.0
2002-12-30,9.6,9.7,9.4,9.4,5426500.0
2002-12-31,9.4,9.75,9.4,9.55,12092000.0
2003-01-01,9.55,9.7,9.1,9.25,10315500.0
2003-01-02,9.25,9.65,9.25,9.55,8677500.0
2003-01-03,9.55,10.2,9.7,10.0,39981500.0
2003-01-06,10.0,10.2,9.9,10.05,13211500.0
2003-01-07,10.05,10.25,9.8,9.9,15270000.0
2003-01-08,9.9,10.0,9.7,9.9,7229000.0
2003-01-09,9.9,10.2,9.7,10.15,14294500.0
2003-01-10,10.15,10.85,10.3,10.55,41447500.0
2003-01-13,10.55,10.8,10.3,10.35,14028500.0
2003-01-14,10.35,10.5,10.15,10.3,6152500.0
2003-01-15,10.3,10.55,10.25,10.5,5743500.0
2003-01-16,10.5,11.1,10.3,10.8,28523000.0
2003-01-17,10.8,12.3,11.05,12.3,67197500.0
2003-01-20,12.3,13.8,12.6,13.2,47354000.0
2003-01-21,13.2,13.8,12.2,12.2,32114000.0
2003-01-22,12.2,12.7,11.25,11.8,31722000.0
2003-01-23,11.8,12.3,10.8,10.8,15687500.0
2003-01-24,10.8,10.65,9.8,10.65,15490000.0
2003-01-27,10.65,12.15,11.25,12.15,22476000.0
2003-01-28,12.15,13.5,12.0,12.45,66854000.0
2003-01-29,12.45,12.9,11.6,12.2,17260500.0
2003-01-30,12.2,12.5,11.8,11.85,14117500.0
2003-01-31,11.85,12.05,10.85,10.85,11109500.0
2003-02-03,10.85,10.7,9.85,10.05,7908000.0
2003-02-04,10.05,11.25,9.6,10.4,31342500.0
2003-02-06,10.4,11.8,10.35,11.8,33285000.0
2003-02-07,11.8,12.15,11.25,11.35,18250000.0
2003-02-10,11.35,11.0,10.5,10.75,7891000.0
2003-02-17,10.75,11.65,11.0,11.4,8687000.0
2003-02-18,11.4,11.75,11.25,11.4,11866500.0
2003-02-19,11.4,11.55,10.9,10.95,3780500.0
2003-02-20,10.95,11.2,10.7,11.1,4082000.0
2003-02-21,11.1,12.55,11.2,12.4,57599500.0
2003-02-24,12.4,12.65,11.6,11.7,18919000.0
2003-02-25,11.7,11.8,11.1,11.2,5393000.0
2003-02-26,11.2,11.65,10.2,10.35,10661500.0
2003-02-27,10.35,10.3,9.75,9.75,3403500.0
2003-02-28,9.75,10.4,9.65,10.3,4343500.0
2003-03-03,10.3,11.2,10.45,11.15,7739500.0
2003-03-04,11.15,11.25,10.35,10.45,3015500.0
2003-03-05,10.45,10.7,10.25,10.55,1833500.0
2003-03-06,10.55,10.8,10.5,10.55,2127000.0
2003-03-07,10.55,10.5,10.2,10.3,1180500.0
2003-03-10,10.3,10.15,9.85,10.1,1647500.0
2003-03-11,10.1,10.35,10.0,10.2,2662000.0
2003-03-12,10.2,11.0,10.25,10.9,14809500.0
2003-03-17,10.9,10.5,10.15,10.3,4635500.0
2003-03-18,10.3,10.65,10.25,10.5,5208000.0
2003-03-19,10.5,10.75,10.3,10.35,5519000.0
2003-03-20,10.35,11.0,10.25,11.0,16277000.0
2003-03-21,11.0,11.4,10.95,11.15,19405000.0
2003-03-24,11.15,11.6,10.95,11.1,12186000.0
2003-03-25,11.1,11.2,10.75,11.0,7769500.0
2003-03-26,11.0,11.55,11.1,11.4,12642000.0
2003-03-27,11.4,11.8,11.3,11.45,16121000.0
2003-03-28,11.45,11.65,11.35,11.45,6794500.0
2003-03-31,11.45,11.5,11.1,11.15,2983500.0
2003-04-01,11.15,11.15,10.9,11.1,3495500.0
2003-04-02,11.1,11.4,11.2,11.3,2627000.0
2003-04-03,11.3,11.4,11.2,11.25,1064500.0
2003-04-04,11.25,11.55,11.3,11.4,6100000.0
2003-04-07,11.4,11.9,11.45,11.65,22726500.0
2003-04-08,11.65,11.9,11.65,11.65,4967000.0
2003-04-09,11.65,12.3,11.6,12.05,35853000.0
2003-04-10,12.05,12.5,12.15,12.3,15158000.0
2003-04-11,12.3,12.6,12.2,12.5,23349000.0
2003-04-14,12.5,12.7,12.1,12.45,14768500.0
2003-04-15,12.45,12.6,12.25,12.3,9264500.0
2003-04-16,12.3,12.5,12.25,12.4,4779500.0
2003-04-17,12.4,12.7,12.25,12.35,9545000.0
2003-04-18,12.35,12.45,12.1,12.3,2135500.0
2003-04-21,12.3,12.45,12.3,12.35,2381500.0
2003-04-22,12.35,12.4,11.5,11.75,6783000.0
2003-04-23,11.75,12.05,11.65,11.95,4421500.0
2003-04-24,11.95,12.05,11.05,11.1,8455500.0
2003-04-25,11.1,11.25,10.5,11.15,6321000.0
2003-04-28,11.15,11.6,11.15,11.4,4529000.0
2003-04-29,11.4,11.7,11.4,11.7,3093500.0
2003-04-30,11.7,11.95,11.55,11.55,4236000.0
2003-05-02,11.55,11.85,11.6,11.75,1932500.0
2003-05-05,11.75,12.2,11.85,11.95,7365500.0
2003-05-06,11.95,12.15,11.8,11.9,8204000.0
2003-05-07,11.9,12.0,11.5,11.55,3389000.0
2003-05-08,11.55,11.7,11.4,11.55,3858500.0
2003-05-09,11.55,11.85,11.5,11.55,4177500.0
2003-05-12,11.55,11.7,11.25,11.45,2344000.0
2003-05-13,11.45,11.5,11.25,11.3,1145000.0
2003-05-14,11.3,11.35,11.2,11.3,695500.0
2003-05-16,11.3,11.55,11.3,11.35,2753500.0
2003-05-19,11.35,11.85,11.5,11.6,6812000.0
2003-05-20,11.6,11.65,11.4,11.4,2461000.0
2003-05-21,11.4,11.7,11.35,11.65,3630000.0
2003-05-22,11.65,11.95,11.75,11.95,6310000.0
2003-05-23,11.95,12.4,12.05,12.05,11978500.0
2003-05-26,12.05,12.5,12.05,12.35,16777000.0
2003-05-27,12.35,12.45,12.1,12.2,4000500.0
2003-05-28,12.2,12.35,11.75,11.8,10766500.0
2003-05-29,11.8,11.95,11.7,11.8,2264500.0
2003-05-30,11.8,11.95,11.65,11.7,2962000.0
2003-06-02,11.7,11.75,11.45,11.55,2564000.0
2003-06-03,11.55,11.6,11.35,11.4,1507500.0
2003-06-04,11.4,12.0,11.45,11.9,12200500.0
2003-06-05,11.9,12.2,11.9,11.95,6552000.0
2003-06-06,11.95,12.25,11.9,12.05,5642000.0
2003-06-09,12.05,12.5,12.1,12.15,12312500.0
2003-06-10,12.15,13.6,12.25,13.2,119466500.0
2003-06-11,13.2,13.8,12.95,13.1,68023000.0
2003-06-12,13.1,13.5,13.0,13.25,32525000.0
2003-06-13,13.25,13.45,13.1,13.15,15043000.0
2003-06-16,13.15,14.0,13.15,13.8,76043500.0
2003-06-17,13.8,14.15,13.8,13.85,32773500.0
2003-06-18,13.85,14.0,13.55,13.65,10860500.0
2003-06-19,13.65,14.0,13.35,13.5,24327000.0
2003-06-20,13.5,13.8,13.45,13.6,16352000.0
2003-06-23,13.6,14.4,14.0,14.1,41620500.0
2003-06-24,14.1,14.25,13.8,13.9,11908500.0
2003-06-25,13.9,13.9,13.6,13.75,5683000.0
2003-06-26,13.75,13.9,13.15,13.5,8840000.0
2003-06-27,13.5,14.1,13.6,13.7,27601500.0
2003-06-30,13.7,13.85,13.45,13.45,4535500.0
2003-07-01,13.45,13.95,13.5,13.8,9714500.0
2003-07-02,13.8,14.35,13.8,14.0,49662000.0
2003-07-03,14.0,14.1,13.65,13.85,13498500.0
2003-07-04,13.85,14.1,13.7,13.75,6342000.0
2003-07-07,13.75,13.9,13.5,13.6,6330000.0
2003-07-08,13.6,14.15,13.8,13.95,21136500.0
2003-07-09,13.95,14.2,13.9,13.95,9520500.0
2003-07-10,13.95,14.3,14.05,14.1,18294500.0
2003-07-11,14.1,14.45,14.15,14.4,22157500.0
2003-07-14,14.4,15.9,14.4,15.9,78048000.0
2003-07-15,15.9,16.25,14.9,15.15,57997500.0
2003-07-16,15.15,16.15,14.5,16.05,57944500.0
2003-07-17,16.05,16.5,15.55,15.9,57702500.0
2003-07-18,15.9,16.85,15.85,16.75,64621000.0
2003-07-21,16.75,16.9,16.1,16.35,27467500.0
2003-07-22,16.35,16.75,16.15,16.3,27770000.0
2003-07-23,16.3,16.85,16.35,16.45,25669500.0
2003-07-24,16.45,16.7,16.35,16.5,9209500.0
2003-07-25,16.5,16.5,16.0,16.15,8037500.0
2003-07-28,16.15,16.45,16.05,16.2,4322000.0
2003-07-29,16.2,16.55,16.1,16.25,5717000.0
2003-07-30,16.25,16.7,16.3,16.45,11861500.0
2003-07-31,16.45,16.95,16.5,16.9,25668500.0
2003-08-01,16.9,17.3,16.9,17.0,26812500.0
2003-08-04,17.0,17.25,16.8,16.95,12254000.0
2003-08-05,16.95,17.15,16.55,16.65,9903000.0
2003-08-06,16.65,17.3,16.85,17.15,24065000.0
2003-08-07,17.15,18.55,17.5,18.05,68043500.0
2003-08-08,18.05,19.55,18.35,19.55,62982000.0
2003-08-11,19.55,21.0,19.8,19.95,54246000.0
2003-08-12,19.95,20.4,19.5,20.0,24370000.0
2003-08-13,20.0,20.7,19.0,19.3,44849000.0
2003-08-15,19.3,19.5,18.3,18.3,27381000.0
2003-08-18,18.3,18.8,17.5,18.8,21697500.0
2003-08-19,18.8,19.2,17.8,17.9,50407500.0
2003-08-20,17.9,18.65,17.7,18.5,31390500.0
2003-08-21,18.5,18.85,18.15,18.2,15620000.0
2003-08-22,18.2,18.35,17.8,17.95,9777500.0
2003-08-25,17.95,18.25,17.45,17.5,7484500.0
2003-08-26,17.5,17.65,16.95,17.1,8243500.0
2003-08-27,17.1,17.65,17.1,17.55,11770500.0
2003-08-28,17.55,17.95,17.65,17.8,12673000.0
2003-08-29,17.8,19.3,17.95,19.2,68854500.0
2003-09-01,19.2,19.45,18.6,18.95,17783000.0
2003-09-02,18.95,19.4,18.8,19.15,25719000.0
2003-09-03,19.15,19.2,18.65,18.8,11692000.0
2003-09-04,18.8,18.75,18.0,18.1,11318000.0
2003-09-05,18.1,18.25,17.9,18.05,7438500.0
2003-09-08,18.05,18.7,18.25,18.35,10531000.0
2003-09-09,18.35,18.45,18.1,18.25,4547000.0
2003-09-10,18.25,18.65,18.3,18.4,7298000.0
2003-09-11,18.4,19.2,18.4,18.75,24446000.0
2003-09-12,18.75,19.1,18.65,18.75,11694500.0
2003-09-15,18.75,18.95,18.35,18.5,3597000.0
2003-09-16,18.5,18.5,17.5,17.5,4618500.0
2003-09-17,17.5,18.15,16.65,17.35,17171500.0
2003-09-18,17.35,18.85,17.65,18.85,17539500.0
2003-09-19,18.85,19.75,18.45,19.35,75551500.0
2003-09-22,19.35,19.45,18.35,18.7,31259000.0
2003-09-23,18.7,18.7,17.7,17.9,31915500.0
2003-09-24,17.9,18.5,16.95,17.9,33482500.0
2003-09-25,17.9,18.75,17.75,18.7,34723500.0
2003-09-26,18.7,18.95,17.7,17.75,20959500.0
2003-09-29,17.75,17.6,16.75,16.75,5377000.0
2003-09-30,16.75,17.0,15.95,16.7,12818000.0
2003-10-01,16.7,17.0,16.35,16.5,6266000.0
2003-10-02,16.5,18.0,16.35,18.0,25552500.0
2003-10-03,18.0,18.3,17.35,17.6,15432500.0
2003-10-06,17.6,17.95,17.5,17.5,9420000.0
2003-10-07,17.5,17.65,17.0,17.15,5476000.0
2003-10-08,17.15,17.8,17.0,17.35,13969000.0
2003-10-09,17.35,17.55,16.6,17.0,7071500.0
2003-10-10,17.0,17.1,16.6,16.9,4356500.0
2003-10-13,16.9,17.1,16.55,16.55,1770000.0
2003-10-14,16.55,16.4,15.55,15.7,7850500.0
2003-10-15,15.7,16.4,15.5,16.35,18078000.0
2003-10-16,16.35,16.6,16.0,16.0,6511500.0
2003-10-17,16.0,16.35,15.4,15.45,8041500.0
2003-10-20,15.45,16.95,15.5,16.95,21450000.0
2003-10-21,16.95,18.1,17.25,17.45,15077000.0
2003-10-22,17.45,17.6,16.45,16.45,23959500.0
2003-10-23,16.45,16.55,15.6,15.8,10155500.0
2003-10-24,15.8,16.55,15.4,16.5,9953000.0
2003-10-27,16.5,17.75,16.25,17.0,25614000.0
2003-10-28,17.0,17.2,16.25,16.4,8386000.0
2003-10-29,16.4,17.25,16.4,16.8,19359000.0
2003-10-30,16.8,17.35,16.25,16.6,11910000.0
2003-10-31,16.6,16.9,16.45,16.5,2488000.0
2003-11-03,16.5,17.0,16.4,16.8,2565500.0
2003-11-04,16.8,18.1,16.95,17.9,37293500.0
2003-11-05,17.9,18.05,16.9,16.9,17306500.0
2003-11-06,16.9,17.5,16.5,17.5,14764000.0
2003-11-07,17.5,17.9,17.55,17.7,11083500.0
2003-11-10,17.7,17.95,17.45,17.7,5541000.0
2003-11-11,17.7,18.15,17.6,18.0,10944500.0
2003-11-12,18.0,19.35,17.95,19.1,36501000.0
2003-11-13,19.1,19.4,18.2,18.35,40917000.0
2003-11-14,18.35,18.55,18.0,18.25,6824500.0
2003-11-17,18.25,19.3,18.4,18.95,31467000.0
2003-11-18,18.95,18.95,18.5,18.55,7715500.0
2003-11-19,18.55,18.75,18.15,18.35,7966000.0
2003-11-20,18.35,18.6,18.4,18.6,2617000.0
2003-11-21,18.6,19.1,18.55,18.9,12344000.0
2003-11-24,18.9,19.6,19.05,19.5,23900000.0
2003-11-25,19.5,20.3,19.2,20.2,57794500.0
2003-12-01,20.2,21.4,20.35,21.4,67258500.0
2003-12-02,21.4,21.6,21.0,21.4,44230000.0
2003-12-03,21.4,21.85,20.45,20.65,37504000.0
2003-12-04,20.65,20.9,20.1,20.4,18714500.0
2003-12-05,20.4,20.85,19.65,20.2,31776500.0
2003-12-08,20.2,21.35,20.45,20.85,56537000.0
2003-12-09,20.85,21.1,20.45,20.85,22875500.0
2003-12-10,20.85,21.3,20.8,20.85,35093000.0
2003-12-11,20.85,20.85,20.1,20.1,20191000.0
2003-12-12,20.1,20.15,19.55,19.85,13415000.0
2003-12-15,19.85,19.9,18.85,18.9,11599000.0
2003-12-16,18.9,18.85,18.25,18.55,4567000.0
2003-12-17,18.55,19.15,17.8,17.9,12386500.0
2003-12-18,17.9,18.15,17.55,17.9,9174500.0
2003-12-19,17.9,18.5,17.6,17.7,32626500.0
2003-12-22,17.7,17.95,16.9,17.05,27884000.0
2003-12-23,17.05,17.8,16.9,17.7,21767500.0
2003-12-24,17.7,18.25,17.85,18.1,21124000.0
2003-12-26,18.1,17.95,17.4,17.55,13117500.0
2003-12-29,17.55,18.1,17.7,17.8,6751500.0
2003-12-30,17.8,17.9,17.25,17.3,13322500.0
2003-12-31,17.3,17.9,17.4,17.6,3702000.0
2004-01-01,17.6,18.05,17.7,17.9,2236500.0
2004-01-02,17.9,17.95,17.65,17.8,1630000.0
2004-01-05,17.8,18.45,17.8,18.25,5473500.0
2004-01-06,18.25,18.5,18.05,18.3,2550000.0
2004-01-07,18.08,18.9,18.55,18.9,19423000.0
2004-01-08,18.9,18.85,18.55,18.7,7161500.0
2004-01-09,18.7,18.7,18.15,18.35,6088000.0
2004-01-12,18.35,18.5,18.25,18.25,2895500.0
2004-01-13,18.25,18.55,18.15,18.45,4754000.0
2004-01-14,18.45,18.8,18.4,18.55,7852500.0
2004-01-15,18.55,18.8,18.6,18.75,4141000.0
2004-01-16,18.75,19.1,18.8,18.85,11263500.0
2004-01-19,18.85,19.25,18.8,18.85,9451000.0
2004-01-20,18.85,19.35,18.8,19.3,24662000.0
2004-01-21,19.3,19.6,19.3,19.4,14795500.0
2004-01-22,19.4,20.35,19.4,20.2,60476000.0
2004-01-23,20.2,20.45,19.9,20.1,37954000.0
2004-01-26,20.1,20.2,19.45,19.5,12810500.0
2004-01-27,19.5,20.0,19.4,19.9,20529500.0
2004-01-28,19.9,20.4,20.0,20.25,24959500.0
2004-01-29,20.25,20.8,20.15,20.8,34348000.0
2004-01-30,20.8,20.9,20.6,20.7,12875000.0
2004-02-06,20.7,20.9,20.25,20.6,4515500.0
2004-02-09,20.6,20.7,19.85,19.9,5275000.0
2004-02-10,19.9,20.2,19.5,19.95,7215000.0
2004-02-11,19.95,20.5,20.0,20.3,26496000.0
2004-02-12,20.3,20.45,19.65,20.3,32154000.0
2004-02-13,20.3,20.7,20.15,20.6,20970500.0
2004-02-16,20.6,20.75,20.05,20.05,10585000.0
2004-02-17,20.05,20.25,19.9,20.0,6860500.0
2004-02-18,20.0,20.7,20.15,20.55,26122000.0
2004-02-19,20.55,20.6,20.25,20.35,7263000.0
2004-02-20,20.35,20.45,19.95,20.15,6193500.0
2004-02-23,20.15,20.25,19.45,19.45,9609000.0
2004-02-24,19.45,19.85,18.9,19.65,9796500.0
2004-02-25,19.65,19.85,19.45,19.65,4066000.0
2004-02-26,19.65,19.85,19.55,19.65,4679000.0
2004-02-27,19.65,20.0,19.45,19.95,12843500.0
2004-03-03,19.95,19.95,19.7,19.75,2380000.0
2004-03-04,19.75,20.2,19.75,20.15,13531500.0
2004-03-05,20.15,20.3,20.05,20.15,10419000.0
2004-03-08,20.15,20.25,19.7,19.75,9230500.0
2004-03-09,19.75,19.9,19.5,19.65,5965500.0
2004-03-10,19.65,19.65,19.45,19.6,2244000.0
2004-03-11,19.6,19.8,19.45,19.65,3131000.0
2004-03-12,19.65,20.0,19.7,19.9,5578500.0
2004-03-15,19.9,20.15,19.9,20.05,6212500.0
2004-03-16,20.05,20.35,20.05,20.35,13557000.0
2004-03-17,20.35,20.7,20.4,20.55,28467000.0
2004-03-18,20.55,20.7,20.3,20.35,8625500.0
2004-03-19,20.35,20.55,20.35,20.45,4096000.0
2004-03-22,20.45,20.9,20.4,20.9,21644000.0
2004-03-24,20.9,21.4,20.95,21.4,39108000.0
2004-03-25,21.4,21.9,21.35,21.8,37456500.0
2004-03-26,21.8,22.25,21.55,22.25,46996500.0
2004-03-29,22.25,22.4,21.6,21.9,22013500.0
2004-03-30,21.9,22.1,21.45,21.6,8889000.0
2004-03-31,21.6,21.7,21.3,21.5,6285000.0
2004-04-01,21.5,22.2,21.4,22.0,31380500.0
2004-04-02,22.0,22.4,21.9,22.35,28501500.0
2004-04-05,22.35,23.05,22.4,22.85,57065000.0
2004-04-06,22.85,23.1,22.4,22.7,33608500.0
2004-04-07,22.7,23.35,22.65,23.1,48548000.0
2004-04-08,23.1,23.6,23.25,23.55,35407000.0
2004-04-09,23.55,23.7,23.0,23.35,29789000.0
2004-04-12,23.35,23.9,23.5,23.65,30087500.0
2004-04-13,23.65,23.9,22.85,22.95,54604000.0
2004-04-14,22.95,23.0,21.95,22.15,20292000.0
2004-04-15,22.15,22.55,21.85,22.3,19588500.0
2004-04-16,22.3,22.8,22.05,22.1,20976500.0
2004-04-19,22.1,23.25,21.85,23.2,66744500.0
2004-04-20,23.2,23.4,22.05,22.4,35214000.0
2004-04-21,22.4,22.6,21.3,21.45,17122000.0
2004-04-22,21.45,22.25,20.8,22.25,24010000.0
2004-04-23,22.25,22.95,21.3,21.5,47505000.0
2004-04-26,21.5,21.9,21.0,21.8,12211500.0
2004-04-27,21.8,22.0,21.2,21.25,8534500.0
2004-04-28,21.25,21.5,20.2,20.75,10914500.0
2004-04-29,20.75,21.65,20.75,21.3,21125000.0
2004-04-30,21.3,21.8,21.3,21.5,13799500.0
2004-05-04,21.5,22.4,21.7,22.25,29708000.0
2004-05-05,22.25,22.55,21.7,21.95,20936000.0
2004-05-06,21.95,22.4,21.2,21.45,53947500.0
2004-05-07,21.45,21.7,21.15,21.6,17538500.0
2004-05-10,21.6,22.0,21.2,21.35,15919500.0
2004-05-11,21.35,21.3,20.9,20.95,7816000.0
2004-05-12,20.95,21.2,19.95,20.05,11522500.0
2004-05-13,20.05,20.5,19.7,20.2,17547500.0
2004-05-14,20.2,20.5,20.1,20.25,10630500.0
2004-05-17,20.25,20.35,19.65,19.75,8963500.0
2004-05-18,19.75,20.0,19.45,19.75,10047000.0
2004-05-19,19.75,20.5,19.9,20.45,23601500.0
2004-05-20,20.45,20.85,20.35,20.6,24165500.0
2004-05-21,20.6,20.9,20.45,20.6,20989500.0
2004-05-24,20.6,20.85,20.35,20.35,11037500.0
2004-05-25,20.35,20.45,19.85,20.1,11249000.0
2004-05-26,20.1,20.3,20.05,20.1,7201500.0
2004-05-27,20.1,20.1,19.85,19.9,4573500.0
2004-05-28,19.9,20.3,19.9,20.0,12697500.0
2004-05-31,20.0,20.0,19.7,19.9,3984500.0
2004-06-01,19.9,19.9,19.3,19.7,5485000.0
2004-06-02,19.7,20.2,19.8,19.8,13353000.0
2004-06-03,19.8,20.25,18.8,19.3,34897000.0
2004-06-04,19.3,20.2,19.1,20.15,20231000.0
