Date,Open,High,Low,Close,Volume
2016-06-22,84.0,84.89,81.07,81.07,57000.0
2016-06-23,79.1,81.9,79.0,81.19,91500.0
2016-06-24,82.5,82.5,77.2,77.89,59300.0
2016-06-27,78.0,81.78,78.0,81.42,141600.0
2016-06-28,82.88,82.88,80.0,80.29,37000.0
2016-06-29,81.0,81.98,80.5,80.58,19100.0
2016-07-18,92.04,92.04,86.01,86.36,204000.0
2016-07-19,86.0,86.74,84.0,84.41,54500.0
2016-07-20,82.9,83.4,82.01,82.57,38000.0
2016-07-21,82.0,83.79,82.0,82.44,60000.0
2016-07-22,81.52,86.56,81.15,86.22,157500.0
2016-07-25,85.31,89.89,83.01,85.13,189000.0
2016-07-26,82.51,86.0,81.35,81.98,115500.0
2016-07-27,83.8,85.48,82.0,82.37,153500.0
2016-07-28,83.5,83.5,81.5,81.61,42000.0
2016-07-29,80.26,81.0,79.85,80.05,43000.0
2016-08-01,81.25,81.75,80.61,81.0,22500.0
2016-08-02,81.15,85.05,81.0,85.05,217000.0
2016-08-03,86.0,89.0,85.99,86.93,270000.0
2016-08-04,86.5,87.1,85.0,85.02,14500.0
2016-08-05,84.25,84.25,83.0,83.2,8000.0
2016-08-08,82.66,87.0,82.5,84.82,46500.0
2016-08-09,86.0,86.0,84.13,84.4,22000.0
2016-08-10,84.52,84.55,83.4,84.2,18000.0
2016-08-11,84.99,86.9,83.5,83.95,75000.0
2016-08-12,81.15,84.5,81.15,83.34,19500.0
2016-08-15,84.0,84.0,82.55,83.53,14000.0
2016-08-16,83.5,85.0,83.5,84.01,21000.0
2016-08-17,83.0,84.5,82.2,82.31,43500.0
2016-08-18,83.49,83.49,80.1,81.05,24500.0
2016-08-19,81.11,82.35,80.0,81.06,18000.0
2016-08-22,80.5,82.3,80.5,81.0,17000.0
2016-08-23,80.25,82.5,80.15,81.0,17000.0
2016-08-24,81.0,81.0,80.0,80.67,16000.0
2016-08-25,81.7,81.7,81.0,81.0,10500.0
2016-08-26,80.55,81.0,80.0,80.11,15500.0
2016-08-29,81.0,83.65,81.0,81.37,54500.0
2016-08-30,81.05,81.49,80.0,80.09,20500.0
2016-08-31,80.95,81.89,80.15,80.38,15000.0
2016-09-01,80.15,80.5,80.02,80.18,17000.0
2016-09-02,80.1,80.1,79.3,79.88,20000.0
2016-09-05,80.25,80.5,78.11,79.77,45500.0
2016-09-06,79.11,79.8,78.0,78.19,13500.0
2016-09-07,79.99,80.0,78.01,79.24,54500.0
2016-09-08,78.61,78.99,77.5,77.6,26500.0
2016-09-09,78.0,78.97,77.25,78.23,15000.0
2016-09-15,76.55,77.51,76.55,77.02,17000.0
2016-09-16,75.1,80.0,75.06,79.33,68500.0
2016-09-19,79.25,79.25,77.77,78.39,9500.0
2016-09-20,79.95,79.95,77.1,78.02,31000.0
2016-09-21,78.0,78.0,74.12,74.12,121000.0
2016-09-22,74.0,74.9,71.12,72.84,177500.0
2016-09-23,72.5,72.5,71.1,71.25,22500.0
2016-09-26,71.0,72.0,70.0,70.41,71500.0
2016-09-27,70.0,70.0,69.0,69.16,16000.0
2016-09-28,69.5,69.7,68.0,68.04,24500.0
2016-09-29,68.95,69.39,67.0,67.28,10500.0
2016-09-30,67.3,70.63,67.17,70.26,32000.0
2016-10-03,72.45,73.77,71.5,73.77,220500.0
2016-10-04,75.5,77.45,74.5,77.45,108500.0
2016-10-05,78.1,80.0,76.0,76.68,124000.0
2016-10-06,75.55,78.0,75.25,75.87,39000.0
2016-10-07,74.5,75.0,72.81,73.09,28500.0
2016-10-10,72.5,72.5,72.5,72.5,500.0
2016-10-13,72.1,74.6,72.0,73.49,28500.0
2016-10-14,72.6,72.6,69.82,70.06,80000.0
2016-10-17,70.7,71.4,70.0,70.04,24000.0
2016-10-18,70.98,70.98,68.5,69.5,18000.0
2016-10-19,68.11,68.99,68.0,68.4,24000.0
2016-10-20,70.0,71.2,68.95,69.01,50500.0
2016-10-21,68.61,69.99,67.0,67.25,18500.0
2016-10-24,66.0,66.0,64.3,64.48,30000.0
2016-10-25,63.97,63.97,62.0,62.46,36000.0
2016-10-26,63.0,63.0,61.36,61.56,31500.0
2016-10-27,61.4,62.2,58.49,58.58,65500.0
2016-10-28,56.0,57.5,55.66,56.69,51500.0
2016-10-31,56.51,57.5,56.0,56.13,28500.0
2016-11-01,57.0,58.93,57.0,58.93,35000.0
2016-11-02,61.0,61.87,60.68,61.87,33000.0
2016-11-03,64.96,64.96,61.05,61.33,80000.0
2016-11-04,61.0,61.0,59.82,59.98,16500.0
2016-11-07,60.0,60.96,59.6,59.72,18000.0
2016-11-08,60.0,62.25,59.61,59.89,65500.0
2016-11-09,59.9,60.29,58.75,60.0,18000.0
2016-11-10,60.9,62.01,60.0,60.05,34000.0
2016-11-11,60.6,61.0,59.63,59.69,21500.0
2016-11-14,59.21,61.44,59.21,60.45,15000.0
2016-11-15,59.53,59.61,59.0,59.02,11500.0
2016-11-16,59.39,59.4,59.0,59.04,46000.0
2016-11-17,58.25,59.9,58.25,59.4,23500.0
2016-11-18,59.49,59.49,58.15,58.61,5000.0
2016-11-21,58.5,61.54,58.0,61.54,117000.0
2016-11-22,64.61,64.61,63.0,64.61,83500.0
2016-11-23,67.1,67.84,64.55,67.84,131500.0
2016-11-24,71.23,71.23,71.23,71.23,141500.0
2016-11-25,74.79,74.79,72.0,73.26,393500.0
2016-11-28,71.51,74.51,69.6,69.71,94000.0
2016-11-29,70.0,70.98,66.25,66.94,108500.0
2016-11-30,66.65,66.65,65.0,65.06,14500.0
2016-12-01,66.95,68.31,66.7,68.31,82500.0
2016-12-02,70.79,70.79,68.3,68.91,65000.0
2016-12-05,69.0,69.0,67.01,67.32,35500.0
2016-12-06,69.5,70.5,68.0,69.12,85500.0
2016-12-07,69.0,69.65,67.01,67.71,83000.0
2016-12-08,68.99,71.09,68.99,70.53,296000.0
2016-12-09,72.0,73.45,69.51,69.72,115000.0
2016-12-13,70.5,70.5,69.0,69.26,39500.0
2016-12-14,68.6,68.95,67.69,67.87,48500.0
2016-12-15,67.25,68.79,67.25,68.61,18000.0
2016-12-16,68.01,72.04,68.0,72.04,396500.0
2016-12-19,72.4,75.64,72.26,75.34,211000.0
2016-12-20,75.49,76.0,71.58,72.61,95500.0
2016-12-21,72.9,72.97,71.5,72.51,39500.0
2016-12-22,69.82,71.99,69.81,71.53,20000.0
2016-12-23,72.98,72.98,71.12,71.15,6000.0
2016-12-26,72.5,72.5,70.0,70.08,34500.0
2016-12-27,70.01,71.78,69.32,69.82,102000.0
2016-12-28,70.0,71.19,69.05,69.25,53000.0
2016-12-29,69.55,69.6,69.0,69.02,37000.0
2016-12-30,70.0,71.59,69.0,69.2,68500.0
2017-01-02,69.39,69.95,68.75,69.5,42000.0
2017-01-03,69.0,72.5,68.0,70.29,186000.0
2017-01-04,71.75,71.5,69.21,70.05,88000.0
2017-01-05,69.15,72.22,69.15,71.01,117000.0
2017-01-06,70.5,71.49,69.65,69.75,121000.0
2017-01-09,69.8,71.99,69.8,70.79,142500.0
2017-01-10,70.1,74.32,70.0,72.52,643500.0
2017-01-11,72.99,73.98,72.0,72.43,440000.0
2017-01-12,72.5,76.05,71.9,76.05,336000.0
2017-01-13,79.85,79.85,79.85,79.85,93500.0
2017-01-16,83.84,83.84,80.25,83.8,846000.0
2017-01-17,87.99,87.99,87.99,87.99,110000.0
2017-01-18,92.38,92.38,92.38,92.38,110000.0
2017-01-19,94.49,96.99,88.11,96.99,190000.0
2017-01-20,101.83,101.83,98.0,101.83,269500.0
2017-01-23,106.9,106.9,98.1,98.1,89000.0
2017-01-24,94.25,103.0,94.25,103.0,171000.0
2017-01-25,106.25,108.15,104.0,108.14,183000.0
2017-01-26,111.44,112.25,110.0,111.21,125500.0
2017-01-27,112.0,116.77,108.25,112.75,178000.0
2017-01-30,111.0,112.25,107.2,107.21,11000.0
2017-01-31,104.75,112.57,104.75,112.08,63000.0
2017-02-01,114.99,117.68,114.99,117.68,200500.0
2017-02-02,123.0,123.56,116.06,116.35,186500.0
2017-02-03,113.0,115.0,112.1,112.95,41500.0
2017-02-06,111.66,114.61,110.8,111.27,18000.0
2017-02-07,115.0,115.0,110.51,111.91,13000.0
2017-02-08,111.99,112.5,111.2,111.27,20000.0
2017-02-09,110.0,111.0,107.0,107.67,39500.0
2017-02-10,103.61,107.5,102.29,102.89,92000.0
2017-02-13,104.25,108.03,104.25,108.03,125500.0
2017-02-14,105.0,111.84,102.9,103.27,46500.0
2017-02-15,106.85,108.43,104.9,108.43,236000.0
2017-02-16,111.0,113.85,110.0,113.85,160000.0
2017-02-17,108.52,111.25,108.52,110.52,58000.0
2017-02-20,114.5,114.5,107.05,107.34,24000.0
2017-02-21,104.11,105.3,104.07,105.25,7000.0
2017-02-22,107.04,107.04,104.56,104.56,7000.0
2017-02-23,104.4,109.78,104.4,109.75,55500.0
2017-02-24,107.01,107.7,106.0,106.0,9000.0
2017-02-27,103.2,104.0,103.1,103.1,6000.0
2017-02-28,100.15,104.0,100.11,103.5,2500.0
2017-03-01,105.95,105.95,103.61,104.08,4000.0
2017-03-02,106.97,109.27,106.97,109.0,10000.0
2017-03-03,113.87,114.45,111.0,113.83,59000.0
2017-03-06,119.5,119.52,111.0,113.17,21000.0
2017-03-07,108.51,110.9,108.06,109.39,7000.0
2017-03-08,114.49,114.49,108.49,113.0,17500.0
2017-03-09,114.9,114.9,108.55,110.6,24500.0
2017-03-10,107.02,107.02,105.07,105.07,73000.0
2017-03-13,100.1,104.8,99.9,102.3,12000.0
2017-03-14,98.75,103.49,98.75,103.49,2000.0
2017-03-15,101.0,104.0,101.0,104.0,1000.0
2017-03-17,103.0,105.0,102.0,105.0,5000.0
2017-03-20,101.16,102.14,101.0,102.14,19500.0
2017-03-21,98.01,103.0,98.01,103.0,12000.0
2017-03-22,107.99,107.99,102.25,104.93,6500.0
2017-03-24,106.0,109.7,106.0,106.36,32500.0
2017-03-27,106.49,108.85,103.65,106.85,35500.0
2017-03-28,109.95,109.95,106.0,107.04,102500.0
2017-03-29,106.0,106.25,104.0,104.0,41000.0
2017-03-30,101.1,101.1,101.0,101.0,11500.0
2017-03-31,100.05,104.95,100.0,102.61,7500.0
2017-04-03,101.0,102.39,99.0,99.25,30500.0
2017-04-04,98.5,98.5,98.0,98.09,3500.0
2017-04-05,100.0,100.0,94.99,95.0,23500.0
2017-04-06,93.4,95.5,93.0,94.92,5500.0
2017-04-07,94.92,95.0,94.92,94.98,11500.0
2017-04-10,96.0,96.0,92.5,94.25,6000.0
2017-04-11,92.0,98.96,92.0,98.64,13000.0
2017-04-12,98.4,99.0,98.4,99.0,3000.0
2017-04-13,97.75,97.75,94.06,94.14,6000.0
2017-04-14,90.5,92.0,89.44,89.96,52500.0
2017-04-17,87.5,87.5,86.2,87.0,2000.0
2017-04-19,89.0,91.35,89.0,91.35,3000.0
2017-04-20,86.79,93.0,86.79,91.33,19000.0
2017-04-21,93.5,95.89,93.5,93.78,75000.0
2017-04-24,90.0,91.0,89.35,89.85,134000.0
2017-04-25,88.3,88.35,87.5,88.01,18000.0
2017-04-26,88.0,88.0,88.0,88.0,4000.0
2017-04-27,88.01,88.01,86.54,86.54,1500.0
2017-04-28,87.0,89.99,84.5,87.0,55000.0
2017-05-02,88.25,88.25,83.84,84.83,13000.0
2017-05-03,83.0,83.02,80.59,80.66,24000.0
2017-05-04,82.9,82.9,80.0,80.44,44000.0
2017-05-05,81.0,83.0,80.0,81.93,13000.0
2017-05-08,83.9,83.95,82.25,82.84,5500.0
2017-05-09,82.55,83.0,82.55,83.0,3500.0
2017-05-10,84.45,84.45,81.1,81.33,2500.0
2017-05-11,81.99,82.0,81.26,81.26,4000.0
2017-05-12,83.75,83.75,80.0,80.0,6000.0
2017-05-15,80.0,81.0,79.0,79.0,11500.0
2017-05-16,78.1,78.1,75.05,75.19,86500.0
2017-05-17,75.79,76.87,75.0,76.08,21000.0
2017-05-18,75.79,75.79,75.0,75.79,11500.0
2017-05-19,75.0,75.0,74.8,74.81,7000.0
2017-05-22,75.0,75.97,75.0,75.11,7500.0
2017-05-23,75.75,76.0,75.0,75.17,10500.0
2017-05-24,74.53,77.75,74.53,75.26,24000.0
2017-05-25,75.56,75.56,75.0,75.01,7000.0
2017-05-26,73.51,75.0,73.51,74.49,12500.0
2017-05-29,73.0,73.0,73.0,73.0,1000.0
2017-05-30,73.0,73.99,72.02,72.8,15000.0
2017-05-31,72.11,72.7,71.01,71.85,6500.0
2017-06-01,72.0,72.99,68.26,70.31,8500.0
2017-06-02,66.8,70.0,66.8,69.36,9500.0
2017-06-06,72.35,72.82,72.35,72.73,7500.0
2017-06-07,75.0,76.34,75.0,75.19,15000.0
2017-06-08,75.75,77.0,72.0,72.13,14000.0
2017-06-09,73.1,73.1,73.1,73.1,1500.0
2017-06-12,70.3,70.3,69.45,69.64,12500.0
2017-06-13,68.0,68.0,68.0,68.0,1000.0
2017-06-14,68.0,70.49,68.0,70.19,3000.0
2017-06-15,72.48,72.48,69.0,69.0,6500.0
2017-06-19,67.15,67.15,66.11,66.11,3000.0
2017-06-20,64.0,64.3,63.65,63.65,4500.0
2017-06-21,60.51,63.4,60.47,60.49,94000.0
2017-06-22,60.0,63.51,59.0,60.4,87000.0
2017-06-30,61.49,61.49,61.49,61.49,500.0
2017-07-03,61.0,61.0,58.42,58.46,9500.0
2017-07-04,59.99,61.0,59.99,60.6,11500.0
2017-07-05,62.24,63.0,62.24,63.0,11500.0
2017-07-06,62.9,62.9,61.9,61.9,3500.0
2017-07-07,64.49,64.49,64.49,64.49,500.0
2017-07-10,62.06,63.5,61.27,63.5,17000.0
2017-07-11,60.51,60.51,60.33,60.33,5000.0
2017-07-12,59.25,59.25,57.32,57.4,10500.0
2017-07-13,55.01,56.51,54.53,56.23,20000.0
2017-07-14,56.75,56.99,56.75,56.99,2000.0
2017-07-17,57.9,58.0,57.9,58.0,1500.0
2017-07-18,59.5,60.9,59.5,60.9,4500.0
2017-07-19,63.9,63.94,63.0,63.5,12500.0
2017-07-20,65.0,65.99,63.0,63.51,18000.0
2017-07-21,64.01,65.2,63.6,65.2,2000.0
2017-07-24,68.44,68.44,64.0,64.0,1000.0
2017-07-25,64.45,64.45,63.0,63.0,4500.0
2017-07-26,66.15,66.15,66.15,66.15,2000.0
2017-07-27,69.45,69.45,69.45,69.45,1500.0
2017-07-28,72.92,72.92,72.92,72.92,127500.0
2017-07-31,76.56,76.56,73.9,75.82,799500.0
2017-08-01,75.4,79.3,74.11,75.0,892500.0
2017-08-02,75.0,75.78,73.26,74.7,222500.0
2017-08-03,73.2,74.39,70.97,70.97,461000.0
2017-08-04,67.43,71.0,67.43,70.02,681500.0
2017-08-07,70.0,72.0,66.52,66.57,625000.0
2017-08-08,65.9,67.7,63.25,65.79,905000.0
2017-08-09,65.01,65.8,64.0,65.35,105000.0
2017-08-10,65.02,65.49,63.0,63.25,117000.0
2017-08-11,63.0,64.5,62.99,63.93,54500.0
2017-08-15,63.9,64.72,60.74,61.03,228000.0
2017-08-16,61.95,64.08,60.03,63.66,164500.0
2017-08-17,63.5,64.9,62.05,63.36,69500.0
2017-08-18,63.0,63.97,61.0,63.02,89000.0
2017-08-21,63.01,63.01,59.89,60.38,190500.0
2017-08-22,58.0,62.5,57.37,59.98,110500.0
2017-08-23,60.1,61.0,57.01,59.1,188000.0
2017-08-24,59.8,59.8,56.15,56.15,62000.0
2017-08-25,54.0,58.48,53.35,57.98,993000.0
2017-08-28,59.0,60.0,58.0,59.46,161000.0
2017-08-29,59.11,59.11,56.49,56.49,121500.0
2017-08-30,56.9,57.45,54.5,54.75,73500.0
2017-08-31,55.0,55.95,54.5,55.56,16500.0
2017-09-05,56.5,57.0,55.5,55.57,29000.0
2017-09-06,55.0,56.5,54.5,55.02,38500.0
2017-09-07,54.6,54.6,53.21,53.93,29500.0
2017-09-08,54.1,55.49,54.01,54.93,22500.0
2017-09-11,54.5,55.5,54.12,54.5,14000.0
2017-09-12,54.0,54.25,53.25,54.1,11500.0
2017-09-13,54.99,55.6,54.3,55.48,16500.0
2017-09-14,55.75,56.0,55.0,55.93,22000.0
2017-09-15,56.5,56.9,54.81,54.91,27000.0
2017-09-18,55.6,57.65,55.6,57.65,38000.0
2017-09-19,60.53,60.53,59.6,60.43,133500.0
2017-09-20,23.74,23.74,23.74,23.74,4500.0
2017-09-21,24.92,24.92,24.56,24.92,203000.0
2017-09-22,25.49,26.16,24.7,26.16,721000.0
2017-09-25,26.5,26.8,24.86,24.88,227500.0
2017-09-26,24.51,24.52,23.72,23.82,113000.0
2017-09-27,23.5,23.5,22.8,22.9,31000.0
2017-09-28,22.5,23.33,22.48,23.0,33000.0
2017-09-29,22.65,23.29,22.61,23.27,35000.0
2017-10-02,22.77,23.45,22.3,22.31,46000.0
2017-10-03,22.1,22.5,21.2,21.34,68000.0
2017-10-04,21.85,21.85,20.28,20.37,69000.0
2017-10-05,20.0,20.0,19.36,19.36,72000.0
2017-10-06,19.0,19.75,18.4,18.74,249500.0
2017-10-09,18.54,19.2,18.32,18.35,197500.0
2017-10-10,18.11,18.5,17.51,18.24,76500.0
2017-10-11,18.7,19.24,18.5,18.63,274000.0
2017-10-12,18.79,18.79,17.63,17.65,75500.0
2017-10-13,17.97,17.97,16.65,16.66,146500.0
2017-10-16,16.65,17.5,16.06,16.56,138500.0
2017-10-17,16.6,17.0,16.06,16.2,252000.0
2017-10-18,15.71,15.9,15.2,15.2,144000.0
2017-10-19,15.62,15.62,14.66,15.29,133500.0
2017-10-20,15.03,16.14,15.03,15.99,207500.0
2017-10-23,16.25,16.25,15.3,15.4,49500.0
2017-10-24,14.7,15.6,14.6,14.9,142000.0
2017-10-25,15.0,15.9,15.0,15.9,356000.0
2017-10-26,16.1,16.79,16.1,16.63,305000.0
2017-10-27,16.35,16.4,15.63,16.07,324000.0
2017-10-30,15.42,15.99,15.26,15.7,37500.0
2017-10-31,15.25,15.59,15.25,15.48,1500.0
2017-11-01,15.68,15.85,15.25,15.48,106500.0
2017-11-02,15.3,15.3,14.55,14.59,35000.0
2017-11-03,14.4,15.0,14.4,14.93,59500.0
2017-11-06,14.8,14.8,14.5,14.63,4000.0
2017-11-07,14.31,14.31,14.0,14.08,31500.0
2017-11-08,13.81,14.34,13.81,14.22,10500.0
2017-11-09,14.5,15.13,14.35,14.87,34500.0
2017-11-10,14.4,14.64,14.4,14.62,2500.0
2017-11-13,14.4,14.5,14.4,14.46,20000.0
2017-11-14,14.5,15.4,14.5,15.13,41000.0
2017-11-15,15.15,15.3,15.0,15.15,14500.0
2017-11-16,15.15,15.25,14.85,15.0,11000.0
2017-11-17,14.76,14.76,14.5,14.54,13000.0
2017-11-20,14.99,15.2,14.85,14.94,26000.0
2017-11-21,15.19,15.8,15.15,15.5,188000.0
2017-11-22,15.7,16.0,15.26,15.39,122500.0
2017-11-23,15.4,15.4,14.85,14.89,70000.0
2017-11-24,15.3,15.3,15.0,15.14,1500.0
2017-11-27,15.0,15.0,14.85,15.0,27500.0
2017-11-28,14.75,15.0,14.75,14.91,24000.0
2017-11-29,14.76,15.0,14.76,14.93,21000.0
2017-11-30,14.76,14.81,14.17,14.67,178500.0
2017-12-04,14.51,14.56,14.41,14.55,82500.0
2017-12-05,15.0,15.3,14.55,14.96,48500.0
2017-12-06,15.0,15.5,15.0,15.18,56500.0
2017-12-07,14.9,14.9,14.4,14.6,73000.0
2017-12-08,14.5,15.08,14.5,14.95,35000.0
2017-12-11,14.57,14.6,13.96,14.1,82000.0
2017-12-12,13.41,13.5,13.1,13.26,128500.0
2017-12-13,13.4,13.68,13.35,13.6,25500.0
2017-12-14,13.9,13.9,12.8,13.01,27000.0
2017-12-15,13.0,13.2,13.0,13.01,14000.0
2017-12-18,13.49,13.5,13.0,13.0,13000.0
2017-12-19,12.9,12.99,12.14,12.59,29500.0
2017-12-20,13.0,13.1,12.78,12.9,81500.0
2017-12-21,12.6,12.99,12.6,12.87,19000.0
2017-12-22,13.0,13.6,13.0,13.24,60000.0
2017-12-26,13.1,13.5,13.0,13.2,13500.0
2017-12-27,13.2,13.8,13.2,13.65,28500.0
2017-12-28,13.5,14.25,13.5,14.02,61000.0
2017-12-29,14.0,14.0,13.4,13.53,23000.0
2018-01-01,13.26,13.5,13.0,13.4,40500.0
2018-01-02,13.18,13.75,13.18,13.56,63500.0
2018-01-03,13.97,14.0,13.55,13.93,43500.0
2018-01-04,13.94,14.36,13.94,14.13,84000.0
2018-01-05,14.5,14.6,14.25,14.25,126000.0
2018-01-08,14.11,14.59,14.11,14.28,57000.0
2018-01-09,14.3,14.3,14.0,14.1,50000.0
2018-01-10,13.3,14.6,13.3,14.47,42000.0
2018-01-11,14.5,14.51,14.21,14.3,94000.0
2018-01-12,14.8,15.24,14.5,14.61,500500.0
2018-01-15,14.4,14.4,13.9,14.0,100000.0
2018-01-16,14.1,15.0,14.1,14.49,267000.0
2018-01-17,14.5,15.49,14.5,15.45,446000.0
2018-01-18,16.0,16.45,15.8,16.45,992500.0
2018-01-19,16.8,17.45,16.8,17.45,761500.0
2018-01-22,18.45,18.45,17.85,18.45,678000.0
2018-01-23,19.2,19.45,18.5,19.45,486500.0
2018-01-24,20.0,20.45,19.8,20.45,1637000.0
2018-01-25,21.1,21.1,19.45,19.9,930500.0
2018-01-26,19.0,19.84,18.9,18.9,1388000.0
2018-01-29,17.9,17.9,17.9,17.9,13500.0
2018-01-30,18.19,18.9,18.0,18.82,1331500.0
2018-01-31,19.3,19.82,19.21,19.82,910000.0
2018-02-01,20.49,20.5,19.07,19.28,590500.0
2018-02-02,19.2,20.28,19.2,20.07,1060500.0
2018-02-06,19.61,20.74,19.16,20.57,548500.0
2018-02-07,21.2,21.59,20.9,21.59,562500.0
2018-02-08,22.66,22.66,22.15,22.66,2133000.0
