Date,Open,High,Low,Close,Volume
2001-01-01,8.75,8.3,8.0,8.25,23500.0
2001-01-02,8.25,8.75,8.3,8.4,70000.0
2001-01-03,8.4,8.6,8.25,8.6,45500.0
2001-01-04,8.6,8.5,8.25,8.45,14500.0
2001-01-05,8.45,8.5,8.3,8.45,48000.0
2001-01-08,8.45,8.55,8.45,8.45,9000.0
2001-01-09,8.45,8.15,7.8,8.15,53000.0
2001-01-10,8.15,8.25,7.75,8.15,68500.0
2001-01-11,8.15,8.25,7.75,8.1,72000.0
2001-01-12,8.1,8.05,7.8,7.9,38500.0
2001-01-15,7.9,8.05,8.05,8.05,10000.0
2001-01-16,8.05,8.05,7.95,8.0,36000.0
2001-01-17,8.0,8.25,8.0,8.25,17500.0
2001-01-18,8.25,8.5,8.0,8.4,61500.0
2001-01-19,8.4,8.25,8.05,8.05,17500.0
2001-01-22,8.05,8.5,8.1,8.35,63500.0
2001-01-23,8.35,8.5,8.4,8.5,34500.0
2001-01-24,8.5,8.35,8.15,8.15,26000.0
2001-01-25,8.15,8.5,8.15,8.3,47000.0
2001-01-26,8.3,8.5,8.25,8.45,36500.0
2001-01-29,8.45,8.75,8.15,8.45,40500.0
2001-01-30,8.45,9.05,8.1,9.05,278500.0
2001-01-31,9.05,9.4,8.5,9.35,214000.0
2001-02-01,9.35,9.5,9.2,9.2,76000.0
2001-02-02,9.2,9.3,9.2,9.2,46000.0
2001-02-06,9.2,9.35,8.65,9.25,60000.0
2001-02-07,9.25,10.4,9.2,10.0,402000.0
2001-02-08,10.0,10.4,9.35,10.0,353000.0
2001-02-09,10.0,10.55,10.0,10.25,350000.0
2001-02-12,10.25,10.5,10.15,10.2,321500.0
2001-02-13,10.2,10.35,10.05,10.2,227000.0
2001-02-14,10.2,10.25,10.1,10.15,164000.0
2001-02-15,10.15,10.3,10.1,10.2,117000.0
2001-02-16,10.2,10.4,10.1,10.15,172500.0
2001-02-19,10.15,10.4,10.0,10.0,49500.0
2001-02-20,10.0,10.05,9.85,9.85,43000.0
2001-02-21,9.85,10.0,9.15,9.6,58500.0
2001-02-22,9.6,9.85,9.3,9.6,43500.0
2001-02-23,9.6,9.55,9.0,9.0,66500.0
2001-02-26,9.0,9.1,8.65,8.8,30000.0
2001-02-27,8.8,9.0,8.65,9.0,23000.0
2001-02-28,9.0,8.85,8.8,8.8,16000.0
2001-03-01,8.8,8.75,8.4,8.45,42500.0
2001-03-02,8.45,8.9,8.35,8.35,38000.0
2001-03-09,8.35,8.5,8.25,8.25,25000.0
2001-03-12,8.25,8.1,8.05,8.05,3000.0
2001-03-13,8.05,8.35,8.15,8.35,24000.0
2001-03-14,8.35,8.25,8.25,8.25,6000.0
2001-03-15,8.25,8.3,8.25,8.3,5000.0
2001-03-16,8.3,8.25,8.25,8.25,500.0
2001-03-19,8.25,8.15,8.15,8.15,500.0
2001-03-20,8.15,8.3,8.25,8.25,4000.0
2001-03-21,8.25,8.25,8.25,8.25,500.0
2001-03-22,8.25,8.25,8.05,8.05,6000.0
2001-03-26,8.05,8.1,8.1,8.1,5000.0
2001-03-27,8.1,8.5,8.1,8.5,10500.0
2001-03-29,8.5,8.2,8.2,8.2,500.0
2001-03-30,8.2,8.05,7.9,7.9,22000.0
2001-04-02,7.9,8.1,8.0,8.0,12000.0
2001-04-03,8.0,8.15,8.15,8.15,1000.0
