Date,Open,High,Low,Close,Volume
2001-01-01,73.5,72.5,72.0,72.0,1500.0
2001-01-02,72.0,76.0,75.95,75.95,2000.0
2001-01-03,75.95,93.0,78.0,79.5,10500.0
2001-01-04,79.5,81.0,81.0,81.0,500.0
2001-01-05,81.0,80.0,80.0,80.0,500.0
2001-01-08,80.0,82.0,82.0,82.0,500.0
2001-01-09,82.0,80.0,80.0,80.0,500.0
2001-01-10,80.0,90.0,85.0,90.0,1000.0
2001-01-11,90.0,79.0,79.0,79.0,500.0
2001-01-12,79.0,78.0,78.0,78.0,500.0
2001-01-16,78.0,78.0,78.0,78.0,1000.0
2001-01-17,78.0,77.75,75.0,77.75,1500.0
2001-01-23,77.75,77.5,75.5,77.5,2000.0
2001-01-25,77.5,75.0,75.0,75.0,500.0
2001-01-29,75.0,71.0,71.0,71.0,1000.0
2001-01-30,71.0,75.5,75.5,75.5,1000.0
2001-01-31,75.5,76.0,75.0,75.0,1500.0
2001-02-01,75.0,83.9,75.0,77.6,4000.0
2001-02-02,77.6,77.6,77.6,77.6,0.0
2001-02-06,77.6,83.0,79.0,80.0,5500.0
2001-02-07,80.0,87.0,82.5,82.5,3500.0
2001-02-08,82.5,90.0,82.0,82.0,5000.0
2001-02-09,82.0,83.0,81.25,83.0,3000.0
2001-02-13,83.0,83.0,83.0,83.0,1000.0
2001-02-19,83.0,76.0,76.0,76.0,500.0
2001-02-20,76.0,75.0,75.0,75.0,500.0
2001-02-21,75.0,79.0,75.0,79.0,2500.0
2001-02-27,79.0,85.0,79.8,85.0,5500.0
2001-02-28,85.0,90.0,83.0,85.0,15000.0
2001-03-01,85.0,85.0,85.0,85.0,1000.0
2001-03-02,85.0,83.0,82.0,82.0,2500.0
2001-03-09,82.0,82.0,82.0,82.0,0.0
2001-03-12,82.0,78.05,78.05,78.05,500.0
2001-03-13,78.05,84.0,80.0,84.0,2000.0
2001-03-20,84.0,91.0,91.0,91.0,500.0
2001-03-22,91.0,86.0,82.0,82.0,3000.0
2001-03-26,63.5,63.5,63.5,63.5,0.0
2001-03-29,63.5,63.5,63.5,63.5,500.0
2001-04-02,63.5,63.0,63.0,63.0,1000.0
2001-04-11,63.0,70.0,70.0,70.0,1500.0
2001-04-16,70.0,65.0,65.0,65.0,500.0
2001-04-19,65.0,72.5,69.0,70.0,2500.0
2001-04-20,70.0,66.0,66.0,66.0,500.0
2001-04-25,66.0,73.0,70.0,73.0,3000.0
2001-04-26,73.0,84.0,84.0,84.0,500.0
2001-04-27,84.0,84.0,84.0,84.0,500.0
2001-04-30,84.0,75.0,75.0,75.0,1500.0
2001-05-03,75.0,75.0,75.0,75.0,1500.0
2001-05-07,75.0,76.0,76.0,76.0,2000.0
2001-05-08,76.0,76.0,74.0,74.0,1000.0
2001-05-10,74.0,89.9,75.0,83.0,5500.0
2001-05-11,83.0,89.0,83.0,89.0,5000.0
2001-05-14,89.0,102.0,95.0,97.0,7000.0
2001-05-15,97.0,100.5,97.0,97.75,20000.0
2001-05-16,97.75,98.0,95.0,95.0,6500.0
2001-05-17,95.0,92.55,92.0,92.0,2000.0
2001-05-18,92.0,115.0,90.0,115.0,44000.0
2001-05-21,115.0,121.0,106.0,115.6,11000.0
2001-05-22,115.6,114.9,113.0,114.0,6000.0
2001-05-23,114.0,110.5,104.25,105.0,3000.0
2001-05-24,105.0,105.0,101.5,104.0,4500.0
2001-05-25,104.0,119.0,101.1,118.0,17500.0
2001-05-28,118.0,108.0,105.0,108.0,5500.0
2001-05-29,108.0,108.25,104.0,104.0,4000.0
2001-05-30,104.0,105.0,100.0,105.0,13500.0
2001-05-31,105.0,104.5,102.0,102.05,2000.0
2001-06-01,102.05,110.0,90.0,100.0,64000.0
2001-06-04,100.0,96.0,91.0,92.0,5000.0
2001-06-06,92.0,91.0,90.5,91.0,1000.0
2001-06-07,91.0,93.5,92.0,93.5,2500.0
2001-06-08,93.5,93.0,88.0,91.0,5500.0
2001-06-12,91.0,92.0,91.0,92.0,1000.0
2001-06-13,92.0,108.9,92.5,108.9,2000.0
2001-06-14,108.9,95.25,95.1,95.25,1000.0
2001-06-15,95.25,110.0,99.9,110.0,8000.0
2001-06-18,110.0,103.0,101.0,101.0,4500.0
2001-06-19,101.0,98.0,94.0,98.0,3000.0
2001-06-21,98.0,97.0,97.0,97.0,500.0
2001-06-22,97.0,98.0,94.0,98.0,20500.0
2001-06-28,98.0,95.0,95.0,95.0,1000.0
2001-06-29,95.0,100.0,95.0,95.05,209500.0
2001-07-03,95.05,94.0,94.0,94.0,1500.0
2001-07-06,94.0,94.0,90.0,94.0,1500.0
2001-07-13,94.0,108.0,95.0,108.0,5000.0
2001-07-17,108.0,108.0,108.0,108.0,500.0
2001-07-18,108.0,95.0,95.0,95.0,500.0
2001-07-19,95.0,99.0,96.0,96.0,6500.0
2001-07-20,96.0,106.0,90.1,90.1,9000.0
2001-07-23,90.1,98.0,98.0,98.0,500.0
2001-07-25,98.0,102.0,102.0,102.0,500.0
2001-07-27,102.0,102.0,102.0,102.0,2000.0
