Date,Open,High,Low,Close,Volume
2001-01-22,13.5,13.5,13.5,13.5,5000.0
2001-01-23,13.5,13.55,13.5,13.5,15000.0
2001-01-24,13.5,14.5,14.5,14.5,1000.0
2001-01-25,14.5,13.55,13.5,13.5,7000.0
2001-01-26,13.5,13.5,13.5,13.5,2000.0
2001-02-22,13.5,13.5,13.5,13.5,5000.0
2001-02-27,13.5,13.0,13.0,13.0,500.0
2001-02-28,13.0,13.0,13.0,13.0,3500.0
2001-03-01,13.0,12.0,12.0,12.0,2000.0
2001-03-02,12.0,12.0,12.0,12.0,500.0
2001-03-16,12.0,12.0,12.0,12.0,0.0
2001-03-29,10.75,10.75,10.75,10.75,0.0
2001-05-09,10.75,10.75,10.75,10.75,0.0
2001-05-29,10.75,12.0,12.0,12.0,1000.0
2001-05-30,12.0,12.0,12.0,12.0,2500.0
2001-06-01,12.0,12.05,12.05,12.05,500.0
2001-06-18,12.05,12.05,12.05,12.05,0.0
2001-07-03,12.05,12.05,12.05,12.05,0.0
2001-07-17,12.05,12.0,12.0,12.0,1000.0
2001-07-24,12.0,12.0,12.0,12.0,0.0
2001-10-10,12.0,12.0,12.0,12.0,1000.0
2001-10-18,12.0,12.0,12.0,12.0,500.0
2002-01-22,12.0,12.0,12.0,12.0,1000.0
2002-02-21,12.0,12.0,12.0,12.0,1000.0
2002-03-27,11.25,11.25,11.25,11.25,0.0
2002-07-19,11.25,12.0,12.0,12.0,1000.0
2002-10-04,12.0,12.0,12.0,12.0,1000.0
2002-10-07,12.0,12.0,12.0,12.0,500.0
2002-11-04,12.0,11.0,11.0,11.0,500.0
2002-12-13,11.0,11.0,11.0,11.0,2000.0
2002-12-16,11.0,12.0,12.0,12.0,500.0
2002-12-27,12.0,13.0,12.5,12.5,2500.0
2002-12-31,12.5,13.5,13.5,13.5,0.0
2003-01-02,13.5,13.0,13.0,13.0,500.0
2003-01-28,12.5,12.5,12.5,12.5,0.0
2003-03-31,12.5,12.6,12.6,12.6,0.0
2003-04-08,12.6,12.75,12.75,12.75,0.0
2003-05-13,12.75,13.25,13.25,13.25,0.0
2003-06-13,13.25,13.5,13.5,13.5,0.0
2004-05-25,13.0,14.5,14.5,14.5,500.0
2004-05-27,14.5,15.0,15.0,15.0,0.0
2004-08-13,15.0,14.0,14.0,14.0,1000.0
2004-09-03,14.0,14.0,14.0,14.0,500.0
2004-09-27,14.0,15.0,15.0,15.0,500.0
2004-12-01,15.0,15.0,15.0,15.0,2000.0
2004-12-20,15.0,16.5,16.5,16.5,500.0
2004-12-22,16.5,18.0,18.0,18.0,500.0
2004-12-23,18.0,19.5,17.0,19.5,1500.0
2004-12-27,19.5,19.5,19.5,19.5,500.0
2005-10-18,19.0,18.0,18.0,18.0,0.0
2005-11-24,18.0,17.5,17.5,17.5,500.0
2005-12-01,16.79,16.75,16.75,16.75,0.0
2005-12-27,16.75,16.7,16.7,16.7,0.0
2005-12-28,16.7,16.75,16.75,16.75,500.0
2006-01-04,16.75,16.5,16.5,16.5,0.0
2006-01-05,16.5,16.5,16.5,16.5,500.0
2006-01-09,16.5,15.5,15.5,15.5,500.0
2006-02-03,15.5,15.5,15.5,15.5,500.0
2006-02-06,15.5,15.0,14.5,14.5,2500.0
2006-02-15,14.5,14.0,14.0,14.0,500.0
2006-02-22,14.0,13.5,13.5,13.5,0.0
2006-02-23,13.5,12.95,12.95,12.95,0.0
2006-02-27,12.95,12.9,12.9,12.9,0.0
2006-02-28,12.9,13.0,12.9,13.0,109500.0
2006-04-03,13.0,13.0,13.0,13.0,500.0
2006-04-18,13.0,12.0,12.0,12.0,500.0
2006-08-30,12.0,11.0,11.0,11.0,0.0
2006-09-22,11.0,10.0,10.0,10.0,500.0
2006-09-25,10.0,9.0,9.0,9.0,500.0
2006-09-26,9.0,8.0,8.0,8.0,500.0
2006-12-19,8.0,8.9,8.9,8.9,500.0
2007-05-28,8.9,8.0,8.0,8.0,1000.0
2007-05-30,8.0,7.1,7.0,7.0,2500.0
2007-06-08,7.0,7.0,7.0,7.0,500.0
2007-06-13,7.0,7.5,7.4,7.5,1500.0
2007-06-19,7.5,8.5,8.5,8.5,500.0
2007-07-25,8.5,9.0,9.0,9.0,2000.0
2007-11-12,9.0,8.5,8.5,8.5,0.0
2007-12-11,8.5,7.5,7.5,7.5,500.0
2008-01-07,7.5,7.0,7.0,7.0,0.0
2008-03-17,7.0,6.5,6.5,6.5,2500.0
2008-03-18,6.5,7.5,7.5,7.5,1000.0
2008-03-19,7.5,8.5,8.5,8.5,10000.0
2008-03-20,8.5,9.5,9.5,9.5,500.0
2008-03-24,9.5,10.5,9.55,10.5,2500.0
2008-03-25,10.5,11.0,9.5,9.5,16500.0
2008-03-27,9.5,8.5,8.5,8.5,500.0
2008-04-07,8.5,9.4,8.5,8.7,6000.0
2008-04-10,8.7,9.7,9.65,9.7,6500.0
2008-04-11,9.7,10.7,10.7,10.7,500.0
2008-04-15,10.7,11.7,11.7,11.7,7000.0
2008-04-16,11.7,12.7,12.7,12.7,4500.0
2008-04-17,12.7,13.5,12.5,12.95,8000.0
2008-04-18,12.95,12.95,12.0,12.0,1500.0
2008-04-21,12.0,11.5,11.0,11.5,2000.0
2008-04-22,11.5,12.0,10.6,11.0,2500.0
2008-04-23,11.0,11.0,11.0,11.0,500.0
2008-04-29,11.0,10.0,10.0,10.0,500.0
2008-05-05,10.0,10.0,10.0,10.0,500.0
2008-05-08,10.0,10.0,10.0,10.0,2000.0
2008-05-09,10.0,9.8,9.8,9.8,2000.0
2008-05-28,9.8,8.8,8.8,8.8,500.0
