Date,Open,High,Low,Close,Volume
2001-01-24,5.0,4.15,4.15,4.15,500.0
2001-01-29,4.15,4.2,4.2,4.2,500.0
2001-02-01,4.2,4.4,4.4,4.4,1000.0
2001-02-16,4.4,4.75,4.75,4.75,1000.0
2001-02-23,4.75,4.55,4.55,4.55,1000.0
2001-03-01,4.55,4.5,4.5,4.5,500.0
2001-03-02,4.5,4.55,4.55,4.55,1000.0
2001-03-13,4.55,4.5,4.5,4.5,500.0
2001-03-15,4.5,4.5,4.5,4.5,1500.0
2001-03-16,4.5,5.0,5.0,5.0,1000.0
2001-03-22,5.0,4.9,4.5,4.9,1000.0
2001-03-28,4.9,4.5,4.5,4.5,1000.0
2001-03-30,4.5,4.5,4.5,4.5,500.0
2001-04-03,4.5,4.5,4.5,4.5,1000.0
2001-04-11,4.5,5.5,5.2,5.5,4500.0
2001-04-12,5.5,5.5,5.5,5.5,1500.0
2001-05-03,5.5,5.0,5.0,5.0,1000.0
2001-05-08,5.0,5.1,5.0,5.1,2000.0
2001-05-09,5.1,5.1,5.0,5.0,1000.0
2001-05-10,5.0,5.0,4.65,5.0,5000.0
2001-05-11,5.0,5.0,5.0,5.0,1000.0
2001-05-14,5.0,5.0,5.0,5.0,1500.0
2001-05-15,5.0,5.0,4.8,4.8,2000.0
2001-05-17,4.8,5.0,5.0,5.0,1000.0
2001-05-23,5.0,4.95,4.95,4.95,1000.0
2001-05-29,4.95,5.1,5.05,5.1,5000.0
2001-06-07,5.1,5.0,5.0,5.0,500.0
2001-06-12,5.0,5.05,5.05,5.05,1000.0
2001-06-13,5.05,5.5,5.5,5.5,6500.0
2001-06-21,5.5,5.25,5.25,5.25,500.0
2001-06-22,5.25,5.15,5.15,5.15,500.0
2001-06-25,5.15,5.15,5.15,5.15,500.0
2001-06-27,5.15,5.2,5.2,5.2,1000.0
2001-06-28,5.2,5.2,5.2,5.2,1000.0
2001-07-03,5.2,5.2,5.2,5.2,20000.0
2001-07-13,5.2,5.2,5.2,5.2,1000.0
2001-07-20,5.2,5.0,5.0,5.0,500.0
2001-07-24,5.0,5.05,5.05,5.05,500.0
2001-08-01,5.05,5.25,5.05,5.25,6500.0
2001-08-16,5.25,5.25,5.25,5.25,500.0
2001-08-23,5.25,5.5,5.0,5.0,5500.0
2001-08-24,5.0,5.15,5.15,5.15,2000.0
2001-08-27,5.15,5.15,5.15,5.15,2000.0
2001-08-29,5.15,5.2,5.2,5.2,500.0
2001-08-31,5.2,5.85,5.1,5.1,2000.0
2001-09-11,5.1,5.45,5.45,5.45,1500.0
2001-09-12,5.45,5.3,5.3,5.3,500.0
2001-09-14,5.3,5.0,5.0,5.0,2500.0
2001-09-24,5.0,5.0,5.0,5.0,1000.0
2001-09-25,5.0,5.0,5.0,5.0,1000.0
2001-09-27,5.0,5.0,5.0,5.0,500.0
2001-09-28,5.0,5.25,5.0,5.05,2000.0
2001-10-01,5.05,5.5,5.5,5.5,1000.0
2001-10-04,5.5,5.25,5.25,5.25,500.0
2001-10-09,5.25,5.0,5.0,5.0,500.0
2001-10-18,5.0,5.5,5.0,5.5,60500.0
2001-10-29,5.5,5.5,5.5,5.5,7000.0
2001-11-02,5.5,5.3,5.3,5.3,500.0
2001-11-07,5.3,5.15,5.15,5.15,1500.0
2001-11-08,5.15,5.1,5.1,5.1,1000.0
2001-11-12,5.1,5.1,5.1,5.1,1500.0
2001-11-13,5.1,5.15,5.15,5.15,1000.0
2001-11-14,5.15,5.15,5.15,5.15,500.0
2001-11-16,5.15,5.5,5.5,5.5,3000.0
2001-11-19,5.5,5.3,5.3,5.3,1000.0
2001-11-28,5.3,5.5,5.3,5.45,7000.0
2001-12-01,5.45,5.5,5.4,5.5,8000.0
2001-12-04,5.5,5.7,5.7,5.7,4000.0
2001-12-05,5.7,5.9,5.7,5.9,4000.0
2001-12-06,5.9,5.9,5.25,5.9,4500.0
2001-12-08,5.9,6.0,5.9,6.0,5500.0
2001-12-10,6.0,6.0,6.0,6.0,0.0
2001-12-11,6.0,6.0,6.0,6.0,5000.0
2001-12-20,5.0,5.0,5.0,5.0,0.0
2002-01-02,5.0,4.6,4.6,4.6,1000.0
2002-01-03,4.6,4.5,4.5,4.5,500.0
2002-01-17,4.5,4.5,4.5,4.5,1000.0
2002-01-18,4.5,5.05,5.05,5.05,1000.0
2002-01-23,5.05,4.55,4.55,4.55,500.0
2002-01-25,4.55,4.6,4.6,4.6,500.0
2002-01-29,4.6,4.6,4.55,4.6,1000.0
2002-02-01,4.6,5.05,4.75,4.75,7000.0
2002-02-06,4.75,4.5,4.5,4.5,2500.0
2002-02-07,4.5,4.6,4.6,4.6,500.0
2002-02-08,4.6,5.0,5.0,5.0,500.0
2002-02-11,5.0,5.0,4.95,5.0,1000.0
2002-02-12,5.0,5.05,5.0,5.05,2500.0
2002-02-13,5.05,5.05,5.05,5.05,1000.0
2002-02-14,5.05,5.65,5.25,5.25,3500.0
2002-02-15,5.25,5.25,5.25,5.25,3000.0
2002-02-18,5.25,5.3,5.3,5.3,5000.0
2002-02-19,5.3,5.5,5.5,5.5,12000.0
2002-02-20,5.5,5.5,5.5,5.5,500.0
2002-02-27,5.5,5.05,5.05,5.05,500.0
2002-03-01,5.05,5.05,5.0,5.05,1500.0
2002-03-07,5.05,5.15,5.15,5.15,7500.0
2002-03-08,5.15,5.25,5.25,5.25,1000.0
2002-03-14,5.25,5.2,4.75,4.75,3000.0
2002-03-19,4.75,4.8,4.8,5.0,500.0
2002-03-20,5.0,5.25,5.25,5.25,1000.0
2002-03-22,5.25,5.5,5.3,5.5,5000.0
2002-03-26,5.5,5.5,5.5,5.5,5000.0
2002-03-27,5.5,5.5,5.5,5.5,1500.0
2002-04-08,5.5,5.15,5.15,5.15,1000.0
2002-04-09,5.15,5.6,5.25,5.6,2500.0
2002-04-10,5.6,5.7,5.7,5.7,12000.0
2002-04-11,5.7,5.8,5.75,5.8,6000.0
2002-04-16,5.8,5.75,5.75,5.75,0.0
2002-04-17,5.75,5.6,5.5,5.6,1500.0
2002-04-18,5.6,5.5,5.5,5.5,500.0
2002-04-24,5.5,5.3,5.3,5.3,500.0
2002-04-26,5.3,5.3,5.0,5.3,7500.0
2002-04-29,5.3,5.45,5.3,5.3,7000.0
2002-05-03,5.3,5.1,5.1,5.1,500.0
2002-05-06,5.1,5.3,5.25,5.25,6000.0
2002-05-07,5.25,5.1,5.1,5.1,16500.0
2002-05-08,5.1,5.0,4.95,4.95,3000.0
2002-05-10,4.95,5.0,5.0,5.0,4000.0
2002-05-13,5.0,5.25,4.9,5.25,3500.0
2002-05-15,5.25,5.0,5.0,5.0,500.0
2002-05-17,5.0,5.0,5.0,5.0,2000.0
2002-06-03,5.0,4.9,4.9,4.9,500.0
2002-06-04,4.9,4.9,4.9,4.9,1500.0
2002-06-06,4.9,5.0,4.8,4.8,3000.0
2002-06-07,4.8,4.75,4.75,4.75,500.0
2002-06-10,4.75,4.75,4.75,4.75,2000.0
2002-06-11,4.75,4.75,4.75,4.75,500.0
2002-06-12,4.75,4.75,4.65,4.7,2500.0
2002-06-18,4.7,4.7,4.7,4.7,500.0
2002-06-19,4.7,4.75,4.7,4.75,1000.0
2002-06-20,4.75,4.75,4.75,4.75,1000.0
2002-06-25,4.75,4.7,4.7,4.7,500.0
2002-06-26,4.7,4.5,4.5,4.5,500.0
2002-06-27,4.5,4.55,4.55,4.55,0.0
2002-06-28,4.55,4.65,4.65,4.65,500.0
2002-07-01,4.65,4.65,4.65,4.65,2000.0
2002-07-03,4.65,4.75,4.7,4.75,1000.0
2002-07-04,4.75,4.75,4.75,4.75,8000.0
2002-07-05,4.75,5.0,5.0,5.0,500.0
2002-07-08,5.0,5.0,5.0,5.0,500.0
2002-07-10,5.0,4.9,4.9,4.9,1000.0
2002-07-16,4.9,4.95,4.95,4.95,1500.0
2002-07-18,4.95,5.0,5.0,5.0,500.0
2002-07-19,5.0,5.15,5.0,5.0,2000.0
2002-07-22,5.0,5.5,5.2,5.2,2000.0
2002-07-23,5.2,5.15,5.15,5.15,5000.0
2002-07-24,5.15,5.3,5.05,5.3,2000.0
2002-07-25,5.3,5.3,5.25,5.3,4500.0
2002-07-26,5.3,5.5,5.5,5.5,1500.0
2002-07-29,5.5,5.6,5.5,5.6,3000.0
2002-07-30,5.6,5.7,5.5,5.5,3000.0
2002-07-31,5.5,5.5,5.5,5.5,1500.0
2002-08-01,5.5,5.55,5.55,5.55,3000.0
2002-08-02,5.55,5.55,5.55,5.55,1000.0
2002-08-05,5.55,5.5,5.35,5.5,5000.0
2002-08-08,5.5,5.55,5.45,5.5,5500.0
2002-08-12,5.5,5.55,5.5,5.55,25500.0
2002-08-13,5.55,5.6,5.6,5.6,4000.0
2002-08-15,5.6,5.6,5.6,5.6,5000.0
2002-08-16,5.6,5.6,5.6,5.6,500.0
2002-08-19,5.6,5.7,5.6,5.6,7000.0
2002-08-20,5.6,5.8,5.6,5.8,2500.0
2002-08-21,5.8,5.8,5.7,5.7,2000.0
2002-08-22,5.7,5.75,5.6,5.75,1500.0
2002-08-26,5.75,5.7,5.6,5.7,2000.0
2002-08-27,5.7,5.9,5.9,5.9,1000.0
2002-09-02,5.9,5.7,5.7,5.7,500.0
2002-09-04,5.7,5.7,5.7,5.7,500.0
2002-09-05,5.7,5.8,5.8,5.8,0.0
2002-09-09,5.8,5.8,5.8,5.8,500.0
2002-09-10,5.8,5.5,5.5,5.5,500.0
2002-09-11,5.5,5.8,5.8,5.8,0.0
2002-09-20,5.8,5.8,5.8,5.8,1000.0
2002-09-23,5.8,6.25,6.25,6.25,5000.0
2002-09-24,6.25,5.75,5.6,5.75,10000.0
2002-09-25,5.75,6.75,5.5,5.5,27500.0
2002-09-26,5.5,5.25,5.2,5.2,11500.0
2002-09-27,5.2,5.25,5.2,5.25,8000.0
2002-09-30,5.25,5.2,5.2,5.2,2000.0
2002-10-01,5.2,5.25,5.2,5.2,2500.0
2002-10-02,5.2,5.2,5.2,5.2,500.0
2002-10-03,5.2,5.25,5.2,5.2,7000.0
2002-10-04,5.2,5.3,5.25,5.25,4500.0
2002-10-07,5.25,5.2,5.2,5.2,1000.0
2002-10-15,5.2,4.25,4.25,4.25,1000.0
2002-10-16,4.25,4.4,4.4,4.4,0.0
2002-10-18,4.4,5.0,4.8,5.0,2500.0
2002-10-21,5.0,5.25,5.25,5.25,500.0
2002-10-22,5.25,5.25,5.25,5.25,1500.0
2002-10-23,5.25,5.25,5.25,5.25,1500.0
2002-10-24,5.25,5.25,5.25,5.25,1000.0
2002-10-29,5.25,5.5,5.4,5.5,2000.0
2002-10-30,5.5,5.95,5.4,5.5,8500.0
2002-10-31,5.5,5.55,5.5,5.55,2500.0
2002-11-01,5.55,5.85,5.5,5.5,14000.0
2002-11-04,5.5,5.75,5.55,5.75,12000.0
2002-11-05,5.0,5.0,5.0,5.0,500.0
2002-11-07,5.0,4.95,4.95,4.95,500.0
2002-11-11,4.95,4.95,4.95,4.95,1000.0
2002-11-13,4.95,4.7,4.7,4.7,2000.0
2002-11-14,4.7,4.75,4.1,4.1,5000.0
2002-11-15,4.1,4.75,4.7,4.75,6500.0
2002-11-19,4.75,4.8,4.8,4.8,0.0
2002-11-21,4.8,4.85,4.85,4.85,0.0
2002-11-22,4.85,4.5,4.5,4.5,500.0
2002-11-25,4.5,4.5,4.5,4.5,1000.0
2002-11-27,4.5,4.6,4.6,4.6,0.0
2002-11-28,4.6,4.65,4.65,4.65,1000.0
2002-11-29,4.65,4.6,4.6,4.6,500.0
2002-12-02,4.6,4.6,4.6,4.6,2012500.0
2002-12-04,4.6,5.25,4.95,5.25,23500.0
2002-12-09,5.25,5.1,5.0,5.1,15000.0
2002-12-10,5.1,5.1,5.1,5.1,2000.0
2002-12-11,5.1,5.2,5.15,5.15,3500.0
2002-12-13,5.15,5.25,5.25,5.25,2000.0
2002-12-16,5.25,5.5,5.4,5.5,9000.0
2002-12-17,5.5,5.75,5.6,5.65,5000.0
2002-12-18,5.65,7.0,5.75,6.05,7000.0
2002-12-19,6.05,7.5,6.25,7.45,17000.0
2002-12-20,7.45,8.4,7.0,7.45,17000.0
2002-12-23,7.45,7.5,6.95,7.5,61500.0
2002-12-24,7.5,7.75,7.1,7.5,22000.0
2002-12-26,7.5,8.25,7.4,7.75,12000.0
2002-12-27,7.75,7.95,7.0,7.7,4000.0
2002-12-30,7.7,8.45,7.55,7.95,10500.0
2002-12-31,7.95,8.2,7.0,7.95,115000.0
2003-01-01,7.95,9.0,7.0,7.3,109500.0
2003-01-02,7.3,7.5,7.0,7.5,3500.0
2003-01-03,7.5,9.0,7.5,9.0,24500.0
2003-01-06,9.0,9.35,8.15,9.35,2000.0
2003-01-07,9.35,10.45,8.35,9.5,3000.0
2003-01-08,9.5,9.5,9.0,9.0,2500.0
2003-01-09,9.0,8.5,8.0,8.5,2500.0
2003-01-10,8.5,10.0,8.5,8.5,5500.0
2003-01-13,8.5,8.75,8.4,8.4,6000.0
2003-01-14,8.4,8.9,8.5,8.9,7000.0
2003-01-15,8.9,10.4,9.5,9.75,3500.0
2003-01-16,9.75,9.9,8.75,9.0,15500.0
2003-01-17,9.0,8.9,8.9,8.9,4500.0
2003-01-21,8.9,9.2,8.7,8.7,5000.0
2003-01-22,8.7,8.5,8.5,8.5,500.0
2003-01-23,8.5,8.9,8.5,8.5,3000.0
2003-01-24,8.5,8.5,8.5,8.5,1000.0
2003-01-27,8.5,9.45,8.75,8.75,4500.0
2003-01-28,8.75,8.5,8.5,8.5,2500.0
2003-01-29,8.5,8.5,8.5,8.5,25000.0
2003-01-31,8.5,8.0,8.0,8.0,1000.0
2003-02-03,8.0,7.0,7.0,7.0,1500.0
2003-02-04,7.0,7.5,7.5,7.5,4000.0
2003-02-06,7.5,7.75,7.75,7.75,2000.0
2003-02-07,7.75,7.75,7.75,7.75,2000.0
2003-02-10,7.75,7.0,6.75,6.75,2000.0
2003-02-17,6.75,7.25,7.25,7.25,0.0
2003-02-19,7.25,7.0,7.0,7.0,2500.0
2003-02-20,7.0,7.4,7.2,7.2,2500.0
2003-02-21,7.2,7.0,7.0,7.0,1000.0
2003-02-24,7.0,7.75,7.75,7.75,1000.0
2003-02-26,7.75,7.7,7.7,7.7,2000.0
2003-02-27,7.7,7.75,7.75,7.75,1000.0
2003-03-04,7.75,7.55,7.55,7.55,2000.0
2003-03-05,7.55,7.75,7.75,7.75,3000.0
2003-03-06,7.75,7.8,7.6,7.8,1500.0
2003-03-07,7.8,7.5,7.5,7.5,500.0
2003-03-10,7.5,7.75,7.75,7.75,500.0
2003-03-12,7.75,8.0,8.0,8.0,4000.0
2003-03-17,8.0,7.9,7.9,7.9,3000.0
2003-03-18,7.9,7.9,7.9,7.9,1000.0
2003-03-19,7.9,7.8,7.0,7.0,2500.0
2003-03-20,7.0,7.75,7.75,7.75,1000.0
2003-03-21,7.75,8.45,8.0,8.45,6000.0
2003-03-24,8.45,7.8,7.8,7.8,500.0
2003-03-25,7.8,6.8,6.8,6.8,500.0
2003-03-26,6.8,7.75,7.0,7.75,2500.0
2003-03-27,7.75,8.45,8.0,8.1,3000.0
2003-03-28,8.1,8.05,8.0,8.05,2500.0
2003-03-31,8.05,8.0,7.2,8.0,3000.0
2003-04-01,8.0,8.1,7.75,8.1,41500.0
2003-04-02,8.1,7.65,7.6,7.6,4000.0
2003-04-03,7.6,8.5,8.0,8.0,114000.0
2003-04-04,8.0,8.25,8.05,8.1,6000.0
2003-04-07,8.1,8.25,8.25,8.25,2000.0
2003-04-08,8.25,8.35,8.3,8.35,2000.0
2003-04-09,8.35,9.0,8.2,8.2,32000.0
2003-04-11,8.2,8.3,8.3,8.3,500.0
2003-04-14,8.3,8.3,8.2,8.3,1500.0
2003-04-15,8.3,8.65,8.3,8.65,3500.0
2003-04-16,8.65,9.0,8.85,9.0,3000.0
2003-04-21,9.0,8.9,8.9,8.9,0.0
2003-04-22,8.9,9.0,8.6,9.0,8500.0
2003-04-23,9.0,8.25,8.25,8.25,1000.0
2003-04-24,8.25,8.5,8.25,8.5,1500.0
2003-04-29,8.5,9.0,9.0,9.0,2000.0
2003-04-30,9.0,8.6,8.6,8.6,2500.0
2003-05-05,8.6,9.0,8.9,8.9,6000.0
2003-05-06,8.9,9.1,9.0,9.0,23000.0
2003-05-07,9.0,9.05,8.9,9.0,11000.0
2003-05-08,9.0,9.5,9.15,9.5,4500.0
2003-05-09,9.5,9.0,8.5,9.0,40000.0
2003-05-12,9.0,8.8,8.8,8.8,500.0
2003-05-13,8.8,9.0,8.65,9.0,12500.0
2003-05-14,9.0,10.0,9.0,9.0,8500.0
2003-05-16,9.0,10.0,9.0,10.0,269000.0
2003-05-19,10.0,10.5,9.15,9.75,3500.0
2003-05-20,9.75,9.2,9.15,9.2,3500.0
2003-05-22,9.2,9.15,9.0,9.0,50500.0
2003-05-23,9.0,9.15,9.05,9.05,51500.0
2003-05-26,9.05,9.5,9.25,9.5,54500.0
2003-05-27,9.5,9.25,9.1,9.1,51000.0
2003-05-28,9.1,9.25,9.1,9.25,206500.0
2003-05-29,9.25,9.75,9.1,9.75,350500.0
2003-05-30,9.75,9.0,9.0,9.0,3000.0
2003-06-02,9.0,9.75,9.75,9.75,5000.0
