Date,Open,High,Low,Close,Volume
2005-05-10,10.0,9.95,9.95,9.95,0.0
2005-05-11,9.95,9.9,9.9,9.9,0.0
2005-05-16,9.9,9.5,9.5,9.5,0.0
2005-06-16,9.5,10.2,9.7,9.7,1000.0
2005-06-28,9.7,9.5,9.5,9.5,0.0
2005-06-29,9.5,9.0,9.0,9.0,0.0
2005-06-30,9.0,10.0,9.0,10.0,1000.0
2005-07-04,10.0,9.5,9.5,9.5,0.0
2005-07-13,9.5,9.45,9.45,9.45,0.0
2005-07-26,9.45,9.25,9.25,9.25,0.0
2005-07-27,9.25,8.5,8.5,8.5,0.0
2005-08-09,8.5,8.45,8.45,8.45,0.0
2005-08-15,8.45,8.0,8.0,8.0,0.0
2005-08-31,8.0,7.95,7.95,7.95,0.0
2005-09-07,7.95,7.9,7.9,7.9,0.0
2005-09-14,7.9,6.9,6.9,6.9,0.0
2005-09-15,6.9,6.0,5.9,6.0,2000.0
2005-09-16,6.0,5.5,5.5,5.5,500.0
2005-09-19,5.5,5.55,5.55,5.55,0.0
2005-09-20,5.55,6.55,6.55,6.55,10000.0
2005-09-27,6.55,6.0,6.0,6.0,1500.0
2005-09-28,6.0,7.0,7.0,7.0,500.0
2005-09-29,7.0,7.95,6.95,7.95,3500.0
2005-09-30,7.95,8.95,8.95,8.95,500.0
2005-10-04,8.86,8.4,8.4,8.4,0.0
2005-10-05,8.4,8.0,8.0,8.0,0.0
2005-10-06,8.0,7.5,7.5,7.5,0.0
2005-10-11,7.5,7.0,7.0,7.0,0.0
2005-10-13,7.0,6.95,6.95,6.95,0.0
2005-10-14,6.95,6.0,6.0,6.0,1000.0
2005-10-17,6.0,5.3,5.3,5.3,500.0
2005-10-18,5.3,5.75,5.75,5.75,0.0
2005-10-19,5.75,6.0,6.0,6.0,0.0
2005-11-02,6.0,7.0,7.0,7.0,500.0
2005-11-11,7.0,7.25,6.2,7.25,30000.0
2005-11-14,7.25,7.2,7.2,7.2,0.0
2005-11-15,7.2,7.5,6.5,6.5,1500.0
2005-11-16,6.5,7.4,7.0,7.3,5000.0
2005-11-18,7.3,7.25,6.9,7.25,6500.0
2005-11-22,7.25,8.0,7.5,7.5,1500.0
2005-11-23,7.5,7.95,7.9,7.9,6000.0
2005-11-24,7.9,8.0,8.0,8.0,0.0
2005-11-25,8.0,7.65,7.0,7.25,41500.0
2005-11-28,7.25,7.3,7.3,7.3,0.0
2005-11-29,7.3,7.25,7.25,7.25,500.0
2005-11-30,7.25,7.65,7.65,7.65,1000.0
2005-12-05,7.65,7.5,7.5,7.5,500.0
2005-12-06,7.5,7.0,7.0,7.0,500.0
2005-12-07,7.0,8.0,7.5,7.8,150000.0
2005-12-08,7.8,7.75,7.6,7.75,42000.0
2005-12-09,7.75,8.0,7.75,8.0,46000.0
2005-12-12,8.0,8.25,8.0,8.25,5500.0
2005-12-13,8.25,8.2,8.05,8.2,11000.0
2005-12-15,8.2,8.4,8.25,8.4,8500.0
2005-12-16,8.4,8.5,8.3,8.3,3500.0
2005-12-19,8.3,8.65,8.65,8.65,3000.0
