Date,Open,High,Low,Close,Volume
2002-01-04,5.0,6.4,5.95,6.1,16500.0
2002-01-07,6.1,6.0,5.8,6.0,18500.0
2002-01-08,6.0,5.75,5.75,5.75,3500.0
2002-01-09,5.75,5.75,5.75,5.75,5000.0
2002-01-11,5.75,5.75,5.75,5.75,8500.0
2002-01-14,5.75,5.85,5.85,5.85,5000.0
2002-01-15,5.85,6.15,5.75,6.15,14000.0
2002-01-17,6.15,6.2,6.2,6.2,2500.0
2002-01-18,6.2,6.15,6.15,6.15,2000.0
2002-01-21,6.15,6.15,6.15,6.15,5000.0
2002-01-23,6.15,6.2,6.2,6.2,4000.0
2002-01-24,6.2,6.2,6.2,6.2,3000.0
2002-01-25,6.2,6.15,6.05,6.15,11000.0
2002-01-28,6.15,6.2,6.1,6.2,12000.0
2002-01-29,6.2,6.15,6.05,6.15,1500.0
2002-01-30,6.15,6.3,6.15,6.2,14000.0
2002-01-31,6.2,6.5,6.2,6.35,21500.0
2002-02-01,6.35,6.5,6.5,6.5,6000.0
2002-02-04,6.5,6.5,6.35,6.35,2500.0
2002-02-06,6.35,6.5,6.5,6.5,4000.0
2002-02-07,6.5,6.55,6.5,6.5,10500.0
2002-02-08,6.5,6.55,6.5,6.55,1500.0
2002-02-12,6.55,6.55,6.5,6.5,11500.0
2002-02-13,6.5,6.4,6.4,6.4,2000.0
2002-02-14,6.4,6.5,6.5,6.5,9000.0
2002-02-15,6.5,7.45,7.25,7.45,2000.0
2002-02-18,7.45,6.7,6.6,6.6,2500.0
2002-02-20,6.6,6.75,6.75,6.75,1000.0
2002-02-21,6.75,6.5,6.5,6.5,1500.0
2002-02-26,6.5,6.7,6.5,6.5,9000.0
2002-02-27,6.5,6.65,6.45,6.65,3000.0
2002-02-28,6.65,6.5,6.5,6.5,500.0
2002-03-01,6.5,6.55,6.55,6.55,500.0
2002-03-05,6.55,6.6,6.55,6.55,14500.0
2002-03-06,6.55,6.75,6.5,6.75,25000.0
2002-03-07,6.75,6.6,6.5,6.5,30000.0
2002-03-08,6.5,6.55,6.5,6.55,5000.0
2002-03-11,6.55,6.7,6.7,6.7,500.0
2002-03-12,6.7,6.7,6.7,6.7,5000.0
2002-03-13,6.7,6.8,6.6,6.6,6500.0
2002-03-14,6.6,6.7,6.55,6.55,3500.0
2002-03-15,6.55,7.0,6.75,6.8,2000.0
2002-03-19,6.8,6.6,6.6,6.7,500.0
2002-03-20,6.7,6.85,6.7,6.85,5000.0
2002-03-21,6.85,6.75,6.7,6.75,10000.0
2002-03-22,6.75,6.75,6.7,6.7,11000.0
2002-03-26,6.7,6.75,6.75,6.75,1000.0
2002-03-28,6.75,6.8,6.7,6.75,13000.0
2002-03-29,6.75,6.8,6.8,6.8,4500.0
2002-04-01,6.8,7.0,6.8,7.0,14500.0
2002-04-02,7.0,7.05,6.9,7.05,7000.0
2002-04-03,7.05,7.0,7.0,7.0,2000.0
2002-04-04,7.0,7.1,7.1,7.1,10000.0
2002-04-05,7.1,7.0,7.0,7.0,17000.0
2002-04-10,7.0,7.05,7.0,7.05,2000.0
2002-04-15,7.05,7.4,7.05,7.4,2000.0
2002-04-16,7.4,7.75,7.45,7.55,35000.0
2002-04-17,7.55,8.0,7.6,8.0,13500.0
2002-04-18,8.0,8.0,7.95,7.95,1000.0
2002-04-19,7.95,7.95,7.9,7.9,500.0
2002-04-22,7.9,7.75,7.6,7.6,3000.0
2002-04-23,7.6,7.85,7.6,7.6,7500.0
2002-04-25,7.6,8.0,7.85,8.0,15000.0
2002-04-29,8.0,8.0,7.95,8.0,10000.0
2002-04-30,8.0,8.0,8.0,8.0,5000.0
2002-05-02,8.0,8.0,7.95,8.0,1500.0
2002-05-03,8.0,8.0,7.95,7.95,3500.0
2002-05-06,7.95,7.95,7.65,7.65,4500.0
2002-05-08,7.65,7.75,7.6,7.6,5500.0
2002-05-09,7.6,7.75,7.75,7.75,0.0
2002-05-10,7.75,7.85,7.8,7.85,500.0
2002-05-13,7.85,7.8,7.75,7.75,4500.0
2002-05-14,7.75,7.8,7.8,7.8,2000.0
2002-05-15,7.8,7.7,7.7,7.7,1000.0
2002-05-16,7.7,7.8,7.8,7.8,1500.0
2002-05-17,7.8,7.75,7.6,7.6,5500.0
2002-05-20,7.6,7.5,7.0,7.0,12000.0
2002-05-22,7.0,7.1,6.8,6.8,6000.0
2002-05-24,6.8,7.9,7.35,7.9,5500.0
2002-05-27,7.9,7.75,7.75,7.75,0.0
2002-05-28,7.75,7.4,7.25,7.3,17000.0
2002-05-29,7.3,7.5,7.4,7.4,4000.0
2002-06-04,7.4,7.3,7.3,7.3,1000.0
2002-06-05,7.3,7.35,7.3,7.35,1500.0
2002-06-06,7.35,7.35,7.3,7.35,2000.0
2002-06-07,7.35,7.3,7.25,7.3,1000.0
2002-06-10,7.3,7.85,7.7,7.85,3000.0
2002-06-11,7.85,7.7,7.5,7.7,7000.0
2002-06-12,7.7,7.8,7.5,7.8,9500.0
2002-06-13,7.8,7.8,7.6,7.8,2000.0
2002-06-14,7.8,7.9,7.6,7.9,3500.0
2002-06-17,7.9,7.7,7.7,7.7,0.0
2002-06-18,7.7,7.8,7.7,7.8,2000.0
2002-06-20,7.8,7.8,7.8,7.8,1500.0
2002-06-21,7.8,7.6,7.6,7.6,500.0
2002-06-25,7.6,7.9,7.55,7.9,1500.0
2002-06-27,7.9,7.85,7.85,7.85,0.0
2002-06-28,7.85,7.8,7.55,7.8,8000.0
2002-07-01,7.8,7.95,7.95,7.95,500.0
2002-07-02,7.95,8.0,7.9,7.9,4000.0
2002-07-03,7.9,7.9,7.85,7.85,4000.0
2002-07-04,7.85,7.95,7.95,7.95,1000.0
2002-07-05,7.95,7.95,7.9,7.9,1000.0
2002-07-08,7.9,8.1,8.1,8.1,0.0
2002-07-09,8.1,8.0,8.0,8.0,4500.0
2002-07-10,8.0,8.0,8.0,8.0,9000.0
2002-07-12,8.0,8.1,8.1,8.1,3000.0
2002-07-16,8.1,8.25,8.25,8.25,1500.0
2002-07-17,8.25,8.25,8.25,8.25,4500.0
2002-07-18,8.25,8.1,8.05,8.1,1500.0
2002-07-19,8.1,8.3,8.2,8.2,3500.0
2002-07-23,8.2,8.05,8.05,8.05,1500.0
2002-07-24,8.05,8.1,8.0,8.1,1000.0
2002-07-25,8.1,8.15,8.05,8.15,3000.0
2002-07-29,8.15,8.0,8.0,8.0,1500.0
2002-07-30,8.0,8.0,7.9,8.0,2500.0
2002-07-31,8.0,8.1,7.9,8.1,11500.0
2002-08-01,8.1,8.0,8.0,8.0,7500.0
2002-08-02,8.0,8.0,8.0,8.0,4500.0
2002-08-05,8.0,7.9,7.9,7.9,1000.0
2002-08-06,7.9,7.9,7.8,7.85,4500.0
2002-08-07,7.85,7.9,7.9,7.9,14000.0
2002-08-08,7.9,7.9,7.85,7.85,2000.0
2002-08-09,7.85,7.9,7.75,7.75,50000.0
2002-08-12,7.75,7.75,7.7,7.7,60000.0
2002-08-13,7.7,7.75,7.5,7.5,13500.0
2002-08-15,7.5,7.6,7.55,7.6,13500.0
2002-08-16,7.6,7.6,7.5,7.6,1500.0
2002-08-19,7.6,7.6,7.55,7.55,18000.0
2002-08-20,7.55,7.75,7.7,7.7,15000.0
2002-08-22,7.7,8.0,7.4,8.0,11000.0
2002-08-23,8.0,7.75,7.7,7.75,10500.0
2002-08-26,7.75,7.75,7.7,7.75,1500.0
2002-08-27,7.75,7.9,7.75,7.85,7500.0
2002-08-28,7.85,7.75,7.75,7.75,15000.0
2002-08-29,7.75,8.0,7.9,8.0,27500.0
2002-08-30,8.0,8.0,8.0,8.0,11000.0
2002-09-02,8.0,8.0,8.0,8.0,5000.0
2002-09-03,8.0,8.0,7.75,7.95,3000.0
2002-09-04,7.95,7.95,7.9,7.95,5500.0
2002-09-05,7.95,7.6,7.6,7.6,1000.0
2002-09-09,7.6,7.85,7.85,7.85,1000.0
2002-09-10,7.85,7.65,7.6,7.65,27000.0
2002-09-11,7.65,7.65,7.65,7.65,500.0
2002-09-12,7.65,7.65,7.6,7.65,3000.0
2002-09-13,7.65,7.65,7.65,7.65,1000.0
2002-09-16,7.65,7.7,7.7,7.7,5000.0
2002-09-17,7.7,8.1,7.65,7.75,2500.0
2002-09-18,7.75,8.0,7.8,7.85,10500.0
2002-09-19,7.85,8.1,8.0,8.1,22500.0
2002-09-20,8.1,8.1,8.0,8.1,45000.0
2002-09-23,8.1,8.25,8.0,8.2,93500.0
2002-09-24,8.2,8.2,8.15,8.2,29500.0
2002-09-25,8.2,8.5,8.3,8.3,34500.0
2002-09-26,8.3,8.25,8.2,8.25,6000.0
2002-09-27,8.25,8.4,8.05,8.3,17000.0
2002-09-30,8.3,8.45,8.1,8.45,13500.0
2002-10-01,8.45,8.5,8.5,8.5,500.0
