Date,Open,High,Low,Close,Volume
2003-04-07,2.45,2.45,2.45,2.45,0.0
2003-04-29,2.45,2.9,2.75,2.9,3000.0
2003-04-30,2.9,4.4,2.85,4.4,32500.0
2003-05-02,4.4,5.9,4.85,5.9,20000.0
2003-05-05,5.9,7.4,7.3,7.4,2000.0
2003-05-06,7.4,8.5,8.0,8.5,1500.0
2003-05-07,8.5,8.5,8.5,8.5,5000.0
2003-05-08,8.5,9.9,8.5,9.9,2000.0
2003-05-09,9.9,11.4,8.9,11.4,13500.0
2003-05-12,11.4,12.9,10.85,12.9,21500.0
2003-05-13,12.9,14.3,11.9,14.2,3000.0
2003-05-14,14.2,14.6,13.2,13.2,2500.0
2003-05-19,13.2,12.2,12.2,12.2,500.0
2003-05-21,12.2,12.0,12.0,12.0,0.0
2003-05-23,11.8,13.3,10.8,13.3,31000.0
2003-05-26,13.3,12.3,12.3,12.3,3000.0
2003-05-27,12.3,11.5,11.3,11.5,2500.0
2003-05-28,11.5,10.55,10.55,10.55,500.0
2003-05-29,10.55,9.6,9.6,9.6,500.0
2003-05-30,9.6,11.1,8.6,11.1,9500.0
2003-06-02,11.1,10.1,10.1,10.1,500.0
2003-06-03,10.1,11.6,9.1,11.6,5000.0
2003-06-04,11.6,13.1,12.0,12.85,9000.0
2003-06-05,12.85,14.35,13.45,14.35,10000.0
2003-06-06,14.35,15.85,15.25,15.25,5500.0
2003-06-10,15.25,15.0,15.0,15.0,0.0
2003-06-16,15.0,16.5,15.0,16.5,2000.0
2003-06-17,16.5,18.0,16.0,18.0,5000.0
2003-06-18,18.0,17.0,17.0,17.0,0.0
2003-06-19,17.0,17.0,17.0,17.0,500.0
2003-06-20,17.0,17.0,17.0,17.0,2500.0
2003-06-23,17.0,16.0,16.0,16.0,0.0
2003-06-24,16.0,17.5,17.45,17.45,1000.0
2003-06-25,17.45,17.0,17.0,17.0,0.0
2003-06-26,17.0,16.0,16.0,16.0,0.0
2003-06-27,16.0,17.5,15.0,17.5,4500.0
2003-06-30,17.5,19.0,18.75,19.0,8500.0
2003-07-04,19.0,18.5,18.5,18.5,0.0
2003-07-07,18.5,17.9,17.9,17.9,0.0
2003-07-17,17.9,19.4,18.1,18.1,11000.0
2003-07-18,18.1,18.0,18.0,18.0,0.0
2003-07-22,18.0,17.5,17.5,17.5,0.0
2003-07-25,17.5,17.45,17.45,17.45,0.0
2003-07-28,17.45,18.95,16.45,16.45,16000.0
2003-07-29,16.45,17.8,17.75,17.8,2500.0
2003-07-30,17.8,16.8,16.8,16.8,5000.0
2003-07-31,16.8,15.95,15.95,15.95,500.0
2003-08-01,15.95,14.95,14.95,14.95,5500.0
2003-08-04,14.95,14.25,13.95,13.95,1000.0
2003-08-05,13.95,15.45,12.95,15.45,7000.0
2003-08-06,15.45,14.45,14.45,14.45,2500.0
2003-08-07,14.45,13.5,13.45,13.5,3500.0
2003-08-08,13.5,13.0,12.5,12.5,5000.0
2003-08-11,12.5,12.5,11.5,12.5,3000.0
2003-08-12,12.5,12.5,11.5,11.5,17500.0
2003-08-13,11.5,10.5,10.5,10.5,500.0
2003-08-19,10.5,9.5,9.5,9.5,2500.0
2003-08-20,9.5,8.75,8.5,8.75,12500.0
2003-08-21,8.75,10.25,7.85,7.85,11500.0
2003-08-22,7.85,7.15,7.15,7.15,1500.0
2003-08-26,7.15,7.0,7.0,7.0,0.0
2003-08-27,7.0,8.5,7.9,8.5,5500.0
2003-08-28,8.5,8.4,8.4,8.4,0.0
2003-08-29,8.4,9.5,7.45,9.5,17500.0
2003-09-01,9.5,9.0,8.5,8.5,2000.0
2003-09-03,8.5,8.5,8.5,8.5,500.0
2003-09-04,8.5,7.6,7.5,7.6,500.0
2003-09-05,7.6,7.6,7.5,7.5,1000.0
2003-09-08,7.5,7.0,6.6,7.0,1500.0
2003-09-09,7.0,6.8,6.0,6.0,2500.0
2003-09-10,6.0,5.5,5.2,5.25,12000.0
2003-09-11,5.25,5.3,5.25,5.25,25000.0
2003-09-12,5.25,5.6,5.4,5.4,49500.0
2003-09-15,5.4,5.65,5.4,5.5,31500.0
2003-09-16,5.5,5.55,5.4,5.4,17500.0
2003-09-17,5.4,4.75,4.4,4.4,85500.0
2003-09-18,4.4,5.5,4.55,5.25,22000.0
2003-09-19,5.25,5.5,4.75,5.5,22500.0
2003-09-22,5.5,5.5,4.5,5.5,37500.0
2003-09-23,5.5,5.4,5.4,5.4,0.0
2003-09-24,5.4,4.65,4.6,4.6,2500.0
2003-09-25,4.6,4.75,4.75,4.75,0.0
2003-09-26,4.75,6.15,5.0,6.15,20500.0
2003-09-29,6.15,5.8,5.15,5.5,10000.0
2003-09-30,5.5,4.75,4.65,4.65,44000.0
2003-10-01,4.65,4.25,3.75,3.75,113000.0
2003-10-03,3.75,4.0,4.0,4.0,17500.0
2003-10-06,4.0,4.4,4.4,4.4,2000.0
2003-10-07,4.4,4.85,4.35,4.85,23500.0
2003-10-08,4.85,4.35,4.0,4.2,30000.0
2003-10-09,4.2,4.1,4.1,4.1,0.0
2003-10-10,4.1,3.2,3.1,3.15,42000.0
2003-10-13,3.15,3.0,2.5,3.0,4000.0
2003-10-14,3.0,2.55,2.0,2.1,18000.0
2003-10-15,2.1,2.25,1.1,1.25,225500.0
2003-10-16,1.25,1.45,1.3,1.3,62500.0
2003-10-17,1.3,2.25,1.65,1.9,88500.0
2003-10-20,1.9,2.2,1.9,1.9,35000.0
2003-10-21,1.9,2.05,1.75,1.9,17000.0
2003-10-22,1.9,1.85,1.75,1.75,1500.0
2003-10-23,1.75,1.75,1.5,1.5,8000.0
2003-10-27,1.5,1.85,1.85,1.85,1000.0
2003-10-29,1.85,1.5,1.5,1.5,1000.0
2003-11-03,1.5,1.5,1.5,1.5,2000.0
2003-11-05,1.5,1.55,1.5,1.55,20500.0
2003-11-06,1.55,1.55,1.55,1.55,500.0
2003-11-07,1.55,1.6,1.5,1.5,17500.0
2003-11-10,1.5,1.7,1.7,1.7,4000.0
2003-11-12,1.7,1.9,1.6,1.9,6000.0
2003-11-13,1.9,1.9,1.85,1.9,7000.0
2003-11-14,1.9,2.0,2.0,2.0,3000.0
2003-11-17,2.0,2.0,1.75,1.75,3000.0
2003-11-18,1.75,1.9,1.9,1.9,0.0
2003-11-19,1.9,1.95,1.95,1.95,0.0
2003-11-20,1.95,2.0,2.0,2.0,10000.0
2003-11-24,2.0,2.15,2.15,2.15,1000.0
2003-11-25,2.15,2.05,2.05,2.05,4000.0
2003-12-01,2.05,2.0,2.0,2.0,4000.0
2003-12-04,2.0,2.0,2.0,2.0,2000.0
2003-12-08,2.0,2.0,1.65,1.65,7500.0
2003-12-09,1.65,1.75,1.75,1.75,2000.0
2003-12-10,1.75,1.75,1.75,1.75,2000.0
2003-12-11,1.75,1.7,1.5,1.5,25000.0
2003-12-12,1.5,1.55,1.55,1.55,0.0
2003-12-17,1.55,1.9,1.9,1.9,5000.0
2003-12-23,1.9,1.85,1.85,1.85,15000.0
2003-12-24,1.85,2.0,1.8,1.8,3500.0
2004-01-06,1.8,1.9,1.9,1.9,1000.0
2004-01-07,1.9,1.9,1.9,1.9,500.0
2004-01-08,1.9,1.95,1.9,1.95,9000.0
2004-01-09,1.95,2.0,2.0,2.0,5000.0
2004-01-12,2.0,2.0,1.95,1.95,9000.0
2004-01-13,1.95,2.4,2.2,2.25,13500.0
2004-01-14,2.25,2.3,2.25,2.3,6000.0
2004-01-15,2.3,2.95,2.0,2.95,70500.0
2004-01-16,2.95,2.8,2.6,2.6,7000.0
2004-01-19,2.6,3.1,3.0,3.0,10000.0
