Date,Open,High,Low,Close,Volume
2003-12-22,10.0,12.6,11.8,11.8,90500.0
2003-12-23,11.8,12.0,11.75,11.75,76500.0
2003-12-24,11.75,12.1,11.8,11.8,125000.0
2003-12-26,11.8,11.6,11.5,11.5,38500.0
2003-12-29,11.5,11.8,10.5,10.5,439500.0
2003-12-30,10.5,10.85,10.3,10.65,86500.0
2003-12-31,10.65,10.75,10.45,10.45,173000.0
2004-01-01,10.45,10.95,10.35,10.7,34000.0
2004-01-02,10.7,10.85,10.6,10.85,44000.0
2004-01-05,10.85,10.9,10.7,10.75,35500.0
2004-01-06,10.75,10.7,10.5,10.7,45500.0
2004-01-07,10.7,10.7,10.55,10.65,35000.0
2004-01-08,10.65,10.9,10.65,10.8,130000.0
2004-01-09,10.8,10.95,10.7,10.75,157500.0
2004-01-12,10.75,10.9,10.5,10.8,157500.0
2004-01-13,10.8,10.85,10.5,10.7,537000.0
2004-01-14,10.7,10.95,10.65,10.95,293000.0
2004-01-15,10.95,11.0,10.6,10.9,144500.0
2004-01-16,10.9,11.1,10.85,11.1,391000.0
2004-01-19,11.1,11.2,10.9,10.9,414000.0
2004-01-20,10.9,11.05,10.75,10.85,223000.0
2004-01-21,10.85,11.2,10.9,11.0,965000.0
2004-01-22,11.0,11.75,11.15,11.45,2049500.0
2004-01-23,11.45,11.6,11.2,11.5,505500.0
2004-01-26,11.5,11.55,11.15,11.15,197500.0
2004-01-27,11.15,11.4,11.25,11.3,129500.0
2004-01-28,11.3,11.45,11.25,11.35,126000.0
2004-01-29,11.35,11.8,11.25,11.5,2025500.0
2004-01-30,11.5,11.8,11.55,11.7,612000.0
2004-02-06,11.7,11.8,11.65,11.7,231500.0
2004-02-09,11.7,11.7,11.25,11.35,350000.0
2004-02-10,11.35,11.65,11.35,11.55,427500.0
2004-02-11,11.55,11.65,11.5,11.5,226000.0
2004-02-12,11.5,11.5,11.2,11.35,283000.0
2004-02-13,11.35,11.45,11.15,11.35,78500.0
2004-02-16,11.35,11.4,11.2,11.2,50500.0
2004-02-17,11.2,11.35,11.0,11.05,315000.0
2004-02-18,11.05,11.2,11.0,11.2,313500.0
2004-02-19,11.2,11.25,11.0,11.0,226500.0
2004-02-20,11.0,11.2,10.9,11.05,101500.0
2004-02-23,11.05,11.0,10.8,10.8,58500.0
2004-02-24,10.8,10.95,10.75,10.95,88500.0
2004-02-25,10.95,11.0,10.5,10.55,183000.0
2004-02-26,10.55,10.6,10.35,10.35,113000.0
2004-02-27,10.35,10.6,10.4,10.5,104000.0
2004-03-03,10.5,10.4,10.3,10.4,117000.0
2004-03-04,10.4,11.15,10.35,10.8,955500.0
2004-03-05,10.8,11.5,11.0,11.1,967000.0
2004-03-08,11.1,11.3,11.0,11.0,214000.0
2004-03-09,11.0,11.05,10.8,10.8,79500.0
2004-03-10,10.8,10.8,10.5,10.6,109000.0
2004-03-11,10.6,10.95,10.7,10.85,13500.0
2004-03-12,10.85,10.9,10.7,10.9,12500.0
2004-03-15,10.9,11.1,10.9,11.1,113500.0
2004-03-16,11.1,11.2,10.9,10.9,105000.0
2004-03-17,10.9,11.1,10.9,10.95,37500.0
2004-03-18,10.95,11.0,10.9,10.95,91500.0
2004-03-19,10.95,10.95,10.9,10.95,22500.0
2004-03-22,10.95,11.1,10.9,10.9,62000.0
2004-03-24,10.9,11.0,10.75,11.0,127000.0
2004-03-25,11.0,11.05,10.85,10.9,134000.0
2004-03-26,10.9,11.05,10.55,10.9,208000.0
2004-03-29,10.9,11.1,10.8,10.9,100500.0
2004-03-30,10.9,11.1,10.75,10.75,128000.0
2004-03-31,10.75,11.0,10.85,10.85,37500.0
2004-04-01,10.85,11.0,10.7,10.8,91500.0
2004-04-02,10.8,10.95,10.8,10.9,64000.0
2004-04-05,10.9,11.2,10.9,11.0,290500.0
2004-04-06,11.0,11.05,10.9,10.95,289500.0
2004-04-07,10.95,11.1,10.95,11.0,105000.0
2004-04-08,11.0,11.2,10.95,10.95,230000.0
2004-04-09,10.95,11.5,10.9,11.35,659500.0
2004-04-12,11.35,11.75,11.45,11.55,494000.0
2004-04-13,11.55,11.7,11.35,11.4,217500.0
2004-04-14,11.4,11.5,11.25,11.3,152500.0
2004-04-15,11.3,11.5,11.25,11.35,215500.0
2004-04-16,11.35,11.45,11.25,11.35,97000.0
2004-04-19,11.35,11.5,11.2,11.2,96500.0
2004-04-20,11.2,11.4,11.15,11.2,109000.0
2004-04-21,11.2,11.4,10.8,11.1,99500.0
2004-04-22,11.1,11.15,10.75,11.15,210000.0
2004-04-23,11.15,11.45,11.0,11.05,153500.0
2004-04-26,11.05,11.1,10.75,10.75,104500.0
2004-04-27,10.75,10.9,10.55,10.65,59500.0
2004-04-28,10.65,10.75,10.6,10.6,44500.0
2004-04-29,10.6,10.75,10.5,10.55,7000.0
2004-04-30,10.55,10.75,10.5,10.55,57000.0
2004-05-04,10.55,10.7,10.55,10.6,12500.0
2004-05-05,10.6,10.75,10.7,10.7,22000.0
2004-05-06,10.7,10.7,10.05,10.05,105500.0
2004-05-07,10.05,10.7,10.4,10.65,40000.0
2004-05-10,10.65,10.6,10.35,10.35,35500.0
2004-05-11,10.35,10.5,10.35,10.5,6000.0
2004-05-12,10.5,10.5,10.3,10.5,7000.0
2004-05-13,10.5,10.45,10.3,10.45,6000.0
2004-05-14,10.45,10.7,10.25,10.25,27000.0
2004-05-17,10.25,10.3,10.25,10.25,11000.0
2004-05-18,10.25,10.25,10.15,10.2,43000.0
2004-05-19,10.2,10.5,10.25,10.5,35500.0
2004-05-20,10.5,10.6,10.3,10.3,17000.0
2004-05-21,10.3,10.45,10.25,10.45,15000.0
2004-05-24,10.45,10.5,10.4,10.4,33000.0
2004-05-25,10.4,10.35,10.3,10.35,89000.0
2004-05-26,10.35,10.25,10.25,10.25,81500.0
2004-05-27,10.25,10.5,10.2,10.5,51500.0
2004-05-28,10.5,10.65,10.5,10.65,78500.0
2004-05-31,10.65,10.6,10.5,10.6,7500.0
