Date,Open,High,Low,Close,Volume
2001-01-03,1.65,1.75,1.75,1.75,1000.0
2001-01-04,1.75,2.45,2.35,2.45,2000.0
2001-01-05,2.45,2.0,2.0,2.0,1500.0
2001-01-15,2.0,2.0,2.0,2.0,500.0
2001-01-16,2.0,1.9,1.9,1.9,1000.0
2001-01-17,1.9,1.85,1.85,1.85,3500.0
2001-01-19,1.85,1.85,1.85,1.85,500.0
2001-01-25,1.85,1.8,1.8,1.8,500.0
2001-01-29,1.8,1.85,1.8,1.8,2000.0
2001-02-12,1.8,1.8,1.8,1.8,3000.0
2001-02-13,1.8,1.9,1.8,1.9,1500.0
2001-02-14,1.9,1.9,1.9,1.9,500.0
2001-02-16,1.9,1.8,1.8,1.8,500.0
2001-02-19,1.8,2.0,2.0,2.0,1000.0
2001-03-01,2.0,2.0,2.0,2.0,2000.0
2001-03-09,2.0,2.0,2.0,2.0,500.0
2001-03-16,2.0,1.95,1.75,1.75,7500.0
2001-03-19,1.75,1.85,1.85,1.85,1000.0
2001-03-20,1.85,1.95,1.75,1.95,2000.0
2001-03-21,1.95,1.5,1.5,1.5,1500.0
2001-03-22,1.5,1.5,1.4,1.5,8000.0
2001-03-29,1.5,1.5,1.5,1.5,3000.0
2001-04-02,1.5,1.5,1.5,1.5,4000.0
2001-04-03,1.5,1.2,1.2,1.2,2000.0
2001-04-10,1.2,1.2,1.2,1.2,2000.0
2001-04-12,1.2,0.8,0.8,0.8,1000.0
2001-04-13,0.8,0.8,0.8,0.8,500.0
2001-04-17,0.8,1.1,0.9,1.1,1000.0
2001-04-18,1.1,1.0,1.0,1.0,1500.0
2001-04-24,1.0,1.0,1.0,1.0,1000.0
2001-05-07,1.0,0.95,0.9,0.95,1500.0
2001-05-08,0.95,1.0,1.0,1.0,1000.0
2001-05-09,1.0,0.85,0.85,0.85,1000.0
2001-05-10,0.85,0.8,0.8,0.8,500.0
2001-05-11,0.8,0.9,0.9,0.9,1500.0
2001-05-15,0.9,0.85,0.85,0.85,500.0
2001-05-16,0.85,0.85,0.85,0.85,500.0
2001-05-22,0.85,0.85,0.85,0.85,18000.0
