Date,Open,High,Low,Close,Volume
2001-01-01,2.7,2.8,2.5,2.65,21000.0
2001-01-02,2.65,2.75,2.7,2.75,14000.0
2001-01-04,2.75,2.8,2.5,2.5,17500.0
2001-01-05,2.5,2.5,2.5,2.5,1500.0
2001-01-08,2.5,2.5,2.5,2.5,2000.0
2001-01-09,2.5,2.5,2.5,2.5,500.0
2001-01-10,2.5,2.55,2.55,2.55,2000.0
2001-01-11,2.55,2.55,2.55,2.55,7000.0
2001-01-12,2.55,2.7,2.55,2.7,8500.0
2001-01-15,2.7,2.65,2.5,2.6,11500.0
2001-01-16,2.6,2.7,2.6,2.7,53500.0
2001-01-17,2.7,2.7,2.6,2.7,2500.0
2001-01-18,2.7,2.75,2.5,2.75,2000.0
2001-01-19,2.75,2.75,2.7,2.75,14500.0
2001-01-22,2.75,2.85,2.8,2.8,10000.0
2001-01-23,2.8,2.85,2.8,2.8,7500.0
2001-01-24,2.8,2.85,2.8,2.85,11000.0
2001-01-25,2.85,2.85,2.85,2.85,1000.0
2001-01-26,2.85,2.9,2.85,2.85,1500.0
2001-01-29,2.85,3.2,2.9,3.1,17000.0
2001-01-30,3.1,3.1,3.05,3.1,17000.0
2001-01-31,3.1,3.0,3.0,3.0,2000.0
2001-02-01,3.0,3.0,3.0,3.0,1500.0
2001-02-02,3.0,3.0,3.0,3.0,6000.0
2001-02-06,3.0,3.0,3.0,3.0,1000.0
2001-02-07,3.0,3.1,3.05,3.1,16500.0
2001-02-08,3.1,3.15,3.1,3.1,44000.0
2001-02-09,3.1,3.2,3.1,3.2,8000.0
2001-02-12,3.2,3.25,3.2,3.25,22500.0
2001-02-13,3.25,3.25,3.25,3.25,15000.0
2001-02-14,3.25,3.25,3.15,3.15,9000.0
2001-02-15,3.15,3.3,3.25,3.25,22500.0
2001-02-16,3.25,3.25,3.1,3.25,4000.0
2001-02-20,3.25,3.1,3.1,3.1,1500.0
2001-02-21,3.1,3.1,3.05,3.1,5000.0
2001-02-22,3.1,3.35,3.0,3.25,54000.0
2001-02-23,3.25,3.25,3.15,3.15,27000.0
2001-02-26,3.15,3.0,3.0,3.0,1000.0
