Date,Open,High,Low,Close,Volume
2016-01-11,0.0,15.18,15.18,15.18,0.0
2016-01-12,0.0,15.54,15.54,15.54,0.0
2016-01-14,0.0,16.54,16.54,16.54,0.0
2016-01-20,0.0,17.54,17.54,17.54,0.0
2016-01-22,0.0,18.54,18.54,18.54,0.0
2016-01-25,0.0,19.54,19.54,19.54,0.0
2016-01-26,0.0,20.54,20.54,20.54,0.0
2016-01-27,21.56,21.56,21.56,21.56,500.0
2016-01-28,0.0,22.63,22.63,22.63,0.0
2016-01-29,0.0,23.76,23.76,23.76,0.0
2016-02-01,0.0,24.94,24.94,24.94,0.0
2016-02-02,0.0,26.18,26.18,26.18,0.0
2016-02-03,0.0,27.48,27.48,27.48,0.0
2016-02-04,0.0,28.85,28.85,28.85,0.0
2016-02-08,30.29,30.29,30.29,30.29,500.0
2016-02-09,0.0,31.8,31.8,31.8,0.0
2016-02-10,0.0,33.39,33.39,33.39,0.0
2016-02-11,0.0,35.05,35.05,35.05,0.0
2016-02-17,0.0,36.8,36.8,36.8,0.0
2016-02-18,0.0,38.64,38.64,38.64,0.0
2016-03-09,0.0,0.0,0.0,38.64,0.0
2016-03-10,0.0,0.0,0.0,38.64,0.0
2016-03-11,0.0,0.0,0.0,38.64,0.0
2016-03-14,0.0,0.0,0.0,38.64,0.0
2016-03-15,0.0,0.0,0.0,38.64,0.0
2016-03-16,0.0,0.0,0.0,38.64,0.0
2016-03-17,0.0,0.0,0.0,38.64,0.0
2016-03-18,0.0,0.0,0.0,38.64,0.0
2016-03-21,0.0,0.0,0.0,38.64,0.0
2016-03-22,0.0,0.0,0.0,38.64,0.0
2016-03-24,0.0,0.0,0.0,38.64,0.0
2016-03-25,0.0,0.0,0.0,38.64,0.0
2016-03-28,0.0,0.0,0.0,38.64,0.0
2016-03-29,0.0,0.0,0.0,38.64,0.0
2016-03-30,0.0,0.0,0.0,38.64,0.0
2016-03-31,0.0,0.0,0.0,38.64,0.0
2016-04-01,0.0,0.0,0.0,38.64,0.0
2016-04-04,0.0,0.0,0.0,38.64,0.0
