Date,Open,High,Low,Close,Volume
2002-01-02,4.25,4.3,4.2,4.25,13000.0
2002-01-03,4.25,4.4,4.4,4.4,1000.0
2002-01-07,4.4,4.45,4.3,4.3,16000.0
2002-01-08,4.3,4.6,4.6,4.6,500.0
2002-01-09,4.6,4.6,4.35,4.6,69000.0
2002-01-10,4.6,4.55,4.5,4.55,37500.0
2002-01-11,3.55,3.75,3.55,3.75,5000.0
2002-01-14,3.75,3.5,3.5,3.5,1000.0
2002-01-15,3.5,3.75,3.5,3.5,15500.0
2002-01-17,3.5,3.5,3.5,3.5,79500.0
2002-01-18,3.5,3.5,3.5,3.5,500.0
2002-01-23,3.5,3.65,3.6,3.65,11000.0
2002-01-24,3.65,3.75,3.75,3.75,5500.0
2002-01-25,3.75,3.7,3.7,3.7,6000.0
2002-01-28,3.7,3.85,3.65,3.85,10000.0
2002-01-29,3.85,4.0,3.9,4.0,12500.0
2002-01-30,4.0,4.1,4.0,4.1,10000.0
2002-01-31,4.1,4.1,4.0,4.0,11500.0
2002-02-01,4.0,4.15,4.0,4.0,4000.0
2002-02-04,4.0,4.25,4.1,4.25,13000.0
2002-02-06,4.25,4.3,4.25,4.3,1500.0
2002-02-07,4.3,4.05,4.0,4.05,5500.0
2002-02-08,4.05,4.25,4.1,4.25,1500.0
2002-02-11,4.25,4.1,4.0,4.1,12500.0
2002-02-12,4.1,4.0,4.0,4.0,21000.0
2002-02-13,4.0,4.05,4.05,4.05,13500.0
2002-02-14,4.05,4.0,4.0,4.0,3000.0
2002-02-15,4.0,4.3,4.05,4.1,21000.0
2002-02-18,4.1,4.1,4.1,4.1,109500.0
2002-02-19,4.1,4.15,4.1,4.15,5000.0
2002-02-20,4.15,4.15,4.05,4.05,27500.0
2002-02-21,4.05,4.15,4.05,4.1,4500.0
2002-02-26,4.1,4.1,4.1,4.1,6000.0
2002-02-27,4.1,4.1,4.0,4.1,12500.0
2002-02-28,4.1,4.15,4.1,4.1,7500.0
2002-03-01,4.1,4.25,4.2,4.25,7000.0
2002-03-04,4.25,4.25,4.2,4.25,7000.0
2002-03-05,4.25,4.3,4.15,4.3,47000.0
2002-03-06,4.3,4.45,4.2,4.45,46500.0
2002-03-07,4.45,4.4,4.4,4.4,5500.0
2002-03-08,4.4,4.4,4.1,4.4,4000.0
2002-03-11,4.4,4.3,4.25,4.3,3500.0
2002-03-12,4.3,4.4,4.35,4.4,13000.0
2002-03-14,4.4,4.45,4.35,4.45,19500.0
2002-03-15,4.45,4.55,4.4,4.4,50000.0
2002-03-18,4.4,4.45,4.35,4.45,55000.0
2002-03-19,4.45,4.45,4.4,4.45,13500.0
2002-03-20,4.45,4.45,4.2,4.45,36500.0
2002-03-21,4.45,4.45,4.4,4.45,17500.0
2002-03-22,4.45,4.45,4.4,4.45,17500.0
2002-03-26,4.45,4.35,4.3,4.35,8000.0
2002-03-27,4.35,4.35,4.3,4.3,39000.0
2002-03-28,4.3,4.35,4.35,4.35,2000.0
2002-03-29,4.35,4.4,4.3,4.4,5500.0
2002-04-01,4.4,4.4,4.4,4.4,11000.0
2002-04-02,4.4,4.45,4.4,4.45,16000.0
2002-04-03,4.45,4.5,4.35,4.5,17000.0
2002-04-04,4.5,4.5,4.5,4.5,500.0
2002-04-05,4.5,4.45,4.45,4.45,1000.0
2002-04-08,4.45,4.5,4.5,4.5,1000.0
2002-04-09,4.5,4.45,4.4,4.45,23000.0
2002-04-10,4.45,4.45,4.4,4.45,10500.0
