Date,Open,High,Low,Close,Volume
2007-05-02,10.0,21.4,18.25,18.5,2749000.0
2007-05-03,18.5,18.25,17.75,17.8,437500.0
2007-05-04,17.8,18.8,17.4,18.8,911500.0
2007-05-07,18.8,19.05,17.8,17.8,502000.0
2007-05-08,17.8,17.8,17.0,17.6,446000.0
2007-05-09,17.6,17.9,17.3,17.4,196000.0
2007-05-10,17.4,17.45,16.9,16.95,282500.0
2007-05-11,16.95,17.2,16.35,16.9,352500.0
2007-05-14,16.9,16.75,16.15,16.55,234000.0
2007-05-15,16.55,17.05,16.5,16.5,370000.0
2007-05-16,16.5,16.5,15.5,15.6,409500.0
2007-05-17,15.6,16.0,15.55,16.0,210500.0
2007-05-18,16.0,16.2,15.85,16.0,186000.0
2007-05-21,16.0,16.25,15.85,15.9,231500.0
2007-05-22,15.9,16.15,15.8,15.95,140500.0
2007-05-23,15.95,16.0,15.5,15.7,295500.0
2007-05-24,15.7,16.7,15.8,16.7,852000.0
2007-05-25,16.7,17.4,16.75,16.85,1658500.0
2007-05-28,16.85,17.4,16.85,17.2,780000.0
2007-05-29,17.2,17.4,16.8,17.0,563000.0
2007-05-30,17.0,17.1,16.75,16.8,230000.0
2007-05-31,16.8,17.2,16.75,16.9,289000.0
2007-06-01,16.9,16.95,16.35,16.55,288500.0
2007-06-04,16.55,16.65,16.0,16.3,342500.0
2007-06-05,16.3,16.7,16.3,16.4,466500.0
2007-06-06,16.4,16.5,16.05,16.05,173000.0
2007-06-07,16.05,16.3,15.6,15.75,259500.0
2007-06-08,15.75,15.95,15.5,15.65,227500.0
2007-06-11,15.65,16.0,15.7,15.7,228000.0
2007-06-12,15.7,16.25,15.7,16.05,405000.0
2007-06-13,16.05,16.65,16.0,16.35,781500.0
2007-06-14,16.35,16.75,16.2,16.25,943000.0
2007-06-15,16.25,16.25,15.8,16.0,452000.0
2007-06-18,16.0,16.2,16.0,16.1,221000.0
2007-06-19,16.1,16.3,15.95,16.0,445500.0
2007-06-20,16.0,16.15,15.95,15.95,179500.0
2007-06-21,15.95,16.65,15.95,16.25,846500.0
2007-06-22,16.25,16.4,15.6,16.0,331000.0
2007-06-25,16.0,16.25,15.95,16.1,259000.0
2007-06-26,16.1,16.25,16.0,16.0,154000.0
2007-06-27,16.0,17.0,16.1,17.0,1790000.0
2007-06-28,17.0,17.2,16.35,16.4,1705000.0
2007-06-29,16.4,17.05,16.45,16.5,1759500.0
