Date,Open,High,Low,Close,Volume
2022-10-04,1.01,1.01,0.01,1.01,1038500.0
2022-10-05,2.01,2.01,1.65,1.7,11881000.0
2022-10-06,1.68,2.5,1.4,2.01,13414000.0
2022-10-07,2.01,2.2,1.94,2.03,4146500.0
2022-10-10,2.0,2.13,1.92,1.99,4175000.0
2022-10-11,2.06,2.11,1.94,1.97,3257000.0
2022-10-12,2.0,2.1,1.96,1.97,1928000.0
2022-10-13,1.96,2.05,1.83,1.87,1343500.0
2022-10-14,1.71,2.15,1.47,1.72,10378000.0
2022-10-17,1.65,1.74,1.48,1.53,2435000.0
2022-10-18,1.36,1.75,1.36,1.4,2533000.0
2022-10-19,1.36,2.15,1.3,1.96,14800000.0
2022-10-20,2.01,2.01,1.76,1.84,6882500.0
2022-10-21,1.75,1.75,1.4,1.5,4687000.0
2022-10-24,1.58,1.58,0.62,0.86,7437500.0
2022-10-25,0.65,0.8,0.21,0.31,11058500.0
2022-10-26,0.26,0.26,0.01,0.02,14521000.0
