Date,Open,High,Low,Close,Volume
2016-06-21,0.0,69.96,69.96,69.96,0.0
2016-06-22,0.0,69.56,69.56,69.56,0.0
2016-06-23,66.1,66.1,66.1,66.1,1000.0
2016-06-24,66.1,66.1,66.1,66.1,500.0
2016-06-27,67.0,67.5,63.5,63.5,9500.0
2016-06-28,66.65,66.65,66.65,66.65,9000.0
2016-07-18,0.0,0.0,0.0,66.65,0.0
2016-07-19,69.0,69.0,69.0,69.0,1500.0
2016-07-20,0.0,0.0,0.0,69.0,0.0
2016-07-21,0.0,0.0,0.0,69.0,0.0
2016-07-22,0.0,0.0,0.0,69.0,0.0
2016-07-25,0.0,0.0,0.0,69.0,0.0
2016-07-26,65.55,65.55,65.55,65.55,500.0
2016-07-27,0.0,0.0,0.0,65.55,0.0
2016-07-28,63.0,63.0,63.0,63.0,500.0
2016-07-29,0.0,0.0,0.0,63.0,0.0
2016-08-01,0.0,0.0,0.0,63.0,0.0
2016-08-02,0.0,0.0,0.0,63.0,0.0
2016-08-03,0.0,0.0,0.0,63.0,0.0
2016-08-04,0.0,0.0,0.0,63.0,0.0
2016-08-05,0.0,0.0,0.0,63.0,0.0
2016-08-08,0.0,0.0,0.0,63.0,0.0
2016-08-09,0.0,0.0,0.0,63.0,0.0
2016-08-10,0.0,0.0,0.0,63.0,0.0
2016-08-11,61.0,66.15,61.0,66.15,1500.0
2016-08-12,0.0,0.0,0.0,66.15,0.0
2016-08-15,0.0,0.0,0.0,66.15,0.0
2016-08-16,64.01,64.01,63.0,63.51,4500.0
2016-08-17,65.9,66.68,64.2,66.45,12000.0
2016-08-18,65.51,67.49,65.0,67.49,5000.0
2016-08-19,66.99,66.99,66.99,66.99,500.0
2016-08-22,0.0,0.0,0.0,66.99,0.0
2016-08-23,0.0,0.0,0.0,66.99,0.0
2016-08-24,0.0,0.0,0.0,66.99,0.0
2016-08-25,68.5,68.5,67.0,67.99,1500.0
2016-08-26,66.5,68.49,65.0,68.49,6000.0
2016-08-29,0.0,0.0,0.0,68.49,0.0
2016-08-30,69.0,71.7,68.5,71.5,3000.0
2016-08-31,72.0,73.0,72.0,73.0,1500.0
2016-09-01,76.49,76.49,74.0,75.48,1500.0
2016-09-02,0.0,0.0,0.0,75.48,0.0
2016-09-05,75.8,79.25,75.8,78.9,3000.0
2016-09-06,79.0,79.0,75.5,75.5,1500.0
2016-09-07,74.0,79.27,74.0,76.0,2500.0
2016-09-08,77.5,77.5,73.1,74.0,2500.0
2016-09-09,0.0,0.0,0.0,74.0,0.0
2016-09-15,77.7,77.7,77.7,77.7,500.0
2016-09-16,80.0,80.0,80.0,80.0,500.0
2016-09-19,80.0,84.0,80.0,81.33,9500.0
2016-09-20,80.01,85.0,77.5,81.9,2500.0
2016-09-21,78.0,78.0,77.81,77.81,1000.0
2016-09-22,80.0,80.0,80.0,80.0,500.0
2016-09-23,83.5,83.5,80.0,83.5,3500.0
2016-09-26,86.0,86.0,80.0,83.0,1500.0
2016-09-27,80.0,87.15,80.0,87.15,12500.0
2016-09-28,90.0,90.99,84.0,86.0,10000.0
2016-09-29,85.0,88.99,85.0,88.99,1500.0
2016-09-30,90.0,90.0,84.56,85.0,2500.0
2016-10-03,0.0,0.0,0.0,85.0,0.0
2016-10-04,87.0,87.0,81.02,85.0,4000.0
2016-10-05,0.0,0.0,0.0,85.0,0.0
2016-10-06,84.99,84.99,80.75,80.75,1000.0
2016-10-07,0.0,0.0,0.0,80.75,0.0
2016-10-10,0.0,0.0,0.0,80.75,0.0
2016-10-13,0.0,0.0,0.0,80.75,0.0
2016-10-14,0.0,0.0,0.0,80.75,0.0
2016-10-17,0.0,0.0,0.0,80.75,0.0
2016-10-18,76.72,82.0,76.72,82.0,2500.0
2016-10-19,0.0,0.0,0.0,82.0,0.0
2016-10-20,81.5,81.5,81.5,81.5,1500.0
2016-10-21,81.0,81.5,81.0,81.5,1500.0
2016-10-24,0.0,0.0,0.0,81.5,0.0
2016-10-25,0.0,0.0,0.0,79.99,0.0
2016-10-26,76.05,76.05,75.99,75.99,3000.0
2016-10-27,77.0,77.0,72.2,72.2,5500.0
2016-10-28,0.0,0.0,0.0,72.2,0.0
2016-10-31,0.0,0.0,0.0,72.2,0.0
2016-11-01,74.5,75.8,74.5,75.27,2000.0
2016-11-02,77.49,77.99,77.49,77.99,11000.0
2016-11-03,75.0,79.0,75.0,79.0,2000.0
2016-11-04,0.0,79.0,79.0,79.0,500.0
2016-11-07,0.0,0.0,0.0,79.0,0.0
2016-11-08,78.0,78.0,78.0,78.0,500.0
2016-11-09,0.0,0.0,0.0,78.0,0.0
2016-11-10,0.0,0.0,0.0,78.0,0.0
2016-11-11,78.99,78.99,78.99,78.99,500.0
2016-11-14,0.0,0.0,0.0,78.99,0.0
2016-11-15,0.0,0.0,0.0,78.99,0.0
2016-11-16,0.0,0.0,0.0,78.99,0.0
2016-11-17,82.2,82.25,80.5,80.5,2000.0
2016-11-18,0.0,0.0,0.0,80.5,0.0
2016-11-21,83.0,83.0,79.0,79.0,1500.0
2016-11-22,0.0,0.0,0.0,79.0,0.0
2016-11-23,0.0,0.0,0.0,79.0,0.0
2016-11-24,0.0,0.0,0.0,79.0,0.0
2016-11-25,0.0,0.0,0.0,79.0,0.0
2016-11-28,0.0,0.0,0.0,79.0,0.0
2016-11-29,75.05,75.05,75.05,75.05,12500.0
2016-11-30,0.0,0.0,0.0,75.05,0.0
2016-12-01,74.0,74.85,71.3,74.85,7500.0
2016-12-02,0.0,0.0,0.0,74.85,0.0
2016-12-05,71.15,71.15,71.15,71.15,500.0
2016-12-06,73.0,73.0,71.15,73.0,1000.0
2016-12-07,0.0,0.0,0.0,73.0,0.0
2016-12-08,0.0,0.0,0.0,73.0,0.0
2016-12-09,0.0,0.0,0.0,73.0,0.0
2016-12-13,69.36,74.0,69.36,74.0,1000.0
2016-12-14,70.31,71.0,70.3,70.3,2500.0
2016-12-15,0.0,70.3,70.3,70.3,1000.0
2016-12-16,0.0,0.0,0.0,70.3,0.0
2016-12-19,70.0,70.0,70.0,70.0,1500.0
2016-12-20,0.0,0.0,0.0,70.0,0.0
2016-12-21,71.0,71.0,71.0,71.0,500.0
2016-12-22,0.0,0.0,0.0,71.0,0.0
2016-12-23,0.0,0.0,0.0,71.0,0.0
2016-12-26,68.0,69.0,68.0,69.0,1000.0
2016-12-27,71.0,71.0,71.0,71.0,500.0
2016-12-28,72.0,72.0,72.0,72.0,500.0
2016-12-29,69.51,70.5,69.51,70.5,1500.0
2016-12-30,72.0,72.0,72.0,72.0,500.0
