Date,Open,High,Low,Close,Volume
2001-01-01,13.5,13.9,13.9,13.9,500.0
2001-01-02,13.9,13.95,13.5,13.75,4000.0
2001-01-03,13.75,14.0,13.75,14.0,2000.0
2001-01-04,14.0,14.75,14.25,14.75,6000.0
2001-01-05,14.75,14.25,13.9,13.9,1500.0
2001-01-11,13.9,13.5,13.5,13.5,2000.0
2001-01-12,13.5,13.0,13.0,13.0,500.0
2001-01-16,13.0,7.15,7.15,7.15,1500.0
2001-01-17,7.15,12.0,11.5,12.0,2000.0
2001-01-22,12.0,12.0,12.0,12.0,500.0
2001-01-23,12.0,12.0,12.0,12.0,1000.0
2001-01-25,12.0,12.0,12.0,12.0,0.0
2001-01-26,12.0,12.0,12.0,12.0,0.0
2001-01-29,12.0,13.0,13.0,13.0,1500.0
2001-01-30,13.0,12.5,12.5,12.5,500.0
2001-02-12,12.5,12.5,12.5,12.5,1500.0
2001-02-19,12.5,7.2,7.2,7.2,1500.0
2001-02-23,7.2,11.9,11.9,11.9,1000.0
2001-03-01,11.9,11.9,11.9,11.9,0.0
2001-03-09,11.9,13.0,13.0,13.0,1500.0
2001-03-15,13.0,10.0,10.0,10.0,500.0
2001-03-16,10.0,12.95,10.0,10.0,2000.0
2001-03-20,10.0,10.0,10.0,10.0,1500.0
2001-03-22,10.0,10.0,10.0,10.0,500.0
2001-03-29,10.0,20.0,20.0,20.0,1000.0
2001-03-30,20.0,10.0,10.0,10.0,1000.0
2001-04-06,10.0,10.0,10.0,10.0,0.0
2001-04-13,10.0,10.0,10.0,10.0,14000.0
2001-04-19,10.0,10.0,10.0,10.0,1000.0
2001-05-04,10.0,8.0,8.0,8.0,500.0
2001-05-07,8.0,8.05,8.0,8.0,1000.0
2001-05-08,8.0,8.25,8.0,8.25,1000.0
2001-05-16,8.25,8.25,8.25,8.25,4000.0
2001-07-05,8.25,9.0,9.0,9.0,1000.0
2001-07-09,9.0,9.25,9.0,9.25,1500.0
2001-07-11,9.25,10.0,9.25,10.0,4000.0
2001-07-12,10.0,10.25,10.25,10.25,500.0
2001-07-13,10.25,10.0,10.0,10.0,500.0
2001-07-16,10.0,10.85,10.75,10.75,4500.0
2001-07-20,10.75,11.0,11.0,11.0,1000.0
2001-07-23,11.0,10.6,10.6,10.6,500.0
2001-07-24,10.6,10.6,10.6,10.6,500.0
2001-07-25,10.6,10.75,10.7,10.75,1500.0
2001-07-26,10.75,10.75,10.75,10.75,500.0
2001-07-27,10.75,10.5,10.5,10.5,2500.0
2001-08-02,10.5,11.0,10.5,11.0,1000.0
2001-08-07,11.0,11.2,11.2,11.2,500.0
2001-08-08,11.2,11.2,11.2,11.2,500.0
2001-08-09,11.2,11.95,11.55,11.95,1500.0
2001-08-17,11.95,11.5,11.5,11.5,3000.0
2001-08-22,11.5,11.5,11.5,11.5,1000.0
2001-08-29,11.5,11.0,11.0,11.0,1000.0
2001-09-11,11.0,11.5,11.5,11.5,500.0
2001-09-12,11.5,11.5,11.5,11.5,500.0
2001-09-13,11.5,11.5,11.5,11.5,2000.0
2001-09-24,11.5,11.5,11.0,11.5,4000.0
2001-10-10,11.5,11.5,11.5,11.5,3000.0
2001-10-18,11.5,11.5,11.5,11.5,500.0
2001-10-19,11.5,11.5,11.5,11.5,500.0
2001-11-01,11.5,12.0,12.0,12.0,500.0
2001-11-06,12.0,12.5,12.5,12.5,500.0
2001-11-13,12.5,12.5,12.5,12.5,2000.0
2001-11-15,12.5,13.0,12.8,12.8,2000.0
2001-11-19,12.8,12.8,12.8,12.8,0.0
2001-11-26,12.8,13.25,13.0,13.2,3500.0
2001-11-27,13.2,13.9,13.5,13.9,5000.0
2001-11-28,13.9,14.0,14.0,14.0,4000.0
2001-11-29,14.0,14.0,14.0,14.0,2000.0
2001-12-06,14.0,13.0,13.0,13.0,2000.0
2002-01-02,13.0,13.9,13.9,13.9,1000.0
2002-01-28,13.9,12.5,12.5,12.5,500.0
2002-01-29,12.5,12.0,12.0,12.0,1000.0
2002-01-31,12.0,13.4,13.4,13.4,500.0
2002-02-07,13.4,12.0,12.0,12.0,500.0
2002-02-26,12.0,13.5,12.55,12.55,1500.0
2002-02-28,12.55,12.5,12.5,12.5,500.0
2002-03-11,12.5,13.5,13.5,13.5,500.0
2002-03-12,13.5,13.5,13.5,13.5,500.0
2002-03-18,13.5,13.5,13.5,13.5,500.0
2002-03-19,13.5,13.5,13.5,13.5,500.0
2002-03-20,13.5,13.5,13.5,13.55,1000.0
2002-03-22,13.55,14.0,14.0,14.0,500.0
2002-04-02,14.0,15.0,15.0,15.0,500.0
2002-04-04,15.0,15.0,15.0,15.0,500.0
2002-04-05,15.0,15.0,15.0,15.0,500.0
2002-04-08,15.0,15.5,15.5,15.5,1000.0
2002-04-09,15.5,16.4,16.0,16.4,2000.0
2002-04-11,16.4,17.5,17.0,17.0,1500.0
2002-04-12,17.0,18.5,18.0,18.5,2000.0
2002-04-15,18.5,19.5,19.5,19.5,1500.0
2002-04-16,19.5,20.5,20.5,20.5,500.0
2002-04-17,20.5,19.55,19.55,19.55,500.0
2002-04-18,19.55,20.0,20.0,20.0,2500.0
2002-04-23,20.0,20.5,20.5,20.5,500.0
2002-04-24,20.5,20.0,20.0,20.0,500.0
2002-04-25,20.0,20.5,20.0,20.0,1000.0
2002-04-26,20.0,20.5,20.5,20.5,1500.0
2002-04-30,20.5,20.5,20.0,20.0,3000.0
2002-05-02,20.0,20.5,20.5,20.5,2500.0
2002-05-06,20.5,20.5,20.5,20.5,1000.0
2002-05-07,20.5,20.6,20.5,20.6,4000.0
