Date,Open,High,Low,Close,Volume
2001-01-01,25.5,25.0,25.0,25.0,500.0
2001-01-03,25.0,22.0,22.0,22.0,500.0
2001-01-04,22.0,26.0,22.0,22.0,3000.0
2001-01-05,22.0,22.2,22.05,22.2,1500.0
2001-01-09,22.2,21.1,21.05,21.05,1500.0
2001-01-15,21.05,21.75,21.5,21.75,1000.0
2001-01-16,21.75,24.0,22.0,22.7,8500.0
2001-01-17,22.7,24.75,23.5,24.75,4000.0
2001-01-18,24.75,27.0,22.25,22.25,3500.0
2001-01-22,22.25,25.5,23.0,23.0,2000.0
2001-01-23,23.0,25.4,22.5,23.0,5000.0
2001-01-24,23.0,23.0,23.0,23.0,2000.0
2001-01-25,23.0,23.0,23.0,23.0,0.0
2001-01-29,23.0,24.2,21.1,24.2,19500.0
2001-01-30,24.2,24.0,24.0,24.0,2000.0
2001-01-31,24.0,24.5,24.35,24.5,6500.0
2001-02-01,24.5,24.5,24.5,24.5,0.0
2001-02-06,24.5,23.75,23.25,23.75,1500.0
2001-02-07,23.75,24.0,23.25,24.0,4000.0
2001-02-08,24.0,24.5,24.0,24.25,14500.0
2001-02-12,24.25,24.0,24.0,24.0,1000.0
2001-02-14,24.0,23.0,22.7,22.7,1000.0
2001-02-27,22.7,22.5,22.5,22.5,500.0
2001-02-28,22.5,22.5,22.5,22.5,1000.0
2001-03-01,22.5,23.25,23.0,23.0,2000.0
2001-03-09,23.0,22.5,22.5,22.5,500.0
2001-03-14,22.5,22.5,22.5,22.5,2000.0
2001-03-15,22.5,22.75,22.5,22.75,1500.0
2001-03-19,22.75,22.75,22.75,22.75,1500.0
2001-03-20,22.75,22.75,22.75,22.75,500.0
2001-03-21,22.75,22.75,22.5,22.75,1000.0
2001-03-22,22.75,22.5,22.5,22.5,1000.0
2001-03-29,22.5,22.5,22.5,22.5,1000.0
2001-04-02,22.5,23.0,22.95,23.0,5500.0
2001-04-03,23.0,25.0,23.0,24.05,6000.0
2001-04-06,24.05,23.5,23.5,23.5,500.0
2001-04-10,23.5,28.0,24.0,25.5,13500.0
2001-04-11,25.5,24.5,24.5,24.5,1500.0
2001-04-12,24.5,25.0,24.5,25.0,11000.0
2001-04-13,25.0,25.05,25.05,25.05,500.0
2001-04-16,25.05,27.5,26.0,27.1,19000.0
2001-04-17,27.1,28.95,27.35,28.05,6000.0
2001-04-19,28.05,28.1,28.0,28.1,1500.0
2001-04-20,28.1,27.65,27.65,27.65,1000.0
2001-04-24,27.65,27.25,27.25,27.25,5000.0
2001-04-25,27.25,27.25,27.25,27.25,3000.0
2001-04-26,27.25,29.0,28.0,29.0,7500.0
2001-04-27,29.0,28.5,28.5,28.5,3000.0
2001-05-02,28.5,28.0,27.05,28.0,1500.0
2001-05-03,28.0,28.0,28.0,28.0,5000.0
2001-05-07,28.0,27.0,27.0,27.0,1000.0
2001-05-08,27.0,27.25,27.0,27.25,3000.0
2001-05-09,27.25,27.0,27.0,27.0,1500.0
2001-05-10,27.0,27.0,26.75,27.0,2500.0
2001-05-15,27.0,26.95,26.7,26.95,2500.0
2001-05-18,26.95,27.25,27.0,27.25,1500.0
2001-05-22,27.25,26.75,26.75,26.75,500.0
