Date,Open,High,Low,Close,Volume
2001-01-01,6.6,6.65,6.5,6.5,4500.0
2001-01-02,6.5,6.75,6.6,6.75,22000.0
2001-01-03,6.75,6.5,6.4,6.4,2000.0
2001-01-04,6.4,6.8,6.7,6.75,9500.0
2001-01-05,6.75,6.75,6.65,6.7,7500.0
2001-01-08,6.7,6.75,6.7,6.7,3500.0
2001-01-09,6.7,6.65,6.5,6.65,4500.0
2001-01-10,6.65,6.65,6.5,6.65,7000.0
2001-01-12,6.65,6.65,6.5,6.65,21000.0
2001-01-15,6.65,6.65,6.5,6.6,109500.0
2001-01-16,6.6,6.5,6.3,6.5,4500.0
2001-01-17,6.5,6.7,6.4,6.7,3000.0
2001-01-18,6.7,6.5,6.5,6.5,2500.0
2001-01-19,6.5,6.6,6.5,6.5,9500.0
2001-01-22,6.5,6.55,6.5,6.5,7000.0
2001-01-23,6.5,6.6,6.5,6.5,4000.0
2001-01-24,6.5,6.6,6.5,6.55,20000.0
2001-01-25,6.55,6.55,6.45,6.55,15000.0
2001-01-26,6.55,6.6,6.5,6.5,4000.0
2001-01-30,6.5,6.45,6.45,6.45,5000.0
2001-01-31,6.45,6.6,6.5,6.6,15000.0
2001-02-01,6.6,6.8,6.5,6.5,19500.0
2001-02-02,6.5,6.5,6.5,6.5,500.0
2001-02-06,6.5,6.75,6.6,6.75,3500.0
2001-02-07,6.75,6.55,6.5,6.5,10500.0
2001-02-08,6.5,6.5,6.5,6.5,12000.0
2001-02-09,6.5,6.5,6.5,6.5,35500.0
2001-02-12,6.5,6.5,6.5,6.5,7000.0
2001-02-13,6.5,6.6,6.5,6.55,13000.0
2001-02-14,6.55,6.55,6.5,6.5,4500.0
2001-02-15,6.5,6.6,6.5,6.5,55000.0
2001-02-16,6.5,6.5,6.5,6.5,3000.0
2001-02-19,6.5,6.35,6.25,6.3,2000.0
2001-02-20,6.3,6.5,6.4,6.4,5000.0
2001-02-21,6.4,6.25,6.25,6.25,3000.0
