Date,Open,High,Low,Close,Volume
2001-01-01,2.35,2.15,2.15,2.15,7000.0
2001-01-02,2.15,2.5,2.3,2.4,10000.0
2001-01-03,2.4,2.9,2.9,2.9,1000.0
2001-01-04,2.9,2.4,2.4,2.4,1000.0
2001-01-08,2.4,2.4,2.4,2.4,500.0
2001-01-09,2.4,2.4,2.4,2.4,1000.0
2001-01-10,2.4,2.2,2.2,2.2,500.0
2001-01-12,2.2,2.25,2.25,2.25,500.0
2001-01-17,2.25,2.25,2.25,2.25,500.0
2001-01-18,2.25,2.0,2.0,2.0,500.0
2001-01-19,2.0,2.05,2.05,2.05,2000.0
2001-01-22,2.05,2.65,2.65,2.65,1000.0
2001-01-23,2.65,2.4,2.4,2.4,3000.0
2001-01-24,2.4,2.4,2.4,2.4,1000.0
2001-01-26,2.4,2.15,2.15,2.15,3000.0
2001-01-29,2.15,2.15,2.15,2.15,500.0
2001-01-30,2.15,2.35,2.35,2.35,1500.0
2001-01-31,2.35,2.1,2.1,2.1,2000.0
2001-02-01,2.1,2.05,2.05,2.05,500.0
2001-02-07,2.05,2.05,2.0,2.0,2500.0
2001-02-08,2.0,2.25,2.25,2.25,2000.0
2001-02-14,2.25,2.2,2.2,2.2,500.0
2001-02-15,2.2,2.1,2.05,2.05,2500.0
2001-02-16,2.05,2.05,2.0,2.05,1500.0
2001-02-23,2.05,2.1,2.1,2.1,500.0
2001-02-26,2.1,2.0,2.0,2.0,1000.0
2001-02-27,2.0,1.55,1.55,1.55,500.0
2001-03-14,1.55,1.6,1.5,1.6,1000.0
2001-03-19,1.6,1.6,1.6,1.6,1000.0
2001-03-20,1.6,1.6,1.6,1.6,1000.0
2001-03-21,1.6,1.6,1.6,1.6,500.0
2001-04-06,1.6,1.5,1.5,1.5,500.0
2001-04-09,1.5,1.5,1.5,1.5,1000.0
2001-04-10,1.5,1.5,1.45,1.45,2500.0
2001-04-11,1.45,1.5,1.45,1.5,2500.0
