Date,Open,High,Low,Close,Volume
2001-01-03,22.0,22.5,22.0,22.5,2000.0
2001-01-04,22.5,21.85,21.85,21.85,500.0
2001-01-11,21.85,22.0,22.0,22.0,1000.0
2001-01-12,22.0,24.0,22.5,24.0,3500.0
2001-01-15,24.0,23.0,23.0,23.0,1000.0
2001-01-16,23.0,23.0,23.0,23.0,2500.0
2001-01-17,23.0,23.5,23.0,23.0,2500.0
2001-01-18,23.0,24.0,23.5,23.5,1500.0
2001-01-19,23.5,24.75,24.0,24.0,2000.0
2001-01-22,24.0,26.0,26.0,26.0,500.0
2001-01-23,26.0,24.0,24.0,24.0,500.0
2001-01-29,24.0,23.0,23.0,23.0,1000.0
2001-01-31,23.0,23.55,23.55,23.55,500.0
2001-02-06,23.55,24.0,24.0,24.0,500.0
2001-02-07,24.0,26.0,25.0,26.0,1000.0
2001-02-15,26.0,23.0,23.0,23.0,500.0
2001-02-20,23.0,23.8,23.5,23.5,1500.0
2001-02-21,23.5,24.75,24.7,24.75,1000.0
2001-02-23,24.75,24.75,23.25,24.75,4000.0
2001-02-26,24.75,23.0,20.0,20.0,12000.0
2001-02-27,20.0,20.5,20.25,20.25,4000.0
2001-02-28,20.25,20.5,20.0,20.0,16000.0
2001-03-01,20.0,20.2,20.05,20.2,4000.0
2001-03-02,20.2,19.7,19.7,19.7,1500.0
2001-03-19,19.7,18.0,18.0,18.0,1000.0
2001-03-22,18.0,18.0,18.0,18.0,5000.0
2001-03-26,18.0,18.0,17.2,17.9,1500.0
2001-03-27,17.9,18.0,17.9,17.9,1500.0
2001-03-29,17.9,17.8,17.8,17.8,1000.0
2001-03-30,17.8,17.85,17.85,17.85,500.0
2001-04-26,17.85,20.0,20.0,20.0,1000.0
2001-04-27,20.0,19.05,19.05,19.05,500.0
2001-05-03,19.05,20.5,20.25,20.25,1500.0
2001-05-04,20.25,20.25,20.25,20.25,2500.0
2001-05-09,20.25,20.0,20.0,20.0,500.0
2001-05-11,20.0,20.0,20.0,20.0,1000.0
2001-05-15,20.0,21.0,20.95,21.0,3000.0
2001-05-22,21.0,21.5,21.5,21.5,1000.0
