Date,Open,High,Low,Close,Volume
2015-05-27,15.0,15.0,15.0,15.0,230000.0
2015-05-28,0.0,15.99,15.99,15.99,0.0
2015-05-29,16.99,16.99,16.99,16.99,500.0
2015-06-01,0.0,17.98,17.98,17.98,0.0
2015-06-02,18.97,18.97,17.55,18.97,2621000.0
2015-06-03,19.35,19.97,19.08,19.97,1997500.0
2015-06-04,20.97,20.97,20.85,20.97,459000.0
2015-06-05,22.01,22.01,19.93,19.93,2691000.0
2015-06-08,18.93,20.49,18.93,20.23,1492500.0
2015-06-09,20.08,20.19,19.22,19.33,538500.0
2015-06-10,19.35,19.6,18.51,18.82,365000.0
2015-06-11,18.82,19.68,18.81,19.25,630000.0
2015-06-12,19.3,19.54,18.85,19.23,301000.0
2015-06-15,19.26,19.4,18.5,18.65,244000.0
2015-06-16,18.52,18.9,18.5,18.64,103500.0
2015-06-17,18.55,19.64,18.5,19.64,530000.0
2015-06-18,20.34,20.64,19.99,20.04,1720500.0
2015-06-19,20.0,20.15,19.6,19.72,224500.0
2015-06-22,19.35,19.36,19.02,19.12,89000.0
2015-06-23,19.09,19.3,18.81,18.93,68000.0
2015-06-24,19.29,19.4,18.91,19.11,953500.0
2015-06-25,18.95,19.39,18.3,18.45,498500.0
2015-06-26,18.64,18.74,18.11,18.29,216500.0
2015-06-29,18.11,18.99,18.0,18.82,430000.0
2015-06-30,18.7,19.18,18.5,18.74,76000.0
2015-07-01,18.99,19.74,18.87,19.53,921500.0
2015-07-02,19.25,20.1,19.25,19.6,832500.0
2015-07-03,19.51,19.52,19.2,19.3,142500.0
2015-07-06,19.16,19.3,18.55,18.86,418500.0
2015-07-07,19.0,19.75,18.7,19.62,901000.0
2015-07-08,20.4,20.62,19.9,20.22,1606500.0
2015-07-09,20.4,21.23,19.9,21.23,1918500.0
2015-07-10,21.75,22.29,20.8,21.1,1705000.0
2015-07-13,21.25,21.25,20.05,20.21,724500.0
2015-07-14,20.49,20.49,19.4,19.62,482000.0
2015-07-15,19.5,20.2,19.4,19.75,631000.0
2015-07-16,19.75,19.95,19.41,19.65,446000.0
2015-07-22,19.9,20.19,19.5,19.93,624000.0
2015-07-23,19.65,19.94,19.55,19.63,233000.0
2015-07-24,19.85,19.85,19.1,19.28,332000.0
2015-07-27,19.06,19.3,18.28,18.28,779000.0
2015-07-28,18.21,18.75,17.76,18.44,250000.0
2015-07-29,18.7,18.88,18.26,18.45,178000.0
2015-07-30,18.74,18.94,18.2,18.34,380500.0
2015-07-31,18.35,18.49,18.15,18.19,45000.0
2015-08-03,18.2,18.4,18.17,18.27,48500.0
2015-08-04,18.49,18.75,18.4,18.49,183500.0
2015-08-05,18.7,18.7,18.26,18.32,72500.0
2015-08-06,18.39,18.78,18.27,18.59,281000.0
2015-08-07,18.7,18.75,18.4,18.45,124500.0
2015-08-10,18.5,19.45,18.3,19.45,1173500.0
2015-08-11,19.61,20.4,19.36,20.2,1257500.0
2015-08-12,20.1,21.21,20.1,21.21,2678000.0
2015-08-13,22.27,22.27,22.27,22.27,282500.0
2015-08-17,23.38,23.38,22.38,23.38,9388500.0
2015-08-18,24.54,24.54,22.22,22.22,11884500.0
2015-08-19,22.0,22.2,21.11,21.15,3954500.0
2015-08-20,21.15,21.35,20.1,20.14,1557000.0
2015-08-21,19.86,19.91,19.14,19.14,1575500.0
2015-08-24,18.49,18.49,18.14,18.14,321000.0
2015-08-25,17.52,18.99,17.14,18.86,2850500.0
2015-08-26,18.5,18.89,17.86,18.03,1190500.0
2015-08-27,18.2,18.65,18.15,18.46,483500.0
2015-08-28,18.65,19.2,18.32,18.93,996500.0
