Date,Open,High,Low,Close,Volume
2001-01-02,5.4,4.0,4.0,4.0,1000.0
2001-02-21,4.0,3.0,3.0,3.0,2000.0
2002-02-19,3.0,3.25,3.25,3.25,500.0
2002-03-26,2.95,2.95,2.95,3.95,0.0
2002-04-01,3.95,5.0,5.0,5.0,0.0
2002-04-23,5.0,5.5,5.5,5.5,0.0
2002-04-24,5.5,6.5,6.5,6.5,0.0
2002-05-27,6.5,6.25,6.25,6.25,0.0
2002-06-14,6.25,6.0,6.0,6.0,0.0
2002-07-02,6.0,5.5,5.5,5.5,0.0
2002-07-03,5.5,5.0,5.0,5.0,0.0
2002-12-31,5.0,4.9,4.9,4.9,0.0
2003-01-15,4.9,4.75,4.75,4.75,1000.0
2003-02-27,4.75,4.5,4.5,4.5,0.0
2003-03-03,4.5,4.5,4.5,4.5,0.0
2003-05-16,4.5,4.5,4.5,4.5,4000.0
2003-05-26,4.5,4.0,4.0,4.0,1000.0
2003-06-06,4.0,3.0,3.0,3.0,3000.0
2003-06-24,3.0,3.5,3.5,3.5,0.0
2003-07-03,3.5,4.0,4.0,4.0,0.0
2003-07-09,4.0,4.5,3.0,4.5,3000.0
2003-09-08,4.5,6.0,6.0,6.0,0.0
2003-09-09,6.0,7.5,7.5,7.5,0.0
2003-09-10,7.5,9.0,9.0,9.0,500.0
2003-09-11,9.0,10.5,10.5,10.5,2500.0
2003-09-12,10.5,12.0,11.5,12.0,3000.0
2003-09-15,12.0,12.9,11.0,11.0,1000.0
2003-09-16,11.0,10.0,10.0,10.0,0.0
2003-09-17,10.0,9.0,9.0,9.0,0.0
2003-09-23,9.0,8.5,8.5,8.5,0.0
2003-09-24,8.5,8.0,8.0,8.0,0.0
2003-09-30,8.0,7.5,7.5,7.5,0.0
2003-11-24,7.5,7.5,7.5,7.5,500.0
2003-12-16,7.5,7.5,7.5,7.5,500.0
2003-12-17,7.5,6.5,6.5,6.5,0.0
2003-12-24,6.5,5.5,5.5,5.5,500.0
2004-01-16,5.5,5.25,5.25,5.25,0.0
2004-01-19,5.25,5.0,5.0,5.0,500.0
2004-01-21,5.0,4.0,4.0,4.0,500.0
2004-02-06,4.0,4.1,4.1,4.1,0.0
2004-02-09,4.1,4.25,4.25,4.25,0.0
2004-02-17,4.25,5.75,4.25,5.75,1500.0
2004-02-18,5.75,6.95,6.95,6.95,500.0
2004-02-26,6.95,6.95,6.95,6.95,500.0
2004-03-03,6.95,6.95,6.95,6.95,500.0
2004-03-09,6.95,7.0,7.0,7.0,1000.0
2004-04-02,7.0,7.5,7.5,7.5,2000.0
2004-04-07,7.5,8.0,8.0,8.0,0.0
2004-04-08,8.0,9.5,9.5,9.5,1000.0
2004-04-16,9.5,9.25,9.25,9.25,0.0
2004-04-19,9.25,9.0,9.0,9.0,0.0
2004-04-23,9.0,8.9,8.9,8.9,0.0
2004-04-26,8.9,8.75,8.75,8.75,0.0
2004-04-28,8.75,8.25,8.25,8.25,0.0
2004-04-30,8.25,8.0,8.0,8.0,0.0
2004-05-04,8.0,7.0,7.0,7.0,1000.0
2004-05-07,7.0,6.0,6.0,6.0,1000.0
2004-05-12,6.0,6.25,6.25,6.25,3000.0
2004-05-13,6.25,6.25,6.25,6.25,1000.0
2004-05-19,6.25,7.75,7.75,7.75,2000.0
2004-05-21,7.75,9.25,9.25,9.25,1000.0
2004-05-24,9.25,10.25,10.0,10.0,1000.0
2004-05-26,10.0,9.0,9.0,9.0,0.0
2004-05-27,9.0,10.5,10.5,10.5,1000.0
2004-05-28,10.5,12.0,12.0,12.0,2000.0
2004-05-31,12.0,13.5,13.5,13.5,0.0
2004-06-01,13.5,15.0,15.0,15.0,500.0
2004-06-02,15.0,16.5,16.5,16.5,0.0
2004-06-03,16.5,18.0,18.0,18.0,500.0
2004-06-04,18.0,19.5,19.5,19.5,5000.0
2004-06-07,19.5,21.0,18.7,20.0,16500.0
2004-06-08,20.0,19.25,19.25,19.25,500.0
2004-06-15,19.25,19.95,18.25,19.95,1500.0
2004-06-22,19.95,19.5,19.5,19.5,0.0
2004-06-25,19.5,19.0,19.0,19.0,0.0
2004-07-01,19.0,20.0,19.0,20.0,1000.0
2004-07-02,20.0,19.5,19.5,19.5,0.0
2004-07-07,19.5,19.9,19.0,19.9,2000.0
2004-07-08,19.9,20.0,20.0,20.0,1500.0
2004-07-14,20.0,20.0,20.0,20.0,500.0
2004-07-19,20.0,19.9,19.9,19.9,0.0
2004-07-26,19.9,19.75,19.75,19.75,0.0
2004-07-27,19.75,19.25,19.25,19.25,500.0
2004-07-28,19.25,18.75,18.75,18.75,0.0
2004-07-29,18.75,18.0,17.75,17.75,1000.0
2004-08-02,17.75,18.0,18.0,18.0,1000.0
2004-08-05,18.0,17.95,17.95,17.95,0.0
2004-08-19,17.95,17.9,17.9,17.9,0.0
2004-08-20,17.9,17.75,17.75,17.75,0.0
2004-09-07,17.75,17.5,17.5,17.5,500.0
2004-09-08,17.5,17.45,17.45,17.45,0.0
2004-09-10,17.45,17.25,17.25,17.25,0.0
2004-09-17,17.25,17.1,17.1,17.1,0.0
2004-09-22,17.1,17.0,17.0,17.0,0.0
2004-09-27,17.0,16.75,16.75,16.75,0.0
2004-12-29,16.75,16.75,16.75,16.75,1000.0
2005-01-03,16.75,16.75,16.75,16.75,500.0
2005-01-06,16.75,17.75,17.1,17.1,2000.0
2005-04-18,17.1,16.1,16.1,16.1,2000.0
2005-07-06,16.1,16.0,16.0,16.0,0.0
2005-08-08,16.0,15.9,15.9,15.9,0.0
2005-08-11,15.9,15.8,15.8,15.8,0.0
2005-09-30,15.8,14.8,14.8,14.8,500.0
2005-10-03,14.8,13.8,13.8,13.8,0.0
2005-10-04,13.8,12.8,12.8,12.8,0.0
2005-10-05,12.8,11.8,11.8,11.8,0.0
2005-10-06,11.8,10.8,10.8,10.8,0.0
2005-10-07,10.8,9.8,9.8,9.8,0.0
2005-10-17,9.8,9.9,9.9,9.9,2000.0
2005-10-19,9.9,8.9,8.9,8.9,500.0
2005-10-20,8.9,8.75,8.75,8.75,500.0
2005-10-24,8.75,8.5,8.5,8.5,0.0
2005-10-27,7.5,8.5,8.5,8.5,500.0
2005-11-14,8.5,9.5,9.5,9.5,500.0
2005-11-22,9.5,8.8,8.8,8.8,500.0
2005-11-24,8.8,8.8,8.8,8.8,500.0
2005-12-12,8.8,9.5,9.5,9.5,0.0
2005-12-13,9.5,9.75,9.75,9.75,0.0
2005-12-19,9.75,10.3,10.3,10.3,0.0
2005-12-20,10.3,11.0,11.0,11.0,2000.0
2005-12-21,11.0,12.0,12.0,12.0,0.0
2006-02-07,12.0,13.0,13.0,13.0,1000.0
2006-02-14,13.0,12.5,12.5,12.5,2000.0
2006-02-20,12.5,12.5,12.5,12.5,500.0
2006-02-23,12.5,13.0,13.0,13.0,1000.0
2006-03-29,13.0,13.0,13.0,13.0,500.0
2006-09-11,13.0,13.0,12.0,12.0,2000.0
2006-09-12,12.0,12.5,12.5,12.5,1000.0
2006-09-27,12.5,13.5,13.5,13.5,500.0
2006-09-29,13.5,12.9,12.9,12.9,0.0
2006-10-19,12.9,12.75,12.75,12.75,0.0
2006-11-27,12.75,12.5,12.5,12.5,0.0
2006-11-28,12.5,12.0,12.0,12.0,0.0
2006-11-30,12.0,11.0,11.0,11.0,0.0
2006-12-13,11.0,11.0,11.0,11.0,500.0
2006-12-14,11.0,10.9,10.9,10.9,0.0
2007-02-07,10.9,10.8,10.8,10.8,0.0
2007-02-13,10.8,10.75,10.75,10.75,0.0
2007-02-22,10.75,10.0,10.0,10.0,0.0
2007-05-08,10.0,10.0,10.0,10.0,500.0
2007-05-11,10.0,11.0,10.75,11.0,2500.0
2007-08-09,11.0,11.0,11.0,11.0,2500.0
2008-01-18,11.0,11.25,11.25,11.25,500.0
2008-01-23,11.25,11.0,11.0,11.0,2000.0
2008-01-28,11.0,11.0,10.95,11.0,1000.0
2008-02-04,11.0,11.0,11.0,11.0,500.0
2008-02-08,11.0,12.0,12.0,12.0,500.0
2008-02-11,12.0,12.9,12.0,12.0,3000.0
2008-02-12,12.0,12.0,12.0,12.0,500.0
2008-02-14,12.0,12.0,12.0,12.0,500.0
2008-02-19,12.0,12.0,12.0,12.0,500.0
2008-02-25,12.0,13.0,12.0,13.0,2000.0
2008-02-26,13.0,13.1,13.0,13.1,5500.0
2008-02-27,13.1,14.1,14.1,14.1,0.0
2008-03-10,14.1,14.5,14.5,14.5,0.0
2008-03-11,14.5,15.5,15.5,15.5,0.0
2008-03-12,15.5,16.0,16.0,16.0,500.0
2008-03-13,16.0,17.0,17.0,17.0,0.0
2008-03-17,17.0,18.0,18.0,18.0,500.0
2008-03-18,18.0,19.0,19.0,19.0,500.0
2008-03-19,19.0,20.0,20.0,20.0,0.0
2008-03-20,20.0,21.0,21.0,21.0,0.0
2008-03-24,21.0,22.05,22.05,22.05,0.0
2008-03-25,22.05,23.15,23.15,23.15,0.0
2008-03-26,23.15,24.3,24.3,24.3,0.0
2008-03-27,24.3,25.5,25.5,25.5,0.0
2008-03-31,25.5,26.75,26.75,26.75,0.0
2008-04-01,26.75,28.05,28.05,28.05,0.0
2008-04-02,28.05,29.45,29.45,29.45,1000.0
2008-04-03,29.45,30.9,30.9,30.9,2000.0
2008-04-04,30.9,32.4,32.3,32.3,2000.0
2008-04-07,32.3,33.9,33.0,33.9,6500.0
2008-04-08,33.9,35.55,33.0,35.55,2500.0
2008-04-09,35.55,37.3,37.3,37.3,3000.0
2008-04-11,37.3,38.0,38.0,38.0,1000.0
2008-04-15,38.0,37.0,37.0,37.0,6000.0
2008-04-18,37.0,36.0,35.15,35.15,6500.0
2008-04-21,35.15,35.0,35.0,35.0,1500.0
2008-04-22,35.0,36.75,35.25,36.75,1500.0
2008-04-23,36.75,38.55,35.25,38.55,6500.0
2008-04-24,38.55,37.0,37.0,37.0,1000.0
2008-04-25,37.0,36.0,36.0,36.0,1000.0
2008-04-28,36.0,36.0,36.0,36.0,1000.0
2008-04-30,36.0,37.8,37.8,37.8,500.0
2008-05-02,37.8,39.69,39.69,39.69,2000.0
2008-05-05,39.69,37.71,37.71,37.71,500.0
2008-05-06,37.71,35.83,35.83,35.83,1500.0
2008-05-07,35.83,35.75,35.75,35.75,500.0
2008-05-09,35.75,35.75,35.75,35.75,2500.0
2008-05-15,35.75,37.53,37.53,37.53,500.0
2008-05-19,37.53,39.4,39.4,39.4,1000.0
