Date,Open,High,Low,Close,Volume
2001-01-04,3.55,3.75,3.75,3.75,1000.0
2001-01-10,3.75,4.05,4.05,4.05,500.0
2001-01-31,4.05,4.0,4.0,4.0,500.0
2001-02-14,4.0,3.5,3.5,3.5,3500.0
2001-02-15,3.5,3.75,3.5,3.75,11000.0
2001-02-16,3.75,3.75,3.75,3.75,2000.0
2001-03-16,3.75,3.75,3.75,3.75,500.0
2001-04-23,3.75,3.75,3.75,3.75,500.0
2001-04-26,3.75,3.75,3.75,3.75,500.0
2001-05-07,3.75,3.75,3.2,3.75,2000.0
2001-05-21,3.75,2.75,2.75,2.75,1000.0
2001-05-29,2.75,3.5,3.5,3.5,1000.0
2001-06-01,3.5,4.0,3.0,4.0,7500.0
2001-06-12,4.0,3.5,3.5,3.5,500.0
2001-06-18,3.5,4.0,4.0,4.0,500.0
2001-06-25,4.0,5.0,5.0,5.0,1000.0
2001-06-27,5.0,4.0,4.0,4.0,1000.0
2001-06-29,4.0,5.0,5.0,5.0,1000.0
2001-07-05,5.0,4.5,4.5,4.5,500.0
2001-08-02,4.5,3.5,3.5,3.5,1000.0
2001-08-17,3.5,3.5,3.5,3.5,3000.0
2001-08-20,3.5,3.5,3.5,3.5,12000.0
2001-08-24,3.5,2.65,2.3,2.3,5000.0
2001-08-28,2.3,2.35,2.25,2.25,8000.0
2001-08-30,2.25,2.25,2.25,2.25,500.0
2001-08-31,2.25,2.25,2.0,2.0,20000.0
2001-09-04,2.0,2.0,2.0,2.0,500.0
2001-09-06,2.0,2.0,2.0,2.0,500.0
2001-09-26,2.0,2.5,2.5,2.5,1500.0
2001-09-27,2.5,2.5,2.5,2.5,1000.0
2001-10-01,2.5,3.0,2.9,3.0,9500.0
2001-10-02,3.0,3.75,3.15,3.75,15000.0
2001-10-10,3.75,3.6,3.6,3.6,3500.0
2001-10-11,3.6,4.0,4.0,4.0,2000.0
2001-10-12,4.0,4.0,4.0,4.0,2000.0
2001-10-18,4.0,3.9,3.85,3.85,11000.0
2001-10-19,3.85,3.9,3.9,3.9,500.0
2001-10-23,3.9,3.75,3.75,3.75,2000.0
2001-10-24,3.75,3.95,3.9,3.95,4500.0
2001-10-25,3.95,4.0,4.0,4.0,4000.0
2001-11-15,4.0,4.5,4.1,4.5,15500.0
2001-11-24,4.5,4.4,4.4,4.4,2000.0
2001-12-01,4.4,4.3,4.3,4.3,1000.0
2001-12-03,4.3,4.0,4.0,4.0,5000.0
2001-12-05,4.0,3.9,3.9,3.9,500.0
2001-12-27,3.9,3.75,3.7,3.7,1000.0
2002-01-07,3.7,3.6,3.6,3.6,500.0
2002-01-14,3.6,4.1,4.1,4.1,500.0
2002-01-17,4.1,4.3,3.85,4.3,7000.0
2002-01-18,4.3,4.65,4.3,4.65,6500.0
2002-01-21,4.65,4.4,4.4,4.4,500.0
2002-01-22,4.4,4.4,4.4,4.4,500.0
2002-01-24,4.4,4.1,4.1,4.1,500.0
2002-01-28,4.1,4.1,4.1,4.1,500.0
2002-01-29,4.1,5.4,4.4,5.4,8500.0
2002-01-31,5.4,6.5,6.5,6.5,2500.0
2002-02-06,6.5,5.15,5.15,5.15,5000.0
2002-02-26,5.15,5.1,5.1,5.1,500.0
2002-02-27,5.1,4.05,4.0,4.05,1500.0
2002-03-01,4.05,4.25,4.25,4.25,2000.0
2002-03-05,4.25,4.5,4.4,4.5,8500.0
2002-03-20,4.5,4.25,4.25,4.25,500.0
2002-03-21,4.25,4.25,3.0,4.0,3000.0
2002-03-26,4.0,4.1,4.1,4.1,0.0
2002-03-27,4.1,4.1,4.1,4.1,500.0
2002-03-28,4.1,4.2,4.2,4.2,0.0
2002-03-29,4.2,4.5,4.5,4.5,1000.0
2002-04-01,4.5,4.25,4.25,4.25,1000.0
2002-04-09,4.25,4.5,4.25,4.25,6500.0
2002-04-15,4.25,4.5,4.5,4.5,500.0
2002-04-17,4.5,5.0,4.75,4.95,12500.0
2002-04-18,4.95,4.65,4.6,4.6,7000.0
2002-04-22,4.6,4.95,4.95,4.95,10000.0
2002-04-23,4.95,4.9,4.9,4.9,0.0
2002-04-24,4.9,4.85,4.85,4.85,0.0
2002-04-29,4.85,4.7,4.7,4.7,0.0
2002-05-10,4.7,4.2,4.2,4.2,5000.0
2002-05-15,4.2,4.1,4.1,4.1,5000.0
2002-05-20,4.1,4.0,4.0,4.0,0.0
2002-05-22,4.0,4.0,4.0,4.0,500.0
2002-05-30,4.0,4.0,4.0,4.0,5000.0
2002-05-31,4.0,4.0,3.9,4.0,2500.0
2002-06-05,4.0,3.8,3.8,3.8,4000.0
2002-06-06,3.8,3.9,3.9,3.9,500.0
2002-06-07,3.9,3.8,3.8,3.8,1000.0
2002-06-10,3.8,3.8,3.8,3.8,3000.0
2002-06-11,3.8,3.8,3.8,3.8,2000.0
2002-06-12,3.8,3.8,3.8,3.8,2000.0
2002-06-14,3.8,3.9,3.8,3.9,2000.0
2002-06-17,3.9,3.6,3.6,3.6,500.0
2002-06-18,3.6,3.8,3.8,3.8,0.0
2002-06-21,3.8,3.95,3.9,3.95,2500.0
2002-06-24,3.95,4.0,3.9,4.0,1500.0
2002-06-25,4.0,4.0,3.85,3.85,6000.0
2002-06-26,3.85,3.9,3.9,3.9,2000.0
2002-07-01,3.9,3.8,3.8,3.8,500.0
2002-07-02,3.8,3.85,3.85,3.85,0.0
2002-07-09,3.85,3.85,3.85,3.85,500.0
2002-07-12,3.85,3.85,3.85,3.85,3000.0
2002-07-17,3.85,3.8,3.75,3.75,7500.0
2002-07-18,3.75,3.75,3.75,3.75,500.0
2002-07-24,3.75,3.75,3.75,3.75,1000.0
2002-07-29,3.75,3.7,3.7,3.7,0.0
2002-07-30,3.7,3.65,3.65,3.65,0.0
2002-07-31,3.65,3.65,3.65,3.65,2000.0
2002-08-01,3.65,4.0,3.9,3.9,2000.0
2002-08-02,3.9,3.95,3.9,3.95,7500.0
2002-08-06,3.95,3.95,3.95,3.95,1000.0
2002-08-09,3.95,4.1,4.0,4.1,5000.0
2002-08-12,4.1,4.05,4.05,4.05,0.0
2002-08-13,4.05,4.05,4.05,4.05,5000.0
2002-09-11,4.05,3.95,3.95,3.95,0.0
2002-09-12,3.95,3.9,3.9,3.9,500.0
2002-09-13,3.9,3.8,3.8,3.8,10000.0
2002-09-16,3.8,3.9,3.9,3.9,500.0
2002-09-20,3.9,3.6,3.6,3.6,10000.0
2002-09-25,3.6,3.65,3.65,3.65,0.0
2002-09-26,3.65,3.85,3.6,3.85,20000.0
2002-10-02,3.85,3.9,3.9,3.9,500.0
2002-10-07,3.9,4.0,4.0,4.0,1000.0
2002-10-08,4.0,4.0,4.0,4.0,4500.0
2002-10-09,4.0,4.1,4.1,4.1,10500.0
2002-10-17,4.1,3.9,3.8,3.8,2500.0
2002-10-18,3.8,3.8,3.8,3.8,500.0
2002-10-21,3.8,3.8,3.75,3.75,2000.0
2002-10-23,3.75,3.6,3.5,3.6,3500.0
2002-10-24,3.6,3.7,3.7,3.7,4500.0
2002-11-01,3.7,4.0,3.6,3.6,7000.0
2002-11-04,3.6,3.6,3.5,3.5,7500.0
2002-11-05,3.5,3.0,2.5,3.0,7000.0
2002-11-11,3.0,2.8,2.8,2.8,5000.0
2002-11-12,2.8,3.0,3.0,3.0,500.0
2002-11-15,3.0,3.0,3.0,3.0,500.0
2002-11-21,3.0,3.9,3.5,3.5,10500.0
2002-11-25,3.5,3.5,3.5,3.5,2000.0
2002-11-26,3.5,3.15,3.15,3.15,22500.0
2002-11-28,3.15,3.25,3.25,3.25,0.0
2002-12-02,3.25,3.25,3.25,3.25,500.0
2002-12-10,3.25,3.9,3.9,3.9,2000.0
2002-12-11,3.9,3.85,3.5,3.8,2500.0
2002-12-12,3.8,3.85,3.85,3.85,3000.0
2002-12-13,3.85,4.0,3.75,3.75,20500.0
2002-12-16,3.75,4.25,4.2,4.25,2500.0
2002-12-17,4.25,4.5,4.0,4.5,14500.0
2002-12-18,4.5,4.2,4.0,4.2,1500.0
2002-12-19,4.2,4.05,4.0,4.0,45500.0
2002-12-20,4.0,4.1,4.1,4.1,0.0
2002-12-23,4.1,4.1,4.1,4.1,1000.0
2002-12-24,4.1,4.15,4.15,4.15,0.0
2002-12-31,4.15,4.3,4.3,4.3,2000.0
2003-01-01,4.3,4.05,4.05,4.05,2000.0
2003-01-06,4.05,4.25,4.25,4.25,2000.0
2003-01-09,4.25,4.45,4.1,4.45,6000.0
2003-01-10,4.45,4.4,4.4,4.4,0.0
2003-01-14,4.4,4.5,4.5,4.5,2000.0
2003-01-21,4.5,4.1,4.1,4.1,3000.0
