Date,Open,High,Low,Close,Volume
2001-01-01,89.5,92.0,90.0,91.5,2600.0
2001-01-02,91.5,95.0,92.75,94.0,3600.0
2001-01-03,94.0,94.0,94.0,94.0,600.0
2001-01-08,94.0,93.0,92.0,92.0,1500.0
2001-01-09,92.0,92.0,92.0,92.0,500.0
2001-01-10,92.0,92.75,92.5,92.75,400.0
2001-01-11,92.75,92.0,91.05,91.05,2200.0
2001-01-12,91.05,91.0,90.0,90.0,3700.0
2001-01-15,90.0,89.5,85.0,88.0,1500.0
2001-01-23,88.0,85.5,85.5,85.5,100.0
2001-01-26,85.5,90.0,83.0,90.0,700.0
2001-01-29,90.0,85.1,84.0,84.1,2700.0
2001-01-30,84.1,84.55,84.0,84.55,2700.0
2001-01-31,84.55,85.25,85.25,85.25,500.0
2001-02-01,85.25,85.6,85.5,85.5,600.0
2001-02-02,85.5,89.0,87.0,89.0,400.0
2001-02-06,89.0,99.75,90.0,96.5,56800.0
2001-02-07,96.5,96.0,94.0,95.0,12300.0
2001-02-08,95.0,102.35,96.0,100.5,119200.0
2001-02-09,100.5,104.5,97.5,103.5,123600.0
2001-02-12,103.5,114.4,105.75,112.25,241600.0
2001-02-13,112.25,115.9,109.0,109.0,125400.0
2001-02-14,109.0,110.0,103.5,106.5,35500.0
2001-02-15,106.5,109.5,104.5,104.6,35100.0
2001-02-16,104.6,111.0,103.5,111.0,72400.0
2001-02-19,111.0,114.0,108.5,109.4,40800.0
2001-02-20,109.4,108.9,103.0,104.0,72400.0
2001-02-21,104.0,105.75,102.5,104.5,27000.0
2001-02-22,104.5,108.5,95.0,98.9,198500.0
2001-02-23,98.9,98.95,95.5,98.95,40100.0
2001-02-26,98.95,97.45,90.1,92.5,12000.0
2001-02-27,92.5,91.5,88.5,90.0,13400.0
2001-02-28,90.0,92.1,90.5,91.5,14800.0
2001-03-01,91.5,91.0,90.1,90.1,3700.0
2001-03-02,90.1,91.95,90.0,90.0,6200.0
2001-03-09,90.0,90.1,89.5,89.5,2000.0
2001-03-12,89.5,91.5,91.0,91.5,500.0
2001-03-13,91.5,86.5,85.0,85.0,1400.0
2001-03-14,85.0,86.0,85.0,86.0,4500.0
2001-03-15,86.0,85.1,84.05,84.35,2700.0
2001-03-16,84.35,84.0,83.25,83.5,2700.0
2001-03-19,83.5,84.05,84.05,84.05,100.0
2001-03-21,84.05,83.75,83.75,83.75,100.0
2001-03-22,83.75,83.0,79.0,83.0,800.0
2001-03-26,83.0,82.0,82.0,82.0,200.0
2001-03-27,82.0,81.25,81.25,81.25,100.0
2001-03-29,81.25,83.5,83.5,83.5,300.0
2001-03-30,83.5,82.5,81.0,82.5,1800.0
2001-04-09,82.5,81.5,81.1,81.5,2500.0
2001-04-11,81.5,83.0,81.5,83.0,2200.0
2001-04-12,83.0,83.25,83.0,83.25,700.0
2001-04-16,83.25,83.0,83.0,83.0,100.0
2001-04-17,83.0,85.0,84.9,85.0,2400.0
2001-04-19,85.0,85.75,85.0,85.15,4500.0
2001-04-20,85.15,85.25,84.0,84.0,2000.0
2001-04-23,84.0,85.0,85.0,85.0,100.0
2001-04-24,85.0,84.0,82.5,82.5,6400.0
2001-04-27,82.5,84.9,84.05,84.05,600.0
2001-05-02,80.55,83.2,80.55,83.2,2100.0
2001-05-03,83.2,82.1,82.0,82.0,900.0
2001-05-04,82.0,82.5,82.0,82.0,1200.0
2001-05-07,82.0,82.0,82.0,82.0,200.0
2001-05-08,82.0,82.0,82.0,82.0,600.0
2001-05-09,82.0,81.6,81.5,81.5,1400.0
2001-05-11,81.5,81.3,80.1,80.3,1500.0
2001-05-14,80.3,79.5,79.5,79.5,100.0
2001-05-15,79.5,79.5,79.5,79.5,100.0
2001-05-16,79.5,80.05,80.0,80.0,1100.0
2001-05-17,80.0,81.95,81.95,81.95,400.0
2001-05-18,81.95,80.0,79.8,79.8,600.0
2001-05-21,79.8,81.1,80.0,81.1,900.0
2001-05-22,81.1,82.3,81.0,81.0,2700.0
2001-05-23,81.0,80.0,79.0,79.0,1600.0
2001-05-24,79.0,79.3,79.3,79.3,1500.0
2001-05-25,79.3,79.05,79.05,79.05,100.0
2001-05-29,79.05,80.9,80.0,80.9,400.0
2001-05-31,80.9,80.4,79.5,80.4,1400.0
2001-06-01,80.4,80.1,79.15,79.5,1400.0
2001-06-04,79.5,80.8,79.55,80.8,400.0
2001-06-06,80.8,80.1,79.3,79.3,700.0
2001-06-07,79.3,79.5,79.25,79.25,1300.0
2001-06-08,79.25,79.0,78.1,78.1,1100.0
2001-06-11,78.1,80.9,80.9,80.9,100.0
2001-06-13,80.9,79.55,78.55,79.55,1000.0
2001-06-14,79.55,80.25,80.25,80.25,100.0
2001-06-18,80.25,80.0,80.0,80.0,100.0
2001-06-19,80.0,79.0,78.5,79.0,2600.0
2001-06-21,79.0,80.0,79.75,80.0,4100.0
2001-06-22,80.0,79.0,79.0,79.0,200.0
2001-06-25,79.0,83.4,81.0,81.3,19600.0
2001-06-26,81.3,83.6,81.0,83.15,38200.0
2001-06-27,83.15,85.85,83.0,83.1,83200.0
2001-06-28,83.1,84.7,83.1,83.25,26100.0
2001-06-29,83.25,85.0,81.3,82.0,45900.0
2001-07-03,82.0,82.75,81.0,81.0,8400.0
