Date,Open,High,Low,Close,Volume
2001-01-01,3.15,3.45,2.85,3.3,109000.0
2001-01-02,3.3,3.5,3.25,3.25,59500.0
2001-01-03,3.25,3.4,3.2,3.2,34000.0
2001-01-04,3.2,3.65,3.15,3.5,160500.0
2001-01-05,3.5,3.5,3.2,3.3,70500.0
2001-01-08,3.3,3.5,3.0,3.0,83000.0
2001-01-09,3.0,3.05,2.8,2.8,23500.0
2001-01-10,2.8,2.95,2.85,2.95,6500.0
2001-01-11,2.95,2.9,2.85,2.85,8000.0
2001-01-12,2.85,2.8,2.5,2.75,59500.0
2001-01-15,2.75,2.85,2.85,2.85,6500.0
2001-01-16,2.85,2.85,2.65,2.65,8500.0
2001-01-17,2.65,3.2,2.7,2.95,34000.0
2001-01-18,2.95,2.85,2.7,2.85,15000.0
2001-01-19,2.85,2.85,2.75,2.85,10000.0
2001-01-22,2.85,3.0,3.0,3.0,2000.0
2001-01-23,3.0,2.9,2.85,2.9,9500.0
2001-01-24,2.9,3.0,2.9,3.0,24000.0
2001-01-25,3.0,3.05,2.8,3.0,38000.0
2001-01-26,3.0,3.1,2.75,3.0,41500.0
2001-01-29,3.0,3.25,3.0,3.2,88000.0
2001-01-30,3.2,3.45,3.25,3.4,132000.0
2001-01-31,3.4,3.5,3.4,3.5,100000.0
2001-02-01,3.5,3.4,3.3,3.4,11500.0
2001-02-02,3.4,3.45,3.45,3.45,31500.0
2001-02-06,3.45,3.5,3.35,3.45,48500.0
2001-02-07,3.45,3.55,3.4,3.5,149000.0
2001-02-08,3.5,3.55,3.45,3.5,10500.0
2001-02-09,3.5,3.6,3.35,3.5,7500.0
2001-02-12,3.5,3.85,3.5,3.85,175000.0
2001-02-13,3.85,4.0,3.75,3.9,196000.0
2001-02-14,3.9,4.0,3.9,3.95,99500.0
2001-02-15,3.95,4.0,3.8,4.0,145000.0
2001-02-16,4.0,4.4,3.9,4.0,137500.0
2001-02-19,4.0,4.1,3.9,4.05,133500.0
2001-02-20,4.05,4.25,3.95,4.0,85000.0
2001-02-21,4.0,4.15,4.0,4.15,92500.0
2001-02-22,4.15,4.2,4.05,4.05,73000.0
2001-02-23,4.05,4.25,3.95,4.05,229000.0
2001-02-26,4.05,4.2,4.0,4.15,332500.0
2001-02-27,4.15,4.4,4.05,4.25,589000.0
2001-02-28,4.25,4.25,4.05,4.25,135000.0
2001-03-01,4.25,4.15,4.05,4.05,139500.0
2001-03-02,4.05,4.3,4.0,4.3,83000.0
2001-03-09,4.3,4.2,4.15,4.15,12500.0
2001-03-12,4.15,4.2,4.1,4.1,44500.0
2001-03-13,4.1,4.25,4.0,4.1,28500.0
2001-03-14,4.1,4.15,4.1,4.1,149000.0
2001-03-15,4.1,4.15,3.9,3.95,113500.0
2001-03-16,3.95,4.25,4.0,4.15,38000.0
2001-03-19,4.15,4.0,4.0,4.0,58500.0
2001-03-20,4.0,4.0,3.95,3.95,2000.0
2001-03-21,3.95,3.9,3.75,3.9,25000.0
2001-03-22,3.9,4.0,3.75,3.75,120500.0
2001-03-26,3.75,4.0,3.7,4.0,6500.0
2001-03-27,4.0,4.0,3.5,3.5,32000.0
2001-03-28,3.5,3.45,3.25,3.3,2000.0
2001-03-29,3.3,3.3,3.25,3.3,10500.0
2001-03-30,3.3,3.45,3.3,3.35,8500.0
2001-04-02,3.35,3.45,3.25,3.45,13000.0
2001-04-03,3.45,3.45,3.45,3.45,2500.0
2001-04-06,3.45,3.45,3.45,3.45,5000.0
2001-04-09,3.45,3.45,3.05,3.4,53500.0
2001-04-10,3.4,3.4,3.4,3.4,25000.0
2001-04-13,3.4,3.4,3.3,3.3,80500.0
2001-04-16,3.3,3.4,3.3,3.35,64500.0
2001-04-17,3.35,3.4,3.4,3.4,240000.0
2001-04-18,3.4,3.45,3.0,3.45,102000.0
2001-04-19,3.45,3.4,3.4,3.4,102000.0
2001-04-20,3.4,3.45,3.3,3.45,60500.0
2001-04-23,3.45,3.4,3.4,3.4,75000.0
2001-04-24,3.4,3.35,3.35,3.35,1000.0
2001-04-25,3.35,3.25,3.25,3.25,30500.0
2001-04-26,3.25,3.25,3.25,3.25,500.0
2001-04-27,3.25,3.25,3.25,3.25,38000.0
2001-04-30,3.25,3.4,3.25,3.4,22000.0
2001-05-02,3.4,3.35,3.0,3.0,39000.0
2001-05-04,3.0,3.3,3.05,3.3,5500.0
2001-05-07,3.3,3.2,2.8,2.8,12000.0
2001-05-08,2.8,2.85,2.8,2.8,2500.0
2001-05-09,2.8,2.9,2.75,2.9,1500.0
2001-05-10,2.9,2.7,2.5,2.7,10500.0
2001-05-15,2.7,2.8,2.65,2.8,1500.0
2001-05-16,2.8,2.7,2.7,2.7,2500.0
2001-05-17,2.7,2.8,2.65,2.8,5500.0
2001-05-18,2.8,2.7,2.5,2.65,76500.0
2001-05-21,2.65,2.7,2.7,2.7,500.0
2001-05-22,2.7,2.5,2.5,2.5,8000.0
2001-05-23,2.5,2.6,2.6,2.6,3500.0
2001-05-24,2.6,2.65,2.65,2.65,3500.0
2001-05-25,2.65,2.7,2.65,2.65,8500.0
2001-05-28,2.65,2.7,2.7,2.7,1000.0
2001-06-01,2.7,2.85,2.75,2.75,8000.0
2001-06-04,2.75,3.0,2.9,3.0,9500.0
2001-06-06,3.0,2.9,2.9,2.9,3500.0
2001-06-07,2.9,2.9,2.9,2.9,500.0
2001-06-08,2.9,2.75,2.75,2.75,500.0
2001-06-11,2.75,2.9,2.75,2.9,5500.0
2001-06-13,2.9,2.8,2.7,2.7,22000.0
2001-06-14,2.7,2.8,2.8,2.8,2000.0
2001-06-15,2.8,2.8,2.7,2.7,8500.0
2001-06-18,2.7,2.85,2.7,2.85,1000.0
2001-06-20,2.85,2.75,2.75,2.75,500.0
2001-06-21,2.75,2.7,2.7,2.7,4000.0
2001-06-22,2.7,2.7,2.7,2.7,5000.0
2001-06-25,2.7,2.75,2.75,2.75,1000.0
2001-06-26,2.75,2.75,2.75,2.75,2000.0
2001-06-27,2.75,2.75,2.75,2.75,3000.0
2001-06-28,2.75,2.85,2.75,2.8,2000.0
2001-06-29,2.8,2.8,2.8,2.8,1000.0
2001-07-03,2.8,2.8,2.8,2.8,2000.0
2001-07-04,2.8,2.8,2.5,2.8,11500.0
2001-07-05,2.8,2.8,2.8,2.8,500.0
2001-07-06,2.8,2.8,2.8,2.8,2500.0
2001-07-09,2.8,2.65,2.65,2.65,20500.0
2001-07-12,2.65,2.6,2.6,2.6,1000.0
2001-07-19,2.6,2.4,2.4,2.4,2000.0
2001-07-23,2.4,1.55,1.55,1.55,1000.0
2001-07-24,1.55,2.25,2.25,2.25,3000.0
2001-07-26,2.25,2.35,2.35,2.35,2000.0
2001-07-31,2.35,2.1,2.05,2.05,4500.0
2001-08-01,2.05,2.1,2.1,2.1,1000.0
2001-08-02,2.1,2.15,2.15,2.15,500.0
