Date,Open,High,Low,Close,Volume
2001-01-15,19.5,19.5,19.5,19.5,0.0
2001-05-15,19.5,27.0,27.0,27.0,500.0
2001-05-24,27.0,27.0,27.0,27.0,0.0
2001-12-15,25.0,25.0,25.0,25.0,0.0
2002-04-12,25.0,26.85,26.85,26.85,0.0
2002-05-20,26.85,28.0,28.0,28.0,0.0
2002-09-10,28.0,28.5,28.5,28.5,0.0
2002-10-01,28.5,30.6,30.6,30.6,0.0
2002-10-21,28.6,28.6,28.6,28.6,0.0
2002-12-12,28.6,30.0,30.0,30.0,0.0
2003-01-23,30.0,31.0,31.0,31.0,0.0
2003-05-13,31.0,33.3,33.3,33.3,0.0
2003-05-14,33.3,35.75,35.75,35.75,0.0
2003-05-16,35.75,38.4,38.4,38.4,0.0
2003-05-20,38.4,41.25,41.25,41.25,0.0
2003-05-21,41.25,44.3,44.3,44.3,0.0
2003-05-22,44.3,47.6,47.6,47.6,0.0
2003-05-23,47.6,51.15,51.15,51.15,0.0
2003-05-27,51.15,54.95,54.95,54.95,30000.0
2003-05-29,54.95,59.0,59.0,59.0,0.0
2003-09-22,59.0,63.4,63.4,63.4,0.0
2003-10-20,61.6,62.0,62.0,62.0,0.0
2004-01-13,62.0,66.0,66.0,66.0,0.0
2004-01-28,66.0,70.95,70.95,70.95,0.0
2004-02-06,70.95,71.0,71.0,71.0,0.0
2004-02-09,71.0,72.0,72.0,72.0,0.0
2004-02-16,72.0,73.0,73.0,73.0,0.0
2004-02-17,73.0,74.0,74.0,74.0,0.0
2004-02-18,74.0,79.55,79.55,79.55,0.0
2004-02-27,79.55,85.5,85.5,85.5,0.0
2004-04-16,85.5,91.0,91.0,91.0,0.0
2004-04-26,91.0,97.8,97.8,97.8,0.0
2004-04-29,97.8,105.0,105.0,105.0,0.0
2004-04-30,105.0,110.0,110.0,110.0,0.0
2004-05-18,110.0,111.0,111.0,111.0,0.0
2004-05-24,111.0,112.0,112.0,112.0,0.0
2004-06-15,112.0,120.4,120.4,120.4,30000.0
2004-08-09,120.4,121.0,121.0,121.0,0.0
2004-09-29,121.0,124.0,124.0,124.0,0.0
2004-09-30,124.0,125.0,125.0,125.0,0.0
2004-10-04,125.0,125.1,125.1,125.1,0.0
2004-11-30,123.1,128.5,128.5,128.5,0.0
2004-12-09,128.5,130.0,130.0,130.0,0.0
2004-12-14,130.0,130.1,130.1,130.1,0.0
2004-12-17,130.1,139.0,139.0,139.0,0.0
2004-12-20,139.0,145.0,145.0,145.0,0.0
2005-01-04,145.0,155.85,155.85,155.85,0.0
2005-02-11,155.85,160.0,160.0,160.0,0.0
2005-02-17,160.0,161.0,161.0,161.0,0.0
2005-02-18,161.0,162.0,162.0,162.0,0.0
2005-03-24,162.0,174.15,174.15,174.15,0.0
2005-04-18,174.15,186.0,186.0,186.0,0.0
2005-04-19,186.0,188.0,188.0,188.0,0.0
2005-04-27,188.0,191.0,191.0,191.0,0.0
2005-05-02,191.0,192.0,192.0,192.0,0.0
2005-05-23,192.0,198.0,198.0,198.0,0.0
2005-05-25,198.0,207.9,207.9,207.9,0.0
2005-06-06,207.9,218.25,218.25,218.25,0.0
2005-09-19,218.25,220.0,220.0,220.0,0.0
2005-11-08,218.0,228.9,220.0,228.9,200.0
2005-12-19,228.9,228.9,228.9,228.9,100.0
2006-01-17,228.9,240.3,240.3,240.3,0.0
2006-05-25,240.3,240.35,240.35,240.35,0.0
2006-05-26,240.35,252.35,240.35,252.35,600.0
2006-05-31,252.35,240.75,239.75,240.75,200.0
2006-06-01,240.75,245.0,245.0,245.0,0.0
2006-07-17,245.0,245.0,245.0,245.0,300.0
2006-08-10,245.0,250.0,250.0,250.0,0.0
2006-11-07,248.0,260.0,260.0,260.0,0.0
2009-07-23,256.0,268.8,268.8,268.8,0.0
2009-07-28,268.8,282.24,282.24,282.24,0.0
2009-07-29,282.24,296.35,296.35,296.35,0.0
2009-07-30,296.35,311.16,311.16,311.16,0.0
2009-08-04,311.16,326.71,326.71,326.71,0.0
2009-08-06,326.71,343.0,343.0,343.0,0.0
2009-08-10,343.0,360.15,360.15,360.15,0.0
2009-08-27,360.15,378.15,378.15,378.15,0.0
2009-09-09,378.15,397.05,397.05,397.05,0.0
2009-10-05,397.05,416.9,416.9,416.9,0.0
2009-10-07,416.9,437.74,437.74,437.74,0.0
2009-10-08,437.74,459.62,459.62,459.62,0.0
2009-10-12,459.62,482.6,482.6,482.6,0.0
2009-10-13,482.6,485.0,485.0,485.0,0.0
2009-12-22,483.0,507.0,507.0,507.0,0.0
2015-10-14,0.0,0.0,0.0,492.0,0.0
2015-10-19,0.0,0.0,0.0,492.0,0.0
2015-10-21,0.0,0.0,0.0,492.0,0.0
2015-10-22,0.0,0.0,0.0,492.0,0.0
2015-10-26,0.0,0.0,0.0,492.0,0.0
2015-10-27,0.0,0.0,0.0,492.0,0.0
2015-10-28,0.0,0.0,0.0,492.0,0.0
2015-10-29,0.0,0.0,0.0,492.0,0.0
2015-10-30,0.0,0.0,0.0,492.0,0.0
2015-11-02,0.0,0.0,0.0,492.0,0.0
2015-11-03,0.0,0.0,0.0,492.0,0.0
2015-11-04,0.0,0.0,0.0,492.0,0.0
2015-11-05,0.0,0.0,0.0,492.0,0.0
2015-11-06,0.0,0.0,0.0,492.0,0.0
2015-11-09,0.0,0.0,0.0,492.0,0.0
2015-11-10,0.0,0.0,0.0,492.0,0.0
2015-11-11,0.0,0.0,0.0,492.0,0.0
2015-11-12,0.0,0.0,0.0,492.0,0.0
2015-11-13,0.0,0.0,0.0,492.0,0.0
2015-11-16,0.0,0.0,0.0,492.0,0.0
2015-11-17,0.0,0.0,0.0,492.0,0.0
2015-11-18,0.0,0.0,0.0,492.0,0.0
2015-11-19,0.0,0.0,0.0,492.0,0.0
2015-11-20,0.0,0.0,0.0,492.0,0.0
2015-11-23,0.0,0.0,0.0,492.0,0.0
2015-11-24,0.0,0.0,0.0,492.0,0.0
2015-11-25,0.0,0.0,0.0,492.0,0.0
2015-11-26,0.0,0.0,0.0,492.0,0.0
2015-11-27,0.0,0.0,0.0,492.0,0.0
2015-11-30,0.0,0.0,0.0,492.0,0.0
2015-12-01,0.0,0.0,0.0,492.0,0.0
2015-12-02,0.0,0.0,0.0,492.0,0.0
2015-12-03,0.0,0.0,0.0,492.0,0.0
2015-12-04,0.0,0.0,0.0,492.0,0.0
2015-12-07,0.0,0.0,0.0,492.0,0.0
2015-12-08,0.0,0.0,0.0,492.0,0.0
2015-12-09,0.0,0.0,0.0,492.0,0.0
2015-12-10,0.0,0.0,0.0,492.0,0.0
2015-12-11,0.0,0.0,0.0,492.0,0.0
2015-12-14,0.0,0.0,0.0,492.0,0.0
2015-12-15,0.0,0.0,0.0,492.0,0.0
2015-12-16,0.0,0.0,0.0,492.0,0.0
2015-12-17,0.0,0.0,0.0,492.0,0.0
2015-12-18,0.0,0.0,0.0,492.0,0.0
2015-12-21,0.0,0.0,0.0,492.0,0.0
2015-12-22,0.0,0.0,0.0,492.0,0.0
2015-12-23,0.0,0.0,0.0,492.0,0.0
2015-12-28,0.0,0.0,0.0,492.0,0.0
2015-12-29,0.0,0.0,0.0,492.0,0.0
2015-12-30,0.0,0.0,0.0,492.0,0.0
2015-12-31,0.0,0.0,0.0,492.0,0.0
2016-01-01,0.0,0.0,0.0,492.0,0.0
2016-01-04,0.0,0.0,0.0,492.0,0.0
2016-01-05,0.0,0.0,0.0,492.0,0.0
2016-01-06,0.0,0.0,0.0,492.0,0.0
2016-01-07,0.0,0.0,0.0,492.0,0.0
2016-01-08,0.0,0.0,0.0,492.0,0.0
2016-01-09,0.0,0.0,0.0,492.0,0.0
2016-01-10,0.0,0.0,0.0,492.0,0.0
2016-01-11,0.0,0.0,0.0,492.0,0.0
2016-01-12,0.0,0.0,0.0,492.0,0.0
2016-01-13,0.0,0.0,0.0,492.0,0.0
2016-01-14,0.0,0.0,0.0,492.0,0.0
2016-01-15,0.0,0.0,0.0,492.0,0.0
2016-01-18,0.0,0.0,0.0,492.0,0.0
2016-01-19,0.0,0.0,0.0,492.0,0.0
2016-01-20,0.0,0.0,0.0,492.0,0.0
2016-01-21,0.0,0.0,0.0,492.0,0.0
2016-01-22,0.0,0.0,0.0,492.0,0.0
2016-01-25,0.0,0.0,0.0,492.0,0.0
2016-01-26,0.0,0.0,0.0,492.0,0.0
2016-01-27,0.0,0.0,0.0,492.0,0.0
2016-01-28,0.0,0.0,0.0,492.0,0.0
2016-01-29,0.0,0.0,0.0,492.0,0.0
2016-02-01,0.0,0.0,0.0,492.0,0.0
2016-02-02,0.0,0.0,0.0,492.0,0.0
2016-02-03,0.0,0.0,0.0,492.0,0.0
2016-02-04,0.0,0.0,0.0,492.0,0.0
2016-02-08,0.0,0.0,0.0,492.0,0.0
2016-02-09,0.0,0.0,0.0,492.0,0.0
2016-02-10,0.0,0.0,0.0,492.0,0.0
2016-02-11,0.0,0.0,0.0,492.0,0.0
2016-02-12,0.0,0.0,0.0,492.0,0.0
2016-02-15,0.0,0.0,0.0,492.0,0.0
2016-02-16,0.0,0.0,0.0,492.0,0.0
2016-02-17,0.0,0.0,0.0,492.0,0.0
2016-02-18,0.0,0.0,0.0,492.0,0.0
2016-02-19,0.0,0.0,0.0,492.0,0.0
2016-02-22,0.0,0.0,0.0,492.0,0.0
2016-02-23,0.0,0.0,0.0,492.0,0.0
2016-02-24,0.0,0.0,0.0,492.0,0.0
2016-02-25,0.0,0.0,0.0,492.0,0.0
2016-02-26,0.0,0.0,0.0,492.0,0.0
2016-02-29,0.0,0.0,0.0,492.0,0.0
2016-03-01,0.0,0.0,0.0,492.0,0.0
2016-03-02,0.0,0.0,0.0,492.0,0.0
2016-03-03,0.0,0.0,0.0,492.0,0.0
2016-03-04,0.0,0.0,0.0,492.0,0.0
2016-03-07,0.0,0.0,0.0,492.0,0.0
