Date,Open,High,Low,Close,Volume
2001-01-16,12.6,12.6,12.6,12.6,500.0
2001-02-01,12.6,12.6,12.6,12.6,0.0
2001-02-02,12.6,13.5,13.5,13.5,1000.0
2001-02-06,13.5,14.0,14.0,14.0,3000.0
2001-02-08,14.0,13.55,13.5,13.5,1500.0
2001-02-26,13.5,13.0,13.0,13.0,5000.0
2001-03-09,13.0,13.0,13.0,13.0,0.0
2001-03-13,13.0,11.0,11.0,11.0,500.0
2001-03-22,11.0,12.0,12.0,12.0,500.0
2001-03-26,11.33,11.33,11.33,11.33,0.0
2001-04-03,11.33,11.33,11.33,11.33,0.0
2001-04-16,11.33,12.95,11.25,12.95,1000.0
2001-05-02,12.95,12.0,12.0,12.0,2000.0
2001-10-24,12.0,13.5,13.5,13.5,10000.0
2001-10-31,13.5,12.85,12.85,12.85,1000.0
2001-11-01,12.85,12.25,12.25,12.25,1000.0
2001-12-03,11.25,11.25,11.25,11.25,0.0
2002-03-22,11.25,11.0,11.0,11.0,0.0
2002-04-09,11.0,10.5,10.5,10.5,2000.0
2002-04-11,10.5,11.0,11.0,11.0,500.0
2002-04-15,10.83,10.83,10.83,10.83,0.0
2002-04-16,10.83,10.85,10.85,10.85,0.0
2002-04-30,10.85,11.25,11.25,11.25,500.0
2002-07-11,11.25,10.9,10.9,10.9,0.0
2002-07-18,10.9,10.65,10.65,10.65,0.0
2002-07-25,10.65,10.15,10.15,10.15,0.0
2002-09-20,10.15,10.25,10.25,10.25,0.0
2002-09-23,10.25,10.0,10.0,10.0,500.0
2002-09-24,10.0,10.0,10.0,10.0,500.0
2002-09-27,10.0,9.5,9.5,9.5,0.0
2002-10-08,9.5,9.0,9.0,9.0,0.0
2002-10-24,8.0,8.0,8.0,8.0,0.0
2002-11-20,8.0,8.0,8.0,8.0,1000.0
2002-11-21,8.0,8.0,8.0,8.0,1000.0
2002-11-26,8.0,8.05,8.05,8.05,0.0
2002-12-04,8.05,8.1,8.1,8.1,0.0
2002-12-10,8.1,9.6,9.6,9.6,1000.0
2002-12-11,9.6,10.5,10.5,10.5,2000.0
2002-12-12,10.5,10.25,10.25,10.25,20000.0
2002-12-20,10.25,9.25,9.25,9.25,12000.0
2002-12-23,9.25,10.0,9.5,9.5,1000.0
2002-12-27,9.5,11.0,11.0,11.0,1000.0
2002-12-30,11.0,10.0,10.0,10.0,0.0
2002-12-31,10.0,10.0,10.0,10.0,500.0
2003-01-02,10.0,10.0,10.0,10.0,1000.0
2003-01-06,10.0,9.1,9.1,9.1,500.0
