Date,Open,High,Low,Close,Volume
2001-01-03,29.5,29.5,29.5,29.5,500.0
2001-02-07,29.5,29.5,29.5,29.5,500.0
2001-02-08,29.5,32.5,32.5,32.5,500.0
2001-02-14,32.5,30.0,30.0,30.0,500.0
2001-02-27,30.0,27.5,25.0,25.0,3000.0
2001-03-01,25.0,31.25,30.0,31.25,10500.0
2001-03-02,31.25,32.75,31.25,31.9,6500.0
2001-03-09,31.9,31.9,31.9,31.9,0.0
2001-03-12,31.9,32.0,30.5,30.5,4500.0
2001-03-14,30.5,26.1,26.1,26.1,500.0
2001-03-21,26.1,30.0,30.0,30.0,500.0
2001-03-22,23.0,28.0,23.0,28.0,4500.0
2001-04-26,28.0,28.0,28.0,28.0,0.0
2001-05-09,28.0,26.0,26.0,26.0,500.0
2001-05-10,26.0,25.0,25.0,25.0,1500.0
2001-05-11,25.0,26.0,25.85,26.0,6500.0
2001-05-14,26.0,25.0,25.0,25.0,2000.0
2001-05-15,25.0,25.0,25.0,25.0,1000.0
2001-05-16,25.0,26.4,26.35,26.4,1500.0
2001-05-17,26.4,26.0,25.95,26.0,2000.0
2001-05-29,26.0,29.0,25.0,29.0,149000.0
2001-05-30,29.0,31.0,28.0,31.0,137500.0
2001-07-09,31.0,29.95,27.85,29.95,9500.0
2001-07-30,29.95,26.0,25.5,25.5,1000.0
2001-08-03,25.5,25.5,25.5,25.5,500.0
2001-10-04,25.5,24.5,24.5,24.5,500.0
2001-10-19,24.5,27.05,27.0,27.05,1000.0
2001-10-22,27.05,32.0,32.0,32.0,500.0
2001-10-25,32.0,31.0,31.0,31.0,500.0
2002-01-16,31.0,33.0,32.95,32.95,1000.0
2002-01-24,32.95,31.9,31.9,31.9,500.0
2002-01-28,31.9,30.0,30.0,30.0,500.0
2002-02-04,30.0,30.0,30.0,30.0,500.0
2002-02-06,30.0,29.0,29.0,29.0,1000.0
2002-02-07,29.0,30.0,30.0,30.0,1000.0
2002-02-11,30.0,30.0,30.0,30.0,500.0
2002-02-12,30.0,30.1,30.1,30.1,500.0
2002-02-13,30.1,31.0,31.0,31.0,1500.0
2002-02-19,31.0,30.0,30.0,30.0,1000.0
2002-02-21,30.0,32.0,30.95,30.95,1000.0
2002-02-26,30.95,31.0,31.0,31.0,500.0
2002-02-27,31.0,31.0,30.8,30.95,3500.0
2002-02-28,30.95,31.0,31.0,31.0,5500.0
2002-03-04,31.0,31.0,31.0,31.0,1000.0
2002-03-06,31.0,32.3,31.95,32.3,1500.0
2002-03-08,32.3,34.7,34.0,34.7,7000.0
2002-03-11,34.7,37.3,34.25,35.0,2500.0
2002-03-12,35.0,35.0,34.8,35.0,16000.0
2002-03-13,35.0,35.0,34.9,34.9,2500.0
2002-03-14,34.9,35.0,34.5,34.5,5500.0
2002-03-15,34.5,34.5,34.5,34.5,8000.0
2002-03-18,29.5,29.5,29.5,29.5,0.0
2002-04-01,29.5,30.0,30.0,30.0,500.0
2002-04-04,30.0,29.0,29.0,29.0,10000.0
2002-04-09,29.0,29.05,28.8,29.0,62500.0
2002-04-10,29.0,30.0,29.0,30.0,35500.0
2002-04-11,30.0,30.5,30.25,30.5,2000.0
2002-04-12,30.5,30.9,30.9,30.9,1000.0
2002-04-15,30.9,32.5,31.75,32.5,5000.0
2002-04-16,32.5,32.0,32.0,32.0,0.0
2002-04-18,32.0,31.5,31.5,31.5,1500.0
2002-04-19,31.5,32.0,32.0,32.0,500.0
2002-04-23,32.0,32.0,32.0,32.0,1500.0
2002-04-25,32.0,32.0,32.0,32.0,500.0
2002-04-30,32.0,32.5,32.5,32.5,500.0
2002-05-02,32.5,34.9,34.9,34.9,500.0
2002-05-03,34.9,34.0,34.0,34.0,0.0
2002-05-07,34.0,33.5,33.5,33.5,0.0
2002-05-13,33.5,33.5,32.5,32.5,10500.0
2002-05-14,32.5,32.5,32.5,32.5,1500.0
2002-05-15,32.5,32.5,32.5,32.5,10000.0
2002-05-16,32.5,32.6,32.6,32.6,0.0
2002-05-17,32.6,32.6,32.6,32.6,5000.0
2002-05-20,32.6,32.5,32.5,32.5,0.0
2002-05-21,32.5,32.0,32.0,32.0,5000.0
2002-05-22,32.0,31.5,31.5,31.5,5000.0
2002-05-24,31.5,32.5,32.5,32.5,500.0
2002-05-27,32.5,33.0,32.75,33.0,2500.0
2002-05-28,33.0,32.5,32.5,32.5,5000.0
2002-05-29,32.5,33.45,32.5,33.45,1500.0
2002-05-31,33.45,33.5,33.45,33.5,6500.0
2002-06-03,33.5,33.75,33.5,33.75,2500.0
2002-06-04,33.75,34.0,34.0,34.0,1000.0
2002-06-10,34.0,34.25,34.25,34.25,500.0
2002-06-11,34.25,35.0,34.5,35.0,3000.0
2002-06-13,35.0,37.6,36.0,36.0,1000.0
2002-06-17,36.0,38.7,38.5,38.5,500.0
2002-06-20,38.5,41.35,40.75,40.75,500.0
2002-06-24,40.75,40.0,40.0,40.0,0.0
2002-06-25,40.0,39.9,39.9,39.9,0.0
2002-06-26,39.9,39.5,39.5,39.5,0.0
2002-06-28,39.5,39.5,39.5,39.5,500.0
2002-07-01,39.5,39.0,39.0,39.0,0.0
2002-07-02,39.0,39.25,39.0,39.25,1500.0
2002-07-09,39.25,40.0,39.5,40.0,1500.0
2002-07-29,40.0,41.0,41.0,41.0,500.0
2002-07-30,41.0,40.0,40.0,40.0,1000.0
2002-07-31,40.0,40.0,40.0,40.0,2000.0
2002-08-07,40.0,40.0,40.0,40.0,5000.0
2002-08-08,40.0,39.75,39.6,39.6,5500.0
2002-08-15,39.6,40.0,39.95,40.0,2000.0
2002-08-16,40.0,39.5,39.5,39.5,5000.0
2002-08-20,39.5,40.0,39.9,40.0,1000.0
2002-08-26,40.0,39.95,39.95,39.95,0.0
2002-08-27,39.95,39.85,39.85,39.85,0.0
2002-09-06,39.85,39.95,39.95,39.95,1000.0
2002-09-12,39.95,40.0,40.0,40.0,2000.0
2002-09-13,40.0,39.95,39.95,39.95,0.0
2002-09-16,39.95,40.0,40.0,40.0,5000.0
2002-09-17,40.0,39.9,39.9,39.9,1000.0
2002-09-26,39.9,40.0,39.95,40.0,1500.0
2002-10-01,40.0,41.0,41.0,41.0,0.0
2002-10-03,41.0,42.95,42.95,42.95,1000.0
2002-10-17,42.95,43.0,43.0,43.0,500.0
2002-10-18,43.0,43.0,43.0,43.0,75000.0
2002-10-21,43.0,43.0,43.0,43.0,1000.0
2002-10-23,43.0,43.9,43.7,43.9,1500.0
2002-10-24,43.9,43.0,43.0,43.0,500.0
2002-10-25,43.0,44.0,43.95,44.0,1000.0
2002-10-29,44.0,44.5,44.5,44.5,500.0
2002-10-30,44.5,45.1,45.1,45.1,0.0
2002-10-31,45.1,45.25,45.25,45.25,0.0
2002-11-01,45.25,45.5,45.5,45.5,0.0
2002-11-04,45.5,48.5,47.5,48.5,1000.0
2002-11-08,48.5,52.1,48.5,52.1,1500.0
2002-11-15,52.1,52.0,52.0,52.0,0.0
2002-11-19,52.0,52.0,52.0,52.0,500.0
2002-11-20,52.0,52.0,52.0,52.0,500.0
2002-11-21,52.0,51.9,51.9,51.9,0.0
2002-11-25,51.9,51.0,51.0,51.0,0.0
2002-11-26,51.0,50.0,50.0,50.0,0.0
2002-12-02,50.0,50.0,50.0,50.0,500.0
