Date,Open,High,Low,Close,Volume
2001-01-03,14.1,15.9,15.9,15.9,1000.0
2001-01-04,15.9,16.25,15.0,15.0,5500.0
2001-01-05,15.0,15.0,15.0,15.0,1500.0
2001-01-16,15.0,15.0,15.0,15.0,1000.0
2001-01-17,15.0,14.5,14.5,14.5,1000.0
2001-01-22,14.5,14.5,14.5,14.5,500.0
2001-01-23,14.5,18.05,18.05,18.05,3000.0
2001-01-24,18.05,15.5,15.5,15.5,1000.0
2001-01-26,15.5,15.5,15.0,15.5,2500.0
2001-01-30,15.5,15.0,15.0,15.0,2000.0
2001-02-02,15.0,15.4,15.4,15.4,2000.0
2001-02-06,15.4,15.4,15.25,15.25,500.0
2001-02-07,15.25,15.25,15.25,15.25,500.0
2001-02-08,15.25,15.5,15.5,15.5,1000.0
2001-02-09,15.5,15.5,15.25,15.5,3500.0
2001-02-12,15.5,15.5,15.5,15.5,500.0
2001-02-13,15.5,15.5,15.5,15.5,500.0
2001-02-14,15.5,16.0,16.0,16.0,500.0
2001-02-15,16.0,15.05,15.05,15.05,500.0
2001-02-16,15.05,14.75,14.75,14.75,2000.0
2001-02-19,14.75,14.3,14.3,14.3,2000.0
2001-02-21,14.3,14.25,14.2,14.25,2000.0
2001-02-22,14.25,14.5,12.0,12.0,5500.0
2001-02-23,12.0,14.25,14.0,14.25,1500.0
2001-02-26,14.25,14.2,14.2,14.2,4500.0
2001-02-28,14.2,13.5,13.5,13.5,500.0
2001-03-09,13.5,14.9,13.25,13.25,7000.0
2001-03-12,13.25,13.95,13.6,13.65,14000.0
2001-03-13,13.65,13.75,13.5,13.75,10000.0
2001-03-14,13.75,14.25,13.75,14.25,11000.0
2001-03-15,14.25,14.5,14.0,14.0,9000.0
2001-03-16,14.0,14.0,14.0,14.0,0.0
2001-03-19,14.0,14.1,14.1,14.1,2500.0
2001-03-22,14.1,13.9,13.9,13.9,1000.0
2001-03-26,13.9,14.0,13.9,14.0,4000.0
2001-03-27,10.75,10.75,10.75,10.75,0.0
2001-04-06,10.75,9.8,9.8,9.8,500.0
2001-04-10,9.8,10.2,10.2,10.2,500.0
2001-04-19,10.2,10.5,10.5,10.5,500.0
2001-04-23,10.5,11.0,11.0,11.0,500.0
2001-04-27,11.0,12.5,12.5,12.5,5000.0
2001-05-02,12.5,12.5,12.5,12.5,500.0
2001-05-04,12.5,12.5,12.5,12.5,0.0
2001-05-08,12.5,11.25,11.25,11.25,500.0
2001-05-10,11.25,12.8,12.0,12.8,12000.0
2001-05-17,12.8,12.0,12.0,12.0,500.0
2001-05-22,12.0,12.95,12.15,12.15,1000.0
2001-05-23,12.15,12.25,12.25,12.25,1000.0
2001-05-24,12.25,12.05,12.05,12.05,1000.0
2001-06-07,12.05,11.75,11.75,11.75,9000.0
2001-06-08,11.75,11.75,11.75,11.75,9000.0
2001-06-13,11.75,10.1,10.0,10.0,1000.0
2001-06-14,10.0,10.45,10.45,10.45,500.0
2001-06-22,10.45,10.4,10.4,10.4,1000.0
2001-06-26,10.4,10.1,10.1,10.1,1000.0
2001-06-28,10.1,10.25,10.25,10.25,1000.0
2001-07-04,10.25,10.25,10.25,10.25,500.0
2001-07-06,10.25,10.25,10.25,10.25,500.0
2001-07-19,10.25,9.5,9.1,9.1,1500.0
2001-07-20,9.1,9.25,9.25,9.25,1000.0
2001-07-24,9.25,9.25,9.25,9.25,500.0
2001-08-03,9.25,9.0,9.0,9.0,1000.0
2001-08-06,9.0,9.0,9.0,9.0,2000.0
2001-08-17,9.0,8.75,8.75,8.75,1000.0
2001-08-27,8.75,8.75,8.75,8.75,9000.0
2001-08-29,8.75,9.0,9.0,9.0,500.0
2001-08-30,9.0,9.0,9.0,9.0,500.0
2001-10-11,9.0,9.0,9.0,9.0,500.0
2001-10-19,9.0,10.2,10.2,10.2,500.0
2001-10-22,10.2,10.2,10.2,10.2,500.0
2001-10-23,10.2,10.5,10.5,10.5,1000.0
2001-10-30,10.5,11.1,11.1,11.1,2000.0
2001-10-31,11.1,11.5,11.25,11.25,3000.0
2001-11-01,11.25,11.25,11.25,11.25,1000.0
2001-11-02,11.25,11.25,11.25,11.25,1000.0
2001-11-06,11.25,11.25,11.25,11.25,1000.0
2001-11-07,11.25,11.25,11.25,11.25,1000.0
2001-11-08,11.25,11.25,11.25,11.25,1000.0
2001-11-13,11.25,11.25,11.25,11.25,1000.0
2001-11-14,11.25,11.45,11.0,11.0,1000.0
2001-11-15,11.0,11.25,11.25,11.25,1000.0
2001-11-16,11.25,11.25,11.25,11.25,2000.0
2001-11-29,11.25,11.25,11.0,11.0,2000.0
2001-12-01,11.0,11.2,11.2,11.2,4000.0
2001-12-03,11.2,11.25,11.25,11.25,1000.0
2001-12-05,11.25,11.25,11.25,11.25,1000.0
2001-12-08,11.25,11.25,11.25,11.25,1000.0
2001-12-10,11.25,11.25,11.25,11.25,1000.0
2001-12-12,11.25,11.0,11.0,11.0,1000.0
2001-12-15,11.0,11.0,11.0,11.0,1000.0
2001-12-24,11.0,11.25,11.0,11.25,4500.0
2001-12-27,11.25,11.5,11.5,11.5,1000.0
2002-01-01,11.5,11.6,11.6,11.6,1500.0
2002-01-11,11.6,12.0,12.0,12.0,500.0
2002-01-18,12.0,12.0,12.0,12.0,500.0
2002-01-30,12.0,12.0,12.0,12.0,500.0
2002-02-01,12.0,13.0,13.0,13.0,1500.0
2002-02-08,13.0,13.0,12.5,12.5,19000.0
2002-02-11,12.5,12.0,12.0,12.0,1000.0
2002-02-14,12.0,12.0,12.0,12.0,0.0
2002-02-26,12.0,11.7,11.7,11.7,500.0
2002-02-28,11.7,11.55,11.5,11.5,1000.0
2002-03-01,11.5,11.0,11.0,11.0,500.0
2002-03-05,11.0,10.5,10.5,10.5,500.0
2002-03-06,10.5,10.5,10.5,10.5,5000.0
2002-03-08,10.5,10.2,10.0,10.0,2500.0
2002-03-11,10.0,10.0,10.0,10.0,500.0
2002-03-12,10.0,9.5,9.5,9.5,1000.0
2002-03-13,9.5,9.25,9.25,9.25,2000.0
2002-03-15,9.25,9.0,9.0,9.0,1500.0
2002-03-19,9.0,9.15,9.15,9.15,1000.0
2002-03-21,9.15,9.05,9.05,9.05,500.0
2002-03-22,9.05,9.1,9.1,9.1,0.0
2002-03-27,9.1,9.25,9.25,9.25,0.0
2002-03-28,9.25,9.0,9.0,9.0,500.0
2002-03-29,8.0,8.0,8.0,8.2,0.0
2002-04-01,8.2,9.3,9.3,9.3,500.0
2002-04-05,9.3,10.0,10.0,10.0,500.0
2002-04-09,10.0,9.3,9.25,9.25,1000.0
2002-04-10,9.25,9.95,9.0,9.95,2000.0
2002-04-11,9.95,9.95,9.3,9.95,3500.0
2002-04-12,9.95,10.0,9.95,9.95,9000.0
2002-04-16,9.95,10.0,9.95,9.95,20000.0
2002-04-17,9.95,10.0,10.0,10.0,5500.0
2002-04-23,10.0,10.05,10.05,10.05,0.0
2002-05-07,10.05,10.0,9.1,10.0,2000.0
2002-05-08,10.0,9.15,9.15,9.15,2000.0
2002-05-17,9.15,9.25,8.5,8.5,2000.0
2002-05-31,8.5,8.5,8.5,8.5,500.0
2002-06-03,8.5,8.5,8.5,8.5,1000.0
2002-06-04,8.5,8.55,8.55,8.55,0.0
2002-06-07,8.55,8.55,8.55,8.55,500.0
2002-06-11,8.55,8.5,8.5,8.5,500.0
2002-06-12,8.5,10.0,8.75,10.0,6000.0
2002-06-13,10.0,10.65,10.0,10.5,3000.0
2002-06-14,10.5,10.5,10.4,10.5,1000.0
2002-06-17,10.5,10.25,10.0,10.0,1500.0
2002-06-18,10.0,10.25,10.25,10.25,500.0
2002-06-19,10.25,10.0,10.0,10.0,0.0
2002-07-02,10.0,9.5,9.5,9.5,500.0
2002-07-03,9.5,9.65,9.65,9.65,500.0
2002-07-04,9.65,9.45,9.25,9.45,2000.0
2002-07-08,9.45,9.45,9.45,9.45,1500.0
2002-07-09,9.45,10.0,9.25,10.0,5500.0
2002-07-10,10.0,9.75,9.75,9.75,0.0
2002-07-12,9.75,9.75,9.7,9.75,1500.0
2002-07-15,9.75,9.05,9.05,9.05,500.0
2002-07-16,9.05,9.0,9.0,9.0,1500.0
2002-07-19,9.0,9.9,9.9,9.9,500.0
2002-07-22,9.9,9.75,9.75,9.75,500.0
2002-07-23,9.75,9.65,9.65,9.65,0.0
2002-07-25,9.65,9.45,9.45,9.45,0.0
2002-07-26,9.45,9.4,9.4,9.4,0.0
2002-07-29,9.4,9.25,9.25,9.25,0.0
2002-07-30,9.25,9.1,9.1,9.1,2000.0
2002-07-31,9.1,8.7,8.7,8.7,1000.0
2002-08-01,8.7,9.25,8.7,9.25,4500.0
2002-08-02,9.25,9.25,9.25,9.25,500.0
2002-08-06,9.25,9.2,9.2,9.2,0.0
2002-08-07,9.2,9.5,9.1,9.5,4000.0
2002-08-15,9.5,9.4,9.4,9.4,0.0
2002-08-19,9.4,9.0,9.0,9.0,0.0
2002-08-20,9.0,9.0,9.0,9.0,1000.0
2002-08-21,9.0,8.85,8.8,8.85,500.0
2002-08-23,8.85,8.9,8.9,8.9,1500.0
2002-08-26,8.9,9.0,9.0,9.0,0.0
2002-08-27,9.0,9.1,9.1,9.1,0.0
2002-08-29,9.1,8.8,8.8,8.8,3000.0
2002-09-04,8.8,8.75,8.75,8.75,500.0
2002-09-05,8.75,8.8,8.8,8.8,0.0
2002-09-10,8.8,9.1,9.1,9.1,3500.0
2002-09-11,9.1,9.0,9.0,9.0,0.0
2002-09-12,9.0,9.0,9.0,9.0,2000.0
2002-09-16,9.0,9.9,8.5,8.5,3000.0
2002-09-20,8.5,8.5,8.5,8.5,0.0
2002-09-25,8.5,9.25,9.0,9.0,2500.0
2002-09-26,9.0,9.0,9.0,9.0,500.0
2002-09-27,9.0,9.0,9.0,9.0,1000.0
2002-09-30,9.0,9.5,9.5,9.5,1000.0
2002-10-03,9.5,9.25,9.2,9.2,3500.0
2002-10-07,9.2,9.0,9.0,9.0,1500.0
2002-10-09,9.0,9.0,9.0,9.0,1000.0
2002-10-11,9.0,8.5,8.5,8.5,500.0
2002-10-16,8.5,8.7,8.7,8.7,500.0
