Date,Open,High,Low,Close,Volume
2001-01-08,32.0,35.0,33.8,33.8,21700.0
2001-01-09,33.8,33.45,32.9,32.9,5100.0
2001-01-11,32.9,31.0,31.0,31.0,500.0
2001-01-12,31.0,32.5,31.0,32.5,600.0
2001-01-18,32.5,30.0,29.9,29.9,1500.0
2001-01-19,29.9,31.5,30.05,31.5,118600.0
2001-01-30,31.5,32.75,31.0,31.0,300.0
2001-01-31,31.0,32.5,32.5,32.5,1000.0
2001-02-01,32.5,31.25,31.25,31.25,4100.0
2001-02-02,31.25,32.0,32.0,32.0,1000.0
2001-02-07,32.0,32.5,32.5,32.5,1000.0
2001-02-13,32.5,33.0,32.45,33.0,200.0
2001-02-14,33.0,32.45,32.45,32.45,100.0
2001-02-16,32.45,31.1,31.05,31.05,500.0
2001-02-21,31.05,32.0,32.0,32.0,100.0
2001-02-27,32.0,32.0,32.0,32.0,500.0
2001-03-01,32.0,30.25,30.25,30.25,1000.0
2001-03-02,30.25,30.2,30.2,30.2,400.0
2001-03-12,30.2,30.0,26.0,30.0,27200.0
2001-03-13,30.0,31.0,28.0,29.85,305400.0
2001-03-16,29.85,32.5,26.5,29.95,14000.0
2001-03-20,29.95,29.5,26.1,26.1,5200.0
2001-03-21,26.1,25.1,25.1,25.1,2600.0
2001-03-22,25.1,28.0,26.5,26.5,1000.0
2001-03-28,21.5,21.5,21.5,21.5,0.0
2001-04-06,21.5,26.1,25.75,26.1,200.0
2001-04-12,26.1,25.0,25.0,25.0,500.0
2001-04-13,25.0,22.0,22.0,22.0,100.0
2001-04-26,22.0,25.0,25.0,25.0,500.0
2001-04-27,25.0,27.5,27.5,27.5,500.0
2001-05-03,27.5,27.5,27.5,27.5,0.0
2001-05-04,27.5,27.5,27.5,27.5,0.0
2001-05-21,27.5,27.0,27.0,27.0,500.0
2001-05-22,27.0,27.0,27.0,27.0,200.0
2001-05-23,27.0,27.0,27.0,27.0,100.0
2001-05-24,27.0,27.0,27.0,27.0,200.0
2001-05-25,27.0,24.0,24.0,24.0,100.0
2001-05-29,24.0,26.0,24.0,24.0,3900.0
2001-05-30,24.0,21.25,21.25,21.25,200.0
2001-05-31,21.25,24.0,21.15,24.0,500.0
2001-06-01,24.0,23.5,23.0,23.5,1000.0
2001-06-04,23.5,25.85,25.85,25.85,100.0
2001-06-15,25.85,22.7,22.7,22.7,1000.0
2001-06-21,22.7,23.0,23.0,23.0,100.0
2001-06-25,23.0,22.5,22.3,22.3,600.0
2001-06-26,22.3,22.25,22.25,22.25,10000.0
2001-06-27,22.25,22.4,22.4,22.4,1500.0
2001-07-05,22.4,23.15,23.15,23.15,200.0
2001-07-13,23.15,23.9,23.9,23.9,500.0
2001-07-20,23.9,24.4,24.4,24.4,500.0
2001-07-23,24.4,24.0,24.0,24.0,1000.0
2001-08-02,24.0,24.0,24.0,24.0,1500.0
2001-08-24,24.0,24.0,24.0,24.0,100.0
2001-08-28,24.0,23.0,23.0,23.0,500.0
2001-08-30,23.0,23.0,23.0,23.0,2000.0
2001-09-10,23.0,23.0,22.5,23.0,2600.0
2001-09-14,23.0,23.0,23.0,23.0,100.0
2001-10-03,23.0,27.0,22.45,25.0,4000.0
2001-10-11,25.0,27.0,26.0,27.0,2700.0
2001-11-05,27.0,26.0,26.0,26.0,700.0
2001-11-06,26.0,26.0,26.0,26.0,3500.0
2001-11-07,26.0,26.5,26.5,26.5,1000.0
2001-11-08,26.5,27.0,26.9,27.0,14900.0
2001-11-13,27.0,27.0,26.0,27.0,7400.0
2001-11-14,27.0,27.0,27.0,27.0,1000.0
2001-11-15,27.0,27.0,27.0,27.0,200.0
2001-11-27,27.0,27.0,27.0,27.0,1000.0
2001-11-28,27.0,28.65,28.65,28.65,100.0
2002-01-10,28.65,27.0,27.0,27.0,1000.0
2002-01-30,27.0,25.05,25.0,25.0,5600.0
2002-01-31,25.0,25.4,25.0,25.4,1300.0
2002-02-01,25.4,25.0,25.0,25.0,1500.0
2002-02-07,25.0,25.0,25.0,25.0,5000.0
2002-02-08,25.0,26.5,25.9,26.0,6200.0
2002-02-20,26.0,26.5,26.5,26.5,5000.0
2002-02-21,26.5,26.5,26.5,26.5,1000.0
2002-02-27,26.5,26.45,26.45,26.45,200.0
2002-03-22,26.45,25.85,25.85,25.85,0.0
2002-03-27,25.85,24.6,24.6,24.6,0.0
2002-03-29,22.1,22.1,22.1,22.1,0.0
2002-04-01,22.1,22.3,22.3,22.3,0.0
2002-04-04,22.3,22.3,22.3,22.3,200.0
2002-04-15,22.3,22.5,22.5,22.5,0.0
2002-04-22,22.5,22.9,22.9,22.9,0.0
2002-04-26,22.9,22.75,22.75,22.75,500.0
2002-04-29,22.75,22.9,22.9,22.9,0.0
2002-06-05,22.9,22.75,22.75,22.75,4000.0
2002-06-10,22.75,22.75,22.75,22.75,4000.0
2002-06-12,22.75,22.6,22.6,22.6,4000.0
2002-06-14,22.6,22.7,22.7,22.7,1000.0
2002-07-08,22.7,23.75,23.75,23.75,1000.0
2002-07-24,23.75,22.6,22.6,22.6,0.0
2002-07-25,22.6,22.5,22.5,22.5,0.0
2002-07-26,22.5,22.1,22.0,22.0,900.0
2002-07-31,22.0,21.5,21.5,21.5,100.0
2002-08-15,21.5,21.0,21.0,21.0,500.0
2002-08-21,21.0,21.0,21.0,21.0,500.0
2002-09-25,21.0,22.55,22.55,22.55,200.0
2002-09-26,22.55,23.0,22.55,23.0,5200.0
2002-09-27,23.0,23.0,23.0,23.0,500.0
2002-09-30,23.0,24.7,24.7,24.7,200.0
2002-12-10,24.7,24.7,24.65,24.7,2000.0
2002-12-18,24.7,24.0,24.0,24.0,0.0
2003-01-01,24.0,24.0,24.0,24.0,1100.0
2003-01-02,24.0,23.95,23.95,23.95,0.0
2003-01-06,23.95,24.0,24.0,24.0,300.0
2003-01-08,24.0,23.95,23.95,23.95,0.0
2003-01-13,23.95,23.9,23.9,23.9,0.0
2003-01-16,23.9,23.5,23.5,23.5,1300.0
2003-01-29,23.5,23.0,23.0,23.0,0.0
2003-03-18,23.0,24.7,23.5,24.7,10000.0
2003-03-19,24.7,24.4,24.4,24.4,0.0
2003-03-25,24.4,25.25,24.5,25.25,3500.0
2003-03-26,24.5,25.0,25.0,25.0,500.0
2003-03-27,25.0,24.95,24.95,24.95,0.0
2003-03-28,24.95,24.5,24.5,24.5,0.0
2003-03-31,24.5,26.3,25.0,26.3,9500.0
2003-04-01,26.3,25.0,25.0,25.0,2000.0
2003-04-02,25.0,23.75,23.75,23.75,1700.0
2003-04-10,23.75,22.6,22.6,22.6,1300.0
2003-04-11,22.6,21.55,21.5,21.55,700.0
2003-04-18,21.55,21.0,20.5,20.65,2900.0
2003-04-21,20.65,22.15,22.1,22.15,200.0
2003-04-22,22.15,21.1,21.05,21.05,200.0
2003-04-24,21.05,20.0,20.0,20.0,1000.0
2003-05-05,20.0,20.1,19.0,20.1,3000.0
2003-05-09,20.1,21.6,21.6,21.6,1000.0
2003-05-13,21.6,22.5,22.5,22.5,1000.0
2003-05-14,22.5,23.4,22.7,23.1,5000.0
