Date,Open,High,Low,Close,Volume
2018-07-03,16.41,16.41,16.41,16.41,2000.0
2018-07-04,15.42,15.42,15.41,15.41,9500.0
2018-07-05,14.41,14.41,14.41,14.41,3000.0
2018-07-06,13.41,13.46,13.41,13.46,60000.0
2018-07-09,13.0,13.0,13.0,13.0,32500.0
2018-07-10,12.5,12.5,12.5,12.5,12500.0
2018-07-11,13.0,13.0,13.0,13.0,17000.0
2018-07-12,12.9,12.9,12.9,12.9,3500.0
2018-07-16,12.08,12.9,12.08,12.9,2000.0
2018-07-17,12.6,12.95,12.51,12.91,13000.0
2018-07-18,12.96,13.44,12.96,13.09,38000.0
2018-07-19,13.0,13.06,13.0,13.06,9500.0
2018-07-20,13.1,13.25,13.0,13.25,21500.0
2018-07-23,13.25,13.25,13.25,13.25,5000.0
2018-07-26,13.3,13.3,13.3,13.3,13500.0
2018-07-27,13.5,13.8,13.35,13.79,39500.0
2018-07-30,14.01,14.69,14.01,14.49,27000.0
2018-07-31,15.44,15.44,14.5,14.5,42500.0
2018-08-01,14.5,14.51,14.5,14.51,8000.0
2018-08-02,14.5,14.5,14.5,14.5,10500.0
2018-08-03,14.5,14.5,14.5,14.5,13000.0
2018-08-06,14.5,14.5,14.5,14.5,2000.0
2018-08-07,14.9,15.0,14.87,14.87,2000.0
2018-08-09,14.5,14.8,14.5,14.54,18000.0
2018-08-10,14.9,15.0,14.9,14.98,7500.0
2018-08-13,15.0,15.0,14.65,14.65,23500.0
2018-08-15,14.5,14.9,14.5,14.62,13000.0
2018-08-16,14.56,14.69,14.51,14.69,19500.0
2018-08-17,14.5,14.7,14.5,14.5,9000.0
2018-08-24,14.51,14.9,14.5,14.9,7000.0
2018-08-27,14.5,14.51,14.5,14.5,13000.0
2018-08-28,14.51,14.55,14.5,14.5,26000.0
2018-08-29,14.5,14.5,14.5,14.5,10000.0
2018-08-30,14.5,14.5,14.3,14.3,11000.0
2018-08-31,14.4,14.4,14.4,14.4,1000.0
2018-09-03,14.15,14.15,14.15,14.15,1500.0
2018-09-04,14.15,14.15,14.0,14.15,20500.0
2018-09-06,13.75,13.75,13.75,13.75,1000.0
2018-09-07,13.5,13.5,13.5,13.5,3000.0
2018-09-10,13.2,13.3,13.2,13.3,5000.0
2018-09-11,13.3,13.3,13.3,13.3,4500.0
2018-09-12,13.3,13.3,13.03,13.03,189000.0
2018-09-13,13.3,13.3,12.9,13.25,2500.0
2018-09-17,12.65,12.65,12.65,12.65,500.0
2018-09-18,12.0,13.6,12.0,13.5,2000.0
2018-09-24,0.0,13.5,13.5,13.5,500.0
2018-09-26,12.75,12.75,12.75,12.75,500.0
2018-09-27,12.75,12.75,12.75,12.75,5500.0
2018-09-28,0.0,12.75,12.75,12.75,500.0
2018-10-04,12.5,12.5,12.5,12.5,2000.0
2018-10-08,12.55,12.55,12.5,12.5,8500.0
2018-10-09,13.1,13.1,11.6,11.6,5000.0
2018-10-10,11.5,11.5,11.5,11.5,500.0
2018-10-16,11.5,11.6,11.5,11.53,2500.0
2018-10-17,12.0,12.0,12.0,12.0,1500.0
2018-10-18,12.0,12.0,12.0,12.0,1500.0
2018-10-24,12.79,12.79,12.79,12.79,3500.0
2018-10-25,12.79,13.69,12.79,13.69,181000.0
2018-10-30,13.7,13.8,13.7,13.8,15500.0
2018-11-01,12.9,12.9,12.9,12.9,500.0
2018-11-02,13.8,13.8,13.8,13.8,500.0
2018-11-06,13.7,13.7,13.7,13.7,500.0
2018-11-07,12.71,13.03,12.71,13.03,357500.0
2018-11-08,13.4,13.4,13.3,13.3,24000.0
2018-11-09,12.6,12.8,12.3,12.49,55500.0
2018-11-13,12.5,12.5,12.5,12.5,500.0
2018-11-14,12.3,12.5,12.1,12.1,12000.0
2018-11-15,12.5,12.5,12.5,12.5,1000.0
2018-11-16,11.8,12.0,11.8,12.0,10500.0
2018-11-19,12.0,12.0,12.0,12.0,14500.0
2018-11-20,12.5,12.5,12.5,12.5,12000.0
2018-11-22,12.3,12.3,12.11,12.11,45000.0
2018-11-23,12.35,12.35,12.35,12.35,1000.0
2018-11-26,12.25,12.4,12.2,12.2,46000.0
2018-11-27,12.05,12.05,12.05,12.05,1500.0
2018-11-28,12.0,12.0,12.0,12.0,15000.0
