Date,Open,High,Low,Close,Volume
2002-01-02,13.0,14.2,13.9,14.2,3500.0
2002-01-07,14.2,13.55,13.55,13.55,500.0
2002-01-10,13.55,13.6,13.6,13.6,500.0
2002-01-14,13.6,13.7,13.7,13.7,500.0
2002-01-22,13.7,14.0,13.65,14.0,2000.0
2002-01-23,14.0,14.0,14.0,14.0,2000.0
2002-01-30,14.0,14.5,14.05,14.05,3000.0
2002-02-01,14.05,14.3,14.3,14.3,500.0
2002-02-04,14.3,14.3,14.3,14.3,2000.0
2002-02-07,14.3,15.25,15.2,15.25,1500.0
2002-02-08,15.25,15.25,15.25,15.25,2000.0
2002-02-11,15.25,15.2,15.2,15.2,1000.0
2002-02-12,15.2,15.4,15.3,15.4,3000.0
2002-02-13,15.4,15.55,15.3,15.5,4500.0
2002-02-14,15.5,16.2,16.2,16.2,1000.0
2002-02-19,16.2,16.2,16.2,16.2,6500.0
2002-02-20,16.2,16.3,16.3,16.3,5000.0
2002-02-21,16.3,16.5,16.2,16.2,7000.0
2002-02-27,16.2,16.0,15.5,16.0,16000.0
2002-02-28,16.0,16.25,16.25,16.25,1000.0
2002-03-01,16.25,16.75,16.25,16.75,1500.0
2002-03-04,16.75,16.6,16.5,16.5,6000.0
2002-03-05,16.5,17.0,16.5,17.0,15000.0
2002-03-06,17.0,17.0,17.0,17.0,7000.0
2002-03-07,17.0,17.5,17.25,17.5,3500.0
2002-03-08,17.5,18.0,17.8,18.0,2500.0
2002-03-12,18.0,18.0,18.0,18.0,500.0
2002-03-13,18.0,17.5,17.0,17.5,1000.0
2002-03-14,15.5,15.5,15.5,15.5,0.0
2002-03-15,15.5,14.0,14.0,14.0,500.0
2002-03-18,14.0,15.0,14.95,15.0,1000.0
2002-03-19,15.0,15.25,15.0,15.25,3000.0
2002-03-20,15.25,15.5,15.25,15.25,3000.0
2002-03-21,15.25,16.0,15.25,16.0,19500.0
2002-03-22,16.0,16.25,15.5,16.25,124500.0
2002-03-28,16.25,16.0,16.0,16.0,3500.0
2002-03-29,16.0,15.6,15.5,15.5,5000.0
2002-04-01,15.5,15.55,15.55,15.55,500.0
2002-04-02,15.55,15.55,15.55,15.55,1000.0
2002-04-03,15.55,16.0,16.0,16.0,4000.0
2002-04-08,16.0,16.0,16.0,16.0,500.0
2002-04-09,16.0,16.0,16.0,16.0,1000.0
2002-04-10,16.0,16.0,16.0,16.0,4000.0
2002-04-19,16.0,16.4,16.1,16.1,1500.0
