Date,Open,High,Low,Close,Volume
2001-01-04,11.25,9.5,9.5,9.5,1000.0
2001-01-08,9.5,10.0,10.0,10.0,1000.0
2001-01-11,10.0,10.4,10.4,10.4,500.0
2001-01-12,10.4,10.0,10.0,10.0,500.0
2001-01-19,10.0,10.0,10.0,10.0,1000.0
2001-01-24,10.0,10.1,10.0,10.1,5500.0
2001-02-01,10.1,10.3,10.3,10.3,2000.0
2001-02-02,10.3,10.35,10.35,10.35,500.0
2001-02-07,10.35,10.6,10.6,10.6,3000.0
2001-02-12,10.6,10.5,10.5,10.5,1500.0
2001-02-14,10.5,10.5,10.5,10.5,500.0
2001-02-16,10.5,10.5,10.5,10.5,500.0
2001-02-19,10.5,10.5,10.5,10.5,500.0
2001-02-20,10.5,10.05,10.0,10.0,2000.0
2001-02-21,10.0,10.6,10.6,10.6,500.0
2001-02-26,10.6,10.6,10.6,10.6,0.0
2001-03-01,10.6,10.35,10.35,10.35,500.0
2001-03-12,9.1,9.1,9.1,9.1,0.0
2001-03-27,9.1,9.1,9.1,9.1,0.0
2001-04-06,9.1,8.0,8.0,8.0,500.0
2001-04-09,8.0,8.0,8.0,8.0,5500.0
2001-04-10,8.0,8.0,8.0,8.0,500.0
2001-04-11,8.0,8.5,8.25,8.5,2000.0
2001-04-12,8.5,8.15,8.15,8.15,2000.0
2001-04-13,8.15,8.6,8.6,8.6,500.0
2001-04-16,8.6,9.0,9.0,9.0,500.0
2001-04-17,9.0,9.5,9.5,9.5,6500.0
2001-04-19,9.5,9.5,9.5,9.5,1000.0
2001-04-26,9.5,9.5,9.5,9.5,500.0
2001-04-27,9.5,9.4,9.4,9.4,500.0
2001-05-11,9.4,10.25,10.25,10.25,1000.0
2001-05-14,10.25,10.25,10.25,10.25,1000.0
2001-05-22,10.25,10.75,10.3,10.75,3500.0
2001-05-23,10.75,11.0,10.75,10.75,1000.0
2001-05-29,10.75,11.25,11.25,11.25,1000.0
2001-05-31,11.25,11.25,11.25,11.25,78000.0
2001-06-07,11.25,12.0,12.0,12.0,500.0
2001-06-11,12.0,11.25,11.25,11.25,1000.0
2001-06-15,11.25,11.25,11.2,11.2,3500.0
2001-06-20,11.2,11.1,11.1,11.1,1000.0
2001-06-27,11.1,11.0,10.55,10.55,1500.0
2001-07-04,10.55,10.5,10.5,10.5,500.0
2001-07-13,10.5,10.5,10.5,10.5,500.0
2001-07-25,10.5,10.25,10.25,10.25,500.0
2001-07-26,10.25,10.05,10.05,10.05,500.0
2001-07-27,10.05,10.05,10.0,10.0,1500.0
2001-07-31,10.0,10.5,10.5,10.5,2500.0
2001-08-01,10.5,10.5,10.5,10.5,2500.0
2001-08-10,10.5,10.0,10.0,10.0,1000.0
2001-08-13,10.0,10.1,10.1,10.1,500.0
2001-08-16,10.1,10.25,10.25,10.25,1000.0
2001-08-23,10.25,10.3,10.25,10.3,2000.0
2001-08-27,10.3,10.25,10.25,10.25,4500.0
2001-08-28,10.25,10.25,10.25,10.25,2500.0
2001-08-29,10.25,10.25,10.25,10.25,500.0
2001-08-30,10.25,10.3,10.25,10.25,2000.0
2001-09-04,10.25,10.25,10.25,10.25,3500.0
2001-09-06,10.25,10.25,10.25,10.25,500.0
2001-09-14,10.25,9.55,9.55,9.55,1000.0
2001-10-11,9.55,9.1,9.1,9.1,500.0
2001-10-18,9.1,9.3,9.3,9.3,500.0
2001-10-23,9.3,9.55,9.55,9.55,500.0
2001-10-26,9.55,9.5,9.5,9.5,500.0
2001-11-26,9.5,9.75,9.75,9.75,500.0
2001-11-29,9.75,9.75,9.75,9.75,2000.0
2001-12-27,9.75,10.0,10.0,10.0,500.0
2001-12-28,10.0,11.0,10.0,11.0,2000.0
2001-12-31,11.0,10.85,10.85,10.85,2000.0
2002-01-07,10.85,9.5,9.5,9.5,1000.0
2002-01-21,9.5,9.5,9.5,9.5,1000.0
2002-01-24,9.5,9.55,9.4,9.4,1000.0
2002-01-25,9.4,9.25,9.25,9.25,500.0
2002-01-28,9.25,9.25,9.25,9.25,1000.0
2002-02-01,9.25,10.0,10.0,10.0,1000.0
2002-02-04,10.0,10.0,10.0,10.0,1000.0
2002-02-06,10.0,10.15,10.15,10.15,500.0
2002-02-07,10.15,10.1,10.1,10.1,500.0
2002-02-08,10.1,10.5,10.5,10.5,1500.0
2002-02-11,10.5,11.0,10.5,11.0,1500.0
2002-02-12,11.0,10.5,10.5,10.5,500.0
2002-02-13,10.5,10.5,10.4,10.5,2500.0
2002-02-15,10.5,10.5,10.5,10.5,500.0
2002-02-18,10.5,11.0,11.0,11.0,1000.0
2002-02-19,11.0,10.0,10.0,10.0,1500.0
2002-02-20,10.0,10.0,9.95,10.0,4000.0
2002-02-21,10.0,10.95,10.95,10.95,500.0
2002-03-06,10.95,11.0,11.0,11.0,2000.0
2002-03-07,11.0,11.25,10.95,11.25,6000.0
2002-03-08,11.25,11.35,11.35,11.35,500.0
2002-03-11,11.35,12.0,11.5,12.0,2000.0
2002-03-12,12.0,12.0,11.5,12.0,3000.0
2002-03-18,10.75,10.75,10.75,10.75,0.0
2002-03-19,10.75,11.0,11.0,11.0,500.0
2002-03-21,11.0,11.0,11.0,11.0,1000.0
2002-03-22,11.0,11.2,11.2,11.2,0.0
2002-03-26,11.2,11.3,11.2,11.3,3000.0
2002-03-27,11.3,11.25,11.25,11.25,1500.0
2002-04-01,11.25,10.25,10.25,10.25,500.0
2002-04-04,10.25,10.2,10.2,10.2,0.0
2002-04-09,10.2,10.75,10.45,10.75,3500.0
2002-04-10,10.75,10.85,10.85,10.85,0.0
2002-04-12,10.85,11.0,11.0,11.0,0.0
2002-04-15,11.0,11.0,11.0,11.0,1000.0
2002-04-17,11.0,11.05,10.85,11.05,11000.0
2002-04-18,11.05,11.5,11.5,11.5,500.0
2002-04-19,11.5,11.25,11.25,11.25,500.0
2002-04-23,11.25,11.25,11.25,11.25,5000.0
2002-04-29,11.25,12.0,11.5,12.0,5500.0
2002-04-30,12.0,12.25,11.9,12.25,2000.0
2002-05-09,12.25,12.15,12.15,12.15,0.0
2002-05-10,12.15,11.75,11.5,11.5,8000.0
2002-05-13,11.5,11.5,11.5,11.5,1000.0
2002-05-24,11.5,11.5,11.5,11.5,1000.0
2002-05-28,11.5,11.0,11.0,11.0,500.0
2002-05-29,11.0,11.0,11.0,11.0,1500.0
2002-05-30,11.0,11.0,11.0,11.0,9000.0
2002-06-05,11.0,10.75,10.75,10.75,500.0
2002-06-11,10.75,10.5,10.5,10.5,1000.0
2002-06-14,10.5,10.1,10.1,10.1,1000.0
2002-06-20,10.1,10.5,10.45,10.5,1500.0
2002-06-24,10.5,10.5,10.45,10.5,2000.0
2002-06-25,10.5,10.5,10.5,10.5,500.0
2002-07-02,10.5,12.0,12.0,12.0,500.0
2002-07-03,12.0,11.5,11.5,11.5,0.0
2002-07-08,11.5,11.4,11.4,11.4,0.0
2002-07-12,11.4,10.4,10.4,10.4,500.0
2002-07-15,10.4,11.0,11.0,11.0,1000.0
2002-07-18,11.0,10.5,10.5,10.5,3500.0
2002-07-22,10.5,10.5,10.5,10.5,500.0
2002-07-23,10.5,10.5,10.5,10.5,500.0
2002-07-24,10.5,10.6,10.6,10.6,0.0
2002-07-25,10.6,11.0,11.0,11.0,500.0
2002-07-29,11.0,11.5,11.3,11.5,9000.0
2002-08-01,11.5,12.25,12.0,12.0,500.0
2002-08-02,12.0,11.5,11.5,11.5,0.0
2002-08-09,11.5,11.45,11.45,11.45,0.0
2002-08-12,11.45,11.0,11.0,11.0,0.0
2002-08-13,11.0,11.55,11.55,11.55,2000.0
2002-08-16,11.55,11.5,11.5,11.5,1000.0
2002-08-21,11.5,11.5,11.0,11.5,3000.0
2002-08-28,11.5,10.55,10.55,10.55,500.0
2002-08-29,10.55,10.6,10.6,10.6,0.0
2002-09-09,10.6,10.5,10.5,10.5,500.0
2002-09-11,10.5,10.5,10.5,10.5,2000.0
2002-09-12,10.5,10.5,10.5,10.5,1000.0
2002-09-18,10.5,10.2,10.2,10.2,0.0
2002-09-19,10.2,10.15,10.15,10.15,0.0
2002-09-26,10.15,10.15,10.15,10.15,500.0
2002-09-30,10.15,10.25,10.25,10.25,500.0
2002-10-03,10.25,10.25,10.25,10.25,500.0
2002-10-04,10.25,10.25,10.25,10.25,500.0
2002-10-08,10.25,10.25,10.25,10.25,1000.0
2002-10-31,10.25,11.0,10.25,11.0,2500.0
2002-11-04,11.0,11.0,11.0,11.0,2000.0
2002-11-06,11.0,11.0,11.0,11.0,500.0
2002-11-13,11.0,11.25,11.25,11.25,500.0
2002-11-14,11.25,11.0,11.0,11.0,500.0
2002-11-20,11.0,10.55,10.55,10.55,500.0
2002-11-25,10.55,10.05,10.05,10.05,500.0
2002-12-13,10.05,10.0,10.0,10.0,500.0
2002-12-16,10.0,10.0,10.0,10.0,1500.0
2002-12-17,10.0,9.9,9.9,9.9,0.0
2002-12-18,9.9,10.0,10.0,10.0,5500.0
2002-12-30,10.0,10.0,10.0,10.0,5500.0
2002-12-31,10.0,11.0,9.0,11.0,5500.0
2003-01-03,11.0,10.75,10.75,10.75,0.0
2003-01-06,10.75,10.6,10.6,10.6,0.0
2003-01-08,10.6,9.6,9.6,9.6,500.0
2003-01-13,9.6,8.65,8.6,8.6,2000.0
2003-01-15,8.6,9.0,9.0,9.0,500.0
2003-01-16,9.0,9.5,9.5,9.5,2000.0
2003-01-17,9.5,9.5,9.5,9.5,5000.0
2003-01-21,9.5,9.25,9.25,9.25,0.0
2003-01-22,9.25,8.65,8.6,8.6,3500.0
2003-02-24,8.6,7.6,7.6,7.6,1000.0
2003-02-27,7.6,7.25,7.25,7.25,1000.0
2003-03-04,7.25,7.3,7.3,7.3,0.0
2003-03-05,7.3,8.8,8.8,8.8,500.0
2003-03-07,8.8,8.5,8.5,8.5,0.0
2003-03-11,8.5,8.45,8.45,8.45,2000.0
2003-03-19,8.45,8.4,8.4,8.4,0.0
2003-03-24,8.4,8.4,8.0,8.4,3500.0
2003-03-25,8.4,8.35,8.35,8.35,0.0
2003-03-27,8.35,7.4,7.35,7.35,1500.0
2003-03-28,7.35,7.45,7.45,7.45,1500.0
2003-03-31,7.45,7.55,7.55,7.55,0.0
2003-04-01,7.55,7.4,7.4,7.4,1000.0
2003-04-02,7.4,7.5,7.5,7.5,1000.0
