Date,Open,High,Low,Close,Volume
2002-01-01,8.1,8.2,8.2,8.2,3500.0
2002-01-02,8.2,8.35,8.3,8.3,6000.0
2002-01-03,8.3,9.25,8.25,9.05,57000.0
2002-01-04,9.05,9.0,9.0,9.0,500.0
2002-01-07,9.0,9.05,8.95,9.0,20500.0
2002-01-08,9.0,9.05,8.9,8.9,11500.0
2002-01-09,8.9,9.35,9.0,9.35,27000.0
2002-01-10,9.35,9.65,9.0,9.25,85000.0
2002-01-11,9.25,9.35,9.15,9.25,19500.0
2002-01-14,9.25,9.4,9.25,9.4,54000.0
2002-01-15,9.4,9.75,9.4,9.45,29000.0
2002-01-16,9.45,9.5,9.35,9.5,14000.0
2002-01-17,9.5,9.7,9.4,9.4,7500.0
2002-01-18,9.4,9.75,9.4,9.5,42500.0
2002-01-21,9.5,9.65,9.5,9.65,44500.0
2002-01-22,9.65,9.7,9.55,9.65,6000.0
2002-01-23,9.65,9.9,9.65,9.9,14000.0
2002-01-24,9.9,10.05,9.9,9.9,16000.0
2002-01-25,9.9,10.15,9.9,10.15,37500.0
2002-01-28,10.15,10.5,10.2,10.35,43000.0
2002-01-29,10.35,10.45,10.25,10.3,11000.0
2002-01-30,10.3,10.45,10.0,10.45,16000.0
2002-01-31,10.45,10.45,10.2,10.4,18000.0
2002-02-01,9.4,10.0,9.55,9.6,54000.0
2002-02-04,9.6,10.2,10.0,10.0,30500.0
2002-02-06,10.0,11.15,10.25,10.5,27000.0
2002-02-07,10.5,10.8,10.4,10.5,17000.0
2002-02-08,10.5,10.9,10.5,10.5,18000.0
2002-02-11,10.5,10.5,10.0,10.5,18000.0
2002-02-12,10.5,10.55,10.4,10.5,35000.0
2002-02-13,10.5,10.4,10.0,10.4,27000.0
2002-02-14,10.4,10.5,10.2,10.5,4000.0
2002-02-15,10.5,10.55,10.25,10.3,15500.0
2002-02-18,10.3,10.0,10.0,10.0,5000.0
2002-02-19,10.0,10.0,10.0,10.0,500.0
2002-02-20,10.0,10.4,10.0,10.0,3000.0
2002-02-21,10.0,10.15,10.0,10.0,1500.0
2002-02-26,10.0,10.25,10.0,10.25,15500.0
2002-02-27,10.25,10.3,10.0,10.2,6500.0
2002-02-28,10.2,10.1,10.1,10.1,2000.0
2002-03-01,10.1,10.1,10.0,10.1,7500.0
2002-03-04,10.1,10.1,10.0,10.0,7000.0
2002-03-05,10.0,10.1,10.0,10.0,1500.0
2002-03-06,10.0,10.4,10.05,10.4,8000.0
2002-03-07,10.4,10.35,10.1,10.25,4000.0
2002-03-08,10.25,10.25,10.1,10.25,5500.0
2002-03-11,10.25,10.4,10.25,10.25,12500.0
2002-03-12,10.25,10.15,10.1,10.1,8000.0
2002-03-13,10.1,10.2,10.1,10.2,1500.0
2002-03-14,10.2,10.25,10.25,10.25,3000.0
2002-03-15,10.25,10.4,10.4,10.4,6000.0
2002-03-18,10.4,10.4,10.2,10.2,8000.0
2002-03-19,10.2,10.3,10.3,10.3,500.0
2002-03-20,10.3,10.45,10.45,10.45,1000.0
2002-03-21,10.45,10.4,10.3,10.3,5000.0
2002-03-22,10.3,10.3,10.3,10.3,500.0
2002-03-26,10.3,10.55,10.55,10.55,1000.0
2002-03-27,10.55,10.5,10.2,10.5,6000.0
2002-03-28,10.5,10.6,10.5,10.55,8000.0
2002-03-29,10.55,10.5,10.5,10.5,7500.0
2002-04-02,10.5,10.7,10.55,10.55,1000.0
2002-04-03,10.55,10.55,10.55,10.55,1000.0
2002-04-04,10.55,10.7,10.55,10.55,2000.0
2002-04-05,10.55,10.65,10.5,10.65,3000.0
2002-04-08,10.65,10.85,10.6,10.6,9500.0
2002-04-09,10.6,10.9,10.7,10.75,4500.0
2002-04-10,10.75,10.6,10.55,10.55,1000.0
2002-04-11,10.55,10.6,10.4,10.55,1500.0
2002-04-12,10.55,10.9,10.7,10.9,5500.0
2002-04-15,10.9,11.15,11.0,11.1,29000.0
2002-04-16,11.1,11.1,11.0,11.1,8500.0
2002-04-17,11.1,11.1,11.1,11.1,13000.0
2002-04-18,11.1,11.45,11.25,11.45,3000.0
2002-04-19,11.45,11.75,11.3,11.6,21500.0
2002-04-22,11.6,11.6,11.4,11.4,15500.0
2002-04-23,11.4,11.5,11.4,11.5,11000.0
2002-04-24,11.5,11.5,11.5,11.5,11500.0
2002-04-25,11.5,11.6,11.5,11.5,9000.0
2002-04-26,11.5,11.5,11.5,11.5,500.0
2002-04-29,11.5,11.6,11.6,11.6,1000.0
2002-04-30,11.6,11.7,11.7,11.7,15500.0
2002-05-02,11.7,11.7,11.4,11.4,1500.0
2002-05-03,11.4,11.25,11.25,11.25,1500.0
2002-05-06,11.25,11.55,11.55,11.55,1500.0
2002-05-07,11.55,11.6,11.55,11.55,12000.0
2002-05-08,11.55,11.0,10.9,11.0,4000.0
2002-05-09,11.0,11.35,11.3,11.3,8000.0
2002-05-13,11.3,11.05,11.05,11.05,500.0
2002-05-14,11.05,11.25,11.05,11.05,7000.0
2002-05-15,11.05,11.1,11.05,11.05,7000.0
2002-05-16,11.05,11.25,11.05,11.25,11500.0
2002-05-17,11.25,11.0,10.9,10.9,4500.0
2002-05-20,10.9,10.5,10.25,10.25,4000.0
2002-05-21,10.25,10.6,10.25,10.5,20000.0
2002-05-22,10.5,10.5,10.05,10.05,12500.0
2002-05-24,10.05,11.35,11.25,11.25,18000.0
2002-05-27,11.25,11.45,11.0,11.45,2000.0
2002-05-28,11.45,10.95,10.95,10.95,1000.0
2002-05-30,10.95,10.95,10.5,10.95,14500.0
