Date,Open,High,Low,Close,Volume
2002-02-26,5.5,5.05,5.05,5.05,500.0
2002-03-05,5.05,5.0,5.0,5.0,5000.0
2002-03-06,5.0,5.0,5.0,5.0,500.0
2002-03-08,5.0,4.5,4.5,4.5,500.0
2002-05-15,4.5,4.5,4.5,4.5,500.0
2002-07-22,4.5,4.25,4.25,4.25,0.0
2002-07-29,4.25,4.25,4.0,4.0,3500.0
2002-07-31,4.0,4.0,4.0,4.0,2000.0
2002-08-05,4.0,4.1,4.1,4.1,0.0
2002-08-08,4.1,4.3,4.3,4.3,0.0
2002-08-09,4.3,4.55,4.55,4.55,0.0
2002-08-12,4.55,4.6,4.6,4.6,0.0
2002-08-13,4.6,4.65,4.65,4.65,0.0
2002-08-15,4.65,4.8,4.8,4.8,0.0
2002-08-16,4.8,5.0,5.0,5.0,0.0
2002-08-28,5.0,5.25,5.25,5.25,500.0
2002-09-02,5.25,5.75,5.75,5.75,500.0
2002-09-19,5.75,5.05,4.75,5.05,500.0
2002-09-24,5.05,6.3,6.3,6.3,0.0
2002-12-31,6.3,6.5,6.25,6.5,2500.0
2003-02-20,6.5,6.25,6.25,6.25,0.0
2003-02-26,6.25,5.9,5.9,5.9,0.0
2003-02-27,5.9,5.5,5.5,5.5,0.0
2003-03-03,5.5,5.5,5.5,5.5,1000.0
2003-03-05,5.5,5.5,5.5,5.5,500.0
2003-03-06,5.5,5.5,5.5,5.5,500.0
2003-03-10,5.5,5.55,5.55,5.55,0.0
2003-03-11,5.55,6.5,5.75,6.5,3000.0
2003-03-18,6.5,5.5,5.5,5.5,500.0
2003-03-20,5.5,6.0,5.5,6.0,0.0
2003-04-03,5.5,5.55,5.55,5.55,0.0
2003-04-04,5.55,5.6,5.6,5.6,0.0
2003-04-29,5.6,5.65,5.65,5.65,0.0
2003-04-30,5.65,7.15,7.15,7.15,500.0
2003-05-09,7.15,8.25,8.25,8.25,3000.0
2003-05-12,8.25,8.0,8.0,8.0,500.0
2003-05-20,8.0,9.5,9.5,9.5,2500.0
2003-05-22,9.5,11.0,11.0,11.0,2000.0
2003-05-26,11.0,12.0,12.0,12.0,500.0
2003-05-29,12.0,11.5,11.5,11.5,0.0
2003-06-04,11.5,11.0,11.0,11.0,0.0
2003-06-05,11.0,12.5,12.45,12.45,1000.0
2003-06-06,12.45,12.4,12.4,12.4,0.0
2003-06-09,12.4,11.5,11.5,11.5,0.0
2003-06-17,11.5,11.0,11.0,11.0,5000.0
2003-06-18,11.0,11.0,11.0,11.0,500.0
2003-06-24,11.0,10.0,10.0,10.0,1000.0
2003-07-14,10.0,10.4,10.4,10.4,1000.0
2003-07-17,10.4,10.0,10.0,10.0,500.0
2003-08-05,10.0,11.0,10.5,11.0,11500.0
2003-08-19,11.0,12.5,12.0,12.0,5000.0
2003-08-20,12.0,11.95,11.95,11.95,0.0
2003-08-22,11.95,11.8,11.8,11.8,0.0
2003-08-25,11.8,11.0,11.0,11.0,0.0
2003-08-27,11.0,10.95,10.95,10.95,0.0
2003-08-28,10.95,9.95,9.95,9.95,2000.0
2003-08-29,9.95,9.0,9.0,9.0,500.0
2003-09-01,9.0,10.5,10.2,10.5,5500.0
2003-09-02,10.5,10.0,10.0,10.0,0.0
2003-09-04,10.0,9.75,9.75,9.75,1000.0
2003-09-12,9.75,10.5,10.0,10.5,7500.0
2003-09-15,10.5,10.5,10.5,10.5,2000.0
2003-09-18,10.5,11.0,11.0,11.0,3000.0
2003-09-19,11.0,11.0,11.0,11.0,1500.0
2003-10-10,11.0,12.0,12.0,12.0,500.0
2003-10-14,12.0,11.9,11.9,11.9,0.0
2003-11-05,11.9,13.4,10.9,13.4,2500.0
2003-11-14,13.4,13.9,13.9,13.9,500.0
2003-11-18,13.9,12.9,12.9,12.9,1000.0
2003-11-19,12.9,11.9,11.9,11.9,500.0
2003-11-21,11.9,13.4,13.4,13.4,1000.0
2003-11-24,13.4,13.25,13.25,13.25,1500.0
2003-12-08,13.25,13.0,13.0,13.0,0.0
2003-12-11,13.0,12.9,12.9,12.9,0.0
2003-12-12,12.9,11.9,11.9,11.9,500.0
2003-12-15,11.9,11.8,11.8,11.8,0.0
2003-12-17,11.8,11.7,11.7,11.7,0.0
2003-12-18,11.7,10.7,10.7,10.7,1500.0
2003-12-26,10.7,10.05,10.05,10.05,500.0
2004-02-06,10.05,11.0,11.0,11.0,500.0
2004-02-11,11.0,11.0,11.0,11.0,500.0
2004-02-18,11.0,11.0,11.0,11.0,3000.0
2004-03-15,11.0,10.95,10.95,10.95,0.0
2004-03-16,10.95,11.0,11.0,11.0,3000.0
2004-03-17,11.0,11.0,11.0,11.0,3000.0
2004-04-02,11.0,11.0,11.0,11.0,3000.0
2004-04-05,11.0,10.25,10.25,10.25,1000.0
2004-04-07,10.25,10.25,10.25,10.25,500.0
2004-04-08,10.25,10.25,10.25,10.25,1000.0
2004-04-12,10.25,10.5,10.5,10.5,1000.0
2004-04-13,10.5,11.0,11.0,11.0,1000.0
2004-04-30,11.0,12.0,12.0,12.0,500.0
2004-05-19,12.0,13.5,12.0,13.5,1000.0
2004-05-21,13.5,13.4,13.4,13.4,0.0
2004-05-24,13.4,13.25,13.25,13.25,0.0
2004-05-27,13.25,14.0,13.5,14.0,16000.0
2004-05-28,14.0,14.75,14.75,14.75,1000.0
2004-06-01,14.75,14.3,14.3,14.3,1000.0
2004-06-03,14.3,15.0,14.05,14.05,1500.0
2004-06-07,14.05,14.95,14.0,14.0,7000.0
2004-06-18,14.0,13.8,13.8,13.8,0.0
2004-06-28,13.8,14.0,13.95,14.0,500.0
2004-06-29,14.0,14.0,14.0,14.0,2500.0
2004-07-08,14.0,14.0,14.0,14.0,3000.0
2004-07-13,14.0,13.0,13.0,13.0,13000.0
2004-07-27,13.0,12.9,12.9,12.9,0.0
2004-07-28,12.9,12.0,12.0,12.0,500.0
2004-08-03,12.0,13.0,13.0,13.0,500.0
2004-08-05,13.0,12.5,12.5,12.5,0.0
2004-08-17,12.5,12.5,12.5,12.5,500.0
2004-09-27,12.5,12.5,12.5,12.5,500.0
2004-09-28,12.5,12.5,12.5,12.5,500.0
2004-09-29,12.5,12.5,12.5,12.5,500.0
2004-09-30,12.5,12.5,12.5,12.5,500.0
2004-10-01,12.5,13.0,13.0,13.0,500.0
2004-10-04,13.0,13.5,13.5,13.5,500.0
2004-10-06,13.5,15.0,15.0,15.0,3500.0
2004-10-11,15.0,15.0,15.0,15.0,500.0
2004-11-03,15.0,14.9,14.9,14.9,0.0
2004-11-04,14.9,14.75,14.75,14.75,0.0
2004-11-08,14.75,14.5,14.5,14.5,0.0
2004-11-12,14.5,14.4,14.4,14.4,0.0
2004-11-18,14.4,13.75,13.75,13.75,0.0
2004-11-19,13.75,13.75,13.75,13.75,500.0
2004-11-23,13.75,13.0,13.0,13.0,1000.0
2005-01-05,13.0,13.5,13.0,13.5,1000.0
2005-01-06,13.5,15.0,12.5,15.0,1000.0
2005-02-15,15.0,14.5,14.5,14.5,0.0
2005-02-16,14.5,13.5,13.5,13.5,1000.0
2005-03-17,13.5,12.5,12.5,12.5,1000.0
2005-03-29,12.5,12.5,12.5,12.5,3000.0
2005-04-11,12.5,13.95,11.5,13.95,1000.0
2005-04-14,13.95,15.35,15.35,15.35,2000.0
2005-04-18,15.35,14.95,14.95,14.95,0.0
2005-04-21,14.95,13.95,13.95,13.95,0.0
2005-04-25,13.95,12.95,12.95,12.95,0.0
2005-05-02,12.95,11.95,11.95,11.95,500.0
2005-05-09,11.95,11.1,11.1,11.1,2000.0
2005-05-11,11.1,11.0,11.0,11.0,0.0
2005-05-12,11.0,10.05,10.05,10.05,1000.0
2005-06-16,10.05,11.05,10.75,11.0,4000.0
2005-08-17,11.0,10.9,10.9,10.9,0.0
2005-08-23,10.9,10.5,10.5,10.5,500.0
2005-09-27,10.5,11.5,11.5,11.5,2000.0
2005-09-28,11.5,10.5,10.5,10.5,1000.0
2005-09-29,10.5,10.0,10.0,10.0,500.0
2005-10-04,10.0,10.25,10.0,10.0,1500.0
2005-10-07,10.0,10.0,10.0,10.0,500.0
2005-10-11,10.0,10.0,9.5,9.5,1500.0
2005-10-17,9.5,10.5,10.5,10.5,1000.0
2005-10-19,10.5,11.5,11.5,11.5,1000.0
2005-11-16,10.75,11.5,11.5,11.5,500.0
2005-11-28,11.5,11.0,11.0,11.0,2000.0
2005-12-28,11.0,12.0,12.0,12.0,0.0
2006-01-03,12.0,12.0,12.0,12.0,1500.0
2006-01-09,12.0,12.05,12.05,12.05,0.0
2006-01-16,12.05,12.1,12.1,12.1,0.0
2006-01-17,12.1,13.0,13.0,13.0,1000.0
2006-01-26,13.0,14.0,12.1,14.0,40000.0
2006-01-30,14.0,15.0,13.1,15.0,40000.0
2006-02-01,15.0,16.0,14.0,16.0,40000.0
2006-02-03,16.0,17.0,17.0,17.0,1000.0
2006-02-06,17.0,17.9,16.3,17.9,20000.0
2006-02-13,17.9,17.9,17.9,17.9,1000.0
2006-02-22,17.9,16.9,16.9,16.9,500.0
2006-02-23,16.9,15.95,15.95,15.95,500.0
2006-02-27,15.95,14.95,14.95,14.95,500.0
2006-02-28,14.95,15.95,13.95,13.95,41500.0
2006-03-02,13.95,12.95,12.95,12.95,500.0
2006-03-03,12.95,11.95,11.95,11.95,500.0
2006-03-07,11.95,12.8,11.0,11.0,40500.0
2006-03-08,11.0,12.0,12.0,12.0,500.0
2006-03-28,12.0,13.0,11.1,13.0,20000.0
2006-04-03,13.0,14.0,12.0,14.0,20000.0
2006-04-04,14.0,15.0,13.0,15.0,22500.0
2006-04-26,15.0,16.0,14.0,16.0,30000.0
2006-05-03,16.0,17.0,15.0,17.0,22000.0
2006-05-08,17.0,17.25,16.25,17.1,6000.0
2006-05-09,17.1,18.1,16.1,18.1,21500.0
2006-05-10,18.1,18.1,18.1,18.1,3000.0
2006-05-12,18.1,18.1,18.1,18.1,500.0
2006-05-29,18.1,17.1,17.1,17.1,500.0
2006-05-30,17.1,17.15,17.15,17.15,500.0
2006-06-05,17.15,18.0,17.0,17.0,1000.0
2006-06-14,17.0,18.0,16.5,16.5,6000.0
2006-06-26,16.5,16.0,16.0,16.0,4000.0
2006-06-28,16.0,15.5,15.5,15.5,500.0
2006-07-03,15.5,16.0,16.0,16.0,500.0
2006-07-04,16.0,16.0,16.0,16.0,2000.0
2006-07-20,16.0,16.0,16.0,16.0,1000.0
2006-08-04,16.0,16.0,16.0,16.0,500.0
2006-08-21,16.0,17.0,17.0,17.0,2000.0
2006-08-22,17.0,16.1,16.1,16.1,500.0
2006-08-23,16.1,17.1,17.1,17.1,3000.0
2006-08-24,17.1,18.0,16.25,16.25,1000.0
2006-08-25,16.25,15.25,15.25,15.25,500.0
2006-08-28,15.25,16.25,14.25,14.25,6500.0
2006-08-29,14.25,13.6,13.6,13.6,500.0
2006-08-31,13.6,14.6,12.7,12.7,10000.0
2006-09-19,12.7,13.7,13.7,13.7,3000.0
2006-09-20,13.7,14.7,14.7,14.7,2000.0
2006-09-21,14.7,14.7,14.1,14.1,1500.0
2006-09-22,14.1,13.2,13.2,13.2,500.0
2006-10-31,13.2,14.2,12.3,12.3,11000.0
2007-02-06,12.3,12.0,12.0,12.0,3000.0
2007-06-18,12.0,12.05,12.05,12.05,0.0
2007-06-26,12.05,11.05,11.05,11.05,500.0
2007-11-07,11.05,11.25,11.25,11.25,0.0
2007-11-15,11.25,11.35,11.35,11.35,0.0
2007-11-20,11.35,11.45,11.45,11.45,0.0
2007-11-29,11.45,11.75,11.75,11.75,0.0
2007-12-18,11.75,12.0,12.0,12.0,0.0
2008-01-07,12.0,13.0,13.0,13.0,0.0
2008-01-14,13.0,14.0,14.0,14.0,0.0
2008-01-30,14.0,15.0,15.0,15.0,0.0
2008-02-01,15.0,16.0,16.0,16.0,500.0
2008-02-06,16.0,17.0,15.25,15.25,1000.0
2008-02-13,15.25,16.25,16.25,16.25,500.0
2008-02-14,16.25,16.25,16.0,16.0,4000.0
2008-02-21,16.0,15.2,15.2,15.2,500.0
2008-02-28,15.2,16.2,14.4,14.4,1500.0
2008-05-05,14.4,15.4,15.4,15.4,5500.0
2008-06-13,15.4,16.3,16.3,16.3,500.0
2008-06-17,16.3,17.0,16.0,17.0,1000.0
2008-06-26,17.0,18.7,17.7,18.7,1000.0
2008-06-27,18.7,20.57,20.57,20.57,500.0
2008-07-02,20.57,20.57,20.57,20.57,500.0
2008-07-03,20.57,20.6,20.6,20.6,500.0
2008-07-08,20.6,20.4,20.4,20.4,500.0
2008-12-24,19.65,18.65,18.65,18.65,500.0
2008-12-26,18.65,19.0,17.65,17.65,2000.0
2008-12-29,17.65,16.65,16.65,16.65,500.0
2008-12-30,16.65,15.65,15.65,15.65,500.0
2009-01-02,15.65,14.65,14.65,14.65,500.0
2009-03-25,14.65,15.25,15.25,15.25,0.0
2009-03-26,15.25,15.5,15.5,15.5,0.0
2010-01-08,14.75,14.9,14.9,14.9,0.0
2010-01-19,14.9,15.9,15.9,15.9,0.0
2010-02-09,15.9,16.9,16.9,16.9,7500.0
2010-02-12,16.9,15.9,15.9,15.9,500.0
2010-02-23,15.9,16.9,16.9,16.9,0.0
2010-02-24,16.9,17.5,17.5,17.5,0.0
2010-03-24,17.5,16.5,16.5,16.5,500.0
2010-03-25,16.5,15.5,15.5,15.5,500.0
2010-04-23,15.5,16.0,16.0,16.0,0.0
2010-05-31,16.0,17.0,17.0,17.0,0.0
2010-12-02,17.0,18.0,18.0,18.0,0.0
2010-12-27,18.0,19.0,19.0,19.0,0.0
2010-12-31,19.0,19.0,19.0,19.0,500.0
2011-01-04,19.0,19.05,19.05,19.05,0.0
2011-02-25,19.05,18.1,18.1,18.1,1500.0
2012-04-12,18.1,19.1,18.1,19.1,70000.0
2012-04-13,19.1,19.8,19.8,19.8,0.0
2012-04-17,19.8,20.8,20.8,20.8,0.0
2012-04-19,20.8,21.15,21.15,21.15,0.0
