Date,Open,High,Low,Close,Volume
2002-03-27,1.9,1.6,1.6,1.6,0.0
2002-04-04,1.6,0.9,0.9,0.9,1000.0
2002-04-15,0.9,1.8,1.7,1.8,1500.0
2002-06-13,1.8,1.7,1.7,1.7,0.0
2002-10-30,1.7,1.6,1.6,1.6,0.0
2002-12-23,1.6,1.6,1.6,1.6,3500.0
2002-12-27,1.6,1.6,1.6,1.6,5000.0
2002-12-31,1.6,1.55,1.55,1.55,0.0
2003-01-01,1.55,1.45,1.45,1.45,0.0
2003-01-02,1.45,1.35,1.35,1.35,0.0
2003-05-23,1.35,1.05,1.05,1.05,2500.0
2003-05-26,1.05,2.25,2.25,2.25,4000.0
2003-05-27,2.25,1.75,1.25,1.75,3000.0
2003-05-28,1.75,1.15,1.15,1.15,1000.0
2003-05-29,1.15,1.2,1.2,1.2,2000.0
2003-05-30,1.2,1.4,1.4,1.4,0.0
2003-06-03,1.4,1.45,1.45,1.45,0.0
2003-06-10,1.45,1.5,1.5,1.5,0.0
2003-06-12,1.5,2.0,1.7,2.0,4000.0
2003-06-13,2.0,1.9,1.9,1.9,500.0
2003-06-16,1.9,2.5,2.0,2.0,1000.0
2003-06-17,2.0,2.5,2.5,2.5,2500.0
2003-06-18,2.5,2.5,2.5,2.5,2500.0
2003-06-25,2.5,2.45,2.45,2.45,0.0
2003-06-27,2.45,2.5,2.5,2.5,0.0
2003-06-30,2.5,2.6,2.5,2.6,3000.0
2003-07-01,2.6,2.7,2.5,2.7,3000.0
2003-07-02,2.7,3.0,3.0,3.0,12500.0
2003-07-03,3.0,4.5,3.45,4.5,5500.0
2003-07-04,4.5,5.0,4.5,5.0,8000.0
2003-07-07,5.0,6.5,4.5,4.5,36500.0
2003-07-08,4.5,4.6,4.6,4.6,5000.0
2003-07-09,4.6,5.0,4.75,4.95,3000.0
2003-07-24,4.95,4.9,4.9,4.9,0.0
2003-08-06,4.9,4.0,4.0,4.0,0.0
2003-09-02,4.0,3.5,3.5,3.5,0.0
2003-09-03,3.5,3.0,3.0,3.0,1000.0
2003-09-08,3.0,2.0,2.0,2.0,1000.0
2003-09-15,2.0,3.5,3.0,3.5,10500.0
2003-09-16,3.5,5.0,4.5,5.0,6000.0
2003-09-18,5.0,4.2,4.05,4.05,3000.0
2003-09-25,4.05,3.05,3.05,3.05,500.0
2003-09-26,3.05,3.5,3.05,3.05,4000.0
2003-10-14,3.05,3.05,3.05,3.05,500.0
2003-10-24,3.05,3.0,3.0,3.0,0.0
2004-01-01,3.0,2.65,2.5,2.65,15500.0
2004-01-02,2.65,3.0,3.0,3.0,2000.0
2004-01-06,3.0,3.0,2.8,3.0,30500.0
2004-01-07,3.0,4.5,4.4,4.5,3500.0
2004-01-08,4.5,5.95,5.35,5.9,17000.0
2004-01-09,5.9,7.4,7.15,7.4,6500.0
2004-01-12,7.4,8.25,6.4,6.4,16000.0
2004-01-13,6.4,7.9,5.45,5.9,21000.0
2004-01-14,5.9,5.9,5.15,5.45,12000.0
2004-01-15,5.45,6.95,5.0,5.35,13500.0
2004-01-16,5.35,5.7,5.0,5.05,16000.0
2004-01-19,5.05,4.9,4.05,4.9,8500.0
2004-01-20,4.9,4.4,3.9,4.4,15000.0
2004-01-27,4.4,4.15,4.15,4.15,1000.0
2004-01-28,4.15,3.55,3.45,3.5,8000.0
2004-01-29,3.5,3.1,3.1,3.1,1000.0
2004-01-30,3.1,3.8,3.8,3.8,1000.0
2004-02-06,3.8,3.8,3.8,3.8,500.0
