Date,Open,High,Low,Close,Volume
2019-12-05,18.66,18.66,18.66,18.66,353500.0
2019-12-06,17.66,17.66,17.66,17.66,24500.0
2019-12-09,16.66,16.66,16.66,16.66,4052500.0
2019-12-10,15.66,15.66,15.66,15.66,7780000.0
2019-12-11,14.66,14.66,14.66,14.66,4588500.0
2019-12-12,13.66,13.66,13.66,13.66,278500.0
2019-12-13,12.66,12.66,12.66,12.66,794000.0
2019-12-16,11.66,13.66,11.66,13.66,53275000.0
2019-12-17,14.1,14.3,12.66,12.86,35641500.0
2019-12-18,12.5,12.98,12.05,12.17,10604000.0
2019-12-19,12.1,12.35,11.17,11.17,13217000.0
2019-12-20,10.95,11.4,10.17,10.54,18578000.0
2019-12-23,10.36,10.88,9.54,9.54,12688500.0
2019-12-24,9.0,9.0,8.54,8.54,6927000.0
2019-12-26,8.56,9.54,8.56,9.54,17767500.0
2019-12-27,10.14,10.45,9.4,10.18,22720500.0
2021-10-25,0.0,0.0,0.0,10.18,0.0
2021-10-29,0.0,0.0,0.0,10.18,0.0
