Date,Open,High,Low,Close,Volume
2001-01-01,2.5,2.6,2.5,2.6,40000.0
2001-01-02,2.6,2.6,2.55,2.55,9500.0
2001-01-03,2.55,2.6,2.5,2.6,10500.0
2001-01-04,2.6,2.7,2.6,2.7,17500.0
2001-01-05,2.7,2.6,2.6,2.6,1000.0
2001-01-08,2.6,2.6,2.6,2.6,1000.0
2001-01-09,2.6,2.6,2.5,2.55,9000.0
2001-01-10,2.55,2.6,2.6,2.6,3000.0
2001-01-11,2.6,2.6,2.5,2.6,52500.0
2001-01-12,2.6,2.55,2.45,2.45,6000.0
2001-01-19,2.45,2.45,2.25,2.45,3500.0
2001-01-23,2.45,2.3,2.3,2.3,1000.0
2001-01-26,2.3,2.1,2.1,2.1,1000.0
2001-01-29,2.1,2.2,2.0,2.0,4000.0
2001-01-30,2.0,2.25,2.25,2.25,1500.0
2001-01-31,2.25,2.45,2.45,2.45,2500.0
2001-02-01,2.45,2.2,1.9,2.1,8500.0
2001-02-02,2.1,2.15,2.15,2.15,1000.0
2001-02-06,2.15,2.15,2.1,2.1,2000.0
2001-02-08,2.1,2.1,1.9,2.1,10000.0
2001-02-09,2.1,2.05,2.05,2.05,1000.0
2001-02-12,2.05,2.1,2.1,2.1,1500.0
2001-02-13,2.1,2.0,2.0,2.0,1000.0
2001-02-14,2.0,2.05,2.05,2.05,1000.0
2001-02-15,2.05,2.05,2.0,2.0,6000.0
2001-02-16,2.0,2.0,2.0,2.0,1500.0
2001-02-19,2.0,2.5,2.1,2.3,23000.0
2001-02-20,2.3,2.2,2.2,2.2,8000.0
2001-02-22,2.2,2.15,2.1,2.1,1500.0
2001-02-23,2.1,2.05,1.95,2.0,8000.0
2001-02-27,2.0,2.0,1.9,1.9,5000.0
2001-02-28,1.9,2.25,2.05,2.25,25000.0
2001-03-02,2.25,2.25,2.15,2.25,10500.0
2001-03-12,2.25,2.05,2.05,2.05,1000.0
2001-03-14,2.05,2.05,2.0,2.0,2500.0
2001-03-15,2.0,2.05,1.95,1.95,2000.0
2001-03-16,1.95,2.0,2.0,2.0,1000.0
2001-03-19,2.0,2.1,2.0,2.1,2000.0
2001-03-21,2.1,2.1,2.1,2.1,8000.0
2001-03-22,2.1,2.0,2.0,2.0,1000.0
2001-03-26,2.0,2.5,2.0,2.5,109500.0
2001-03-27,2.5,2.5,2.45,2.5,19000.0
2001-03-29,2.5,2.5,2.3,2.5,83500.0
2001-03-30,2.5,2.6,2.4,2.6,46000.0
2001-04-02,2.6,2.55,2.5,2.55,3000.0
2001-04-06,2.55,2.5,2.35,2.5,2500.0
2001-04-09,2.5,2.6,2.4,2.6,27000.0
2001-04-10,2.6,2.6,2.55,2.55,4000.0
2001-04-11,2.55,2.6,2.6,2.6,9500.0
2001-04-12,2.6,2.65,2.6,2.65,12500.0
2001-04-13,2.65,2.7,2.5,2.7,88000.0
2001-04-16,2.7,2.8,2.65,2.8,13500.0
