Date,Open,High,Low,Close,Volume
2001-01-04,0.25,0.55,0.55,0.55,1000.0
2001-01-12,0.55,1.0,1.0,1.0,500.0
2001-05-28,1.0,1.0,1.0,1.0,1000.0
2001-06-08,1.0,0.6,0.5,0.6,8000.0
2001-06-18,0.6,0.4,0.4,0.4,1500.0
2001-06-20,0.4,0.75,0.75,0.75,1500.0
2001-07-10,0.75,0.6,0.6,0.6,1000.0
2001-09-27,0.6,0.6,0.6,0.6,500.0
2001-09-28,0.6,0.7,0.7,0.7,1000.0
2001-10-04,0.7,0.7,0.7,0.7,1000.0
2001-10-05,0.7,0.85,0.7,0.85,4000.0
2001-10-10,0.85,1.0,0.85,0.85,2000.0
2001-10-11,0.85,0.95,0.95,0.95,1000.0
2001-10-17,0.95,1.0,1.0,1.0,500.0
2001-10-18,1.0,1.0,1.0,1.0,500.0
2001-10-23,1.0,1.05,1.05,1.05,5000.0
2001-10-26,1.05,1.3,1.3,1.3,500.0
2001-10-30,1.3,1.4,1.35,1.35,4000.0
2001-11-05,1.35,1.65,1.5,1.65,5500.0
2001-11-06,1.65,1.9,1.9,1.9,1500.0
2001-11-07,1.9,2.0,1.85,1.85,2000.0
2001-12-08,1.85,1.85,1.8,1.85,4000.0
2001-12-10,1.85,1.8,1.75,1.75,8500.0
2001-12-21,1.75,0.95,0.95,0.95,1000.0
2001-12-28,0.95,0.95,0.95,0.95,2000.0
2002-01-03,0.95,0.95,0.95,0.95,10000.0
2002-01-09,0.95,1.15,1.15,1.15,1500.0
2002-01-10,1.15,1.15,1.15,1.15,500.0
2002-01-17,1.15,1.45,1.35,1.45,1000.0
2002-01-18,1.45,1.95,1.5,1.95,3000.0
2002-01-23,1.95,1.5,1.5,1.5,5000.0
2002-01-24,1.5,1.5,1.5,1.5,500.0
2002-02-06,1.5,1.8,1.8,1.8,4000.0
2002-02-07,1.8,2.5,1.75,2.5,12500.0
2002-02-08,2.5,2.1,2.1,2.1,1000.0
2002-02-13,2.1,1.2,1.1,1.2,20000.0
2002-02-19,1.2,1.45,1.45,1.45,6000.0
2002-03-04,1.45,2.45,2.45,2.45,2000.0
2002-03-07,2.45,2.2,2.1,2.2,1000.0
2002-03-12,2.2,2.3,2.3,2.3,2000.0
2002-03-13,2.3,1.7,1.7,1.7,1000.0
2002-03-19,1.7,1.75,1.75,1.75,1000.0
2002-04-08,1.75,2.0,2.0,2.0,3000.0
2002-04-12,2.0,1.65,1.6,1.6,1000.0
2002-04-15,1.6,2.0,2.0,2.0,4000.0
2002-04-16,2.0,2.0,2.0,2.0,100.0
2002-04-17,2.0,2.0,2.0,2.0,1000.0
2002-04-18,2.0,2.45,2.0,2.45,11000.0
2002-04-19,2.45,2.95,2.6,2.9,13500.0
2002-04-22,2.9,2.55,2.55,2.55,1000.0
2002-04-23,2.55,2.55,2.5,2.5,5000.0
2002-04-24,2.5,2.6,2.5,2.5,9000.0
2002-04-25,2.5,2.55,2.55,2.55,500.0
2002-04-26,2.55,2.35,2.35,2.35,1000.0
2002-04-30,2.35,2.65,2.5,2.65,2000.0
2002-05-03,2.65,2.3,2.3,2.3,1000.0
2002-05-06,2.3,2.9,2.6,2.6,4000.0
2002-05-07,2.6,2.75,2.7,2.75,4000.0
2002-05-08,2.75,2.8,2.7,2.8,2500.0
2002-05-09,2.8,2.9,2.8,2.8,17500.0
2002-05-10,2.8,3.1,2.95,3.1,4500.0
2002-05-13,3.1,3.45,3.0,3.45,13000.0
2002-05-14,3.45,3.9,3.4,3.9,14500.0
2002-05-15,3.9,4.25,3.9,4.25,20500.0
2002-05-16,4.25,4.25,4.1,4.1,6500.0
2002-05-17,4.1,4.0,4.0,4.0,0.0
2002-05-20,4.0,4.15,2.7,3.0,17000.0
2002-05-21,3.0,2.9,2.9,2.9,500.0
2002-05-29,2.9,3.0,3.0,3.0,1000.0
2002-06-04,3.0,3.0,3.0,3.0,1000.0
2002-06-05,3.0,3.0,2.8,2.8,11000.0
2002-06-06,2.8,3.0,3.0,3.0,500.0
2002-06-12,3.0,3.0,2.5,2.9,4500.0
2002-06-13,2.9,3.1,3.0,3.0,17000.0
2002-06-14,3.0,3.05,3.0,3.0,5500.0
2002-06-18,3.0,3.0,3.0,3.0,1500.0
2002-06-20,3.0,2.7,2.7,2.7,1000.0
2002-06-24,2.7,3.3,3.25,3.3,3000.0
2002-06-25,3.3,3.25,3.25,3.25,500.0
2002-06-28,3.25,3.1,3.1,3.1,0.0
2002-07-11,3.1,3.0,3.0,3.0,500.0
2002-07-25,3.0,2.5,2.5,2.5,1000.0
2002-07-29,2.5,3.0,2.5,3.0,20000.0
2002-07-30,3.0,3.25,3.0,3.25,5500.0
2002-07-31,3.25,3.3,3.25,3.3,5000.0
2002-08-01,3.3,4.3,3.35,4.25,44500.0
2002-08-02,4.25,4.3,4.0,4.1,8000.0
2002-08-05,4.1,4.1,3.95,3.95,6000.0
2002-08-12,3.95,3.6,3.6,3.6,2000.0
2002-08-13,3.6,3.7,3.5,3.7,6000.0
2002-08-15,3.7,3.5,3.5,3.5,500.0
2002-08-16,3.5,3.45,3.4,3.45,3000.0
2002-08-19,3.45,3.6,3.6,3.6,0.0
2002-08-22,3.6,3.7,3.7,3.7,1500.0
2002-08-23,3.7,4.35,3.7,4.35,25000.0
2002-08-26,4.35,4.4,4.0,4.0,4000.0
2002-08-27,4.0,4.0,4.0,4.0,3000.0
2002-08-28,4.0,4.0,3.5,3.6,2500.0
2002-09-11,3.6,3.5,2.75,2.75,11000.0
2002-09-12,2.75,3.5,3.5,3.5,2000.0
2002-09-13,3.5,3.5,3.5,3.5,10000.0
2002-09-16,3.5,4.1,3.6,4.0,31500.0
2002-09-17,4.0,3.9,3.8,3.85,11500.0
2002-09-18,3.85,3.75,3.6,3.6,8000.0
2002-09-19,3.6,3.6,3.6,3.6,1000.0
2002-09-24,3.6,3.6,3.6,3.6,28000.0
2002-09-26,3.6,3.75,3.7,3.7,8000.0
2002-09-27,3.7,3.6,3.55,3.55,2000.0
2002-09-30,3.55,3.95,3.85,3.95,5500.0
2002-10-01,3.95,3.6,3.6,3.6,10500.0
2002-10-02,3.6,3.7,3.7,3.7,0.0
2002-10-04,3.7,3.85,3.75,3.75,8000.0
2002-10-07,3.75,3.65,3.65,3.65,2500.0
2002-10-08,3.65,3.55,3.55,3.55,2500.0
2002-10-09,3.55,3.65,3.55,3.55,15500.0
2002-10-11,3.55,3.65,3.65,3.65,1000.0
2002-10-14,3.65,3.6,3.6,3.6,2000.0
2002-10-17,3.6,3.65,3.5,3.5,3000.0
2002-10-18,3.5,3.95,3.5,3.75,14500.0
2002-10-21,3.75,4.1,3.9,3.95,10500.0
2002-10-25,3.95,3.9,3.9,3.9,500.0
2002-10-28,3.9,3.8,3.5,3.8,12000.0
2002-10-30,3.8,4.25,4.0,4.1,12500.0
2002-10-31,4.1,4.3,4.1,4.1,29000.0
2002-11-01,4.1,4.5,4.05,4.05,18500.0
2002-11-04,4.05,3.9,3.9,3.9,2000.0
2002-11-07,3.9,4.3,4.1,4.1,8000.0
2002-11-08,4.1,4.1,4.0,4.0,6500.0
2002-11-11,4.0,4.0,4.0,4.0,3500.0
2002-11-15,4.0,3.6,3.5,3.5,3000.0
2002-11-18,3.5,4.05,3.75,4.05,8500.0
2002-11-19,4.05,4.0,4.0,4.0,0.0
2002-11-20,4.0,3.55,3.0,3.55,2000.0
2002-11-21,3.55,3.6,3.6,3.6,6000.0
2002-12-02,3.6,3.5,3.5,3.5,1000.0
2002-12-04,3.5,3.9,3.6,3.6,1500.0
2002-12-20,3.6,3.75,3.75,3.75,1500.0
2002-12-23,3.75,3.6,3.6,3.6,2000.0
2002-12-27,3.6,3.6,3.5,3.5,8500.0
2002-12-30,3.5,3.5,3.5,3.5,1000.0
2002-12-31,3.5,3.5,3.4,3.5,17500.0
2003-01-02,3.5,3.5,3.5,3.5,1000.0
2003-01-06,3.5,3.55,3.55,3.55,2000.0
2003-01-07,3.55,3.55,3.5,3.5,3500.0
2003-01-08,3.5,3.55,3.55,3.55,2000.0
2003-01-09,3.55,3.6,3.6,3.6,500.0
2003-01-10,3.6,3.5,3.5,3.5,1500.0
2003-01-20,3.5,3.6,3.25,3.5,10500.0
2003-01-21,3.5,3.5,3.5,3.5,4000.0
