Date,Open,High,Low,Close,Volume
2001-06-13,41.9,31.75,31.75,31.75,500.0
2001-12-21,31.75,31.5,31.5,31.5,500.0
2002-02-01,31.5,29.15,29.15,29.15,1000.0
2002-02-04,29.15,30.0,30.0,30.0,1000.0
2002-02-12,30.0,30.0,30.0,30.0,1000.0
2002-02-13,30.0,31.75,28.5,28.5,7000.0
2002-02-26,28.5,30.5,30.5,30.5,500.0
2002-03-20,30.5,28.25,28.25,28.25,500.0
2002-03-27,28.25,28.0,27.5,27.5,1500.0
2002-04-01,27.5,28.5,28.0,28.5,1000.0
2002-04-23,28.5,28.0,28.0,28.0,0.0
2002-05-24,28.0,27.95,27.95,27.95,0.0
2002-06-19,27.95,27.9,27.9,27.9,0.0
2002-06-24,27.9,27.5,27.5,27.5,0.0
2002-07-29,27.5,28.0,28.0,28.0,500.0
2002-08-21,28.0,29.0,29.0,29.0,1000.0
2002-08-22,29.0,28.5,28.5,28.5,1000.0
2002-08-26,28.5,27.75,27.75,27.75,0.0
2002-08-28,27.75,26.4,26.4,26.4,500.0
2002-09-10,26.4,28.35,28.35,28.35,0.0
2002-09-11,28.35,30.45,30.45,30.45,3000.0
2002-09-12,30.45,32.7,32.0,32.7,6500.0
2002-09-13,32.7,32.5,31.1,32.5,3500.0
2002-09-16,32.5,32.0,32.0,32.0,500.0
2002-09-18,32.0,34.4,33.95,34.4,1500.0
2002-09-19,34.4,36.95,36.95,36.95,500.0
2002-09-20,36.95,39.5,37.4,39.5,2000.0
2002-09-23,39.5,41.9,40.0,41.5,2500.0
2002-09-24,41.5,42.0,41.0,42.0,1000.0
2002-09-25,42.0,40.0,39.9,39.9,1000.0
2002-09-26,39.9,41.95,41.95,41.95,1000.0
2002-09-27,41.95,39.9,39.9,39.9,500.0
2002-10-01,39.9,40.0,40.0,40.0,500.0
2002-10-02,40.0,38.05,38.05,38.05,500.0
2002-10-03,38.05,37.5,37.5,37.5,500.0
2002-10-07,37.5,38.0,38.0,38.0,1000.0
2002-10-08,38.0,39.0,39.0,39.0,0.0
2002-10-09,39.0,39.0,39.0,39.0,500.0
2002-10-17,39.0,40.95,40.95,40.95,500.0
2002-10-18,40.95,42.0,42.0,42.0,500.0
2002-10-21,42.0,44.0,44.0,44.0,1000.0
2002-10-23,44.0,44.3,42.25,44.3,1500.0
2002-10-24,44.3,47.6,45.0,47.6,500.0
2002-10-25,47.6,51.15,51.15,51.15,0.0
2002-10-28,51.15,54.95,53.1,54.95,500.0
2002-10-29,54.95,59.05,59.05,59.05,1500.0
2002-10-30,59.05,63.45,62.2,62.2,4000.0
2002-10-31,62.2,65.5,62.5,65.5,4500.0
2002-11-01,65.5,69.5,67.0,69.5,1500.0
2002-11-04,69.5,73.5,73.0,73.5,2000.0
2002-11-05,73.5,79.0,77.0,79.0,1500.0
2002-11-06,79.0,82.0,82.0,82.0,500.0
2002-11-08,82.0,80.0,80.0,80.0,500.0
2002-11-26,80.0,79.75,79.75,79.75,0.0
2002-12-04,79.75,79.5,79.5,79.5,500.0
2002-12-09,79.5,80.0,80.0,80.0,500.0
2002-12-11,80.0,76.0,76.0,76.0,500.0
2002-12-12,76.0,74.0,72.2,73.0,2000.0
2002-12-13,73.0,70.55,70.55,70.55,500.0
2002-12-17,70.55,72.0,72.0,72.0,0.0
2002-12-18,72.0,73.0,73.0,73.0,0.0
2002-12-19,73.0,73.0,73.0,73.0,500.0
2003-01-09,73.0,75.0,75.0,75.0,500.0
2003-01-13,75.0,77.0,77.0,77.0,500.0
2003-01-22,77.0,75.0,74.0,74.5,1500.0
2003-01-24,74.5,71.0,71.0,71.0,500.0
2003-01-27,71.0,72.0,70.0,72.0,1500.0
2003-01-31,72.0,68.4,68.4,68.4,500.0
2003-02-03,68.4,67.0,67.0,67.0,500.0
2003-02-04,67.0,65.0,65.0,65.0,500.0
2003-02-06,65.0,61.9,61.9,61.9,500.0
2003-02-07,61.9,61.0,61.0,61.0,500.0
2003-02-24,61.0,58.85,58.85,58.85,500.0
2003-03-17,58.85,56.25,56.25,56.25,1000.0
2003-03-18,56.25,58.75,58.75,58.75,500.0
2003-03-19,58.75,62.05,62.05,62.05,500.0
2003-03-24,62.05,62.25,62.25,62.25,0.0
2003-03-25,62.25,63.0,62.05,63.0,1000.0
2003-03-26,63.0,67.7,67.7,67.7,500.0
2003-03-27,67.7,72.75,72.75,72.75,500.0
2003-03-31,72.75,75.0,73.0,73.0,1500.0
2003-04-01,73.0,75.0,75.0,75.0,500.0
2003-04-04,75.0,80.6,80.0,80.6,1000.0
2003-04-07,80.6,80.05,80.05,80.05,500.0
2003-04-08,80.05,81.0,81.0,81.0,500.0
2003-04-09,81.0,87.0,85.0,87.0,1000.0
2003-04-11,87.0,92.45,90.0,92.45,3000.0
2003-04-14,92.45,99.0,91.0,94.5,2500.0
2003-04-15,94.5,99.0,97.0,99.0,1500.0
2003-04-16,99.0,103.0,95.5,103.0,3500.0
2003-04-17,103.0,108.0,107.5,108.0,1500.0
2003-04-18,108.0,110.0,110.0,110.0,500.0
2003-04-21,110.0,110.0,105.0,110.0,1000.0
2003-04-22,109.0,110.0,110.0,110.0,1500.0
2003-04-23,110.0,109.5,109.5,109.5,500.0
2003-04-25,109.5,104.25,104.25,104.25,1000.0
2003-04-29,104.25,104.0,104.0,104.0,0.0
2003-04-30,104.0,98.8,98.8,98.8,500.0
2003-05-20,98.8,96.0,96.0,96.0,500.0
2003-06-03,96.0,92.0,92.0,92.0,500.0
2003-06-05,92.0,98.9,98.0,98.9,1000.0
2003-06-06,98.9,104.1,99.0,104.1,1500.0
2003-06-16,104.1,104.0,104.0,104.0,0.0
2003-06-23,104.0,105.0,105.0,105.0,500.0
2003-06-24,105.0,101.0,101.0,101.0,500.0
2003-06-25,101.0,105.5,105.5,105.5,500.0
2003-06-30,105.5,109.0,109.0,109.0,500.0
2003-07-02,109.0,115.0,115.0,115.0,500.0
2003-07-03,115.0,110.0,110.0,110.0,0.0
2003-07-08,110.0,115.0,112.0,112.0,1500.0
2003-07-09,112.0,110.0,110.0,110.0,1000.0
2003-07-10,110.0,112.0,112.0,112.0,500.0
2003-07-15,112.0,108.0,108.0,108.0,500.0
2003-07-16,108.0,108.0,103.0,108.0,2000.0
2003-07-17,108.0,110.0,110.0,110.0,1000.0
2003-07-18,110.0,114.0,114.0,114.0,1000.0
2003-07-23,114.0,112.0,112.0,112.0,500.0
2003-07-24,112.0,114.0,111.0,113.95,3000.0
2003-07-25,113.95,114.0,114.0,114.0,1000.0
2003-07-29,114.0,118.5,118.5,118.5,1000.0
2003-07-31,118.5,120.0,120.0,120.0,500.0
2003-08-01,120.0,122.0,120.0,120.0,2500.0
2003-08-04,120.0,121.0,121.0,121.0,500.0
2003-08-06,121.0,125.0,124.0,125.0,1500.0
2003-08-07,125.0,134.35,130.0,134.35,2500.0
2003-08-11,134.35,139.0,135.0,139.0,4000.0
2003-08-12,139.0,143.0,140.0,143.0,1500.0
2003-08-13,143.0,140.0,140.0,140.0,2000.0
2003-08-15,140.0,133.0,133.0,133.0,1500.0
2003-08-20,133.0,133.0,133.0,133.0,500.0
2003-08-21,133.0,138.0,138.0,138.0,500.0
2003-08-26,138.0,135.0,135.0,135.0,0.0
2003-08-27,135.0,132.0,132.0,132.0,0.0
2003-08-28,132.0,129.0,129.0,129.0,0.0
2003-08-29,129.0,127.0,127.0,127.0,0.0
2003-09-01,127.0,123.95,123.95,123.95,500.0
2003-09-02,123.95,117.8,117.8,117.8,500.0
2003-09-03,117.8,115.0,115.0,115.0,3000.0
2003-09-10,115.0,116.0,116.0,116.0,500.0
2003-09-11,116.0,115.0,110.2,115.0,1500.0
2003-09-12,115.0,112.0,112.0,112.0,500.0
2003-09-17,112.0,110.0,110.0,110.0,0.0
2003-09-19,110.0,109.0,109.0,109.0,0.0
2003-09-24,109.0,107.0,107.0,107.0,0.0
2003-09-29,107.0,105.0,105.0,105.0,0.0
2003-09-30,105.0,104.0,104.0,104.0,0.0
2003-10-14,104.0,100.0,100.0,100.0,0.0
2003-10-15,100.0,99.95,99.95,99.95,0.0
2003-10-16,99.95,95.0,95.0,95.0,500.0
2003-10-17,95.0,102.1,92.0,92.0,2000.0
2003-11-03,92.0,91.0,91.0,91.0,0.0
2003-11-04,91.0,87.0,87.0,87.0,200.0
2003-11-05,87.0,84.1,84.0,84.0,500.0
2003-11-06,84.0,80.1,79.8,80.1,500.0
2003-11-07,80.1,81.0,81.0,81.0,100.0
2003-11-10,81.0,81.0,80.9,81.0,400.0
2003-11-11,81.0,84.0,83.0,84.0,300.0
2003-11-12,84.0,84.0,84.0,84.0,100.0
2003-11-13,84.0,84.0,81.0,81.0,800.0
2003-11-19,81.0,85.0,84.95,85.0,500.0
2003-11-21,85.0,86.0,86.0,86.0,500.0
2003-11-25,86.0,87.0,87.0,87.0,100.0
2003-12-01,87.0,85.0,85.0,85.0,200.0
