Date,Open,High,Low,Close,Volume
2001-01-12,2.25,0.8,0.8,0.8,5000.0
2001-01-16,0.8,2.3,2.3,2.3,500.0
2001-01-19,2.3,2.0,2.0,2.0,500.0
2001-01-22,2.0,2.5,2.4,2.5,4500.0
2001-02-08,2.5,2.0,2.0,2.0,1500.0
2001-02-19,2.0,2.5,2.5,2.5,5000.0
2001-02-20,2.5,2.5,2.5,2.5,20000.0
2001-02-27,2.5,2.5,2.5,2.5,1000.0
2001-02-28,2.5,2.7,2.7,2.7,500.0
2001-03-13,2.7,2.5,2.0,2.0,4000.0
2001-03-14,2.0,2.5,2.5,2.5,2000.0
2001-04-27,2.5,2.2,2.2,2.2,500.0
2001-04-30,2.2,2.5,2.5,2.5,2000.0
2001-05-02,2.5,2.5,2.5,2.5,3000.0
2001-05-03,2.5,2.2,2.2,2.2,1000.0
2001-05-04,2.2,2.6,2.6,2.6,500.0
2001-05-22,2.6,2.0,2.0,2.0,3500.0
2001-05-25,2.0,2.1,2.0,2.0,1500.0
2001-05-31,2.0,2.5,2.5,2.5,6000.0
2001-06-06,2.5,2.5,2.5,2.5,4000.0
2001-06-07,2.5,2.5,2.5,2.5,1000.0
2001-06-08,2.5,2.3,2.3,2.3,2000.0
2001-06-13,2.3,2.5,2.5,2.5,1000.0
2001-06-14,2.5,2.5,2.25,2.25,4000.0
2001-06-18,2.25,2.2,2.2,2.2,2000.0
2001-06-22,2.2,2.0,2.0,2.0,1000.0
2001-07-05,2.0,2.0,2.0,2.0,2000.0
2001-07-11,2.0,1.95,1.95,1.95,3000.0
2001-08-22,1.95,1.75,1.75,1.75,500.0
2001-08-23,1.75,2.0,1.95,2.0,2500.0
2001-08-29,2.0,1.8,1.8,1.8,500.0
2001-09-04,1.8,2.0,2.0,2.0,500.0
2001-09-05,2.0,2.35,2.0,2.35,2500.0
2001-09-06,2.35,2.5,2.5,2.5,500.0
2001-09-07,2.5,2.45,2.25,2.25,20000.0
2001-09-10,2.25,2.3,2.2,2.2,10000.0
2001-09-11,2.2,3.5,2.3,2.3,12500.0
2001-09-12,2.3,2.05,2.05,2.05,5000.0
2001-09-13,2.05,2.05,2.0,2.0,1000.0
2001-09-24,2.0,2.0,2.0,2.0,1000.0
2001-09-25,2.0,2.0,1.95,1.95,2000.0
2001-09-27,1.95,1.95,1.95,1.95,2000.0
2001-10-01,1.95,1.9,1.9,1.9,2000.0
2001-10-17,1.9,1.85,1.85,1.85,1000.0
2001-10-24,1.85,1.8,1.8,1.8,6000.0
2001-10-30,1.8,1.75,1.75,1.75,1000.0
2001-12-10,1.75,1.75,1.75,1.75,2500.0
2001-12-31,1.75,2.25,1.75,1.95,10000.0
2002-01-01,1.95,1.9,1.8,1.8,6000.0
2002-01-02,1.8,2.25,1.8,1.85,3500.0
2002-01-04,1.85,1.8,1.8,1.8,500.0
2002-01-07,1.8,2.0,2.0,2.0,1500.0
2002-01-08,2.0,1.85,1.8,1.8,2000.0
2002-01-11,1.8,2.0,2.0,2.0,12000.0
2002-01-15,2.0,2.15,2.1,2.15,1500.0
2002-01-16,2.15,2.15,1.85,2.0,6000.0
2002-01-17,2.0,2.2,2.0,2.1,3500.0
2002-01-18,2.1,2.25,2.2,2.25,6000.0
2002-01-21,2.25,2.25,2.25,2.25,6000.0
2002-01-24,2.25,2.25,2.25,2.25,4000.0
2002-01-25,2.25,2.6,2.2,2.6,31000.0
2002-01-28,2.6,3.0,2.85,2.85,18500.0
2002-01-29,2.85,2.95,2.7,2.7,13000.0
2002-01-30,2.7,2.8,2.8,2.8,1000.0
2002-01-31,2.8,3.05,2.8,2.85,3000.0
2002-02-01,2.85,2.95,2.8,2.8,6500.0
2002-02-04,2.8,2.9,2.9,2.9,1000.0
2002-02-06,2.9,2.8,2.8,2.8,1000.0
2002-02-11,2.8,2.8,2.8,2.8,500.0
2002-02-12,2.8,2.8,2.6,2.6,13000.0
2002-02-14,2.6,2.3,2.3,2.3,1000.0
2002-02-15,2.3,2.7,2.6,2.6,6500.0
2002-02-20,2.6,2.75,2.6,2.6,2000.0
2002-03-04,2.6,2.6,2.6,2.6,5000.0
2002-03-06,2.6,2.7,2.65,2.7,3500.0
2002-03-07,2.7,3.2,2.85,3.2,10000.0
2002-03-11,3.2,2.5,2.5,2.5,5000.0
2002-03-12,2.5,2.95,2.95,2.95,500.0
2002-03-14,2.95,2.75,2.55,2.75,5500.0
2002-03-20,2.75,2.55,2.5,2.5,5000.0
2002-03-22,2.5,2.5,2.5,2.5,1000.0
2002-04-03,2.5,3.0,2.75,3.0,16500.0
2002-04-04,3.0,3.0,3.0,3.0,16000.0
2002-04-05,3.0,3.0,3.0,3.0,5500.0
2002-04-08,3.0,3.95,3.25,3.6,38000.0
2002-04-09,3.6,4.75,3.95,4.05,52000.0
2002-04-10,4.05,4.25,3.75,4.1,28000.0
2002-04-11,4.1,4.9,4.0,4.6,74000.0
2002-04-12,4.6,5.0,4.75,4.85,32500.0
2002-04-15,4.85,4.8,4.5,4.5,19500.0
2002-04-16,4.5,4.75,4.3,4.55,10000.0
2002-04-17,4.55,4.6,4.25,4.5,51500.0
2002-04-18,4.5,4.15,4.1,4.1,1000.0
2002-04-19,4.1,5.0,4.0,4.05,17500.0
2002-04-22,4.05,4.4,4.4,4.4,2000.0
2002-04-23,4.4,4.1,4.1,4.1,2000.0
2002-04-24,4.1,4.4,4.25,4.25,16500.0
2002-04-25,4.25,4.35,4.15,4.2,3000.0
2002-04-26,4.2,4.05,4.0,4.0,4000.0
2002-04-29,4.0,4.05,4.0,4.05,2000.0
2002-04-30,4.05,4.15,4.15,4.15,2000.0
2002-05-02,4.15,4.2,4.15,4.15,3000.0
2002-05-03,4.15,4.2,4.2,4.2,7500.0
2002-05-06,4.2,4.0,4.0,4.0,0.0
2002-05-13,4.0,3.75,3.75,3.75,2000.0
2002-05-14,3.75,4.0,4.0,4.0,1500.0
2002-05-15,4.0,4.1,4.05,4.1,2000.0
2002-05-16,4.1,4.0,3.8,3.95,3500.0
2002-05-20,3.95,3.25,3.25,3.25,1000.0
2002-05-21,3.25,3.5,3.4,3.4,6000.0
2002-05-22,3.4,3.25,3.15,3.25,1500.0
2002-05-24,3.25,3.9,3.85,3.9,2000.0
2002-05-30,3.9,3.7,3.65,3.65,6000.0
2002-06-05,3.65,3.75,3.6,3.75,1000.0
2002-06-13,3.75,3.65,3.65,3.65,0.0
2002-06-14,3.65,3.55,3.45,3.45,1500.0
2002-06-17,3.45,3.5,3.5,3.5,500.0
2002-06-24,3.5,3.1,3.1,3.1,2000.0
2002-06-25,3.1,3.15,3.1,3.15,9000.0
2002-06-28,3.15,3.05,3.05,3.05,500.0
2002-07-01,3.05,3.25,3.25,3.25,0.0
2002-07-02,3.25,3.0,2.95,3.0,7000.0
2002-07-03,3.0,3.45,3.25,3.25,3500.0
2002-07-08,3.25,3.45,3.05,3.05,8000.0
2002-07-09,3.05,3.2,3.1,3.1,5500.0
2002-07-11,3.1,3.05,3.0,3.0,1000.0
2002-07-16,3.0,3.0,3.0,3.0,5000.0
2002-07-19,3.0,2.85,2.85,2.85,20000.0
2002-07-22,2.85,3.0,3.0,3.0,1000.0
2002-07-24,3.0,3.0,2.8,2.8,7000.0
2002-07-25,2.8,3.0,2.9,2.9,7000.0
2002-07-26,2.9,2.95,2.85,2.95,3000.0
2002-07-29,2.95,2.95,2.95,2.95,2000.0
2002-07-30,2.95,2.95,2.95,2.95,1000.0
2002-07-31,2.95,2.95,2.95,2.95,500.0
2002-08-01,2.95,2.85,2.85,2.85,3500.0
2002-08-02,2.85,2.85,2.85,2.85,8500.0
2002-08-05,2.85,3.05,3.05,3.05,1000.0
2002-08-06,3.05,3.5,3.15,3.3,39500.0
2002-08-07,3.3,3.5,3.25,3.45,22000.0
2002-08-08,3.45,3.85,3.5,3.55,28000.0
2002-08-09,3.55,3.7,3.5,3.7,19000.0
2002-08-12,3.7,4.25,3.8,4.15,76000.0
2002-08-13,4.15,4.6,4.0,4.6,86500.0
2002-08-15,4.6,4.7,4.5,4.55,14500.0
2002-08-16,4.55,5.0,4.7,4.85,26500.0
2002-08-19,4.85,4.9,4.5,4.5,15500.0
2002-08-20,4.5,4.55,4.4,4.4,12500.0
2002-08-21,4.4,4.55,4.2,4.2,7000.0
2002-08-22,4.2,4.3,4.05,4.05,7500.0
2002-08-23,4.05,4.1,4.1,4.1,2500.0
2002-08-26,4.1,4.35,3.8,4.35,16500.0
2002-08-27,4.35,4.3,4.15,4.15,2500.0
2002-08-28,4.15,4.5,4.3,4.5,15000.0
2002-08-29,4.5,4.4,4.4,4.4,0.0
2002-08-30,4.4,4.35,4.35,4.35,1500.0
2002-09-02,4.35,4.35,4.0,4.0,10500.0
2002-09-03,4.0,4.0,3.95,4.0,1000.0
2002-09-05,4.0,4.95,4.0,4.0,3500.0
2002-09-06,4.0,4.5,3.8,4.5,8000.0
2002-09-10,4.5,4.15,4.0,4.15,3000.0
2002-09-11,4.15,4.15,4.0,4.15,1500.0
2002-09-16,4.15,4.1,4.1,4.1,0.0
2002-09-18,4.1,4.0,4.0,4.0,5000.0
2002-09-20,4.0,4.05,3.95,3.95,1000.0
2002-09-23,3.95,4.0,4.0,4.0,0.0
2002-09-24,4.0,4.5,4.15,4.5,12500.0
2002-09-25,4.5,4.5,4.25,4.5,5500.0
2002-09-26,4.5,4.35,4.3,4.3,1500.0
2002-10-02,4.3,4.25,3.8,4.0,9000.0
2002-10-03,4.0,3.9,3.9,3.9,2000.0
2002-10-04,3.9,3.9,3.8,3.8,6000.0
2002-10-07,3.8,4.25,4.0,4.25,28500.0
2002-10-08,4.25,4.4,4.25,4.3,26000.0
2002-10-09,4.3,4.5,4.4,4.4,1500.0
2002-10-14,4.4,4.25,4.0,4.25,3000.0
2002-10-15,4.25,4.25,4.25,4.25,6000.0
2002-10-17,4.25,4.25,4.25,4.25,1500.0
