Date,Open,High,Low,Close,Volume
2001-01-12,13.5,12.25,12.25,12.25,1000.0
2001-02-09,12.25,12.25,12.25,12.25,6500.0
2001-02-26,12.25,12.25,12.25,12.25,1000.0
2001-03-09,12.25,12.25,12.25,12.25,0.0
2001-03-26,10.25,10.25,10.25,10.25,0.0
2001-04-17,10.25,12.0,12.0,12.0,2000.0
2001-04-18,12.0,12.1,12.1,12.1,1000.0
2001-05-10,12.1,12.0,12.0,12.0,1000.0
2001-05-15,12.0,12.0,12.0,12.0,0.0
2001-06-11,12.0,13.0,12.95,13.0,2500.0
2001-06-19,13.0,13.6,13.6,13.6,500.0
2001-07-05,13.6,18.0,18.0,18.0,500.0
2001-09-07,18.0,13.0,13.0,13.0,500.0
2001-09-12,13.0,13.0,13.0,13.0,0.0
2002-02-07,13.0,14.5,14.5,14.5,500.0
2002-03-15,14.5,15.95,15.95,15.95,1500.0
2002-03-22,13.7,13.7,13.7,13.7,0.0
2002-03-26,13.7,14.25,14.25,14.25,0.0
2002-03-27,14.25,14.5,14.5,14.5,0.0
2002-03-28,14.5,15.0,15.0,15.0,0.0
2002-03-29,15.0,16.25,16.25,16.25,0.0
2002-04-01,16.25,17.05,17.05,17.05,0.0
2002-04-17,17.05,18.55,18.55,18.55,0.0
2002-04-18,18.55,20.05,20.05,20.05,0.0
2002-05-02,20.05,20.2,20.2,20.2,0.0
2002-05-28,20.2,21.5,21.5,21.5,1000.0
2002-05-29,21.5,23.0,23.0,23.0,500.0
2002-06-03,23.0,24.7,24.7,24.7,0.0
2002-06-04,24.7,26.55,26.55,26.55,500.0
2002-06-05,26.55,27.5,27.5,27.5,500.0
2002-06-10,27.5,28.0,28.0,28.0,500.0
2002-06-11,28.0,27.9,27.9,27.9,0.0
2002-06-13,27.9,27.25,27.25,27.25,0.0
2002-06-14,27.25,27.2,27.2,27.2,0.0
2002-06-17,27.2,27.0,27.0,27.0,500.0
2002-06-26,27.0,27.0,27.0,27.0,500.0
2002-06-28,27.0,26.5,26.5,26.5,0.0
2002-07-01,26.5,26.5,26.5,26.5,500.0
2002-07-09,26.5,26.0,26.0,26.0,500.0
2002-07-24,26.0,25.0,25.0,25.0,1000.0
2002-07-25,25.0,25.0,25.0,25.0,500.0
2002-07-29,25.0,25.0,25.0,25.0,500.0
2002-08-05,25.0,25.5,25.5,25.5,0.0
2002-09-03,25.5,25.0,25.0,25.0,3000.0
2002-09-04,25.0,25.5,25.5,25.5,0.0
2002-09-10,25.5,26.0,26.0,26.0,500.0
2002-09-11,26.0,26.25,26.25,26.25,0.0
2002-09-12,26.25,27.4,27.0,27.4,1000.0
2002-09-18,27.4,28.0,28.0,28.0,500.0
2002-09-19,28.0,29.5,29.5,29.5,500.0
2002-09-23,29.5,30.0,30.0,30.0,0.0
2002-09-25,30.0,32.0,32.0,32.0,500.0
