Date,Open,High,Low,Close,Volume
2009-03-27,10.0,25.0,14.01,20.16,184000.0
2009-03-30,20.16,21.16,21.0,21.16,24500.0
2009-03-31,21.16,22.21,22.21,22.21,7000.0
2009-04-01,22.21,23.32,23.32,23.32,5000.0
2009-04-02,23.32,24.48,24.48,24.48,4000.0
2009-04-03,24.48,25.7,25.7,25.7,7500.0
2009-04-06,25.7,26.98,26.5,26.98,88000.0
2009-04-07,26.98,28.32,28.32,28.32,3000.0
2009-04-08,28.32,29.73,29.73,29.73,5500.0
2009-04-09,29.73,31.21,31.21,31.21,2500.0
2009-04-10,31.21,32.77,32.77,32.77,31000.0
2009-04-13,32.77,34.4,34.4,34.4,10000.0
2009-04-14,34.4,36.12,36.12,36.12,0.0
2009-04-15,36.12,37.92,34.32,34.32,15500.0
2009-04-16,34.32,33.25,32.61,32.61,52000.0
2009-04-17,32.61,31.4,30.98,31.12,26500.0
2009-04-20,31.12,32.67,30.0,32.67,12000.0
2009-04-21,32.67,34.3,34.25,34.3,3500.0
2009-04-22,34.3,36.01,32.59,34.27,23500.0
2009-04-23,34.27,32.56,32.56,32.56,4000.0
2009-04-24,32.56,34.18,31.01,33.31,4500.0
2009-04-27,33.31,34.97,31.66,32.49,23500.0
2009-04-28,32.49,33.99,32.5,32.5,4500.0
2009-04-29,32.5,31.99,30.88,31.99,1500.0
2009-04-30,31.99,30.4,30.4,30.4,500.0
2009-05-05,30.4,28.9,28.9,28.9,500.0
2009-05-06,28.9,28.9,28.9,28.9,500.0
2009-05-11,28.9,27.46,27.46,27.46,0.0
2009-05-12,27.46,26.1,26.09,26.1,4500.0
2009-05-13,26.1,26.1,26.1,26.1,500.0
2009-05-19,26.1,24.8,24.8,24.8,2500.0
2009-05-20,24.8,24.0,23.65,24.0,2500.0
2009-05-25,24.0,23.0,22.8,22.93,1500.0
2009-05-26,22.93,21.8,21.8,21.8,500.0
2009-05-27,21.8,22.74,21.0,21.0,12500.0
2009-05-28,21.0,22.0,22.0,22.0,500.0
2009-05-29,22.0,22.0,22.0,22.0,1000.0
2009-06-03,22.0,21.0,21.0,21.0,500.0
2009-06-08,21.0,21.9,19.95,19.95,10500.0
2009-06-09,19.95,20.85,18.95,19.16,41500.0
2009-06-10,19.16,18.62,18.16,18.16,21000.0
2009-06-11,18.16,18.45,17.2,17.89,5000.0
2009-06-12,17.89,17.4,16.89,16.89,24000.0
2009-06-15,16.89,15.9,15.89,15.89,35000.0
2009-06-16,15.89,14.89,14.89,14.89,10000.0
2009-06-17,14.89,15.89,14.02,15.89,7500.0
2009-06-18,15.89,16.4,15.61,15.61,2500.0
2009-06-19,15.61,15.35,14.61,14.61,23000.0
2009-06-23,14.61,14.6,13.61,14.12,4000.0
2009-06-24,14.12,14.99,13.3,13.6,11000.0
2009-06-25,13.6,14.25,14.25,14.25,500.0
2009-06-26,14.25,15.25,14.0,15.25,3500.0
2009-06-29,15.25,14.32,14.25,14.27,3500.0
2009-06-30,14.27,14.75,13.27,13.63,56500.0
2009-07-01,13.63,13.5,13.18,13.18,5500.0
2009-07-02,13.18,13.5,13.5,13.5,1000.0
2009-07-06,13.5,13.99,12.54,13.76,3000.0
2009-07-07,13.76,14.19,13.65,13.65,11500.0
2009-07-08,13.65,13.92,13.92,13.92,500.0
2009-07-09,13.92,13.24,12.92,12.96,469500.0
2009-07-10,12.96,13.63,13.0,13.1,10000.0
2009-07-13,13.1,13.5,13.42,13.45,4000.0
2009-07-14,13.45,13.44,13.0,13.0,2000.0
2009-07-15,13.0,13.39,13.35,13.37,3000.0
2009-07-16,13.37,14.37,13.13,14.09,19000.0
2009-07-17,14.09,14.94,14.14,14.94,21500.0
2009-07-20,14.94,15.0,14.1,14.12,5000.0
2009-07-21,14.12,14.7,13.5,13.8,2426.0
2009-07-22,13.8,14.4,13.3,14.21,4881.0
2009-07-23,14.21,15.12,13.51,13.72,2835.0
2009-07-24,13.72,14.4,13.0,13.31,12153.0
2009-07-27,13.31,14.0,13.4,13.5,16302.0
2009-07-28,13.5,13.99,13.15,13.17,2429.0
2009-07-29,13.17,13.86,13.01,13.52,6863.0
2009-07-30,13.52,13.8,13.1,13.1,897.0
2009-07-31,13.1,13.65,13.05,13.16,1142.0
2009-08-03,13.16,14.16,12.2,12.64,14966.0
2009-08-04,12.64,13.19,12.34,12.88,1455.0
2009-08-05,12.88,13.88,12.53,13.56,9325.0
2009-08-06,13.56,13.44,12.74,13.31,8831.0
2009-08-07,13.31,13.49,12.7,13.17,11440.0
2009-08-10,13.17,13.8,12.6,13.0,4185.0
2009-08-11,13.0,13.75,13.0,13.63,1492.0
2009-08-12,13.63,14.0,13.0,13.01,4033.0
2009-08-13,13.01,13.25,12.06,12.35,13601.0
2009-08-17,12.35,13.0,12.15,12.3,4119.0
2009-08-18,12.3,12.97,11.41,12.2,2660.0
2009-08-19,12.2,12.9,11.5,12.25,5029.0
2009-08-20,12.25,12.39,11.91,12.05,969.0
2009-08-21,12.05,12.59,11.9,12.24,5606.0
2009-08-24,12.24,13.23,11.76,12.46,20227.0
2009-08-25,12.46,12.39,11.75,12.39,13.0
2009-08-26,12.39,13.19,11.71,11.71,16.0
2009-08-27,11.71,12.49,11.5,11.51,2043.0
2009-08-28,11.51,12.5,11.37,11.68,3376.0
2009-08-31,11.68,12.5,11.55,12.25,1143.0
2009-09-01,12.25,12.6,11.5,11.75,6513.0
2009-09-02,11.75,12.7,10.76,12.11,6448.0
2009-09-03,12.11,12.76,11.52,11.82,819.0
2009-09-04,11.82,12.0,10.86,10.92,61325.0
2009-09-07,10.92,11.25,9.92,9.93,37642.0
2009-09-08,9.93,10.15,9.51,9.91,7775.0
2009-09-09,9.91,10.02,9.8,10.0,70808.0
2009-09-10,10.0,10.98,10.0,10.75,41948.0
2009-09-11,10.75,10.96,10.5,10.5,4732.0
2009-09-14,10.5,10.92,9.77,10.01,22447.0
2009-09-15,10.01,10.24,9.91,9.95,6386.0
2009-09-16,9.95,10.49,9.32,10.08,142651.0
2009-09-17,10.08,10.39,9.5,9.58,37840.0
2009-09-18,9.58,9.89,9.31,9.75,24704.0
2009-09-24,9.75,10.3,9.87,10.0,89076.0
2009-09-25,10.0,10.34,9.6,10.34,84849.0
2009-09-28,10.34,9.97,9.34,9.34,230767.0
2009-09-29,9.34,9.85,8.34,8.49,648123.0
2009-09-30,8.49,8.88,7.6,8.07,385968.0
2009-10-01,8.07,9.07,8.2,9.07,370481.0
2009-10-02,9.07,10.07,9.0,10.07,386839.0
2009-10-05,10.07,11.07,10.9,11.07,44988.0
2009-10-06,11.07,12.07,12.07,12.07,6145.0
2009-10-07,12.07,13.07,13.07,13.07,9442.0
