Date,Open,High,Low,Close,Volume
2001-01-02,6.5,6.65,6.5,6.65,4500.0
2001-01-03,6.65,7.5,6.75,7.5,23500.0
2001-01-04,7.5,7.6,7.0,7.5,52000.0
2001-01-05,7.5,8.0,7.5,7.8,45500.0
2001-01-08,7.8,8.3,7.8,8.1,30000.0
2001-01-09,8.1,8.0,7.9,7.9,6000.0
2001-01-11,7.9,7.8,7.6,7.6,17500.0
2001-01-12,7.6,7.65,7.5,7.5,11500.0
2001-01-16,7.5,7.6,7.5,7.5,5500.0
2001-01-17,7.5,7.65,7.6,7.65,2000.0
2001-01-18,7.65,7.5,7.5,7.5,3000.0
2001-01-19,7.5,7.15,7.15,7.15,500.0
2001-01-22,7.15,7.7,7.25,7.7,5000.0
2001-01-23,7.7,7.5,7.5,7.5,8000.0
2001-01-24,7.5,7.55,7.55,7.55,14000.0
2001-01-25,7.55,7.7,7.5,7.7,12500.0
2001-01-26,7.7,7.5,7.5,7.5,5000.0
2001-01-30,7.5,7.5,7.4,7.5,5000.0
2001-01-31,7.5,7.65,7.5,7.65,7500.0
2001-02-01,7.65,7.3,7.3,7.3,2000.0
2001-02-02,7.3,7.5,7.4,7.5,4000.0
2001-02-06,7.5,7.5,7.5,7.5,500.0
2001-02-07,7.5,7.5,7.5,7.5,500.0
2001-02-08,7.5,7.55,7.5,7.5,1500.0
2001-02-12,7.5,7.5,7.5,7.5,1000.0
2001-02-13,7.5,7.5,7.5,7.5,3000.0
2001-02-15,7.5,7.5,7.5,7.5,2000.0
2001-02-22,7.5,7.35,7.35,7.35,1000.0
2001-02-23,7.35,7.5,7.25,7.25,11500.0
2001-02-26,7.25,7.5,7.5,7.5,3500.0
2001-02-27,7.5,7.5,7.45,7.5,2500.0
2001-02-28,7.5,7.5,7.5,7.5,22000.0
2001-03-01,7.5,7.5,7.5,7.5,6500.0
2001-03-02,7.5,7.5,7.5,7.5,26500.0
2001-03-09,7.5,7.5,7.5,7.5,58000.0
2001-03-12,7.5,7.5,7.5,7.5,6000.0
2001-03-13,7.5,7.6,7.5,7.6,21500.0
2001-03-14,7.6,7.5,7.5,7.5,12000.0
2001-03-15,7.5,7.55,7.5,7.5,55500.0
2001-03-16,7.5,7.5,7.0,7.0,500.0
2001-03-19,7.0,6.5,6.5,6.5,500.0
2001-03-21,6.5,6.3,6.2,6.2,2000.0
2001-03-22,6.2,7.0,6.45,7.0,1000.0
2001-03-27,7.0,5.7,5.7,5.7,500.0
2001-04-02,4.45,4.75,4.75,4.75,500.0
2001-04-03,4.75,5.05,5.05,5.05,500.0
2001-04-16,5.05,5.55,5.55,5.55,500.0
2001-04-18,5.55,6.0,6.0,6.0,500.0
2001-04-20,6.0,5.9,5.85,5.9,2000.0
2001-04-24,5.9,6.25,6.25,6.25,1000.0
2001-04-25,6.25,6.05,6.0,6.0,2500.0
2001-04-26,6.0,5.9,5.9,5.9,500.0
2001-04-27,5.9,5.8,5.8,5.8,1000.0
2001-05-07,5.8,5.5,5.5,5.5,500.0
2001-05-08,5.5,5.75,5.75,5.75,500.0
2001-05-14,5.75,5.75,5.75,5.75,5500.0
2001-05-15,5.75,5.75,5.7,5.7,2500.0
2001-05-24,5.7,5.8,5.8,5.8,2000.0
2001-05-28,5.8,10.0,10.0,10.0,500.0
2001-05-29,10.0,6.0,6.0,6.0,500.0
2001-05-30,6.0,6.1,6.0,6.0,6500.0
2001-05-31,6.0,6.1,6.0,6.1,1000.0
2001-06-01,6.1,6.1,6.1,6.1,1000.0
2001-06-04,6.1,6.4,6.1,6.4,5000.0
2001-06-07,6.4,6.15,6.15,6.15,1500.0
2001-06-11,6.15,6.0,6.0,6.0,2500.0
2001-06-15,6.0,6.05,6.05,6.05,1000.0
2001-06-21,6.05,6.1,6.0,6.0,7000.0
2001-06-22,6.0,6.0,6.0,6.0,3500.0
2001-06-26,6.0,6.0,6.0,6.0,500.0
2001-07-04,6.0,6.0,6.0,6.0,500.0
2001-07-06,6.0,5.95,5.9,5.95,3000.0
2001-07-19,5.95,5.1,5.0,5.1,2000.0
2001-08-16,5.1,5.0,5.0,5.0,2000.0
2001-10-04,5.0,4.9,4.9,4.9,1000.0
2001-10-09,4.9,5.0,4.95,5.0,14000.0
2001-10-16,5.0,5.0,5.0,5.0,500.0
2001-10-17,5.0,5.1,5.0,5.1,2000.0
2001-10-19,5.1,5.0,5.0,5.0,1000.0
2001-10-22,5.0,5.15,5.1,5.15,5000.0
2001-10-23,5.15,5.25,5.25,5.25,5500.0
2001-11-15,5.25,5.25,5.25,5.25,2000.0
