Date,Open,High,Low,Close,Volume
2001-01-01,10.85,11.05,10.55,10.65,16169500.0
2001-01-02,10.65,10.9,10.5,10.7,11680500.0
2001-01-03,10.7,11.3,10.65,11.2,23803500.0
2001-01-04,11.2,11.65,11.15,11.3,39697500.0
2001-01-05,11.3,11.4,11.1,11.15,14077000.0
2001-01-08,11.15,11.4,10.95,10.95,13723500.0
2001-01-09,10.95,11.3,10.9,11.3,17428000.0
2001-01-10,11.3,11.4,11.15,11.3,16185500.0
2001-01-11,11.3,11.3,10.9,10.9,14264000.0
2001-01-12,10.9,10.95,10.25,10.35,18430500.0
2001-01-15,10.35,10.5,10.15,10.4,10618500.0
2001-01-16,10.4,10.65,10.3,10.5,11021500.0
2001-01-17,10.5,10.45,10.0,10.2,11062500.0
2001-01-18,10.2,10.15,9.4,9.45,30893500.0
2001-01-19,9.45,9.6,9.3,9.45,11392500.0
2001-01-22,9.45,9.75,9.35,9.7,18332500.0
2001-01-23,9.7,9.85,9.6,9.7,11423000.0
2001-01-24,9.7,9.8,9.35,9.4,12492000.0
2001-01-25,9.4,9.45,9.1,9.1,10645000.0
2001-01-26,9.1,9.25,8.95,9.05,9097500.0
2001-01-29,9.05,9.2,9.0,9.05,2862000.0
2001-01-30,9.05,9.15,8.9,9.1,7901000.0
2001-01-31,9.1,9.65,9.1,9.6,20915000.0
2001-02-01,9.6,9.85,9.45,9.5,16684500.0
2001-02-02,9.5,9.7,9.5,9.65,6212500.0
2001-02-06,9.65,10.0,9.7,9.8,12778000.0
2001-02-07,9.8,9.8,9.6,9.7,4209500.0
2001-02-08,9.7,9.75,9.55,9.55,3913500.0
2001-02-09,9.55,9.85,9.55,9.7,5943500.0
2001-02-12,9.7,10.1,9.8,9.95,14423500.0
2001-02-13,9.95,10.25,9.95,10.0,21083000.0
2001-02-14,10.0,10.1,9.95,10.05,6189000.0
2001-02-15,10.05,10.45,10.1,10.15,31610000.0
2001-02-16,10.15,10.3,10.1,10.2,8865500.0
2001-02-19,10.2,10.35,10.0,10.0,13092500.0
2001-02-20,10.0,10.25,9.8,9.85,18283000.0
2001-02-21,9.85,9.9,9.3,9.65,21887500.0
2001-02-22,9.65,9.95,9.65,9.75,15809000.0
2001-02-23,9.75,9.8,9.25,9.35,11990000.0
2001-02-26,9.35,9.5,9.15,9.45,6367000.0
2001-02-27,9.45,9.6,9.35,9.5,5620500.0
2001-02-28,9.5,9.6,9.3,9.6,18090000.0
2001-03-01,9.6,9.6,9.45,9.5,5527500.0
2001-03-02,9.5,9.8,9.5,9.75,13326000.0
2001-03-09,9.75,10.0,9.65,9.7,8722500.0
2001-03-12,9.7,9.75,9.55,9.6,2401000.0
2001-03-13,9.6,9.55,9.3,9.5,5273500.0
2001-03-14,9.5,9.55,9.4,9.45,2668500.0
2001-03-15,9.45,9.5,9.2,9.3,4050500.0
2001-03-16,9.3,9.35,9.2,9.35,2667500.0
2001-03-19,9.35,9.35,9.2,9.25,989000.0
2001-03-20,9.25,9.3,9.1,9.25,3517500.0
2001-03-21,9.25,9.25,8.9,9.0,7283000.0
2001-03-22,9.0,9.0,8.75,8.85,8976500.0
2001-03-26,8.85,8.9,8.7,8.8,2041000.0
2001-03-27,8.8,9.0,8.7,9.0,4343500.0
2001-03-28,9.0,9.05,8.8,8.8,2924500.0
2001-03-29,8.8,8.85,8.5,8.65,5060000.0
2001-03-30,8.65,8.7,8.5,8.6,3490000.0
2001-04-02,8.6,8.85,8.6,8.75,1122000.0
2001-04-03,8.75,8.85,8.7,8.7,1137000.0
2001-04-06,8.7,8.75,8.6,8.65,1413500.0
2001-04-09,8.65,8.75,8.45,8.65,3111500.0
2001-04-10,8.65,8.8,8.6,8.7,1549000.0
2001-04-11,8.7,9.1,8.7,9.1,11283500.0
2001-04-12,9.1,9.2,8.9,9.15,5524000.0
2001-04-13,9.15,9.9,9.05,9.9,32997000.0
2001-04-16,9.9,10.25,9.9,10.1,25728000.0
2001-04-17,10.1,10.25,9.9,10.0,16925500.0
2001-04-18,10.0,10.1,9.8,9.9,10491500.0
2001-04-19,9.9,10.1,9.7,9.8,13280500.0
2001-04-20,9.8,10.35,9.75,10.1,34022000.0
2001-04-23,10.1,10.3,9.95,10.0,16107500.0
2001-04-24,10.0,10.1,9.75,9.85,13635000.0
2001-04-25,9.85,9.95,9.7,9.8,7754500.0
2001-04-26,9.8,9.9,9.75,9.85,7559500.0
2001-04-27,9.85,9.85,9.15,9.25,16438500.0
2001-04-30,9.25,9.35,9.15,9.25,3806000.0
2001-05-02,9.25,9.3,9.1,9.2,5599500.0
2001-05-03,9.2,9.45,9.15,9.35,7459000.0
2001-05-04,9.35,9.35,9.15,9.2,4891000.0
2001-05-07,9.2,9.3,9.2,9.3,1566000.0
2001-05-08,9.3,9.3,9.05,9.1,2615000.0
2001-05-09,9.1,9.1,8.95,9.0,4496000.0
2001-05-10,9.0,9.05,8.85,8.9,2869000.0
2001-05-11,8.9,9.0,8.85,8.95,2942500.0
2001-05-14,8.95,9.0,8.8,8.85,1887000.0
2001-05-15,8.85,9.0,8.8,8.95,1425000.0
2001-05-16,8.95,9.4,9.0,9.3,14409500.0
2001-05-17,9.3,9.5,9.25,9.4,10706500.0
2001-05-18,9.4,9.55,9.3,9.35,10676500.0
2001-05-21,9.35,9.5,9.25,9.3,3313500.0
2001-05-22,9.3,9.35,9.1,9.1,4025000.0
2001-05-23,9.1,9.2,9.05,9.1,2385500.0
2001-05-24,9.1,9.35,9.05,9.25,3842000.0
2001-05-25,9.25,9.3,9.05,9.1,2374000.0
2001-05-28,9.1,9.25,9.1,9.2,360500.0
2001-05-29,9.2,9.35,9.2,9.3,2494500.0
2001-05-30,9.3,9.4,9.2,9.3,2462500.0
2001-05-31,9.3,9.5,9.35,9.4,7876000.0
2001-06-01,9.4,9.7,9.4,9.65,13857500.0
2001-06-04,9.65,9.95,9.7,9.85,14594500.0
2001-06-06,9.85,9.9,9.4,9.4,7969000.0
2001-06-07,9.4,9.55,9.25,9.35,3926500.0
2001-06-08,9.35,9.4,9.25,9.3,2800500.0
2001-06-11,9.3,9.55,9.3,9.5,3476500.0
2001-06-12,9.5,9.6,9.45,9.55,4026000.0
2001-06-13,9.55,9.55,9.45,9.5,1534500.0
2001-06-14,9.5,9.6,9.4,9.4,1891500.0
2001-06-15,9.4,9.65,9.4,9.55,6052000.0
2001-06-18,9.55,9.7,9.55,9.7,4856500.0
2001-06-19,9.7,9.65,9.3,9.35,5171000.0
2001-06-20,9.35,9.45,9.25,9.4,3433000.0
2001-06-21,9.4,9.45,9.25,9.3,3706000.0
2001-06-22,9.3,9.3,9.15,9.15,1725000.0
2001-06-25,9.15,9.35,9.2,9.3,684000.0
2001-06-26,9.3,9.3,9.0,9.2,2038000.0
2001-06-27,9.2,9.3,9.1,9.3,1528500.0
2001-06-28,9.3,9.25,9.2,9.2,1025500.0
2001-06-29,9.2,9.25,9.05,9.1,1625500.0
2001-07-03,9.1,9.2,8.9,9.0,2225000.0
2001-07-04,9.0,9.1,8.8,8.9,1448500.0
2001-07-05,8.9,8.95,8.7,8.8,2476500.0
2001-07-06,8.8,8.85,8.55,8.6,2075000.0
2001-07-09,8.6,8.8,8.6,8.6,1642000.0
2001-07-10,8.6,8.7,8.55,8.6,957500.0
2001-07-11,8.6,8.9,8.55,8.8,1386000.0
2001-07-12,8.8,9.05,8.7,9.0,2570500.0
2001-07-13,9.0,9.05,8.75,8.85,1472000.0
2001-07-16,8.85,9.0,8.8,8.85,1316000.0
2001-07-17,8.85,8.7,8.5,8.65,2313000.0
2001-07-18,8.65,8.7,8.6,8.65,567000.0
2001-07-19,8.65,8.75,8.45,8.5,1939000.0
2001-07-20,8.5,8.5,8.05,8.15,5078500.0
2001-07-23,8.15,8.2,8.0,8.2,1145500.0
2001-07-24,8.2,8.35,8.15,8.3,1894000.0
2001-07-25,8.3,8.3,8.0,8.05,3760000.0
2001-07-26,8.05,8.1,7.9,7.95,1837500.0
2001-07-27,7.95,8.0,7.75,7.75,2931000.0
