Date,Open,High,Low,Close,Volume
2017-04-05,11.77,12.5,11.77,11.77,83000.0
2017-04-06,11.27,11.4,10.8,11.3,50000.0
2017-04-07,10.8,11.08,10.8,10.92,33500.0
2017-04-10,10.75,11.3,10.7,10.83,18000.0
2017-04-11,10.9,10.9,10.3,10.41,31000.0
2017-04-12,10.4,10.4,10.15,10.15,28000.0
2017-04-13,10.1,10.1,9.7,9.82,15000.0
2017-04-14,9.7,9.99,9.6,9.75,8000.0
2017-04-17,9.6,9.6,8.76,9.01,98000.0
2017-04-18,8.5,9.05,8.5,8.95,17500.0
2017-04-19,7.95,9.95,7.95,8.6,83000.0
2017-04-20,9.35,9.6,8.75,9.26,105000.0
2017-04-21,9.9,10.26,9.9,10.26,20000.0
2017-04-24,11.26,11.26,10.51,10.64,189500.0
2017-04-25,10.98,11.0,10.26,10.38,18500.0
2017-04-26,9.92,9.92,9.42,9.53,29000.0
2017-04-27,9.5,9.65,9.2,9.64,12000.0
2017-04-28,9.2,9.75,8.81,8.86,21000.0
2017-05-02,8.7,8.8,8.03,8.19,18500.0
2017-05-03,8.4,8.4,7.72,7.84,38500.0
2017-05-04,7.7,8.84,7.7,8.5,71000.0
2017-05-05,8.95,8.95,7.6,7.84,110500.0
2017-05-08,7.98,8.1,7.75,7.77,133500.0
2017-05-09,7.51,8.77,7.51,8.77,189000.0
2017-05-10,9.75,9.77,9.12,9.77,223500.0
