Date,Open,High,Low,Close,Volume
2001-01-03,8.5,9.5,8.75,9.45,4000.0
2001-01-04,9.45,9.75,9.75,9.75,500.0
2001-01-05,9.75,9.65,9.25,9.65,4500.0
2001-01-08,9.65,9.65,9.65,9.65,500.0
2001-01-09,9.65,9.45,9.45,9.45,1000.0
2001-01-18,9.45,9.0,9.0,9.0,500.0
2001-01-22,9.0,9.1,8.5,9.1,3000.0
2001-01-23,9.1,9.0,9.0,9.0,1000.0
2001-01-24,9.0,9.15,9.15,9.15,1000.0
2001-01-25,9.15,9.15,9.15,9.15,1000.0
2001-01-26,9.15,9.3,9.3,9.3,500.0
2001-02-01,9.3,8.0,8.0,8.0,500.0
2001-02-07,8.0,10.0,10.0,10.0,1000.0
2001-02-08,10.0,9.5,9.45,9.5,1500.0
2001-02-09,9.5,9.8,9.8,9.8,1000.0
2001-02-12,9.8,9.5,9.5,9.5,500.0
2001-02-13,9.5,9.0,9.0,9.0,1500.0
2001-02-15,9.0,9.25,9.0,9.25,4500.0
2001-02-16,9.25,8.35,8.35,8.35,500.0
2001-02-20,8.35,9.0,8.4,8.4,11000.0
2001-02-21,8.4,8.5,8.5,8.5,500.0
2001-02-22,8.5,8.3,8.3,8.3,1000.0
2001-02-23,8.3,8.6,8.25,8.25,4500.0
2001-02-26,8.25,8.3,8.3,8.3,500.0
2001-02-28,8.3,8.15,7.5,7.5,2000.0
2001-03-01,7.5,7.1,7.0,7.0,2500.0
2001-03-02,7.0,7.0,7.0,7.0,2000.0
2001-03-12,7.0,7.2,7.0,7.0,7500.0
2001-03-13,7.0,7.1,7.0,7.0,10500.0
2001-03-14,7.0,7.1,7.05,7.1,3000.0
2001-03-15,7.1,7.1,7.0,7.0,7500.0
2001-03-16,7.0,7.0,6.25,7.0,6000.0
2001-03-19,7.0,6.5,6.4,6.4,1000.0
2001-03-20,6.4,6.65,6.65,6.65,2000.0
2001-03-21,6.65,6.4,6.4,6.4,1000.0
2001-03-22,6.4,6.9,6.9,6.9,1000.0
2001-03-26,5.65,5.65,5.65,5.65,0.0
2001-04-18,5.65,7.0,7.0,7.0,500.0
2001-05-15,7.0,7.0,7.0,7.0,0.0
2001-05-23,7.0,8.85,7.5,8.85,1000.0
2001-05-25,8.85,6.25,6.25,6.25,1000.0
2001-06-04,6.25,7.65,6.35,7.65,1000.0
2001-06-06,7.65,7.05,7.05,7.05,1000.0
2001-06-14,7.05,6.75,6.75,6.75,1000.0
2001-06-21,6.75,7.0,6.75,6.75,2000.0
2001-06-26,6.75,6.1,6.1,6.1,1000.0
2001-06-27,6.1,6.0,6.0,6.0,500.0
2001-06-29,6.0,6.95,6.95,6.95,1000.0
2001-07-03,6.95,6.25,6.25,6.25,500.0
2001-07-09,6.25,6.4,6.4,6.4,1000.0
2001-07-19,6.4,6.5,6.5,6.5,500.0
2001-07-20,6.5,6.4,6.25,6.4,3000.0
2001-07-23,6.4,6.3,6.3,6.3,1500.0
2001-07-24,6.3,7.0,6.3,7.0,6500.0
2001-07-25,7.0,7.0,6.9,7.0,10500.0
2001-07-26,7.0,7.0,7.0,7.0,6000.0
2001-08-03,7.0,7.0,7.0,7.0,0.0
2001-08-09,7.0,6.25,6.25,6.25,500.0
2001-08-23,6.25,6.5,6.5,6.5,1000.0
2001-08-24,6.5,6.5,6.5,6.5,2000.0
2001-08-28,6.5,6.5,6.5,6.5,500.0
2001-08-29,6.5,6.5,6.5,6.5,1000.0
2001-08-31,6.5,6.55,6.5,6.5,1500.0
2001-09-03,6.5,6.2,6.2,6.2,500.0
2001-09-26,6.2,6.2,6.2,6.2,500.0
2001-09-27,6.2,6.0,6.0,6.0,1000.0
2001-09-28,6.0,6.75,6.0,6.75,1500.0
2001-10-17,6.75,6.45,6.45,6.45,3000.0
2001-10-19,6.45,6.2,6.2,6.2,1000.0
2001-10-22,6.2,7.5,7.0,7.5,1000.0
2001-10-23,7.5,7.15,7.15,7.15,500.0
2001-10-25,7.15,7.1,7.1,7.1,500.0
2001-11-08,7.1,6.75,6.75,6.75,500.0
2001-11-12,6.75,6.45,6.45,6.45,500.0
2001-11-14,6.45,6.45,6.45,6.45,500.0
2001-11-21,6.45,6.15,6.15,6.15,500.0
2001-11-22,6.15,6.25,6.25,6.25,500.0
2001-11-24,6.25,6.25,6.25,6.25,2500.0
2001-12-21,6.25,4.9,4.9,4.9,500.0
2001-12-27,4.9,6.25,5.25,6.25,1000.0
2001-12-28,6.25,6.45,6.25,6.25,8000.0
2002-01-01,6.25,6.5,6.5,6.5,500.0
2002-01-04,6.5,7.0,7.0,7.0,15500.0
2002-01-10,7.0,6.05,6.05,6.05,49500.0
2002-01-18,6.05,6.0,6.0,6.0,1000.0
2002-01-24,6.0,6.5,6.5,6.5,1000.0
2002-01-31,6.5,6.15,6.15,6.15,500.0
2002-02-01,6.15,6.65,6.45,6.5,3000.0
2002-02-06,6.5,6.5,6.5,6.5,5000.0
2002-02-07,6.5,6.05,6.05,6.05,5000.0
2002-02-08,6.05,6.15,6.15,6.15,3000.0
2002-02-11,6.15,6.25,6.1,6.1,1000.0
2002-02-12,6.1,6.05,6.05,6.05,2000.0
2002-02-15,6.05,6.1,6.1,6.1,500.0
2002-02-18,6.1,6.05,6.05,6.05,4000.0
2002-02-19,6.05,6.1,6.05,6.1,1500.0
2002-02-26,6.1,6.2,6.1,6.15,2500.0
2002-02-27,6.15,6.1,6.05,6.05,6000.0
2002-03-05,6.05,6.4,6.15,6.35,4000.0
2002-03-06,6.35,6.55,6.55,6.55,1000.0
2002-03-07,6.55,6.5,6.5,6.5,1000.0
2002-03-12,6.5,6.55,6.55,6.55,2000.0
2002-03-13,6.55,6.5,6.25,6.5,14000.0
2002-03-14,6.5,6.5,6.25,6.25,5500.0
2002-03-18,6.25,6.75,6.75,6.75,500.0
2002-03-20,6.75,6.7,6.45,6.45,4500.0
2002-03-21,6.45,6.5,6.45,6.45,10500.0
2002-03-26,5.45,5.45,5.45,5.45,0.0
2002-03-27,5.45,6.0,6.0,6.0,4000.0
2002-03-28,6.0,5.9,5.9,5.9,0.0
2002-03-29,5.9,5.6,5.6,5.6,1000.0
2002-04-02,5.6,5.6,5.6,5.6,500.0
2002-04-03,5.6,5.7,5.65,5.7,1500.0
2002-04-04,5.7,6.6,6.0,6.0,1500.0
2002-04-05,6.0,6.0,6.0,6.0,500.0
2002-04-12,6.0,6.5,6.45,6.5,2500.0
2002-04-15,6.5,7.1,6.95,7.0,5000.0
2002-04-16,7.0,7.25,7.0,7.2,3500.0
2002-04-17,7.2,6.85,6.75,6.75,1000.0
2002-04-22,6.75,6.5,6.5,6.5,500.0
2002-04-23,6.5,6.75,6.5,6.75,1000.0
2002-04-26,6.75,6.5,6.5,6.5,5500.0
2002-04-29,6.5,6.6,6.6,6.6,0.0
2002-05-06,6.6,6.75,6.75,6.75,0.0
2002-05-13,6.75,6.75,6.75,6.75,4000.0
2002-05-14,6.75,7.0,7.0,7.0,500.0
2002-05-15,7.0,6.95,6.95,6.95,0.0
2002-05-20,6.95,6.0,6.0,6.0,1000.0
2002-05-24,6.0,6.95,6.5,6.95,2000.0
2002-06-10,6.95,6.45,6.45,6.45,1000.0
2002-06-11,6.45,6.55,6.55,6.55,500.0
2002-06-12,6.55,6.65,6.65,6.65,500.0
2002-06-13,6.65,7.0,6.95,7.0,1500.0
2002-06-14,7.0,6.5,6.5,6.5,500.0
2002-06-17,6.5,6.5,6.5,6.5,500.0
2002-06-19,6.5,6.5,6.5,6.5,1000.0
2002-06-20,6.5,6.55,6.55,6.55,0.0
2002-06-27,6.55,6.5,6.5,6.5,500.0
2002-06-28,6.5,6.55,6.55,6.55,0.0
2002-07-03,6.55,6.65,6.65,6.65,0.0
2002-07-05,6.65,7.0,6.95,7.0,1000.0
2002-07-08,7.0,7.0,6.9,7.0,2500.0
2002-07-11,7.0,6.8,6.8,6.8,0.0
2002-07-16,6.8,6.75,6.75,6.75,0.0
2002-07-17,6.75,6.75,6.75,6.75,500.0
2002-07-19,6.75,7.0,6.8,7.0,11000.0
2002-07-22,7.0,7.0,7.0,7.0,1500.0
2002-07-23,7.0,6.9,6.9,6.9,1000.0
2002-07-24,6.9,6.7,6.7,6.7,500.0
2002-07-25,6.7,6.85,6.85,6.85,2500.0
2002-07-26,6.85,6.6,6.6,6.6,500.0
2002-07-29,6.6,6.75,6.75,6.75,1000.0
2002-08-01,6.75,6.75,6.75,6.75,1000.0
2002-08-02,6.75,6.75,6.75,6.75,1000.0
2002-08-07,6.75,6.75,6.75,6.75,5000.0
2002-08-08,6.75,7.2,6.8,7.2,2500.0
2002-08-09,7.2,7.0,7.0,7.0,0.0
2002-08-12,7.0,6.95,6.95,6.95,5500.0
2002-08-13,6.95,6.85,6.85,6.85,1000.0
2002-08-16,6.85,6.8,6.8,6.8,500.0
2002-08-19,6.8,6.85,6.85,6.85,0.0
2002-08-22,6.85,6.85,6.5,6.5,4000.0
2002-08-23,6.5,6.85,6.85,6.85,2000.0
2002-08-27,6.85,6.8,6.8,6.8,0.0
2002-08-28,6.8,6.7,6.65,6.65,4000.0
2002-08-29,6.65,6.75,6.6,6.75,6500.0
2002-08-30,6.75,6.75,6.75,6.75,1000.0
2002-09-02,6.75,6.75,6.75,6.75,3000.0
2002-09-03,6.75,6.75,6.75,6.75,1000.0
2002-09-04,6.75,6.75,6.7,6.7,5000.0
2002-09-05,6.7,6.65,6.65,6.65,500.0
2002-09-06,6.65,6.75,6.75,6.75,2000.0
2002-09-09,6.75,6.65,6.5,6.5,6000.0
2002-09-10,6.5,6.75,6.6,6.6,5000.0
2002-09-12,6.6,6.75,6.75,6.75,5000.0
2002-09-16,6.75,6.65,6.65,6.65,0.0
2002-09-18,6.65,6.65,6.65,6.65,10000.0
2002-09-19,6.65,6.55,6.5,6.55,1500.0
2002-09-20,6.55,6.7,6.5,6.7,25500.0
2002-09-24,6.7,6.75,6.75,6.75,0.0
2002-09-27,6.75,6.95,6.9,6.9,500.0
2002-09-30,6.9,6.75,6.75,6.75,1000.0
2002-10-01,6.75,6.75,6.75,6.75,1000.0
2002-10-02,6.75,6.75,6.75,6.75,500.0
2002-10-03,6.75,6.75,6.75,6.75,1000.0
2002-10-07,6.75,6.9,6.9,6.9,0.0
2002-10-08,6.9,7.0,7.0,7.0,1500.0
2002-10-09,7.0,6.45,6.45,6.45,500.0
2002-10-11,6.45,6.8,6.8,6.8,500.0
2002-10-15,6.8,6.75,6.75,6.75,500.0
2002-10-16,6.75,6.85,6.85,6.85,500.0
2002-10-17,6.85,6.95,6.95,6.95,0.0
2002-10-22,6.95,7.0,7.0,7.0,0.0
2002-10-23,7.0,7.0,7.0,7.0,3000.0
2002-10-24,7.0,7.1,7.1,7.1,6000.0
2002-10-28,7.1,7.0,7.0,7.0,1000.0
2002-11-01,7.0,7.5,7.4,7.5,1500.0
2002-11-11,7.5,7.45,7.45,7.45,0.0
2002-11-12,7.45,7.4,7.4,7.4,0.0
2002-11-15,7.4,7.4,7.4,7.4,500.0
2002-11-18,7.4,7.0,6.7,6.7,1000.0
2002-11-19,6.7,6.75,6.75,6.75,0.0
2002-11-20,6.75,7.0,7.0,7.0,500.0
2002-11-21,7.0,7.5,7.4,7.5,6500.0
2002-11-22,7.5,8.95,7.5,8.95,39000.0
2002-11-25,8.95,8.5,8.25,8.5,4000.0
2002-11-26,8.5,8.55,8.45,8.55,4000.0
2002-11-27,8.55,8.25,8.0,8.0,4500.0
2002-11-28,8.0,8.0,8.0,8.0,500.0
2002-11-29,8.0,8.6,8.2,8.6,10500.0
2002-12-02,8.6,8.6,8.6,8.6,1000.0
2002-12-04,8.6,8.5,8.5,8.5,500.0
2002-12-09,8.5,8.75,8.5,8.75,6000.0
2002-12-12,8.75,8.5,8.25,8.5,5500.0
2002-12-13,8.5,8.05,8.05,8.05,1000.0
2002-12-16,8.05,8.5,8.0,8.25,12500.0
2002-12-17,8.25,8.1,7.95,8.0,3500.0
2002-12-18,8.0,8.1,7.95,7.95,16000.0
2002-12-19,7.95,8.1,7.75,7.75,13500.0
2002-12-20,7.75,9.15,8.0,9.05,32000.0
2002-12-23,9.05,9.1,8.85,8.85,25000.0
2002-12-24,8.85,9.0,8.8,8.8,7000.0
2002-12-26,8.8,8.95,8.85,8.9,2500.0
2002-12-27,8.9,9.0,8.9,8.9,8000.0
2002-12-30,8.9,9.05,8.9,9.05,12500.0
2002-12-31,9.05,9.1,9.05,9.1,21500.0
2003-01-01,9.1,9.1,9.0,9.1,7000.0
2003-01-02,9.1,9.2,9.1,9.1,1000.0
2003-01-03,9.1,9.0,9.0,9.0,5500.0
2003-01-06,9.0,9.1,9.05,9.1,7000.0
2003-01-07,9.1,8.5,8.5,8.5,500.0
2003-01-08,8.5,8.9,8.75,8.75,1500.0
2003-01-09,8.75,8.5,8.5,8.5,1500.0
2003-01-10,8.5,8.7,8.5,8.7,3500.0
2003-01-13,8.7,8.7,8.55,8.55,1000.0
2003-01-14,8.55,8.55,8.5,8.5,6500.0
2003-01-15,8.5,9.0,8.9,9.0,7000.0
2003-01-16,9.0,9.1,9.0,9.0,8000.0
2003-01-21,9.0,9.0,9.0,9.0,3000.0
2003-01-22,9.0,8.9,8.9,8.9,2000.0
2003-01-23,8.9,8.6,8.0,8.15,6500.0
2003-01-24,8.15,7.75,7.15,7.75,2000.0
2003-01-27,7.75,9.25,8.9,8.9,500.0
2003-01-28,8.9,8.5,8.5,8.5,2500.0
