Date,Open,High,Low,Close,Volume
2001-01-01,5.85,6.65,5.6,6.65,1500.0
2001-01-02,6.65,6.0,6.0,6.0,5000.0
2001-01-03,6.0,7.0,6.5,7.0,19500.0
2001-01-04,7.0,7.0,6.65,6.65,6000.0
2001-01-05,6.65,6.5,6.5,6.5,2500.0
2001-01-08,6.5,6.55,6.55,6.55,1000.0
2001-01-09,6.55,6.2,6.2,6.2,500.0
2001-01-10,6.2,6.75,6.5,6.5,3500.0
2001-01-12,6.5,6.5,6.5,6.5,61000.0
2001-01-16,6.5,6.5,6.5,6.5,1000.0
2001-01-17,6.5,6.1,6.1,6.1,5000.0
2001-01-18,6.1,6.1,6.05,6.05,1500.0
2001-01-19,6.05,6.0,6.0,6.0,1500.0
2001-01-22,6.0,6.25,6.0,6.25,11000.0
2001-01-23,6.25,6.1,6.0,6.0,16500.0
2001-01-24,6.0,6.3,6.15,6.3,4000.0
2001-01-25,6.3,6.2,6.05,6.05,1500.0
2001-01-26,6.05,6.0,6.0,6.0,9000.0
2001-01-29,6.0,5.55,5.55,5.55,1000.0
2001-01-31,5.55,6.0,5.6,6.0,1000.0
2001-02-01,6.0,5.7,5.7,5.7,1500.0
2001-02-02,5.7,6.0,5.95,6.0,6000.0
2001-02-07,6.0,6.0,5.75,5.9,7000.0
2001-02-08,5.9,6.05,6.0,6.0,2500.0
2001-02-09,6.0,6.25,6.1,6.1,5500.0
2001-02-12,6.1,6.0,6.0,6.0,6000.0
2001-02-13,6.0,6.0,6.0,6.0,2500.0
2001-02-16,6.0,6.0,6.0,6.0,1000.0
2001-02-19,6.0,5.9,5.9,5.9,5000.0
2001-02-20,5.9,6.0,5.95,6.0,20000.0
2001-02-21,6.0,5.75,5.75,5.75,6500.0
2001-02-22,5.75,5.5,5.5,5.5,500.0
2001-02-23,5.5,5.7,5.55,5.55,32500.0
2001-02-26,5.55,6.75,5.4,6.5,203000.0
2001-02-27,6.5,6.5,6.0,6.0,34000.0
2001-02-28,6.0,6.15,5.9,5.95,47000.0
2001-03-01,5.95,6.0,5.85,5.9,27500.0
2001-03-02,5.9,5.85,5.65,5.8,26500.0
2001-03-09,5.8,5.95,5.8,5.8,1000.0
2001-03-12,5.8,5.65,5.4,5.45,7000.0
2001-03-13,5.45,5.5,5.4,5.45,14000.0
2001-03-14,5.45,5.45,5.25,5.35,32500.0
2001-03-15,5.35,5.3,5.1,5.25,10000.0
2001-03-16,5.25,5.2,5.0,5.0,18500.0
2001-03-19,5.0,5.15,5.0,5.0,32500.0
2001-03-20,5.0,5.05,5.0,5.0,7500.0
2001-03-21,3.5,6.25,3.5,6.25,2000.0
2001-03-28,6.25,6.25,6.25,6.25,1000.0
2001-04-09,6.25,5.95,5.95,5.95,1000.0
2001-04-11,5.95,5.1,4.75,4.9,4500.0
2001-04-13,4.9,4.75,4.5,4.5,2000.0
2001-04-17,4.5,4.6,4.6,4.6,1000.0
