Date,Open,High,Low,Close,Volume
2020-11-18,14.25,14.25,14.25,14.25,500.0
2020-11-19,14.48,14.48,13.8,13.8,10500.0
2020-11-20,13.6,14.82,13.6,14.65,63500.0
2020-11-23,14.95,14.99,13.56,14.82,60000.0
2020-11-24,14.99,15.93,14.99,15.59,98000.0
2020-11-25,15.6,15.6,14.91,14.94,12500.0
2020-11-26,15.2,15.2,14.7,14.7,5000.0
2020-11-27,15.49,15.5,15.0,15.1,18000.0
2020-11-30,15.75,15.75,14.8,14.9,13000.0
2020-12-01,15.0,15.0,15.0,15.0,5000.0
2020-12-02,15.0,15.3,14.81,15.3,12000.0
2020-12-03,15.0,16.44,15.0,16.44,894000.0
2020-12-04,16.97,17.4,16.42,16.78,155000.0
2020-12-07,16.55,16.98,16.4,16.43,15500.0
2020-12-08,16.25,16.5,16.0,16.35,51000.0
2020-12-09,16.05,16.26,16.0,16.0,65000.0
2020-12-10,16.01,16.5,16.0,16.15,66000.0
2020-12-11,16.06,16.55,16.0,16.45,19000.0
2020-12-14,16.88,17.67,16.88,17.55,150500.0
2020-12-15,17.99,18.86,17.5,18.86,341000.0
2020-12-16,20.26,20.27,19.0,20.27,249500.0
2020-12-17,20.75,21.25,20.3,21.11,137000.0
2020-12-18,20.7,22.25,20.7,21.51,75500.0
2020-12-21,21.98,22.51,21.3,22.26,293000.0
2020-12-22,22.25,22.25,21.75,21.77,142000.0
2020-12-23,21.9,22.5,21.9,22.5,31500.0
2020-12-24,22.5,24.18,22.5,24.12,667500.0
2020-12-28,24.49,25.0,24.26,24.33,63500.0
2020-12-29,24.01,24.27,24.0,24.09,33000.0
2020-12-30,24.49,25.49,24.49,24.68,123500.0
2020-12-31,24.5,24.6,24.5,24.5,27000.0
2021-01-01,24.5,24.6,24.0,24.1,35500.0
2021-01-04,24.02,24.1,23.8,24.06,94000.0
2021-01-05,24.0,25.01,23.6,24.13,365000.0
2021-01-06,24.13,24.85,24.0,24.5,223500.0
2021-01-07,24.5,24.5,24.0,24.06,18500.0
2021-01-08,24.02,24.05,24.0,24.01,20500.0
2021-01-11,24.2,24.31,24.0,24.0,103000.0
2021-01-12,24.47,25.0,24.47,25.0,101500.0
2021-01-13,24.76,26.87,24.65,26.87,276000.0
2021-01-14,27.5,28.88,27.5,28.88,306500.0
2021-01-15,30.99,31.04,29.0,31.01,571500.0
2021-01-18,32.0,32.89,30.5,31.93,106000.0
2021-01-19,31.5,31.5,30.5,30.51,100000.0
2021-01-20,31.0,31.25,30.0,31.0,106000.0
2021-01-21,31.0,31.6,30.25,30.25,38500.0
2021-01-22,30.0,30.0,30.0,30.0,9000.0
2021-01-25,30.5,30.5,30.0,30.2,8500.0
2021-01-26,30.0,30.0,28.0,28.86,78500.0
2021-01-27,29.0,30.5,28.25,29.44,285000.0
2021-01-28,30.0,31.64,29.8,31.64,193000.0
2021-01-29,33.5,34.01,32.0,34.01,128000.0
2021-02-01,33.51,34.8,33.0,33.98,126500.0
2021-02-02,33.0,33.5,31.6,31.73,94000.0
2021-02-03,32.0,32.0,30.5,31.01,32000.0
2021-02-04,31.0,31.6,30.5,31.45,24500.0
2021-02-08,30.5,31.45,30.5,30.65,32000.0
2021-02-09,31.0,31.5,30.5,30.92,34500.0
2021-02-10,30.5,31.5,30.0,31.0,52500.0
2021-02-11,31.25,32.45,31.2,31.91,88500.0
2021-02-12,32.0,32.5,31.5,32.5,3500.0
2021-02-15,31.5,34.03,31.48,33.46,161500.0
2021-02-16,33.0,33.0,30.96,30.98,175000.0
2021-02-17,31.2,32.25,30.5,32.25,547500.0
2021-02-18,33.0,34.25,32.05,32.35,209500.0
2021-02-19,32.5,33.0,32.0,32.0,155000.0
2021-02-22,32.0,32.25,32.0,32.0,18000.0
2021-02-23,31.5,32.0,31.5,32.0,6000.0
2021-02-24,31.5,31.5,31.0,31.0,20500.0
2021-02-25,31.0,31.0,30.5,31.0,11000.0
2021-02-26,31.05,31.5,31.0,31.0,55000.0
2021-03-01,31.0,31.0,29.5,29.5,50000.0
2021-03-02,29.8,30.5,29.8,30.0,71000.0
2021-03-03,30.0,32.0,30.0,30.91,447000.0
2021-03-04,31.5,31.5,29.32,29.32,1500.0
2021-03-05,30.9,30.9,30.88,30.89,2500.0
2021-03-08,30.99,31.0,30.0,30.0,28000.0
2021-03-09,28.5,28.5,28.5,28.5,5500.0
