Date,Open,High,Low,Close,Volume
2014-01-01,10.91,11.4,10.52,10.84,207500.0
2014-01-02,10.84,10.8,10.2,10.69,332500.0
2014-01-03,10.69,11.1,10.69,10.8,195500.0
2014-01-06,10.8,11.5,10.85,11.07,401500.0
2014-01-07,11.07,11.25,10.07,10.07,346000.0
2014-01-08,10.07,10.0,9.07,9.53,704000.0
2014-01-09,9.53,10.0,9.56,9.74,193500.0
2014-01-10,9.74,9.8,9.6,9.64,29500.0
2014-01-13,9.64,10.64,9.3,10.64,492000.0
2014-01-15,10.64,11.25,10.15,10.55,587500.0
2014-01-16,10.55,10.5,9.56,10.33,177500.0
2014-01-17,10.33,10.6,9.9,10.18,131000.0
2014-01-20,10.18,10.2,9.8,9.96,177500.0
2014-01-21,9.96,10.96,9.99,10.96,787000.0
2014-01-22,10.96,11.96,11.5,11.96,609500.0
2014-01-23,11.96,12.9,11.81,12.26,1818500.0
2014-01-24,12.26,12.6,11.75,12.07,393500.0
2014-01-27,12.07,12.5,11.07,11.1,356500.0
2014-01-28,11.1,11.4,10.9,11.02,355000.0
2014-01-29,11.02,11.2,10.14,10.47,264500.0
2014-01-30,10.47,11.2,10.06,10.75,554500.0
2014-01-31,10.75,10.95,10.0,10.02,157500.0
2014-02-03,10.02,10.01,9.4,9.44,161000.0
2014-02-04,9.44,9.5,9.02,9.45,84500.0
2014-02-06,9.45,9.55,9.12,9.27,72500.0
2014-02-07,9.27,9.5,8.92,9.0,87500.0
2014-02-10,9.0,8.77,8.1,8.48,131000.0
2014-02-11,8.48,8.73,8.42,8.49,52000.0
2014-02-12,8.49,8.98,8.66,8.98,39500.0
2014-02-13,8.98,9.14,8.6,8.65,26500.0
2014-02-14,8.65,8.6,8.35,8.36,16000.0
2014-02-17,8.36,8.2,8.0,8.02,60000.0
2014-02-18,8.02,8.65,7.55,8.28,166500.0
2014-02-19,8.28,8.35,8.2,8.2,24500.0
2014-02-20,8.2,8.3,8.0,8.12,14500.0
2014-02-21,8.12,8.7,8.0,8.58,143500.0
2014-02-24,8.58,8.5,8.06,8.25,64500.0
2014-02-25,8.25,8.2,8.02,8.02,7000.0
2014-02-26,8.02,8.0,8.0,8.0,25000.0
2014-02-27,8.0,8.0,7.7,7.7,35500.0
2014-02-28,7.7,7.76,7.5,7.52,19500.0
2014-03-03,7.52,7.55,7.3,7.36,12500.0
2014-03-04,7.36,7.79,7.5,7.79,70000.0
2014-03-05,7.79,7.79,7.6,7.6,9000.0
2014-03-06,7.6,8.0,7.7,7.9,43500.0
2014-03-07,7.9,8.2,7.95,8.05,9500.0
2014-03-10,8.05,8.25,7.9,8.2,9000.0
2014-03-11,8.2,8.25,8.0,8.25,60000.0
2014-03-12,8.25,8.02,7.67,7.77,36500.0
2014-03-13,7.77,7.8,7.55,7.74,31500.0
2014-03-14,7.74,8.3,7.8,7.9,85000.0
2014-03-17,7.9,7.97,7.9,7.95,7500.0
2014-03-18,7.95,8.03,7.93,7.95,6000.0
2014-03-19,7.95,8.0,7.87,7.9,29500.0
2014-03-20,7.9,8.04,7.75,7.75,21500.0
2014-03-21,7.75,8.13,7.9,8.01,30000.0
2014-03-24,8.01,8.01,7.9,7.9,25500.0
2014-03-25,7.9,8.86,8.0,8.57,239000.0
2014-03-26,8.57,8.65,8.4,8.5,54000.0
2014-03-27,8.5,8.68,8.2,8.2,48500.0
2014-03-31,8.2,8.35,8.15,8.15,26500.0
2014-04-01,8.15,8.4,8.15,8.4,11500.0
2014-04-02,8.4,8.35,8.22,8.35,10000.0
2014-04-03,8.35,8.95,8.36,8.6,56000.0
2014-04-04,8.6,8.7,8.5,8.5,18500.0
2014-04-07,8.5,8.9,8.35,8.65,3500.0
2014-04-08,8.65,8.89,8.4,8.4,107000.0
2014-04-09,8.4,8.4,8.21,8.22,46000.0
2014-04-10,8.22,8.2,8.05,8.06,30000.0
2014-04-11,8.06,8.11,8.0,8.0,19000.0
2014-04-14,8.0,8.22,7.9,8.0,47500.0
2014-04-15,8.0,8.05,7.95,7.99,5500.0
2014-04-16,7.99,8.5,8.0,8.43,38000.0
2014-04-17,8.43,8.25,8.11,8.2,8500.0
2014-04-18,8.2,8.4,7.97,8.11,5000.0
2014-04-22,8.11,8.48,8.03,8.27,7000.0
2014-04-23,8.27,8.05,7.98,7.98,16500.0
2014-04-24,7.98,8.11,8.0,8.02,9000.0
2014-04-25,8.02,8.2,8.0,8.2,2500.0
2014-04-28,8.2,7.95,7.9,7.9,11500.0
2014-04-29,7.9,7.84,7.6,7.63,12500.0
2014-04-30,7.63,8.45,7.25,8.34,87500.0
