Date,Open,High,Low,Close,Volume
2001-01-09,26.0,26.0,26.0,26.0,500.0
2001-01-29,26.0,28.3,28.3,28.3,500.0
2001-01-31,28.3,28.5,28.5,28.5,500.0
2001-02-06,28.5,29.95,29.9,29.95,1000.0
2001-02-12,29.95,31.9,31.9,31.9,500.0
2001-02-13,31.9,31.1,31.1,31.1,500.0
2001-02-26,31.1,31.1,31.1,31.1,0.0
2001-03-09,29.6,29.6,29.6,29.6,0.0
2001-03-13,29.6,30.0,30.0,30.0,500.0
2001-03-29,30.0,30.0,30.0,30.0,0.0
2001-04-02,30.0,30.0,30.0,30.0,500.0
2001-04-26,30.0,30.0,29.0,30.0,3500.0
2001-05-08,30.0,31.0,31.0,31.0,500.0
2001-05-10,31.0,34.0,33.0,34.0,1500.0
2001-05-21,34.0,34.0,34.0,34.0,500.0
2001-05-25,34.0,34.0,34.0,34.0,500.0
2001-06-14,34.0,34.0,34.0,34.0,4500.0
2001-06-28,34.0,31.0,30.95,31.0,1000.0
2001-06-29,31.0,37.0,37.0,37.0,500.0
2001-07-05,37.0,31.9,31.9,31.9,500.0
2001-07-25,31.9,35.0,34.0,35.0,1000.0
2001-08-01,35.0,32.5,32.5,32.5,500.0
2001-10-02,32.5,31.0,31.0,31.0,1000.0
2001-10-03,31.0,31.0,31.0,31.0,0.0
2001-10-05,31.0,32.5,32.45,32.5,1000.0
2001-10-10,32.5,33.25,33.25,33.25,500.0
2001-10-11,29.75,32.5,32.0,32.0,1000.0
2001-10-17,32.0,32.5,32.5,32.5,500.0
2001-10-19,32.5,32.25,32.25,32.25,1500.0
2001-10-31,32.25,33.75,33.75,33.75,500.0
2001-11-01,33.75,34.0,34.0,34.0,500.0
2001-11-02,34.0,40.0,38.0,40.0,1000.0
2001-11-06,40.0,44.0,44.0,44.0,500.0
2001-11-13,44.0,44.0,44.0,44.0,0.0
2001-11-15,44.0,44.0,44.0,44.0,500.0
2001-11-16,44.0,44.5,44.5,44.5,500.0
2001-11-20,44.5,44.75,44.75,44.75,500.0
2002-01-01,44.75,45.0,45.0,45.0,500.0
2002-01-02,45.0,45.0,45.0,45.0,1500.0
2002-01-04,45.0,47.0,47.0,47.0,500.0
2002-01-07,47.0,45.05,45.05,45.05,500.0
2002-01-08,45.05,45.0,45.0,45.0,1000.0
2002-01-09,45.0,45.0,45.0,45.0,7000.0
2002-01-29,45.0,45.0,42.5,42.5,1000.0
2002-01-31,42.5,44.0,44.0,44.0,500.0
2002-02-06,44.0,44.0,44.0,44.0,1000.0
2002-02-08,44.0,44.0,44.0,44.0,2500.0
2002-02-15,44.0,44.0,44.0,44.0,500.0
2002-02-19,42.5,42.5,42.5,42.5,0.0
2002-02-20,42.5,43.0,42.0,43.0,2000.0
2002-02-27,43.0,42.5,42.5,42.5,500.0
2002-03-01,42.5,42.9,42.9,42.9,500.0
2002-03-11,42.9,42.6,42.55,42.55,1000.0
2002-03-12,42.55,42.25,42.25,42.25,500.0
2002-03-13,42.25,42.25,42.25,42.25,7500.0
2002-03-22,42.25,41.5,41.5,41.5,500.0
2002-03-29,41.5,42.05,42.05,42.05,0.0
2002-04-01,42.05,42.3,42.3,42.3,0.0
2002-04-02,42.3,42.3,42.25,42.25,3000.0
2002-04-03,42.25,42.5,42.5,42.5,0.0
2002-04-04,42.5,42.55,42.55,42.55,0.0
2002-04-05,42.55,43.0,43.0,43.0,0.0
2002-04-09,43.0,44.0,44.0,44.0,2500.0
2002-04-15,44.0,44.0,44.0,44.0,500.0
2002-04-16,44.0,44.05,44.05,44.05,0.0
2002-04-23,44.05,44.25,44.25,44.25,0.0
2002-04-24,44.25,44.5,44.5,44.5,0.0
2002-04-25,44.5,44.75,44.75,44.75,0.0
2002-04-26,44.75,44.8,44.8,44.8,0.0
2002-05-02,44.8,48.15,48.15,48.15,500.0
2002-05-06,48.15,48.3,48.3,48.3,0.0
2002-05-07,48.3,48.5,48.5,48.5,0.0
2002-05-08,48.5,48.0,48.0,48.0,1000.0
2002-05-09,48.0,48.0,48.0,48.0,1000.0
2002-05-14,48.0,49.5,49.5,49.5,1000.0
2002-05-20,49.5,49.0,49.0,49.0,0.0
2002-05-21,49.0,48.95,48.95,48.95,0.0
2002-05-22,48.95,48.9,48.9,48.9,0.0
2002-05-27,48.9,49.0,48.5,48.5,2000.0
2002-06-20,48.5,47.75,47.75,47.75,0.0
2002-06-25,47.75,47.0,47.0,47.0,0.0
2002-06-27,47.0,46.95,46.95,46.95,0.0
2002-07-11,46.95,46.0,46.0,46.0,500.0
2002-07-18,46.0,47.0,47.0,47.0,500.0
2002-07-23,47.0,47.0,46.5,46.6,2500.0
2002-07-25,46.6,50.0,49.5,50.0,2000.0
2002-07-26,50.0,48.25,48.25,48.25,3000.0
2002-07-29,48.25,48.25,48.25,48.25,500.0
2002-07-30,48.25,47.25,47.2,47.2,1000.0
2002-08-01,47.2,50.0,50.0,50.0,500.0
2002-08-02,50.0,53.75,51.1,53.75,2500.0
2002-08-05,53.75,56.0,56.0,56.0,500.0
2002-08-06,56.0,59.0,58.5,58.5,500.0
2002-08-07,58.5,60.0,60.0,60.0,500.0
2002-08-08,60.0,62.95,61.9,61.9,500.0
2002-08-12,61.9,61.0,61.0,61.0,0.0
2002-08-19,61.0,60.0,60.0,60.0,0.0
2002-08-21,60.0,59.95,59.95,59.95,0.0
2002-08-29,59.95,59.0,59.0,59.0,0.0
2002-09-04,59.0,57.0,56.05,57.0,1000.0
2002-09-05,57.0,60.95,55.05,57.0,2000.0
2002-09-06,57.0,57.0,57.0,57.0,500.0
2002-09-10,57.0,61.0,59.45,61.0,1500.0
2002-09-11,61.0,57.95,57.95,57.95,500.0
2002-09-12,57.95,55.3,55.3,55.3,1500.0
