Date,Open,High,Low,Close,Volume
2011-06-01,14.06,15.06,14.26,14.84,9459909.0
2011-06-02,14.84,14.95,14.6,14.74,673060.0
2011-06-03,14.74,14.9,14.16,14.4,145084.0
2011-06-06,14.4,14.4,13.76,14.18,16730.0
2011-06-07,14.18,14.38,14.03,14.2,336466.0
2011-06-08,14.2,14.29,14.06,14.25,107350.0
2011-06-09,14.25,14.3,14.09,14.18,338734.0
2011-06-10,14.18,14.19,14.06,14.06,47074.0
2011-06-13,14.06,14.06,13.73,13.94,557487.0
2011-06-14,13.94,14.0,13.8,13.8,72052.0
2011-06-15,13.8,13.77,13.7,13.77,111035.0
2011-06-16,13.77,13.95,13.26,13.5,65003.0
2011-06-17,13.5,13.9,13.71,13.71,17506.0
2011-06-20,13.71,13.79,13.5,13.71,33952.0
2011-06-21,13.71,13.83,13.56,13.6,11924.0
2011-06-22,13.6,13.82,13.79,13.8,20603.0
2011-06-23,13.8,13.79,13.51,13.65,12411.0
2011-06-24,13.65,13.82,13.5,13.81,6200.0
2011-06-27,13.81,13.9,13.79,13.8,125034.0
2011-06-28,13.8,13.85,13.62,13.63,12400.0
2011-06-29,13.63,13.78,13.61,13.62,5000.0
2011-06-30,13.62,13.65,13.61,13.61,11700.0
2011-07-01,13.61,13.8,13.79,13.8,1600.0
2011-07-04,13.8,13.84,13.61,13.71,17800.0
2011-07-05,13.71,13.88,13.75,13.8,90938.0
2011-07-06,13.8,13.8,13.7,13.75,8270.0
2011-07-07,13.75,13.9,13.66,13.75,14700.0
2011-07-08,13.75,13.9,13.85,13.75,461.0
2011-07-11,13.75,13.75,13.75,13.75,5000.0
2011-07-12,13.75,13.84,13.52,13.83,23319.0
2011-07-13,13.83,13.89,13.75,13.85,14238.0
2011-07-14,13.85,13.83,13.83,13.85,3.0
2011-07-15,13.85,13.89,13.65,13.85,25202.0
2011-07-18,13.85,13.85,13.6,13.62,3508.0
2011-07-19,13.62,13.88,13.53,13.6,6191.0
2011-07-20,13.6,13.8,13.6,13.6,5003.0
2011-07-22,13.6,13.87,13.78,13.86,26000.0
2011-07-25,13.86,13.85,13.61,13.65,1011.0
2011-07-26,13.65,13.89,13.65,13.65,1586.0
2011-07-27,13.65,13.75,13.5,13.62,21150.0
2011-07-28,13.62,13.55,13.5,13.5,47967.0
2011-07-29,13.5,13.7,13.5,13.66,1225.0
2011-08-02,13.66,13.55,13.48,13.48,1786.0
2011-08-03,13.48,13.26,13.01,13.01,36500.0
2011-08-04,13.01,13.49,13.02,13.35,37308.0
2011-08-05,13.35,13.3,12.35,12.36,61695.0
2011-08-08,12.36,13.24,11.4,11.79,156122.0
2011-08-09,11.79,12.55,10.9,11.35,18213.0
2011-08-10,11.35,12.35,11.4,12.35,51927.0
2011-08-11,12.35,12.99,12.3,12.35,111.0
