Date,Open,High,Low,Close,Volume
2001-01-09,7.0,7.5,7.5,7.5,500.0
2001-01-16,7.5,7.5,7.5,7.5,1000.0
2001-03-12,7.5,7.25,7.25,7.25,2500.0
2001-03-16,7.25,7.25,7.0,7.0,500.0
2001-03-21,7.0,7.0,6.75,6.75,2000.0
2001-03-26,6.0,6.0,6.0,6.0,0.0
2001-04-23,6.0,6.0,6.0,6.0,500.0
2001-05-15,6.0,6.0,6.0,6.0,0.0
2002-04-03,6.0,5.4,5.4,5.4,0.0
2002-06-21,5.4,5.1,5.1,5.1,0.0
2002-07-18,5.1,5.1,5.1,5.1,0.0
2002-07-23,5.1,5.2,5.2,5.2,0.0
2002-07-24,5.2,5.4,5.4,5.4,2000.0
2002-10-15,5.4,5.1,5.1,5.1,0.0
2002-10-16,5.1,5.0,5.0,5.0,0.0
2002-10-22,5.0,5.0,5.0,5.0,500.0
2002-11-14,5.0,4.9,4.9,4.9,0.0
2002-11-20,4.9,4.8,4.8,4.8,0.0
2002-11-21,4.8,4.7,4.7,4.7,0.0
2002-12-23,4.7,4.9,4.9,4.9,1000.0
2003-01-01,4.9,4.85,4.85,4.85,0.0
2003-01-02,4.85,4.8,4.8,4.8,0.0
2003-01-08,4.8,4.8,4.8,4.8,1000.0
2003-01-29,4.8,4.6,4.6,4.6,500.0
2003-02-03,4.6,6.1,6.1,6.1,0.0
2003-02-19,6.1,6.0,6.0,6.0,0.0
2003-03-05,6.0,5.95,5.95,5.95,0.0
2003-04-29,5.95,5.7,5.7,5.7,500.0
2003-05-05,5.7,5.65,5.65,5.65,0.0
2003-05-06,5.65,5.5,5.5,5.5,0.0
2003-05-28,5.5,5.25,5.25,5.25,0.0
2003-05-30,5.25,4.5,4.5,4.5,500.0
2003-06-03,4.5,4.75,4.75,4.75,500.0
2003-06-06,4.75,5.0,5.0,5.0,0.0
2003-06-10,5.0,5.0,5.0,5.0,500.0
2003-06-11,5.0,5.05,5.05,5.05,500.0
2003-06-19,5.05,5.1,5.1,5.1,0.0
2003-06-25,5.1,5.25,5.25,5.25,0.0
2003-07-07,5.25,6.75,6.75,6.75,500.0
2003-07-22,6.75,6.5,6.5,6.5,0.0
2003-07-23,6.5,6.25,6.25,6.25,0.0
2003-07-25,6.25,6.25,6.25,6.25,1000.0
2003-09-01,6.25,6.25,6.25,6.25,1000.0
2003-09-02,6.25,6.25,6.25,6.25,2000.0
2003-09-08,6.25,6.0,6.0,6.0,0.0
2003-09-09,6.0,6.75,6.25,6.75,6500.0
2003-09-11,6.75,5.75,5.75,5.75,1000.0
2003-09-12,5.75,6.0,6.0,6.0,0.0
2003-09-15,6.0,7.0,7.0,7.0,0.0
2003-09-16,7.0,8.5,8.5,8.5,0.0
2003-09-22,8.5,10.0,10.0,10.0,500.0
2003-09-23,10.0,11.5,9.0,9.0,1500.0
2003-09-26,9.0,8.95,8.95,8.95,0.0
2003-10-02,8.95,8.5,8.5,8.5,0.0
2003-10-06,8.5,8.4,8.4,8.4,0.0
2003-10-07,8.4,8.25,8.25,8.25,0.0
2003-10-20,8.25,8.0,8.0,8.0,0.0
2003-12-10,8.0,7.5,7.5,7.5,0.0
2004-01-19,7.5,7.0,7.0,7.0,500.0
2004-01-22,7.0,7.5,7.5,7.5,2000.0
2004-01-29,7.5,8.0,8.0,8.0,2000.0
2004-02-11,8.0,7.0,7.0,7.0,500.0
2004-02-12,7.0,8.0,8.0,8.0,500.0
2004-02-19,8.0,7.0,7.0,7.0,500.0
2004-02-23,7.0,8.5,6.0,6.0,3000.0
2004-02-24,6.0,7.5,7.5,7.5,2000.0
2004-03-04,7.5,8.0,8.0,8.0,0.0
2004-03-09,8.0,8.0,8.0,8.0,3000.0
2004-03-10,8.0,8.0,8.0,8.0,1500.0
2004-03-25,8.0,9.5,9.5,9.5,2000.0
2004-04-21,9.5,9.0,9.0,9.0,0.0
2004-05-27,9.0,8.9,8.9,8.9,0.0
2004-05-28,8.9,8.75,8.75,8.75,0.0
2004-05-31,8.75,8.75,8.75,8.75,1000.0
2004-07-23,8.75,9.25,9.0,9.25,2000.0
2004-07-26,9.25,10.75,10.2,10.75,2000.0
2004-07-27,10.75,10.9,9.75,10.0,2500.0
2004-07-28,10.0,10.0,10.0,10.0,1000.0
2004-08-02,10.0,9.0,9.0,9.0,500.0
2004-12-01,9.0,8.0,8.0,8.0,500.0
2004-12-07,8.0,8.0,8.0,8.0,500.0
2004-12-08,8.0,8.05,8.05,8.05,0.0
2004-12-20,8.05,9.0,9.0,9.0,500.0
2004-12-22,9.0,9.05,9.05,9.05,0.0
2004-12-31,9.05,9.25,9.25,9.25,0.0
2005-01-10,9.25,10.75,10.75,10.75,1500.0
2005-01-11,10.75,11.75,10.5,11.45,4500.0
2005-01-13,11.45,11.05,11.05,11.05,500.0
2005-01-17,11.05,10.05,10.05,10.05,2000.0
2005-01-26,10.05,10.1,10.1,10.1,0.0
2005-02-02,10.1,11.0,11.0,11.0,0.0
2005-02-15,11.0,11.05,11.05,11.05,0.0
2005-02-16,11.05,11.2,11.2,11.2,1500.0
2005-02-22,11.2,11.6,11.2,11.6,1500.0
2005-03-14,11.6,12.0,12.0,12.0,3000.0
2005-03-15,12.0,12.1,12.1,12.1,0.0
2005-03-24,12.1,11.9,11.9,11.9,0.0
2005-08-31,11.9,10.9,10.9,10.9,0.0
2005-09-13,10.9,9.9,9.9,9.9,0.0
2005-09-19,9.9,10.0,10.0,10.0,0.0
2005-09-28,10.0,10.0,10.0,10.0,500.0
2005-12-12,10.0,9.5,9.5,9.5,500.0
2006-02-13,9.5,9.0,9.0,9.0,0.0
2006-04-05,9.0,9.0,9.0,9.0,500.0
2006-04-27,9.0,9.0,9.0,9.0,1000.0
2006-05-05,9.0,9.0,9.0,9.0,2000.0
2006-12-27,9.0,8.0,8.0,8.0,500.0
2007-07-30,8.0,7.5,7.5,7.5,0.0
2007-12-05,7.5,8.5,8.5,8.5,0.0
2007-12-06,8.5,9.5,9.5,9.5,0.0
2007-12-10,9.5,9.55,9.55,9.55,0.0
2007-12-17,9.55,10.55,10.55,10.55,0.0
2007-12-18,10.55,11.55,11.55,11.55,0.0
2008-03-11,11.55,11.4,11.4,11.4,500.0
2008-04-01,11.4,10.4,10.4,10.4,7500.0
2008-04-02,10.4,10.7,10.7,10.7,0.0
2008-04-03,10.7,11.3,11.3,11.3,0.0
2009-06-12,11.3,10.3,10.3,10.3,0.0
2009-09-10,10.3,10.0,10.0,10.0,0.0
2009-09-11,10.0,9.99,9.99,9.99,0.0
2009-09-14,9.99,9.75,9.75,9.75,0.0
2009-09-15,9.75,9.5,9.5,9.5,0.0
2009-09-16,9.5,9.49,9.49,9.49,0.0
2015-10-09,0.0,0.0,0.0,9.49,0.0
2015-10-12,0.0,0.0,0.0,9.49,0.0
2015-10-13,0.0,0.0,0.0,9.49,0.0
2015-10-14,0.0,0.0,0.0,9.49,0.0
2015-10-15,0.0,0.0,0.0,9.49,0.0
2015-10-16,0.0,0.0,0.0,9.49,0.0
2015-10-19,0.0,0.0,0.0,9.49,0.0
2015-10-20,0.0,0.0,0.0,9.49,0.0
2015-10-21,0.0,0.0,0.0,9.49,0.0
2015-10-22,0.0,0.0,0.0,9.49,0.0
2015-10-26,0.0,0.0,0.0,9.49,0.0
2015-10-27,0.0,0.0,0.0,9.49,0.0
2015-10-28,0.0,0.0,0.0,9.49,0.0
2015-10-29,0.0,0.0,0.0,9.49,0.0
2015-10-30,0.0,0.0,0.0,9.49,0.0
2015-11-02,0.0,0.0,0.0,9.49,0.0
2015-11-03,0.0,0.0,0.0,9.49,0.0
2015-11-04,0.0,0.0,0.0,9.49,0.0
2015-11-05,0.0,0.0,0.0,9.49,0.0
2015-11-06,0.0,0.0,0.0,9.49,0.0
2015-11-09,0.0,0.0,0.0,9.49,0.0
2015-11-10,0.0,0.0,0.0,9.49,0.0
2015-11-11,0.0,0.0,0.0,9.49,0.0
2015-11-12,0.0,0.0,0.0,9.49,0.0
2015-11-13,0.0,0.0,0.0,9.49,0.0
2015-11-16,0.0,0.0,0.0,9.49,0.0
2015-11-17,0.0,0.0,0.0,9.49,0.0
2015-11-18,0.0,0.0,0.0,9.49,0.0
2015-11-19,0.0,0.0,0.0,9.49,0.0
2015-11-20,0.0,0.0,0.0,9.49,0.0
2015-11-23,0.0,0.0,0.0,9.49,0.0
2015-11-24,0.0,0.0,0.0,9.49,0.0
2015-11-25,0.0,0.0,0.0,9.49,0.0
2015-11-26,0.0,0.0,0.0,9.49,0.0
2015-11-27,0.0,0.0,0.0,9.49,0.0
2015-11-30,0.0,0.0,0.0,9.49,0.0
2015-12-01,0.0,0.0,0.0,9.49,0.0
2015-12-02,0.0,0.0,0.0,9.49,0.0
2015-12-03,0.0,0.0,0.0,9.49,0.0
2015-12-04,0.0,0.0,0.0,9.49,0.0
2015-12-07,0.0,0.0,0.0,9.49,0.0
2015-12-08,0.0,0.0,0.0,9.49,0.0
2015-12-09,0.0,0.0,0.0,9.49,0.0
2015-12-10,0.0,0.0,0.0,9.49,0.0
2015-12-11,0.0,0.0,0.0,9.49,0.0
2015-12-14,0.0,0.0,0.0,9.49,0.0
2015-12-15,0.0,0.0,0.0,9.49,0.0
2015-12-16,0.0,0.0,0.0,9.49,0.0
2015-12-17,0.0,0.0,0.0,9.49,0.0
2015-12-18,0.0,0.0,0.0,9.49,0.0
2015-12-21,0.0,0.0,0.0,9.49,0.0
2015-12-22,0.0,0.0,0.0,9.49,0.0
2015-12-23,0.0,0.0,0.0,9.49,0.0
2015-12-28,0.0,0.0,0.0,9.49,0.0
2015-12-29,0.0,0.0,0.0,9.49,0.0
2015-12-30,0.0,0.0,0.0,9.49,0.0
2015-12-31,0.0,0.0,0.0,9.49,0.0
2016-01-01,0.0,0.0,0.0,9.49,0.0
2016-01-04,0.0,0.0,0.0,9.49,0.0
2016-01-05,0.0,0.0,0.0,9.49,0.0
2016-01-06,0.0,0.0,0.0,9.49,0.0
2016-01-07,0.0,0.0,0.0,9.49,0.0
2016-01-08,0.0,0.0,0.0,9.49,0.0
2016-01-09,0.0,0.0,0.0,9.49,0.0
2016-01-10,0.0,0.0,0.0,9.49,0.0
2016-01-11,0.0,0.0,0.0,9.49,0.0
2016-01-12,0.0,0.0,0.0,9.49,0.0
2016-01-13,0.0,0.0,0.0,9.49,0.0
2016-01-14,0.0,0.0,0.0,9.49,0.0
2016-01-15,0.0,0.0,0.0,9.49,0.0
2016-01-18,0.0,0.0,0.0,9.49,0.0
2016-01-19,0.0,0.0,0.0,9.49,0.0
2016-01-20,0.0,0.0,0.0,9.49,0.0
2016-01-21,0.0,0.0,0.0,9.49,0.0
2016-01-22,0.0,0.0,0.0,9.49,0.0
2016-01-25,0.0,0.0,0.0,9.49,0.0
2016-01-26,0.0,0.0,0.0,9.49,0.0
2016-01-27,0.0,0.0,0.0,9.49,0.0
2016-01-28,0.0,0.0,0.0,9.49,0.0
2016-01-29,0.0,0.0,0.0,9.49,0.0
2016-02-01,0.0,0.0,0.0,9.49,0.0
2016-02-02,0.0,0.0,0.0,9.49,0.0
2016-02-03,0.0,0.0,0.0,9.49,0.0
2016-02-04,0.0,0.0,0.0,9.49,0.0
2016-02-08,0.0,0.0,0.0,9.49,0.0
2016-02-09,0.0,0.0,0.0,9.49,0.0
2016-02-10,0.0,0.0,0.0,9.49,0.0
2016-02-11,0.0,0.0,0.0,9.49,0.0
2016-02-12,0.0,0.0,0.0,9.49,0.0
2016-02-15,0.0,0.0,0.0,9.49,0.0
2016-02-16,0.0,0.0,0.0,9.49,0.0
2016-02-17,0.0,0.0,0.0,9.49,0.0
2016-02-18,0.0,0.0,0.0,9.49,0.0
2016-02-19,0.0,0.0,0.0,9.49,0.0
2016-02-22,0.0,0.0,0.0,9.49,0.0
2016-02-23,0.0,0.0,0.0,9.49,0.0
2016-02-24,0.0,0.0,0.0,9.49,0.0
2016-02-25,0.0,0.0,0.0,9.49,0.0
2016-02-26,0.0,0.0,0.0,9.49,0.0
2016-02-29,0.0,0.0,0.0,9.49,0.0
2016-03-01,0.0,0.0,0.0,9.49,0.0
2016-03-02,0.0,0.0,0.0,9.49,0.0
2016-03-03,0.0,0.0,0.0,9.49,0.0
2016-03-04,0.0,0.0,0.0,9.49,0.0
2016-03-07,0.0,0.0,0.0,9.49,0.0
2016-03-08,0.0,0.0,0.0,9.49,0.0
2016-03-09,0.0,0.0,0.0,9.49,0.0
2016-03-10,0.0,0.0,0.0,9.49,0.0
2016-03-11,0.0,0.0,0.0,9.49,0.0
2016-03-14,0.0,0.0,0.0,9.49,0.0
2016-03-15,0.0,0.0,0.0,9.49,0.0
