Date,Open,High,Low,Close,Volume
2001-01-03,12.25,11.75,11.75,11.75,1000.0
2001-01-04,11.75,12.25,12.2,12.25,1500.0
2001-01-05,12.25,12.25,12.25,12.25,0.0
2001-01-15,12.25,11.75,11.75,11.75,500.0
2001-01-22,11.75,11.25,11.25,11.25,500.0
2001-01-29,11.25,12.0,11.9,12.0,1000.0
2001-02-15,12.0,11.5,11.25,11.25,1500.0
2001-02-16,11.25,11.25,11.25,11.25,500.0
2001-02-23,11.25,11.0,11.0,11.0,500.0
2001-03-15,11.0,12.0,11.4,12.0,12000.0
2001-03-16,12.0,11.5,11.5,11.5,4000.0
2001-03-22,11.5,11.5,11.5,11.5,8000.0
2001-04-17,11.5,11.5,11.5,11.5,1000.0
2001-04-18,11.5,11.5,11.5,11.5,5000.0
2001-05-03,11.5,12.0,12.0,12.0,3000.0
2001-05-23,12.0,11.5,11.5,11.5,500.0
2001-05-30,11.5,10.65,10.65,10.65,1000.0
2001-06-01,10.65,12.0,12.0,12.0,1000.0
2001-07-10,12.0,11.0,11.0,11.0,500.0
2001-07-13,11.0,11.5,11.5,11.5,5000.0
2001-07-19,11.5,11.5,11.5,11.5,10000.0
2001-08-16,11.5,11.0,11.0,11.0,500.0
2001-08-22,11.0,11.0,11.0,11.0,2000.0
2001-08-27,11.0,11.5,11.5,11.5,2000.0
2001-08-31,11.5,11.95,11.95,11.95,500.0
2001-09-05,11.95,11.5,11.5,11.5,500.0
2001-09-14,11.5,13.0,11.5,13.0,4000.0
2001-10-05,13.0,12.5,12.5,12.5,500.0
2001-10-18,12.5,12.5,12.5,12.5,1500.0
2001-10-29,12.5,13.0,13.0,13.0,2000.0
2001-11-01,13.0,13.0,13.0,13.0,1000.0
2001-11-13,13.0,12.4,12.4,12.4,500.0
2001-11-15,12.4,13.0,13.0,13.0,1000.0
2001-12-10,13.0,14.0,14.0,14.0,1000.0
2001-12-24,12.25,12.25,12.25,12.25,0.0
2001-12-26,12.25,12.9,12.9,12.9,1000.0
2001-12-31,12.9,14.0,14.0,14.0,2500.0
2002-01-02,14.0,14.0,13.95,14.0,6500.0
2002-01-03,14.0,14.0,14.0,14.0,2000.0
2002-01-07,14.0,14.0,14.0,14.0,2000.0
2002-01-08,14.0,14.0,14.0,14.0,2000.0
