Date,Open,High,Low,Close,Volume
2003-04-14,17.75,17.75,17.75,17.75,0.0
2003-04-15,17.75,19.25,19.25,19.25,1000.0
2003-04-16,19.25,19.75,19.75,19.75,0.0
2003-04-17,19.75,20.5,20.5,20.5,0.0
2003-04-18,20.5,22.0,22.0,22.0,8500.0
2003-04-21,22.0,23.65,23.65,23.65,1000.0
2003-04-22,23.65,25.4,22.75,22.75,12000.0
2003-04-23,22.75,23.5,22.1,22.1,1500.0
2003-04-24,22.1,23.25,22.0,22.0,1000.0
2003-04-28,22.0,22.8,22.1,22.1,4500.0
2003-04-29,22.1,21.1,21.0,21.0,4500.0
2003-04-30,21.0,20.5,19.95,19.95,3000.0
2003-05-02,19.95,21.45,21.0,21.45,10500.0
2003-05-05,21.45,23.05,22.5,23.0,16500.0
2003-05-06,23.0,24.7,22.4,22.4,19000.0
2003-05-07,22.4,22.0,22.0,22.0,500.0
2003-05-08,22.0,22.25,21.5,21.5,2500.0
2003-05-09,21.5,22.0,21.9,22.0,1000.0
2003-05-12,22.0,21.75,21.75,21.75,0.0
2003-05-13,21.75,21.4,20.75,21.4,2000.0
2003-05-14,21.4,20.75,20.75,20.75,500.0
2003-05-19,20.75,19.8,19.75,19.75,3500.0
2003-05-20,19.75,18.75,18.75,18.75,3000.0
2003-05-21,18.75,18.5,18.5,18.5,1000.0
2003-05-22,18.5,19.0,17.8,19.0,3500.0
2003-05-23,19.0,18.75,18.75,18.75,500.0
2003-05-26,18.75,20.0,18.3,20.0,4500.0
2003-05-27,20.0,20.0,19.5,19.5,5000.0
2003-05-28,19.5,18.8,18.8,18.8,1000.0
2003-05-29,18.8,19.45,19.4,19.45,1500.0
2003-05-30,19.45,18.5,18.5,18.5,1000.0
2003-06-02,18.5,18.7,18.7,18.7,2000.0
2003-06-03,18.7,19.0,18.9,19.0,1500.0
2003-06-04,19.0,20.2,18.85,20.2,6500.0
2003-06-05,20.2,20.95,20.95,20.95,1000.0
2003-06-06,20.95,21.5,20.0,21.25,4000.0
2003-06-09,21.25,21.75,21.5,21.7,3500.0
2003-06-10,21.7,21.5,21.5,21.5,0.0
2003-06-11,21.5,20.6,20.55,20.55,2000.0
2003-06-16,20.55,20.5,20.5,20.5,0.0
2003-06-18,20.5,22.0,21.3,22.0,8000.0
2003-06-19,22.0,23.6,21.5,22.0,20500.0
2003-06-23,22.0,21.0,21.0,21.0,1000.0
2003-06-26,21.0,20.0,20.0,20.0,1500.0
2003-06-27,20.0,19.5,19.5,19.5,1000.0
2003-07-01,19.5,20.0,20.0,20.0,2000.0
2003-07-04,20.0,20.0,20.0,20.0,3000.0
2003-07-07,20.0,21.0,21.0,21.0,500.0
2003-07-08,21.0,21.95,21.15,21.15,1500.0
2003-07-09,21.15,21.1,21.0,21.0,2500.0
2003-07-10,21.0,21.5,20.1,21.5,11500.0
2003-07-11,21.5,22.75,21.0,22.75,23500.0
2003-07-14,22.75,24.45,23.6,23.75,42500.0
2003-07-15,23.75,23.5,22.65,22.65,4000.0
2003-07-16,22.65,22.5,22.5,22.5,4000.0
2003-07-21,22.5,21.6,21.6,21.6,500.0
2003-07-22,21.6,22.0,21.65,21.65,4000.0
2003-07-23,21.65,22.0,21.05,21.05,3500.0
2003-07-24,21.05,21.75,21.75,21.75,1000.0
2003-07-25,21.75,21.7,21.7,21.7,500.0
2003-07-28,21.7,21.85,21.85,21.85,1000.0
2003-07-29,21.85,21.7,21.5,21.5,2000.0
2003-07-30,21.5,21.5,21.5,21.5,500.0
2003-07-31,21.5,21.5,21.25,21.5,16000.0
2003-08-01,21.5,22.75,21.75,22.05,6500.0
2003-08-04,22.05,22.4,22.0,22.4,3500.0
2003-08-05,22.4,22.25,22.0,22.25,11000.0
2003-08-06,22.25,23.25,22.0,23.25,5000.0
2003-08-07,23.25,24.95,22.5,24.0,28000.0
2003-08-08,24.0,25.8,25.0,25.8,21500.0
2003-08-11,25.8,27.7,25.5,27.7,15500.0
2003-08-12,27.7,29.75,28.5,29.75,42000.0
2003-08-13,29.75,31.95,29.75,29.75,25500.0
2003-08-15,29.75,30.25,29.5,29.6,7000.0
2003-08-18,29.6,31.8,29.0,31.8,12500.0
2003-08-19,31.8,32.0,31.25,31.25,8500.0
2003-08-20,31.25,31.5,29.7,29.9,14500.0
2003-08-21,29.9,29.25,29.25,29.25,2000.0
2003-08-22,29.25,29.75,29.25,29.75,3000.0
2003-08-25,29.75,29.5,28.3,28.3,4500.0
2003-08-26,28.3,27.5,27.0,27.5,4000.0
2003-08-27,27.5,27.5,27.0,27.0,1500.0
2003-08-28,27.0,29.0,28.35,29.0,8000.0
2003-08-29,29.0,31.0,30.5,30.5,7500.0
2003-09-01,30.5,30.5,30.0,30.5,3500.0
2003-09-02,30.5,31.25,31.25,31.25,18500.0
2003-09-03,31.25,31.5,31.5,31.5,1000.0
2003-09-04,31.5,30.8,29.95,29.95,2500.0
2003-09-08,29.95,30.0,30.0,30.0,0.0
2003-09-09,30.0,30.0,30.0,30.0,1000.0
2003-09-12,30.0,30.0,29.95,30.0,1500.0
2003-09-15,30.0,31.4,30.0,31.4,9500.0
2003-09-16,31.4,31.0,30.0,30.25,5500.0
2003-09-17,30.25,29.0,29.0,29.0,0.0
2003-09-18,29.0,28.85,28.85,28.85,0.0
2003-09-19,28.85,28.75,28.75,28.75,0.0
2003-09-23,28.75,28.5,28.5,28.5,0.0
2003-09-24,28.5,28.4,28.4,28.4,0.0
2003-09-26,28.4,27.9,27.9,27.9,0.0
2003-09-29,27.9,26.55,26.55,26.55,0.0
2003-10-01,26.55,26.0,26.0,26.0,0.0
2003-10-02,26.0,25.0,25.0,25.0,2000.0
2003-10-03,25.0,24.5,24.0,24.0,2000.0
2003-10-06,24.0,25.0,25.0,25.0,1500.0
2003-10-07,25.0,25.0,24.75,25.0,5000.0
2003-10-08,25.0,24.0,24.0,24.0,1000.0
2003-10-14,24.0,22.8,22.8,22.8,1000.0
2003-10-15,22.8,22.8,22.8,22.8,2000.0
2003-10-16,22.8,23.0,22.0,22.0,6000.0
2003-10-17,22.0,21.0,21.0,21.0,2500.0
2003-10-20,21.0,22.0,21.5,22.0,4500.0
2003-10-22,20.5,21.5,21.5,21.5,0.0
2003-11-04,21.5,21.25,21.25,21.25,0.0
2003-11-05,21.25,21.0,21.0,21.0,0.0
2003-11-06,21.0,19.95,19.95,19.95,500.0
2003-11-10,19.95,20.45,20.45,20.45,2000.0
2003-11-18,20.45,20.25,20.25,20.25,0.0
2003-11-21,20.25,19.5,19.5,19.5,500.0
2003-12-01,19.5,19.5,19.5,19.5,500.0
2003-12-02,19.5,19.6,19.6,19.6,0.0
2003-12-03,19.6,20.25,20.25,20.25,0.0
2003-12-04,20.25,20.0,20.0,20.0,2000.0
2003-12-05,20.0,20.1,20.1,20.1,0.0
2003-12-08,20.1,20.5,20.5,20.5,1500.0
2003-12-09,20.5,20.1,19.5,20.1,1500.0
2003-12-10,20.1,19.1,19.1,19.1,3500.0
2003-12-18,19.1,20.0,18.1,20.0,1500.0
2003-12-24,20.0,20.0,20.0,20.0,1000.0
2004-01-01,20.0,19.1,19.0,19.0,1000.0
2004-01-02,19.0,19.0,18.0,18.0,4500.0
2004-01-05,18.0,18.15,18.15,18.15,0.0
2004-01-08,18.15,18.35,18.35,18.35,2000.0
2004-01-09,18.35,18.5,18.5,18.5,1000.0
2004-01-12,18.5,19.25,19.25,19.25,500.0
2004-01-14,19.25,20.0,18.25,20.0,2000.0
2004-01-15,20.0,21.5,20.5,20.5,4000.0
2004-01-20,20.5,20.5,20.5,20.5,500.0
2004-01-21,20.5,21.0,21.0,21.0,500.0
2004-01-22,21.0,19.95,19.95,19.95,2500.0
2004-01-23,19.95,20.5,20.5,20.5,500.0
2004-01-26,20.5,20.95,20.5,20.95,1500.0
2004-01-28,20.95,20.95,20.95,20.95,1000.0
2004-01-29,20.95,21.0,21.0,21.0,1000.0
2004-01-30,21.0,21.5,21.5,21.5,500.0
2004-02-11,21.5,23.1,23.0,23.0,500.0
2004-02-12,23.0,21.85,21.85,21.85,2000.0
2004-02-17,21.85,20.85,20.8,20.8,3000.0
2004-02-19,20.8,21.95,21.95,21.95,500.0
2004-02-20,21.95,23.0,21.5,23.0,2000.0
2004-02-23,23.0,22.45,22.45,22.45,0.0
2004-02-25,22.45,21.35,21.35,21.35,2500.0
2004-02-27,21.35,20.3,20.3,20.3,1000.0
2004-03-08,20.3,20.5,20.0,20.5,2500.0
2004-03-10,20.5,20.7,20.55,20.55,3500.0
2004-03-11,20.55,21.45,21.45,21.45,3000.0
2004-03-15,21.45,21.0,20.45,21.0,3500.0
2004-03-31,21.0,22.55,21.5,21.5,21000.0
2004-04-01,21.5,22.0,21.5,21.5,5000.0
2004-04-02,21.5,21.55,21.55,21.55,0.0
2004-04-06,21.55,22.0,22.0,22.0,500.0
2004-04-08,22.0,22.45,22.0,22.2,3500.0
2004-04-13,22.2,22.3,22.25,22.25,8000.0
2004-04-14,22.25,21.5,21.5,21.5,7000.0
2004-04-15,21.5,21.5,21.05,21.5,32000.0
2004-04-16,21.5,23.0,22.4,23.0,10000.0
2004-04-21,23.0,22.75,22.75,22.75,0.0
2004-04-22,22.75,22.65,22.65,22.65,0.0
2004-04-26,22.65,22.0,22.0,22.0,2000.0
2004-04-27,22.0,22.0,22.0,22.0,1000.0
2004-04-30,22.0,21.5,21.5,21.5,500.0
2004-05-06,21.5,20.5,20.5,20.5,500.0
2004-05-07,20.5,20.7,20.7,20.7,0.0
2004-05-10,20.7,22.0,22.0,22.0,5000.0
2004-05-11,22.0,21.85,21.0,21.85,6000.0
2004-05-13,21.85,23.4,21.0,23.4,10500.0
2004-05-14,23.4,23.5,23.0,23.0,36000.0
2004-05-18,23.0,22.9,22.9,22.9,0.0
2004-05-19,22.9,22.75,22.75,22.75,0.0
2004-05-24,22.75,22.75,22.75,22.75,1000.0
2004-05-25,22.75,22.75,22.75,22.75,1000.0
2004-05-27,22.75,22.5,22.5,22.5,0.0
2004-05-28,22.5,21.4,21.4,21.4,500.0
2004-05-31,21.4,20.35,20.35,20.35,500.0
2004-06-01,20.35,21.1,21.1,21.1,0.0
2004-06-03,21.1,20.05,20.05,20.05,500.0
2004-06-04,20.05,20.35,20.35,20.35,0.0
2004-06-07,20.35,20.6,20.6,20.6,0.0
2004-06-08,20.6,20.8,20.8,20.8,0.0
2004-06-11,20.8,22.35,22.35,22.35,500.0
2004-06-17,22.35,22.05,22.0,22.0,1000.0
2004-07-09,22.0,20.9,20.9,20.9,500.0
2004-08-03,20.9,19.9,19.9,19.9,500.0
2004-08-04,19.9,18.95,18.95,18.95,500.0
2004-08-05,18.95,19.25,19.25,19.25,0.0
2004-08-06,19.25,19.5,19.5,19.5,0.0
2004-08-09,19.5,20.0,20.0,20.0,0.0
2004-08-10,20.0,19.0,19.0,19.0,500.0
2004-08-13,19.0,19.5,19.0,19.5,2000.0
2004-08-16,19.5,20.25,20.25,20.25,0.0
2004-08-17,20.25,21.0,21.0,21.0,500.0
2004-08-18,21.0,21.25,21.25,21.25,1000.0
2004-08-23,21.25,21.5,21.5,21.5,500.0
2004-08-27,21.5,22.0,22.0,22.0,500.0
2004-08-31,22.0,21.5,21.5,21.5,500.0
2004-09-01,21.5,21.5,21.5,21.5,2000.0
2004-09-09,21.5,21.5,21.5,21.5,500.0
2004-09-16,21.5,22.25,21.5,21.5,500.0
2004-09-21,21.5,20.45,20.45,20.45,5000.0
2004-09-27,20.45,20.0,20.0,20.0,0.0
2004-09-28,20.0,19.4,19.4,19.4,0.0
2004-10-04,19.4,20.9,19.6,19.6,5000.0
2004-10-06,19.6,20.4,20.4,20.4,2500.0
2004-10-07,20.4,20.25,20.25,20.25,0.0
2004-10-12,20.25,20.0,20.0,20.0,0.0
2004-10-13,20.0,19.5,19.5,19.5,1000.0
2004-10-21,19.5,20.45,20.45,20.45,2500.0
2004-10-22,20.45,21.6,20.45,21.6,4500.0
2004-10-26,21.6,20.75,20.75,20.75,0.0
2004-10-27,20.75,19.8,19.8,19.8,1000.0
2004-11-18,19.8,18.8,18.8,18.8,5000.0
2004-11-23,18.8,20.3,20.3,20.3,1000.0
2004-11-25,20.3,20.5,20.5,20.5,10000.0
2004-11-26,20.5,20.5,20.5,20.5,5500.0
2004-11-29,20.5,20.5,20.5,20.5,1000.0
2004-11-30,20.5,20.5,20.5,20.5,5000.0
2004-12-01,20.5,22.0,21.0,22.0,12000.0
2004-12-03,22.0,21.5,21.2,21.2,5000.0
2004-12-06,21.2,22.7,22.0,22.7,11500.0
2004-12-07,22.7,23.1,21.8,21.85,2500.0
2004-12-08,21.85,22.45,22.0,22.4,2000.0
2004-12-09,22.4,23.25,22.8,23.15,4500.0
2004-12-10,23.15,22.6,22.6,22.6,1000.0
2004-12-15,22.6,22.0,22.0,22.0,4000.0
2004-12-16,22.0,23.0,22.0,23.0,4500.0
2004-12-20,23.0,23.0,22.05,22.05,5500.0
2004-12-23,22.05,21.05,21.05,21.05,1000.0
2004-12-24,21.05,21.05,21.05,21.05,2500.0
2004-12-27,21.05,22.0,22.0,22.0,2500.0
2004-12-28,22.0,23.65,22.8,23.65,3500.0
2004-12-30,23.65,23.5,23.5,23.5,1500.0
2004-12-31,23.5,23.7,23.5,23.5,3500.0
2005-01-03,23.5,25.1,24.15,25.0,5000.0
2005-01-04,25.0,25.45,25.0,25.45,1500.0
2005-01-05,25.45,26.0,26.0,26.0,3000.0
2005-01-06,26.0,26.0,25.5,26.0,14500.0
2005-01-07,26.0,25.0,24.8,24.8,4000.0
2005-01-10,24.8,25.75,25.7,25.75,12000.0
2005-01-11,25.75,26.5,26.5,26.5,1000.0
2005-01-13,26.5,26.0,26.0,26.0,1000.0
2005-01-14,26.0,26.1,26.0,26.1,1500.0
2005-01-17,26.1,27.25,26.5,27.25,8000.0
2005-01-18,27.25,27.85,27.85,27.85,500.0
2005-01-25,27.85,26.5,26.5,26.5,2000.0
2005-01-26,26.5,26.2,26.0,26.2,500.0
2005-01-27,26.2,26.0,26.0,26.0,2000.0
2005-01-28,26.0,25.55,25.55,25.55,1000.0
2005-02-01,25.55,26.0,26.0,26.0,0.0
2005-02-02,26.0,27.95,27.05,27.5,6500.0
2005-02-03,27.5,29.5,27.75,29.5,8000.0
2005-02-04,29.5,30.5,30.0,30.5,4000.0
2005-02-07,30.5,32.75,32.0,32.75,3500.0
2005-02-08,32.75,34.5,33.0,34.5,7500.0
2005-02-09,34.5,35.1,35.1,35.1,2000.0
