Date,Open,High,Low,Close,Volume
2001-02-19,2.5,2.0,2.0,2.0,500.0
2001-02-20,2.0,2.0,2.0,2.0,500.0
2001-02-22,2.0,2.0,2.0,2.0,1000.0
2001-02-23,2.0,2.0,1.5,1.5,3500.0
2001-02-28,1.5,1.5,1.5,1.5,1500.0
2001-03-02,1.5,1.0,1.0,1.0,1500.0
2001-03-20,1.0,1.5,1.5,1.5,2500.0
2001-04-03,1.5,1.4,1.4,1.4,1000.0
2001-04-06,1.4,1.45,1.45,1.45,1000.0
2001-04-10,1.45,1.45,1.45,1.45,6500.0
2001-04-13,1.45,1.1,1.1,1.1,500.0
2001-04-19,1.1,1.1,1.1,1.1,2500.0
2001-04-23,1.1,1.25,1.25,1.25,2000.0
2001-05-08,1.25,1.3,1.3,1.3,3000.0
2001-05-09,1.3,1.25,1.25,1.25,1000.0
2001-05-30,1.25,1.5,1.5,1.5,500.0
2001-05-31,1.5,1.25,1.25,1.25,500.0
2001-06-11,1.25,1.25,1.25,1.25,500.0
2001-08-16,1.25,0.95,0.9,0.9,6000.0
2001-08-24,0.9,0.9,0.9,0.9,1500.0
2001-08-27,0.9,0.9,0.9,0.9,500.0
2001-11-02,0.9,0.9,0.9,0.9,2500.0
2001-11-27,0.9,0.9,0.9,0.9,500.0
2001-12-04,0.9,0.9,0.9,0.9,1000.0
2001-12-06,0.9,0.9,0.9,0.9,4000.0
2001-12-08,0.9,0.95,0.95,0.95,500.0
2002-02-15,0.95,0.95,0.95,0.95,2000.0
2002-02-20,0.95,1.25,1.15,1.25,3000.0
2002-02-21,1.25,0.35,0.35,0.35,500.0
2002-02-26,0.35,1.5,1.25,1.5,3000.0
2002-03-05,1.5,0.9,0.9,0.9,1000.0
2002-03-11,0.9,0.9,0.9,0.9,3000.0
2002-03-18,0.9,0.9,0.9,0.9,500.0
2002-03-19,0.9,1.0,1.0,1.0,1000.0
2002-03-20,1.0,0.75,0.75,0.9,1000.0
2002-03-21,0.9,1.0,1.0,1.0,500.0
2002-03-27,1.0,0.9,0.9,0.9,4500.0
2002-04-09,0.9,0.9,0.9,0.9,1500.0
2002-04-12,0.9,1.5,1.4,1.5,2500.0
2002-04-15,1.5,1.6,1.5,1.6,5000.0
2002-04-16,1.6,1.65,1.55,1.55,1500.0
2002-04-17,1.55,1.4,1.4,1.4,1000.0
2002-04-22,1.4,1.35,1.35,1.35,0.0
2002-04-23,1.35,1.2,1.2,1.2,500.0
2002-04-25,1.2,1.25,1.25,1.25,0.0
2002-04-29,1.25,1.25,1.25,1.25,500.0
2002-05-15,1.25,1.4,1.4,1.4,500.0
2002-05-20,1.4,1.35,1.35,1.35,0.0
2002-05-27,1.35,1.3,1.3,1.3,0.0
2002-05-31,1.3,1.25,1.2,1.25,10000.0
2002-06-17,1.25,1.25,1.25,1.25,2000.0
2002-06-19,1.25,1.25,1.25,1.25,500.0
2002-06-27,1.25,1.15,1.15,1.15,2000.0
2002-07-01,1.15,0.7,0.7,0.7,1000.0
2002-07-03,0.7,1.0,0.9,1.0,4500.0
2002-07-04,1.0,1.0,1.0,1.0,500.0
2002-07-09,1.0,1.0,1.0,1.0,500.0
2002-07-12,1.0,0.95,0.95,0.95,1000.0
2002-07-15,0.95,0.9,0.9,0.9,1000.0
2002-07-16,0.9,0.95,0.95,0.95,0.0
2002-07-18,0.95,1.0,1.0,1.0,0.0
2002-07-31,1.0,1.0,1.0,1.0,500.0
2002-08-01,1.0,1.0,1.0,1.0,500.0
2002-08-05,1.0,1.0,1.0,1.0,1000.0
2002-08-06,1.0,1.0,1.0,1.0,500.0
2002-08-09,1.0,1.1,1.1,1.1,1000.0
2002-08-15,1.1,1.15,1.15,1.15,1000.0
2002-08-21,1.15,1.0,1.0,1.0,1000.0
2002-08-30,1.0,1.0,1.0,1.0,500.0
2002-09-11,1.0,1.0,1.0,1.0,1000.0
2002-09-12,1.0,1.0,1.0,1.0,1000.0
2002-09-13,1.0,1.05,1.05,1.05,1000.0
2002-09-16,1.05,1.0,0.9,1.0,2500.0
2002-09-18,1.0,1.0,1.0,1.0,500.0
2002-09-19,1.0,1.0,1.0,1.0,2500.0
2002-09-24,1.0,0.9,0.9,0.9,1000.0
2002-09-25,0.9,0.95,0.75,0.95,3000.0
2002-09-26,0.95,0.95,0.95,0.95,500.0
2002-10-07,0.95,0.9,0.9,0.9,500.0
2002-10-22,0.9,0.8,0.8,0.8,500.0
2002-10-23,0.8,1.15,0.9,0.9,2000.0
2002-10-24,0.9,1.0,1.0,1.0,500.0
2002-11-14,1.0,0.8,0.8,0.8,1000.0
2002-11-15,0.8,1.05,1.05,1.05,1000.0
2002-11-27,1.05,0.9,0.9,0.9,3000.0
2002-11-29,0.9,0.8,0.8,0.8,1000.0
2002-12-02,0.8,0.8,0.8,0.8,1000.0
2002-12-04,0.8,0.8,0.8,0.8,2000.0
2002-12-10,0.8,1.1,1.0,1.1,13000.0
2002-12-16,1.1,1.1,1.1,1.1,100000.0
2002-12-18,1.1,1.1,1.1,1.1,1500.0
2002-12-19,1.1,0.75,0.75,0.75,3500.0
2002-12-20,0.75,1.1,1.1,1.1,3000.0
2002-12-23,1.1,1.1,1.1,1.1,500.0
2002-12-24,1.1,1.2,1.2,1.2,0.0
2002-12-27,1.2,1.2,1.0,1.2,52000.0
2002-12-31,1.2,1.2,1.1,1.2,10000.0
2003-01-01,1.2,1.25,1.2,1.2,26000.0
2003-01-02,1.2,1.25,1.25,1.25,12500.0
2003-01-03,1.25,1.25,1.25,1.25,1000.0
2003-01-13,1.25,1.2,1.2,1.2,500.0
2003-01-14,1.2,1.25,1.25,1.25,500.0
2003-01-17,1.25,1.7,1.7,1.7,500.0
2003-01-27,1.7,1.7,1.45,1.45,5000.0
2003-01-28,1.45,1.7,1.6,1.7,1000.0
2003-01-30,1.7,1.5,1.5,1.5,500.0
