Date,Open,High,Low,Close,Volume
2001-04-16,8.0,8.0,8.0,8.0,0.0
2001-04-30,7.5,7.5,7.5,7.5,0.0
2001-06-14,7.5,7.5,7.5,7.5,0.0
2002-08-21,7.5,7.8,7.8,7.8,0.0
2002-08-22,7.8,8.0,8.0,8.0,0.0
2002-08-23,8.0,8.5,8.5,8.5,0.0
2002-08-26,8.5,8.75,8.75,8.75,0.0
2002-11-13,8.75,7.75,7.75,7.75,2000.0
2002-12-20,7.75,7.25,6.75,7.25,1000.0
2002-12-26,7.25,7.3,7.3,7.3,0.0
2003-01-01,7.3,7.5,7.5,7.5,0.0
2003-01-03,7.5,7.6,7.6,7.6,0.0
2003-01-13,7.6,8.75,8.75,8.75,25000.0
2003-01-14,8.75,10.25,10.25,10.25,1500.0
2003-01-15,10.25,11.75,11.75,11.75,2000.0
2003-01-16,11.75,13.25,11.75,13.25,22000.0
2003-01-17,13.25,12.25,12.25,12.25,500.0
2003-02-04,12.25,12.0,12.0,12.0,0.0
2003-05-07,12.0,11.9,11.9,11.9,0.0
2003-05-20,11.9,10.9,10.9,10.9,0.0
2003-05-21,10.9,9.9,9.9,9.9,0.0
2003-05-30,9.9,9.9,9.9,9.9,500.0
2003-06-02,9.9,9.9,9.9,9.9,500.0
2003-06-05,9.9,9.9,9.9,9.9,500.0
2003-06-11,9.9,9.9,9.9,9.9,2000.0
2003-06-18,9.9,11.4,11.4,11.4,500.0
2003-06-19,11.4,12.9,12.9,12.9,500.0
2003-06-24,12.9,11.9,11.9,11.9,0.0
2003-06-25,11.9,13.4,13.4,13.4,500.0
2003-07-01,13.4,14.9,13.5,14.9,11000.0
2003-07-04,14.9,14.75,14.75,14.75,0.0
2003-07-07,14.75,14.75,14.75,14.75,17000.0
2003-07-08,14.75,16.0,15.5,16.0,4000.0
2003-07-10,16.0,16.05,16.05,16.05,5000.0
2003-07-22,16.05,17.5,17.5,17.5,2000.0
2003-08-07,17.5,19.0,19.0,19.0,1000.0
2003-08-11,19.0,20.5,20.5,20.5,500.0
2003-09-09,20.5,22.0,22.0,22.0,4000.0
2003-09-10,22.0,22.1,22.1,22.1,0.0
2003-09-25,22.1,23.0,23.0,23.0,0.0
2003-09-30,23.0,24.0,24.0,24.0,0.0
2003-10-08,24.0,25.0,25.0,25.0,500.0
2003-12-03,25.0,26.0,26.0,26.0,500.0
2003-12-15,26.0,24.7,24.7,24.7,500.0
2003-12-18,24.7,26.5,23.5,26.5,1500.0
2003-12-24,26.5,28.45,28.45,28.45,1000.0
2004-01-15,28.45,27.05,27.05,27.05,0.0
2004-01-19,27.05,25.7,25.7,25.7,0.0
2004-01-26,25.7,24.45,24.45,24.45,0.0
2004-02-24,24.45,26.25,26.25,26.25,2000.0
2004-03-05,26.25,24.95,24.95,24.95,0.0
2004-03-08,24.95,24.5,24.5,24.5,0.0
2004-03-09,24.5,23.3,23.3,23.3,0.0
2004-03-10,23.3,22.15,22.15,22.15,0.0
2004-03-11,22.15,21.05,21.05,21.05,0.0
2004-04-19,21.05,20.95,20.95,20.95,0.0
2004-04-20,20.95,20.95,20.95,20.95,1000.0
2004-04-21,20.95,20.9,20.9,20.9,0.0
2004-04-26,20.9,20.0,20.0,20.0,0.0
2004-04-30,20.0,19.0,19.0,19.0,500.0
2004-05-04,19.0,18.0,18.0,18.0,500.0
2004-05-05,18.0,17.0,17.0,17.0,500.0
2004-05-25,17.0,16.0,16.0,16.0,500.0
2004-05-26,16.0,17.25,17.25,17.25,2000.0
2004-05-27,17.25,18.5,18.5,18.5,2000.0
2004-05-31,18.5,17.5,17.5,17.5,1500.0
2004-06-08,17.5,18.3,18.3,18.3,4000.0
