Date,Open,High,Low,Close,Volume
2001-01-04,3.15,3.05,3.05,3.05,500.0
2001-01-09,3.05,3.15,3.15,3.15,500.0
2001-01-10,3.15,3.15,3.1,3.1,3500.0
2001-01-11,3.1,3.4,3.25,3.4,2000.0
2001-01-16,3.4,3.45,3.25,3.45,2500.0
2001-01-24,3.45,3.4,3.4,3.4,500.0
2001-01-26,3.4,3.5,3.5,3.5,6000.0
2001-01-29,3.5,3.8,3.45,3.45,4500.0
2001-02-01,3.45,3.35,3.35,3.35,1000.0
2001-02-16,3.35,3.4,3.4,3.4,500.0
2001-02-19,3.4,4.5,3.55,4.15,40500.0
2001-02-20,4.15,4.2,3.85,3.85,36000.0
2001-02-21,3.85,3.85,3.8,3.8,7000.0
2001-02-22,3.8,3.75,3.75,3.75,500.0
2001-02-23,3.75,3.9,3.9,3.9,500.0
2001-02-26,3.9,3.9,3.9,3.9,2000.0
2001-03-01,3.9,3.8,3.8,3.8,1000.0
2001-03-02,3.8,3.75,3.75,3.75,5000.0
2001-03-09,3.75,3.85,3.85,3.85,500.0
2001-03-13,3.85,3.75,3.75,3.75,1000.0
2001-03-14,3.75,3.75,3.6,3.75,2000.0
2001-03-15,3.75,3.6,3.6,3.6,1000.0
2001-03-20,3.6,3.6,3.4,3.5,8000.0
2001-03-22,3.5,3.5,3.45,3.45,2000.0
2001-03-27,3.45,3.6,3.6,3.6,500.0
2001-03-28,3.6,3.55,3.45,3.45,2000.0
2001-03-30,3.45,3.45,3.2,3.4,6000.0
2001-04-02,3.4,3.7,3.55,3.7,5500.0
2001-04-03,3.7,3.75,3.7,3.75,3500.0
2001-04-06,3.75,4.0,3.65,4.0,8500.0
2001-04-09,4.0,4.0,4.0,4.0,1500.0
2001-04-11,4.0,3.8,3.8,3.8,1000.0
2001-04-12,3.8,3.5,2.95,2.95,17500.0
2001-04-13,2.95,2.8,2.8,2.8,500.0
2001-04-16,2.8,3.2,3.0,3.2,27500.0
2001-04-17,3.2,3.1,3.1,3.1,1000.0
2001-04-19,3.1,3.25,3.1,3.25,3500.0
2001-04-20,3.25,3.4,3.25,3.25,3000.0
2001-04-23,3.25,3.25,3.25,3.25,1000.0
2001-04-24,3.25,3.3,3.25,3.25,4000.0
2001-04-25,3.25,3.25,3.2,3.2,6000.0
2001-04-26,3.2,3.25,3.25,3.25,2000.0
2001-04-30,3.25,3.6,3.25,3.25,2000.0
2001-05-02,3.25,3.4,3.25,3.25,10000.0
2001-05-03,3.25,3.3,3.3,3.3,1000.0
2001-05-04,3.3,3.5,3.3,3.3,4000.0
2001-05-08,3.3,3.5,3.35,3.35,6000.0
2001-05-10,3.35,3.35,3.35,3.35,1000.0
2001-05-14,3.35,3.5,3.4,3.4,11500.0
2001-05-15,3.4,3.4,3.4,3.4,3500.0
2001-05-16,3.4,3.75,3.45,3.75,19500.0
2001-05-17,3.75,3.75,3.7,3.75,13000.0
2001-05-18,3.75,3.95,3.85,3.95,25500.0
2001-05-21,3.95,3.95,3.8,3.95,3000.0
2001-05-22,3.95,3.9,3.9,3.9,5500.0
2001-05-23,3.9,4.0,3.9,3.9,23000.0
2001-05-24,3.9,3.9,3.9,3.9,16500.0
2001-05-25,3.9,3.9,3.9,3.9,13500.0
2001-05-28,3.9,3.9,3.9,3.9,5000.0
2001-05-29,3.9,3.9,3.85,3.9,5500.0
2001-05-30,3.9,3.95,3.8,3.95,9000.0
2001-06-01,3.95,3.95,3.9,3.9,5000.0
2001-06-04,3.9,4.7,3.95,4.55,65500.0
2001-06-06,4.55,4.5,4.35,4.35,18500.0
2001-06-07,4.35,4.9,4.45,4.65,71000.0
2001-06-08,4.65,4.7,4.5,4.7,9000.0
2001-06-11,4.7,4.8,4.8,4.8,1000.0
2001-06-12,4.8,4.7,4.5,4.7,10500.0
2001-06-13,4.7,4.7,4.65,4.65,1000.0
2001-06-14,4.65,4.65,4.5,4.5,5500.0
2001-06-15,4.5,4.9,4.5,4.9,1500.0
2001-06-18,4.9,4.75,4.55,4.55,1500.0
2001-06-19,4.55,4.5,4.5,4.5,4000.0
2001-06-21,4.5,4.5,4.5,4.5,1000.0
2001-06-25,4.5,4.1,3.85,4.1,4500.0
2001-06-26,4.1,4.15,4.0,4.15,2500.0
2001-06-27,4.15,4.15,4.1,4.1,16500.0
2001-06-28,4.1,4.15,4.1,4.1,12000.0
2001-06-29,4.1,4.2,4.1,4.1,9500.0
2001-07-04,4.1,4.1,4.1,4.1,1500.0
2001-07-06,4.1,4.9,4.55,4.9,3500.0
2001-07-18,4.9,4.9,4.9,4.9,2000.0
2001-07-20,4.9,4.25,4.25,4.25,1500.0
2001-07-23,4.25,4.25,4.0,4.25,1500.0
2001-07-24,4.25,4.2,4.2,4.2,1000.0
2001-07-25,4.2,4.6,4.6,4.6,500.0
2001-07-30,4.6,4.0,3.75,4.0,1500.0
2001-07-31,4.0,4.2,4.2,4.2,500.0
2001-08-01,4.2,4.0,4.0,4.0,500.0
2001-09-03,4.0,3.8,3.8,3.8,500.0
2001-09-04,3.8,3.85,3.6,3.85,1500.0
2001-09-05,3.85,3.5,3.5,3.5,1000.0
2001-09-24,3.5,3.5,3.5,3.5,5000.0
2001-10-19,3.5,4.0,3.5,3.5,2000.0
2001-10-24,3.5,3.5,3.5,3.5,1000.0
2001-10-30,3.5,3.5,3.4,3.4,2500.0
2001-10-31,3.4,3.3,3.25,3.3,1500.0
2001-11-01,3.3,3.15,3.15,3.15,500.0
2001-11-13,3.15,3.05,3.05,3.05,500.0
2001-11-16,3.05,3.15,3.15,3.15,1000.0
2001-11-29,3.15,3.05,3.05,3.05,2500.0
2002-01-02,3.05,3.1,3.05,3.05,1000.0
2002-01-16,3.05,3.5,3.5,3.5,1000.0
2002-01-17,3.5,3.7,3.5,3.7,7000.0
2002-01-18,3.7,3.5,3.5,3.5,500.0
2002-01-22,3.5,3.5,3.5,3.5,0.0
2002-01-23,3.5,3.85,3.85,3.85,1000.0
2002-01-24,3.85,3.95,3.95,3.95,1000.0
2002-01-28,3.95,3.95,3.95,3.95,5000.0
2002-01-29,3.95,4.1,3.95,4.1,11500.0
2002-01-31,4.1,4.5,4.0,4.5,11000.0
