Date,Open,High,Low,Close,Volume
2007-04-24,65.2,67.0,63.55,65.9,531000.0
2007-04-25,65.9,65.9,64.9,64.9,132000.0
2007-04-26,64.9,65.35,64.9,65.0,43600.0
2007-04-27,65.0,65.2,64.25,64.25,50600.0
2007-04-30,64.25,65.0,64.25,65.0,105200.0
2007-05-02,65.0,65.1,64.4,65.0,129700.0
2007-05-03,65.0,65.0,64.25,64.9,21500.0
2007-05-04,64.9,64.8,64.25,64.6,28500.0
2007-05-07,64.6,64.5,61.4,61.4,27000.0
2007-05-08,61.4,62.95,61.95,62.2,62200.0
2007-05-09,62.2,62.75,61.75,62.5,16900.0
2007-05-10,62.5,65.15,61.75,64.95,84500.0
2007-05-11,64.95,65.15,64.0,65.15,125300.0
2007-05-14,65.15,65.7,62.0,65.25,80300.0
2007-05-15,65.25,65.05,64.25,65.0,53800.0
2007-05-16,65.0,65.15,63.2,65.0,113100.0
2007-05-17,65.0,64.95,64.0,64.95,43600.0
2007-05-18,64.95,65.0,64.5,64.8,31000.0
2007-05-21,64.8,64.45,63.5,64.0,18600.0
2007-05-22,64.0,64.8,63.55,64.5,38900.0
2007-05-23,64.5,67.7,64.55,67.7,572700.0
2007-05-24,67.7,69.85,67.7,68.0,812100.0
2007-05-25,68.0,69.0,66.0,66.1,189100.0
2007-05-28,66.1,68.0,66.5,66.75,90900.0
2007-05-29,66.75,68.2,66.5,67.0,141000.0
2007-05-30,67.0,68.6,65.8,66.25,378500.0
2007-05-31,66.25,67.25,66.0,66.25,117000.0
2007-06-01,66.25,67.0,64.8,64.8,112000.0
2007-06-04,64.8,65.5,64.4,65.35,43900.0
2007-06-05,65.35,68.3,65.1,66.7,182600.0
2007-06-06,66.7,70.0,66.55,70.0,631400.0
2007-06-07,70.0,72.6,69.0,69.2,571000.0
2007-06-08,69.2,69.85,68.1,69.0,115700.0
2007-06-11,69.0,71.9,68.55,69.0,298100.0
2007-06-12,69.0,70.2,69.0,69.4,115600.0
2007-06-13,69.4,70.0,69.0,69.25,83600.0
2007-06-14,69.25,70.5,69.05,69.5,144600.0
2007-06-15,69.5,69.95,68.05,68.5,119000.0
2007-06-18,68.5,69.5,68.75,69.5,62200.0
2007-06-19,69.5,70.0,68.7,69.1,110100.0
2007-06-20,69.1,70.0,69.0,69.0,86400.0
2007-06-21,69.0,69.5,68.4,68.4,50700.0
2007-06-22,68.4,68.5,66.5,67.0,47600.0
2007-06-25,67.0,68.25,67.0,67.75,31800.0
2007-06-26,67.75,68.25,67.25,68.25,62800.0
2007-06-27,68.25,71.65,68.25,71.65,427900.0
2007-06-28,71.65,75.2,73.0,74.9,2442000.0
2007-06-29,74.9,76.25,72.6,73.9,621000.0
2007-07-02,73.9,77.5,74.15,76.45,575300.0
2007-07-03,76.45,77.45,73.0,74.0,385100.0
2007-07-04,74.0,76.45,72.9,74.95,952600.0
2007-07-05,74.95,76.0,74.5,74.5,357600.0
2007-07-06,74.5,75.7,74.0,74.2,533100.0
2007-07-09,74.2,77.9,74.6,77.9,586300.0
2007-07-10,77.9,81.75,81.75,81.75,748100.0
2007-07-11,81.75,85.8,83.25,85.8,2508200.0
2007-07-12,85.8,90.05,88.5,90.05,1704000.0
2007-07-13,90.05,93.0,85.55,87.0,3123500.0
2007-07-16,87.0,87.45,82.65,82.65,665600.0
2007-07-17,82.65,83.7,78.8,79.0,2677600.0
2007-07-18,79.0,79.0,75.05,75.05,1337500.0
2007-07-19,75.05,73.75,71.3,71.3,511100.0
2007-07-20,71.3,71.05,67.75,67.8,1734700.0
2007-07-23,67.8,71.15,69.3,71.15,520400.0
2007-07-24,71.15,74.7,72.6,74.7,1202500.0
2007-07-25,74.7,75.75,72.05,72.45,735700.0
2007-07-26,72.45,75.4,72.5,73.0,765800.0
2007-07-27,73.0,73.0,69.35,69.55,486200.0
2007-07-30,69.55,70.9,67.3,69.65,457000.0
2007-07-31,69.65,71.75,69.9,70.95,569000.0
2007-08-01,70.95,72.4,70.0,71.75,630000.0
2007-08-02,71.75,72.45,70.8,71.2,318400.0
2007-08-03,71.2,71.95,70.9,71.0,146400.0
2007-08-06,71.0,72.15,69.55,70.3,441800.0
2007-08-07,70.3,71.5,67.0,69.25,395400.0
2007-08-08,69.25,72.7,69.0,72.7,1397800.0
2007-08-09,72.7,70.9,69.1,69.1,1185600.0
2007-08-10,69.1,71.0,68.0,69.7,698300.0
2007-08-13,69.7,70.7,66.25,66.25,371100.0
2007-08-15,66.25,67.5,65.0,67.0,403700.0
2007-08-16,67.0,67.35,65.1,66.9,1118900.0
2007-08-17,66.9,67.1,65.8,65.85,225600.0
2007-08-20,65.85,66.75,64.95,64.95,325800.0
2007-08-21,64.95,64.2,61.75,61.75,375700.0
2007-08-22,61.75,61.0,58.7,59.75,348400.0
2007-08-23,59.75,62.5,56.8,56.8,627400.0
2007-08-24,56.8,56.75,54.0,54.0,498200.0
2007-08-27,54.0,55.6,53.35,53.5,168200.0
2007-08-28,53.5,54.2,52.7,54.05,129600.0
2007-08-29,54.05,56.5,54.0,55.95,165900.0
2007-08-30,55.95,57.5,55.05,57.25,160400.0
2007-08-31,57.25,57.5,55.75,56.3,205000.0
2007-09-03,56.3,56.0,54.6,56.0,950200.0
2007-09-04,56.0,58.5,55.5,57.9,293100.0
2007-09-05,57.9,60.75,58.3,60.75,409600.0
2007-09-06,60.75,62.4,60.15,61.25,493500.0
2007-09-07,61.25,60.45,59.0,59.0,180100.0
2007-09-10,59.0,60.45,57.05,60.05,143100.0
2007-09-11,60.05,61.75,60.0,60.1,90600.0
2007-09-12,60.1,62.9,60.2,62.0,207800.0
2007-09-13,62.0,62.5,61.0,62.25,224800.0
2007-09-14,62.25,62.5,60.0,61.0,89200.0
2007-09-17,61.0,60.6,59.1,60.25,37300.0
2007-09-18,60.25,62.55,60.6,61.65,136500.0
2007-09-19,61.65,62.0,61.1,62.0,44100.0
2007-09-20,62.0,63.55,61.3,62.0,202300.0
2007-09-21,62.0,62.65,61.1,62.0,87300.0
2007-09-24,62.0,63.9,62.0,62.95,315800.0
2007-09-25,62.95,63.45,62.1,62.5,39100.0
2007-09-26,62.5,64.25,62.0,63.8,156900.0
2007-09-27,63.8,66.95,63.25,66.95,334800.0
2007-09-28,66.95,70.0,67.35,68.6,372500.0
2007-10-01,68.6,72.0,70.0,71.0,587500.0
2007-10-02,71.0,72.75,70.75,72.0,430300.0
2007-10-03,72.0,73.0,71.2,71.95,117700.0
2007-10-04,71.95,72.0,70.35,70.55,60400.0
2007-10-05,70.55,72.45,70.7,71.25,156800.0
2007-10-08,71.25,73.5,71.15,72.05,341200.0
2007-10-09,72.05,72.5,70.4,70.6,237200.0
2007-10-11,70.6,70.8,69.5,69.9,97500.0
