Date,Open,High,Low,Close,Volume
2017-12-07,2.4,2.4,1.45,1.78,725500.0
2017-12-08,1.61,2.2,1.61,1.86,552000.0
2017-12-11,1.8,1.8,1.4,1.51,628000.0
2017-12-12,1.55,1.55,0.51,0.84,1485000.0
2017-12-13,0.85,0.95,0.61,0.78,367500.0
2017-12-14,0.82,0.82,0.4,0.48,306000.0
2017-12-15,0.59,0.59,0.25,0.48,629000.0
2017-12-18,0.45,0.49,0.3,0.46,207000.0
2017-12-19,0.56,0.56,0.25,0.27,200000.0
2017-12-20,0.3,0.3,0.13,0.15,101500.0
2017-12-21,0.15,0.23,0.12,0.21,162000.0
2017-12-22,0.34,0.9,0.18,0.49,1187000.0
2017-12-26,0.34,0.78,0.2,0.3,512500.0
2017-12-27,0.31,0.66,0.3,0.5,541000.0
2017-12-28,0.57,0.57,0.22,0.27,354000.0
2017-12-29,0.2,0.35,0.03,0.04,1782000.0
