Date,Open,High,Low,Close,Volume
2021-06-07,1.01,1.01,0.01,1.01,423000.0
2021-06-08,2.01,2.01,2.01,2.01,125500.0
2021-06-09,3.01,3.01,3.01,3.01,3248000.0
2021-06-10,4.01,4.01,3.3,4.01,19767000.0
2021-06-11,4.9,5.01,4.5,5.01,9658000.0
2021-06-14,6.0,6.01,5.8,6.01,7608500.0
2021-06-15,7.0,7.01,6.82,7.01,3941000.0
2021-06-16,8.01,8.01,8.0,8.01,2703500.0
2021-06-17,9.01,9.01,9.01,9.01,3728500.0
2021-06-18,9.48,9.48,8.01,8.01,6437000.0
2021-06-21,7.01,7.01,7.01,7.01,350000.0
2021-06-22,6.01,6.01,6.01,6.01,103500.0
2021-06-23,5.01,5.01,5.01,5.01,100000.0
2021-06-24,4.01,4.01,4.01,4.01,626000.0
2021-06-25,3.01,3.01,3.01,3.01,2591000.0
2021-06-28,2.01,3.75,2.01,2.19,50357500.0
2021-06-29,2.16,2.19,1.19,1.19,23437000.0
